Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"285,995",2.22:1,50.58%,27.91%,41.47%,191.85,"12,771"
2,Jhin,"271,240",2.8:1,51.09%,26.47%,17.63%,186.64,"12,899"
3,Lux,"234,359",2.64:1,51.57%,22.87%,23.91%,99.37,"10,598"
4,Jinx,"224,099",2.35:1,50.44%,21.87%,7.14%,192.14,"12,382"
5,Warwick,"176,866",2.29:1,53.3%,17.26%,22.05%,167.48,"12,454"
6,Miss Fortune,"170,061",2.5:1,51.61%,16.59%,6.29%,181.15,"12,875"
7,Ashe,"165,312",2.36:1,49.66%,16.13%,8.87%,172.96,"11,723"
8,Viego,"155,436",2.44:1,50.67%,15.17%,12.21%,183.94,"12,654"
9,Viktor,"151,598",2.25:1,50.35%,14.79%,13.47%,186.63,"11,982"
10,Ekko,"144,857",2.4:1,49.43%,14.13%,3.14%,175.97,"12,555"
11,Kayn,"144,279",2.33:1,51.27%,14.08%,11.76%,186,"12,591"
12,Volibear,"131,864",2.01:1,50.65%,12.87%,8.93%,174.62,"11,787"
13,Mordekaiser,"130,227",2.03:1,52.67%,12.71%,28.01%,173.64,"12,009"
14,Sylas,"126,930",2.08:1,48.11%,12.39%,11.53%,141.21,"11,141"
15,Sett,"123,777",1.77:1,50.96%,12.08%,6.29%,169.72,"12,023"
16,Yasuo,"118,509",1.68:1,48.21%,11.56%,14.96%,200.38,"12,264"
17,Swain,"117,854",2.37:1,50.53%,11.5%,8.22%,106.84,"10,521"
18,Veigar,"117,705",2.35:1,51.77%,11.49%,9.9%,179.4,"12,418"
19,Yone,"115,832",1.76:1,47.2%,11.3%,7.84%,194.9,"11,993"
20,Kai'Sa,"115,531",2.41:1,48.25%,11.27%,3.28%,199.16,"12,927"
21,Tahm Kench,"112,627",2.53:1,51.33%,10.99%,9.63%,88.82,"10,171"
22,Morgana,"109,804",2.67:1,51.82%,10.71%,37.53%,65.56,"9,887"
23,Darius,"108,759",1.82:1,48.62%,10.61%,19.09%,183.45,"12,191"
24,Teemo,"108,303",2.01:1,52.21%,10.57%,16.09%,173.59,"12,086"
25,Ezreal,"107,988",2.49:1,47.1%,10.54%,2.76%,182.06,"12,059"
26,Akali,"101,040",2.42:1,50.08%,9.86%,24.31%,160.93,"11,828"
27,Ahri,"100,010",2.65:1,50.72%,9.76%,6.82%,179.43,"11,614"
28,Diana,"97,475",2.13:1,50.94%,9.51%,4.91%,193.04,"12,923"
29,Pantheon,"96,457",2.08:1,49.07%,9.41%,3.33%,104.28,"11,220"
30,Pyke,"95,564",2.14:1,48.97%,9.32%,24.78%,39.6,"10,135"
31,Thresh,"91,990",2.61:1,48.42%,8.98%,2.11%,37.9,"8,634"
32,Vayne,"91,017",2.14:1,50.79%,8.88%,6.74%,176.6,"12,379"
33,Galio,"89,655",2.76:1,51.47%,8.75%,5.92%,147.2,"10,722"
34,Graves,"87,773",2.38:1,48.87%,8.56%,6.59%,208.52,"13,563"
35,Malzahar,"86,610",2.38:1,53.29%,8.45%,21.68%,219.54,"12,885"
36,Malphite,"84,617",2.58:1,50.55%,8.26%,6.32%,147.11,"11,110"
37,Nocturne,"84,296",2.62:1,52.27%,8.23%,13.89%,191.28,"12,751"
38,Maokai,"83,698",2.55:1,51.64%,8.17%,2.1%,108,"9,927"
