Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,57314,2.23,50.58,29.38,40.41,183.47,12762,lan,bronze
2,Lux,51733,2.66,52.04,26.52,32.2,96.9,10726,lan,bronze
3,Jhin,48801,2.75,50.84,25.02,21.1,176.72,12904,lan,bronze
4,Miss Fortune,44087,2.54,52.53,22.6,9.87,178.29,12985,lan,bronze
5,Jinx,43419,2.35,49.84,22.26,7.28,183.39,12407,lan,bronze
6,Warwick,39449,2.29,54.02,20.22,25.86,166.67,12649,lan,bronze
7,Ashe,32065,2.35,49.77,16.44,8.99,163.82,11750,lan,bronze
8,Volibear,28812,2.04,51.09,14.77,8.97,171.3,11905,lan,bronze
9,Mordekaiser,28639,2.07,53.04,14.68,30.78,169.82,12158,lan,bronze
10,Sett,28188,1.81,51.73,14.45,7.94,166.34,12138,lan,bronze
11,Kayn,28011,2.3,51.09,14.36,11.08,183.85,12699,lan,bronze
12,Veigar,27567,2.36,52.2,14.13,13.88,172.65,12457,lan,bronze
13,Teemo,27122,2.06,53.16,13.9,23.08,170.75,12198,lan,bronze
14,Ekko,26742,2.3,48.68,13.71,3.1,168.94,12545,lan,bronze
15,Viego,25683,2.33,50.43,13.17,8.7,180.45,12752,lan,bronze
16,Morgana,25078,2.7,51.85,12.86,37.98,69.3,10127,lan,bronze
17,Yasuo,24329,1.68,48.47,12.47,14.88,194.53,12353,lan,bronze
18,Viktor,24120,2.23,49.65,12.36,9.87,173.42,11876,lan,bronze
19,Swain,24105,2.38,51.21,12.36,9.6,98.35,10587,lan,bronze
20,Sylas,23804,2.06,47.67,12.2,10.75,133.8,11187,lan,bronze
21,Yone,23633,1.78,47.23,12.12,7.59,187.61,12028,lan,bronze
22,Tahm Kench,22328,2.54,51.2,11.45,10.07,87.85,10384,lan,bronze
23,Darius,21946,1.81,47.17,11.25,18.33,175.3,12132,lan,bronze
24,Pantheon,21758,2.1,49.08,11.15,4.03,100.72,11334,lan,bronze
25,Akali,20619,2.39,49.04,10.57,24.91,152.82,11813,lan,bronze
26,Kai'Sa,20320,2.36,47.72,10.42,3.06,191.61,12959,lan,bronze
27,Ahri,19027,2.62,50.68,9.75,6.44,171.78,11643,lan,bronze
28,Diana,18993,2.1,50.98,9.74,5.14,187.03,12985,lan,bronze
29,Malphite,18551,2.57,49.89,9.51,4.45,136.25,11195,lan,bronze
30,Master Yi,18491,1.95,49.62,9.48,23.28,183.75,13045,lan,bronze
31,Brand,18485,2.06,51.83,9.48,15.81,91.06,10833,lan,bronze
32,Ezreal,17889,2.45,46.51,9.17,2.73,170.11,12002,lan,bronze
33,Seraphine,17614,2.75,49.78,9.03,5.44,61.25,9627,lan,bronze
34,Galio,17584,2.76,51.8,9.01,5.23,138.75,10828,lan,bronze
35,Nocturne,17272,2.57,52.41,8.85,13.18,190.34,12960,lan,bronze
36,Yorick,17101,2,54.32,8.77,16.98,204.39,12947,lan,bronze
37,Vayne,17016,2.07,49.08,8.72,6.11,166.41,12317,lan,bronze
38,Pyke,16814,2.07,47.92,8.62,22.31,40.73,10316,lan,bronze
39,Malzahar,16790,2.39,53.91,8.61,23.65,216.68,13127,lan,bronze
40,Nautilus,16743,2.35,47.38,8.58,8.26,44.56,9050,lan,bronze
41,Shaco,15821,2.46,48.7,8.11,21.49,154.14,12213,lan,bronze
42,Nasus,15404,2.11,50.9,7.9,6.84,179.12,12200,lan,bronze
43,Cho'Gath,15045,2.28,51.73,7.71,2.99,162.59,11934,lan,bronze
44,Tristana,14998,2.17,46.91,7.69,4.69,169.49,12813,lan,bronze
45,Garen,14904,2.13,49.68,7.64,3.66,192.89,12774,lan,bronze
46,Vi,14749,2.25,49.15,7.56,1.82,171.96,12186,lan,bronze
47,Jax,14717,1.86,48.84,7.54,3.01,174.26,12386,lan,bronze
48,Maokai,14469,2.54,50.91,7.42,1.71,101.24,10059,lan,bronze
49,Zed,13810,2.25,47.05,7.08,17.76,170.94,12575,lan,bronze
50,Irelia,13802,1.76,48.65,7.08,5.88,211.43,13301,lan,bronze
51,Leona,13750,2.46,49.54,7.05,6.5,36.59,8866,lan,bronze
52,Ambessa,13667,1.97,46.92,7.01,26.33,169.04,11790,lan,bronze
53,Thresh,13475,2.47,46.51,6.91,1.41,41.92,8925,lan,bronze
54,Smolder,13134,2.24,46.38,6.73,3.37,194.19,12268,lan,bronze
