Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,333,3.08,56.76,42.74,46.59,192.36,12610,lan,challenger
2,Ezreal,241,3.06,49.38,30.93,9.5,209.44,12125,lan,challenger
3,Lux,210,3.03,49.52,27.6,4.34,159.09,10864,lan,challenger
4,Caitlyn,205,2.12,43.9,26.31,28.82,206.81,11467,lan,challenger
5,Viktor,183,2.43,46.99,25.71,16.16,213.21,11638,lan,challenger
6,Ekko,166,2.73,48.19,21.3,2.35,192.54,12602,lan,challenger
7,Ambessa,145,2.74,54.48,18.61,49.26,196.99,11879,lan,challenger
8,Sylas,143,2.55,58.74,18.35,15.09,167.92,11276,lan,challenger
9,Hecarim,138,3.3,55.8,17.71,7.51,210.43,12457,lan,challenger
10,Wukong,133,2.92,51.13,17.07,20.83,183.86,11681,lan,challenger
11,Corki,125,3.07,59.2,16.04,13.49,218.52,12416,lan,challenger
12,Lee Sin,122,3.45,53.28,15.71,3.36,184.97,12564,lan,challenger
13,Ashe,108,2.51,43.52,13.86,5.15,186.28,10969,lan,challenger
14,Neeko,104,2.69,45.19,15.79,1.62,147.4,10581,lan,challenger
15,Seraphine,98,3.66,53.06,12.62,5.78,165.08,10400,lan,challenger
16,Nautilus,97,2.55,46.39,12.45,7.6,31.89,7727,lan,challenger
17,Smolder,97,2.43,47.42,12.49,3.31,225.67,12213,lan,challenger
18,Kled,94,2.49,44.68,14.52,2.69,202.46,12424,lan,challenger
19,Gwen,92,2.44,61.96,11.81,18.29,202.77,12315,lan,challenger
20,Graves,91,2.39,37.36,11.68,23.93,193.18,11868,lan,challenger
21,Zed,88,3.04,60.23,11.29,36.92,212.23,13498,lan,challenger
22,Jhin,86,2.82,48.84,11.04,3.07,195.1,11697,lan,challenger
23,Kayn,85,2.53,50.59,10.91,18.62,191.01,12033,lan,challenger
24,Pyke,84,2.34,53.57,10.78,60.75,30.19,9263,lan,challenger
25,Ahri,83,2.77,44.58,10.68,1.91,193.42,11150,lan,challenger
26,Lulu,83,3.89,51.81,10.65,13.01,28.1,7824,lan,challenger
27,Poppy,81,2.66,64.2,10.4,10.01,81.65,9813,lan,challenger
28,Irelia,80,1.61,46.25,10.27,9.8,221.54,12174,lan,challenger
29,Jinx,80,2.62,50,10.3,1.17,202.84,11531,lan,challenger
30,Yone,79,2.03,44.3,10.17,4.27,214.94,11619,lan,challenger
31,Vi,73,2.98,52.05,9.6,1.16,175.56,11747,lan,challenger
32,Hwei,71,2.8,39.44,9.11,3.81,212.58,12076,lan,challenger
33,Nami,71,3.26,46.48,9.49,1,24.49,7750,lan,challenger
34,Kai'Sa,71,3.02,57.75,9.67,0.67,225.25,13164,lan,challenger
35,Qiyana,69,2.85,47.83,10.63,1.26,187.75,12112,lan,challenger
36,Karma,69,2.63,50.72,9.46,1.01,35.49,7696,lan,challenger
37,LeBlanc,69,3.08,52.17,8.86,17.49,153.12,10864,lan,challenger
