Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,10488,2.81,50.03,24.44,6.72,198.87,12500,lan,diamond
2,Caitlyn,9732,2.18,48.92,22.68,38.34,204.26,12373,lan,diamond
3,Viego,9509,2.62,51.09,22.16,25.18,185.02,12303,lan,diamond
4,Jinx,9138,2.36,50.93,21.29,5.01,205.16,12026,lan,diamond
5,Viktor,7602,2.2,50.57,17.71,18.49,199.83,11664,lan,diamond
6,Nami,6753,3.58,52.61,15.74,2.55,26.07,7917,lan,diamond
7,Lulu,6494,3.53,50.97,15.13,17.44,28.04,7876,lan,diamond
8,Ashe,6482,2.41,50.26,15.1,8.8,187.71,11402,lan,diamond
9,Ekko,6258,2.59,50.38,14.58,3.24,188.43,12374,lan,diamond
10,Lux,6048,2.63,49.87,14.09,5.25,114.96,10253,lan,diamond
11,Sylas,5978,2.15,49.85,13.93,14.09,152.88,10804,lan,diamond
12,Ezreal,5676,2.51,48.31,13.23,3.27,197.28,11888,lan,diamond
13,Graves,5550,2.52,48.41,12.93,21.98,210.35,13206,lan,diamond
14,Kai'Sa,5068,2.45,47.75,11.81,3.11,207.52,12493,lan,diamond
15,Yasuo,5043,1.68,49,11.75,20.95,209.94,11960,lan,diamond
16,Kayn,4814,2.47,50.58,11.22,14.82,188.23,12143,lan,diamond
17,Smolder,4677,2.23,46.68,10.9,4.68,212.46,11998,lan,diamond
18,Ambessa,4525,2.06,49.02,10.54,50.72,181.46,11470,lan,diamond
19,Yone,4523,1.73,47.36,10.54,7.85,206.86,11589,lan,diamond
20,Lee Sin,4517,2.84,49.1,10.53,4.31,167.04,11712,lan,diamond
21,Thresh,4445,2.71,49.9,10.36,3.42,32.64,8074,lan,diamond
22,Wukong,4405,2.76,52.49,10.26,5.71,176.55,11799,lan,diamond
23,Warwick,4292,2.4,51.58,10,11.86,170.8,11883,lan,diamond
24,Ahri,4194,2.64,50.05,9.77,6.79,191.97,11324,lan,diamond
