Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,28782,2.85,51.5,27.22,12.43,198.12,12853,lan,emerald
2,Caitlyn,26928,2.23,50.98,25.47,42.67,205.66,12833,lan,emerald
3,Jinx,22812,2.39,51.54,21.57,7.15,205.87,12417,lan,emerald
4,Viego,19353,2.57,50.98,18.3,17.98,186.93,12571,lan,emerald
5,Viktor,19352,2.26,50.8,18.3,19.17,199.27,12049,lan,emerald
6,Lux,17421,2.7,51.88,16.48,10.15,108.91,10462,lan,emerald
7,Ashe,16745,2.4,50.11,15.84,8.65,187.6,11717,lan,emerald
8,Ekko,15065,2.55,50.26,14.25,3.19,186.7,12598,lan,emerald
9,Kayn,14641,2.47,51.8,13.85,13.87,191.08,12540,lan,emerald
10,Lulu,13563,3.53,52.4,12.83,15.71,29.37,8136,lan,emerald
11,Sylas,13442,2.14,49.09,12.71,13.22,152.54,11123,lan,emerald
12,Warwick,13217,2.38,53.73,12.5,17.15,171.02,12199,lan,emerald
13,Kai'Sa,13149,2.47,48.79,12.44,3.46,208.65,12890,lan,emerald
14,Graves,12722,2.46,49.54,12.03,13.78,211.32,13450,lan,emerald
15,Ezreal,12652,2.55,48.55,11.97,2.86,195.93,12166,lan,emerald
16,Nami,11966,3.55,53.08,11.32,2.32,26.57,8161,lan,emerald
17,Thresh,11842,2.75,49.78,11.2,3.23,34.37,8377,lan,emerald
18,Smolder,11308,2.22,47.68,10.69,5.34,213.92,12369,lan,emerald
19,Volibear,11213,1.94,50.6,10.6,8.23,182.19,11661,lan,emerald
20,Tahm Kench,11077,2.49,51.97,10.48,8.65,88.28,9827,lan,emerald
21,Ambessa,11074,2.06,48.39,10.47,48.07,181.81,11753,lan,emerald
22,Yasuo,10875,1.68,49.31,10.28,14.21,212.29,12267,lan,emerald
23,Yone,10871,1.73,48.26,10.28,8.06,207.85,11969,lan,emerald
24,Swain,10830,2.39,50.11,10.24,6.32,126.37,10492,lan,emerald
25,Ahri,10644,2.76,50.39,10.07,6.61,192.11,11673,lan,emerald
26,Pyke,10252,2.23,50.85,9.7,30.02,38.45,9941,lan,emerald
27,Lee Sin,9702,2.69,47.8,9.18,4.14,167.25,11957,lan,emerald
28,Maokai,9691,2.53,51.85,9.16,2.87,118.54,9751,lan,emerald
29,Diana,9490,2.17,51.33,8.97,4.35,201.14,12867,lan,emerald
30,Darius,9479,1.87,51.28,8.96,19.53,196.71,12301,lan,emerald
31,Mordekaiser,9448,1.97,53.07,8.94,21.35,184.83,11847,lan,emerald
32,Karma,9091,2.64,50.29,8.6,2.91,49.76,8803,lan,emerald
33,Zed,9054,2.4,49.45,8.56,26.99,189.29,12559,lan,emerald
34,Sett,9012,1.72,50.49,8.52,3.73,181.14,12003,lan,emerald
35,Wukong,9011,2.74,53.36,8.52,3.28,182.12,12312,lan,emerald
36,Vayne,8848,2.22,51.68,8.37,7.06,189.72,12371,lan,emerald
37,Akali,8744,2.4,51.01,8.27,23.55,175.42,11841,lan,emerald
