Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,49592,2.84,51.85,29.14,17.49,193.37,13108,lan,gold
2,Caitlyn,48293,2.22,50.89,28.38,43.18,199.56,13003,lan,gold
3,Jinx,37406,2.4,51.23,21.98,6.69,200.26,12611,lan,gold
4,Lux,36867,2.66,52.01,21.66,22.04,101.55,10656,lan,gold
5,Viktor,28234,2.29,51.13,16.59,15.25,191.4,12176,lan,gold
6,Warwick,27835,2.33,53.4,16.36,20.22,171.61,12528,lan,gold
7,Ashe,27023,2.39,50.26,15.88,8.48,179.99,11888,lan,gold
8,Viego,26143,2.49,51.28,15.36,11.74,187.99,12797,lan,gold
9,Kayn,25221,2.37,52.11,14.82,11.44,190.04,12710,lan,gold
10,Ekko,24108,2.44,50.27,14.17,3.08,181.88,12768,lan,gold
11,Miss Fortune,23352,2.55,52.48,13.72,4.01,193.14,13152,lan,gold
12,Volibear,21177,2.03,51.41,12.44,9.7,180.11,11944,lan,gold
13,Sylas,20994,2.11,47.98,12.34,11.31,145.06,11257,lan,gold
14,Mordekaiser,20859,2.05,53.33,12.26,30.71,181.48,12181,lan,gold
15,Swain,20747,2.33,50.43,12.19,8.23,107.57,10507,lan,gold
16,Kai'Sa,20147,2.46,48.94,11.84,3.34,206,13154,lan,gold
17,Tahm Kench,20033,2.57,52.08,11.77,10.41,91.57,10262,lan,gold
18,Veigar,19036,2.34,52.26,11.19,8.85,187.98,12609,lan,gold
19,Darius,18819,1.82,49.35,11.06,20.67,190.32,12383,lan,gold
20,Sett,18722,1.76,50.68,11,5.8,176.49,12184,lan,gold
21,Ezreal,18590,2.53,46.94,10.92,2.51,188.14,12261,lan,gold
22,Yasuo,18480,1.66,47.54,10.86,13.9,207.21,12401,lan,gold
23,Yone,17521,1.74,47.11,10.29,7.6,203.04,12208,lan,gold
24,Thresh,16688,2.66,48.78,9.81,2.3,37.82,8677,lan,gold
25,Morgana,16632,2.73,53.23,9.77,41.59,63.93,9849,lan,gold
26,Diana,16621,2.14,51.66,9.77,5.14,199.19,13085,lan,gold
27,Ahri,16620,2.69,51.55,9.77,7.04,187.01,11855,lan,gold
28,Malzahar,16589,2.4,53.86,9.75,24.79,222.84,12903,lan,gold
29,Akali,16470,2.47,50.89,9.68,25.02,168.01,12050,lan,gold
30,Vayne,16431,2.19,51.74,9.65,7.04,182.96,12528,lan,gold
31,Graves,16083,2.4,49.52,9.45,6,212.58,13801,lan,gold
32,Galio,15680,2.75,51.31,9.21,6.03,151.73,10778,lan,gold
33,Maokai,15675,2.57,51.83,9.21,2.44,113.62,10051,lan,gold
34,Teemo,15645,2,52.41,9.19,12.51,180.88,12255,lan,gold
35,Pyke,15545,2.16,49.79,9.13,21.71,40.36,10208,lan,gold
36,Pantheon,14936,2.1,49.22,8.78,3.46,107.55,11325,lan,gold
37,Smolder,14835,2.27,47.15,8.72,4.64,209.07,12556,lan,gold
38,Malphite,14405,2.63,50.8,8.46,6.8,154.62,11233,lan,gold
39,Nocturne,14266,2.71,53.86,8.38,16.12,195.22,12839,lan,gold
40,Ambessa,14143,2.03,48.13,8.31,39.49,178.84,11939,lan,gold
41,Zed,13915,2.32,48.64,8.18,23.55,183.16,12735,lan,gold
42,Lulu,13629,3.3,49.73,8.01,6.8,31.25,8358,lan,gold
43,Shaco,13517,2.62,49.42,7.94,17.69,156.53,12330,lan,gold
44,Nami,13351,3.52,52.86,7.84,1.47,27.06,8417,lan,gold
45,Yorick,13057,1.9,53.43,7.67,13.4,215.06,13009,lan,gold
46,Nautilus,13041,2.36,47.63,7.66,9.63,40.79,8730,lan,gold
47,Lee Sin,12942,2.57,47.89,7.6,3.64,168.48,12237,lan,gold
48,Vi,12273,2.37,50.73,7.21,2.04,178.59,12204,lan,gold
