Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,937,2.87,53.79,27.85,44.35,181.12,11934,lan,grandmaster
2,Caitlyn,719,2.5,52.16,21.37,31.17,208.88,12255,lan,grandmaster
3,Smolder,611,2.44,48.28,18.16,3.23,217.31,11896,lan,grandmaster
4,Ezreal,604,2.77,50.5,17.95,7.92,197.44,11514,lan,grandmaster
5,Jhin,585,3,48.89,17.39,3.4,195.04,11901,lan,grandmaster
6,Lux,580,2.79,52.07,17.24,3.69,125.41,10114,lan,grandmaster
7,Jinx,537,2.42,49.35,16.01,1.82,203.73,11593,lan,grandmaster
8,Corki,537,2.75,51.02,15.96,13.9,207.61,11981,lan,grandmaster
9,Graves,536,2.79,50.75,15.93,22.72,208.69,12736,lan,grandmaster
10,Ashe,535,2.58,46.92,15.9,5.61,190.05,11187,lan,grandmaster
11,Sylas,531,2.3,52.54,15.78,15.67,161.93,10822,lan,grandmaster
12,Lulu,520,3.74,51.35,15.46,12.02,27.44,7540,lan,grandmaster
13,Viktor,503,2.49,52.68,15.43,17.62,202.63,11482,lan,grandmaster
14,Wukong,490,2.89,54.49,14.56,14.68,178.69,11416,lan,grandmaster
15,Nami,454,3.37,51.76,13.49,1.09,23.7,7630,lan,grandmaster
16,Yasuo,438,1.93,51.37,13.02,27.53,206.5,11620,lan,grandmaster
17,Karma,437,2.79,48.05,13.02,1.21,41.68,7946,lan,grandmaster
18,Gragas,436,2.46,49.54,12.96,5.76,171.89,10657,lan,grandmaster
19,Zed,418,2.71,53.35,12.42,35.06,189.83,12056,lan,grandmaster
20,Pyke,386,2.61,50,11.47,60.21,32.31,9528,lan,grandmaster
21,Seraphine,382,3.31,53.4,11.35,4.58,118.05,9646,lan,grandmaster
22,Yone,380,1.82,52.63,11.29,5.61,210.36,11591,lan,grandmaster
23,Swain,365,2.79,50.41,10.88,2.67,146.68,10336,lan,grandmaster
24,Tahm Kench,359,2.62,52.09,10.67,5.42,77.98,9091,lan,grandmaster
25,Irelia,348,1.93,53.74,10.34,11.55,228.93,12841,lan,grandmaster
26,Akali,342,2.68,49.42,10.16,11.77,178.28,11268,lan,grandmaster
27,Ambessa,331,2.17,49.85,9.84,49.1,180.7,11140,lan,grandmaster
28,Ahri,329,3.04,56.53,9.78,2.69,193.69,11290,lan,grandmaster
29,Kai'Sa,322,2.63,49.07,9.57,1.13,205.91,12040,lan,grandmaster
30,Nautilus,318,2.43,49.69,9.45,7.85,30.42,7695,lan,grandmaster
31,Ekko,316,2.77,50.95,9.39,1.93,185.44,11884,lan,grandmaster
32,Lee Sin,314,2.91,49.04,9.33,3.4,168.94,11409,lan,grandmaster
33,Milio,304,3.67,40.79,9.06,3.94,25.54,7090,lan,grandmaster
34,Thresh,300,2.87,49,8.92,2.24,29.37,7557,lan,grandmaster
35,Talon,300,2.59,49.33,8.92,3.77,190.12,12113,lan,grandmaster
36,Galio,296,2.95,51.35,8.8,6.88,172.37,10376,lan,grandmaster
37,Riven,286,2.16,48.95,8.5,3.92,189.44,11496,lan,grandmaster
38,Darius,286,1.98,51.4,8.5,18.49,214.23,11991,lan,grandmaster
39,Bel'Veth,285,3.09,57.89,8.47,11.28,185.52,12137,lan,grandmaster
40,Kayn,281,2.65,50.18,8.35,20.24,190.57,12153,lan,grandmaster
41,Warwick,268,2.58,54.1,7.97,14.22,175.52,11686,lan,grandmaster
42,Aurora,267,2.22,44.19,7.94,7.48,173.76,10607,lan,grandmaster
43,K'Sante,265,2.2,43.4,7.88,6.2,181.92,10293,lan,grandmaster
44,Maokai,264,2.71,52.27,7.85,1.66,83.84,8781,lan,grandmaster
45,Aatrox,262,1.99,51.53,7.79,11.61,176.66,10851,lan,grandmaster
46,Pantheon,258,2.64,51.55,7.69,1.2,147.67,10385,lan,grandmaster
47,Vladimir,258,2.61,51.55,7.67,4.73,191.57,10875,lan,grandmaster
48,Diana,243,2.3,50.62,7.22,1.57,198.4,12048,lan,grandmaster
49,Gwen,242,2.27,55.37,7.19,12.44,208.99,12628,lan,grandmaster
50,Hwei,239,2.68,50.21,7.12,4.26,188.16,11105,lan,grandmaster
51,Jax,238,1.9,50.42,7.07,16.43,185.45,11426,lan,grandmaster
52,Jayce,234,1.95,47.86,6.97,0.86,207.19,11876,lan,grandmaster
53,Hecarim,228,2.86,49.56,6.78,5.3,193.37,11621,lan,grandmaster
54,Renekton,222,2.19,56.31,6.6,4.93,202.31,11681,lan,grandmaster
55,Camille,213,2.07,50.23,6.33,1.56,169.57,11352,lan,grandmaster
56,Braum,212,3.19,50.94,6.32,1.95,27.01,7718,lan,grandmaster
57,Jarvan IV,200,3.38,52,5.96,1.27,157.56,11068,lan,grandmaster
58,Soraka,198,2.95,48.48,5.9,1.18,25.73,7375,lan,grandmaster
59,Rakan,198,3.2,51.01,5.88,0.17,30.46,7791,lan,grandmaster
60,Janna,197,3.65,51.78,5.86,1.13,26.33,7624,lan,grandmaster
61,Ziggs,196,2.66,46.94,5.84,0.64,205.27,11370,lan,grandmaster
62,Senna,194,3.27,55.15,5.78,0.48,36.72,9154,lan,grandmaster
63,Bard,190,3.55,48.95,5.65,0.7,27.29,8059,lan,grandmaster
64,Sivir,187,2.53,48.66,5.56,0.54,232.42,12215,lan,grandmaster
65,Akshan,187,2.6,57.75,5.57,5.2,195.79,12718,lan,grandmaster
66,Master Yi,186,2.82,53.76,5.53,23.2,180.02,12208,lan,grandmaster
67,Garen,185,2.02,48.65,5.5,1.31,228.05,12668,lan,grandmaster
68,Zoe,185,2.56,49.73,5.51,0.62,133.47,10358,lan,grandmaster
69,Aphelios,180,1.85,42.78,5.35,0.84,195.68,11439,lan,grandmaster
70,Varus,180,2.41,47.22,5.35,0.21,198.43,11977,lan,grandmaster
71,Syndra,178,2.44,45.51,5.29,2.37,206.55,12092,lan,grandmaster
72,Leona,178,2.43,51.12,5.31,1.72,28.72,7523,lan,grandmaster
73,Blitzcrank,175,2.67,42.86,5.2,11.09,25.81,7371,lan,grandmaster
74,Kha'Zix,175,2.69,50.29,5.2,9.76,181.6,11966,lan,grandmaster
75,Cho'Gath,174,2.18,48.85,5.32,0.43,164.48,10059,lan,grandmaster
76,Lucian,174,2.42,52.87,5.17,0.58,208.72,12277,lan,grandmaster
77,Xin Zhao,171,2.48,53.8,5.25,0.39,176.03,11548,lan,grandmaster
78,Ornn,169,2.69,47.93,5.04,0.4,181.64,10241,lan,grandmaster
79,Gnar,169,2.3,50.89,5.02,1.23,184.49,10711,lan,grandmaster
80,Volibear,167,1.64,43.71,4.96,4.32,173.69,10534,lan,grandmaster
81,Nasus,164,2.07,51.22,4.87,4.87,176.97,10710,lan,grandmaster
82,Gangplank,163,2.47,57.06,5.06,1.04,218.55,13424,lan,grandmaster
83,Elise,156,2.55,49.36,4.65,1.31,147.12,10860,lan,grandmaster
84,LeBlanc,155,3.04,42.58,4.61,14.25,174.66,10895,lan,grandmaster
85,Veigar,152,2.67,53.95,4.53,0.7,202.45,12343,lan,grandmaster
86,Zac,148,2.87,54.05,4.4,3.08,165.24,10432,lan,grandmaster
87,Taric,143,3.02,55.24,4.36,0.48,33.82,7404,lan,grandmaster
88,Twitch,142,2.46,46.48,4.51,0.67,171.99,12173,lan,grandmaster
89,Draven,139,1.98,43.17,4.13,35.1,199.21,12507,lan,grandmaster
90,Udyr,138,2.23,47.83,4.1,3.15,175.67,10301,lan,grandmaster
91,Ryze,137,2.67,62.77,4.19,0.79,222.74,12064,lan,grandmaster
92,Karthus,136,2.19,57.35,4.04,1.95,201.96,12353,lan,grandmaster
93,Vi,133,2.62,41.35,3.96,1.42,169.86,10996,lan,grandmaster
94,Skarner,132,2.67,42.42,3.92,11.88,149.8,9935,lan,grandmaster
95,Sett,131,1.5,43.51,3.9,1.2,184.69,11361,lan,grandmaster
96,Poppy,131,2.41,50.38,3.89,9.73,79.84,8573,lan,grandmaster
97,Zyra,131,2.51,52.67,3.89,2.11,64.61,8912,lan,grandmaster
98,Vayne,130,2.15,48.46,3.86,5.87,193.39,11561,lan,grandmaster
99,Nocturne,130,3.01,54.62,3.86,3.55,191.01,11949,lan,grandmaster
100,Neeko,129,2.37,52.71,3.84,1.16,61.11,8728,lan,grandmaster
101,Mordekaiser,125,1.63,45.6,3.72,5.01,178.01,10529,lan,grandmaster
102,Zeri,125,2.55,55.2,3.72,0.35,223.56,12241,lan,grandmaster
103,Kindred,123,2.54,51.22,3.66,4.81,177.5,11236,lan,grandmaster
104,Rell,121,2.93,51.24,3.61,0.5,27.59,7412,lan,grandmaster
105,Morgana,121,2.77,53.72,3.6,10.93,49.59,8473,lan,grandmaster
106,Azir,119,2.39,50.42,3.64,1.19,233.14,12501,lan,grandmaster
107,Lillia,118,2.71,48.31,3.51,2.91,189.31,11397,lan,grandmaster
108,Sona,118,2.87,49.15,3.64,0.04,27.5,7839,lan,grandmaster
109,Shen,117,3.01,49.57,3.49,0.51,147.17,9515,lan,grandmaster
110,Malphite,116,2.45,42.24,3.45,10.76,168.7,9804,lan,grandmaster
111,Renata Glasc,116,2.85,51.72,3.56,2.8,32.37,7874,lan,grandmaster
112,Taliyah,115,2.88,47.83,3.43,0.45,195.41,11400,lan,grandmaster
113,Vel'Koz,113,2.4,48.67,3.37,0.31,118.15,10204,lan,grandmaster
