Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,35976,2.52,50.07,31.03,37.44,91.45,10413,lan,iron
2,Miss Fortune,33959,2.36,49.87,29.29,14.68,157.16,12267,lan,iron
3,Caitlyn,33258,2.12,48.94,28.68,38.06,164.34,12097,lan,iron
4,Warwick,26596,2.11,51.83,22.94,30.76,155.02,12173,lan,iron
5,Jinx,25724,2.14,47.13,22.18,9.05,160.81,11634,lan,iron
6,Jhin,23708,2.57,48.53,20.45,22.14,157.6,12222,lan,iron
7,Ashe,20293,2.19,47.16,17.5,10.68,145.33,11215,lan,iron
8,Mordekaiser,20097,1.97,50.52,17.33,27.8,153.58,11642,lan,iron
9,Sett,19504,1.76,49.91,16.82,9.58,151.03,11576,lan,iron
10,Teemo,19198,2.01,51.58,16.56,29.27,157.98,11739,lan,iron
11,Morgana,18129,2.53,49.26,15.63,32.82,70.13,10025,lan,iron
12,Volibear,17747,1.95,48.89,15.31,8.28,158.18,11389,lan,iron
13,Veigar,16650,2.3,49.9,14.36,17.18,155.35,11924,lan,iron
14,Yone,16488,1.76,46.13,14.22,8.7,170.57,11502,lan,iron
15,Ekko,16092,2.18,47,13.88,4.05,154.26,11989,lan,iron
16,Seraphine,15999,2.62,48.95,13.8,8.05,63.01,9527,lan,iron
17,Kayn,15781,2.12,48.96,13.61,9.7,171.91,12262,lan,iron
18,Sylas,14457,1.95,45.87,12.47,11.1,121.13,10725,lan,iron
19,Pantheon,14359,2,46.9,12.38,4.1,91.59,10911,lan,iron
20,Viego,14261,2.09,48.04,12.3,7.52,167.69,12194,lan,iron
21,Yasuo,13686,1.63,46.62,11.8,16.41,175.72,11796,lan,iron
22,Master Yi,13383,1.85,48.48,11.54,25.42,170.67,12546,lan,iron
23,Akali,12777,2.33,47.18,11.02,24.59,136.86,11267,lan,iron
24,Ahri,12158,2.44,48.77,10.49,7.73,153.89,10980,lan,iron
25,Darius,12072,1.7,44.09,10.41,14.97,157.79,11441,lan,iron
26,Tristana,11977,2.05,46,10.33,6.47,151.16,12231,lan,iron
27,Swain,11966,2.32,49.76,10.32,8.82,92.03,10382,lan,iron
28,Diana,11527,2.02,49.03,9.94,5.54,173.26,12511,lan,iron
29,Kai'Sa,11263,2.23,46.32,9.71,3.23,172.42,12277,lan,iron
30,Pyke,11115,2,45.28,9.59,25.78,39.18,9993,lan,iron
31,Tahm Kench,10923,2.35,48.37,9.42,8.15,82.32,10084,lan,iron
32,Brand,10805,2.02,50.37,9.32,14.5,88.63,10678,lan,iron
33,Malphite,10542,2.39,48.5,9.09,3.37,122.63,10772,lan,iron
34,Nocturne,10314,2.34,48.81,8.9,11.33,178.31,12494,lan,iron
35,Jax,10227,1.77,47.13,8.82,3.32,157.45,11871,lan,iron
36,Galio,9996,2.57,49.8,8.62,5.26,128.45,10457,lan,iron
37,Viktor,9967,2.11,46.75,8.6,6.63,153.94,11270,lan,iron
38,Nautilus,9937,2.25,45.81,8.57,6.55,44.38,8931,lan,iron
39,Garen,9811,2.05,48.36,8.46,3.24,177.21,12170,lan,iron
40,Vi,9771,2.05,47.13,8.43,1.91,160.72,11719,lan,iron
41,Ezreal,9463,2.29,44.92,8.16,2.98,148.42,11225,lan,iron
42,Yorick,9375,2.03,53.43,8.09,15.84,190.9,12582,lan,iron
43,Nasus,9166,2.03,49.08,7.9,5.02,163.74,11638,lan,iron
44,Blitzcrank,9035,2.24,46.65,7.79,15.5,32.75,8610,lan,iron
45,Neeko,9001,2.15,47.62,7.76,3.79,90.08,10143,lan,iron
46,Cho'Gath,8878,2.21,48.84,7.66,3.37,146.75,11400,lan,iron
47,Briar,8838,2.03,50.79,7.62,12.81,160.23,12596,lan,iron
48,Illaoi,8738,1.66,50.37,7.54,30.21,161.72,11417,lan,iron
49,Irelia,8569,1.69,46.07,7.39,6.02,191.03,12593,lan,iron
50,Shaco,8520,2.29,45.34,7.35,22.81,146.02,11796,lan,iron
51,Heimerdinger,8226,1.83,50.39,7.09,10.23,160.43,11496,lan,iron
52,Vayne,8112,1.98,47.49,7,5.65,148.69,11854,lan,iron
53,Leona,7595,2.28,47.39,6.55,4.35,35.59,8766,lan,iron
54,Trundle,7530,1.78,49.03,6.49,3.81,172.69,12395,lan,iron
55,Senna,7157,2.59,46.32,6.17,1.81,60.16,10233,lan,iron
56,Amumu,7105,2.27,50.3,6.13,3.65,152.11,11270,lan,iron
57,Dr. Mundo,7049,2.07,49.4,6.08,4.97,152.46,11018,lan,iron
58,Malzahar,6920,2.31,51.79,5.97,17.19,202.56,12771,lan,iron
59,Thresh,6871,2.29,45.32,5.93,1.37,43.56,8872,lan,iron
60,Ambessa,6866,1.78,44.07,5.92,19.2,152.07,11087,lan,iron
61,Zed,6854,2.06,42.69,5.91,14.35,153.91,11861,lan,iron
62,Smolder,6590,2.15,44.86,5.68,2.38,173.74,11602,lan,iron
63,Samira,6309,1.88,44.68,5.44,11.87,152.93,12080,lan,iron
64,Vel'Koz,6213,2.23,49.49,5.36,1.86,89.49,10682,lan,iron
65,Vex,6151,2.29,47.57,5.3,5.1,151.24,11182,lan,iron
66,Maokai,6080,2.51,49.98,5.24,1.19,87.39,9774,lan,iron
67,Lee Sin,5967,2.14,43.77,5.15,2.26,151.09,11660,lan,iron
68,Twitch,5960,2.15,44.87,5.14,5.28,141.44,12172,lan,iron
69,Fizz,5919,2.36,48.66,5.1,10.18,141.11,12170,lan,iron
70,Varus,5611,2.1,45.48,4.84,1.19,154.47,11736,lan,iron
71,Xayah,5555,2.12,46.07,4.79,1.29,168.58,11862,lan,iron
72,Wukong,5442,2.4,50.13,4.69,1.66,160.38,11907,lan,iron
73,Urgot,5433,2.01,49.73,4.69,2.45,178.64,12453,lan,iron
74,Hwei,5383,2.3,47.89,4.64,2.57,137.47,10895,lan,iron
75,Gwen,5315,1.75,44.61,4.58,1.57,168.51,11798,lan,iron
76,Ziggs,5226,2.25,48.14,4.51,1.78,152.83,11449,lan,iron
77,Tryndamere,5202,1.74,46.91,4.49,3.28,186.03,12367,lan,iron
78,Xin Zhao,5062,1.99,48.16,4.37,0.74,157.73,11821,lan,iron
79,Nunu & Willump,4829,2.23,47.34,4.16,0.59,145.1,10923,lan,iron
80,Poppy,4656,2.18,48.6,4.02,0.79,81.13,9937,lan,iron
81,Aurelion Sol,4653,2.57,50.76,4.01,2.44,177.83,12559,lan,iron
82,Graves,4619,2.06,45.01,3.98,1.97,186.59,12845,lan,iron
83,Lucian,4517,2.18,45.34,3.9,0.82,161.85,11911,lan,iron
84,Zyra,4454,2.23,50.04,3.84,3.51,84.77,10274,lan,iron
85,Gnar,4426,2,46.88,3.82,1.11,152.73,11298,lan,iron
86,Aphelios,4325,1.85,46.73,3.73,1.5,154.69,11596,lan,iron
87,Kindred,4305,1.79,43.62,3.71,0.92,161.49,12035,lan,iron
88,Jayce,4270,1.93,43.42,3.68,0.64,165.85,11843,lan,iron
89,Xerath,4254,2.63,46.94,3.67,1.49,100.54,10698,lan,iron
90,Lillia,4227,2.41,48.14,3.65,3.97,169.04,12002,lan,iron
91,Katarina,4113,2.05,44.13,3.55,2.87,143.5,11807,lan,iron
92,Aurora,3970,2.37,44.63,3.42,3.32,147.29,10784,lan,iron
93,Sion,3925,2.02,50.62,3.39,0.5,160.05,11724,lan,iron
94,Kha'Zix,3924,2.02,44.27,3.38,2.73,164.32,12335,lan,iron
95,Aatrox,3871,1.64,42.62,3.34,3.08,149.52,10935,lan,iron
96,Ornn,3828,2.29,48.93,3.3,0.69,146.9,10745,lan,iron
97,Nami,3817,3.08,49.59,3.29,0.43,28.8,8429,lan,iron
98,Naafiri,3793,2.16,47.14,3.27,2.85,160.7,12422,lan,iron
99,Shen,3762,2.75,49.26,3.24,0.39,102.11,10086,lan,iron
100,Sivir,3742,2.19,48.13,3.23,0.9,194.58,12087,lan,iron
101,Draven,3699,2.03,46.82,3.19,7.57,155.86,12775,lan,iron
102,Renekton,3675,1.9,46.53,3.17,0.93,166.82,11614,lan,iron
103,Sona,3668,2.83,49.89,3.16,0.2,33.89,8786,lan,iron
104,Karma,3580,2.41,46.84,3.09,0.73,64.46,9387,lan,iron
105,Kayle,3572,1.89,48.96,3.08,0.75,182.27,12009,lan,iron
106,Rakan,3532,2.51,45.13,3.05,0.47,37.7,8498,lan,iron
