Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,2235,2.73,52.21,24.59,36.74,182.71,12054,lan,master
2,Caitlyn,1997,2.31,50.88,21.97,34.86,205.24,12269,lan,master
3,Jhin,1964,2.85,51.48,21.61,3.75,196.1,12194,lan,master
4,Jinx,1912,2.46,53.97,21.04,2.6,203.99,11731,lan,master
5,Lulu,1891,3.79,53.15,20.81,13.77,27.93,7683,lan,master
6,Nami,1709,3.59,52.19,18.8,1.71,24.53,7643,lan,master
7,Viktor,1559,2.23,50.99,17.19,17.22,202.62,11516,lan,master
8,Sylas,1535,2.29,53.88,16.89,15.91,158.26,10884,lan,master
9,Graves,1316,2.7,51.06,14.48,24.3,209.16,13010,lan,master
10,Corki,1316,2.68,54.86,14.48,13.14,205.18,12098,lan,master
11,Ashe,1287,2.53,51.13,14.16,7.62,188.9,11217,lan,master
12,Ezreal,1239,2.58,47.3,13.63,5.57,198.18,11632,lan,master
13,Ambessa,1184,2.14,53.55,13.03,49.88,181.57,11365,lan,master
14,Ekko,1145,2.69,53.28,12.63,2.09,183.15,11998,lan,master
15,Wukong,1098,2.92,56.28,12.08,10.46,176.77,11589,lan,master
16,Karma,1088,2.92,51.19,11.97,1.56,51.83,8356,lan,master
17,Lux,1066,2.74,51.22,11.73,3.37,123.8,10200,lan,master
18,Yone,1056,1.8,52.18,11.62,7.59,209.37,11629,lan,master
19,Aatrox,1024,1.99,52.54,11.27,13.51,181.87,11138,lan,master
20,Yasuo,1012,1.91,55.63,11.14,26.8,208.91,11833,lan,master
21,Kai'Sa,999,2.67,51.55,11.02,2.08,204.28,12262,lan,master
22,Kayn,982,2.57,52.14,10.8,18.81,186.56,12031,lan,master
23,Smolder,964,2.21,48.13,10.61,2.99,211.26,11797,lan,master
24,Hwei,957,2.62,49.84,10.53,6,180.92,10891,lan,master
25,Gragas,954,2.4,52.94,10.5,4.86,171.36,10928,lan,master
26,Thresh,952,2.8,49.47,10.47,2.23,31.28,7788,lan,master
27,Lee Sin,896,2.92,48.1,9.86,3.55,166.81,11533,lan,master
28,Milio,893,3.78,51.06,9.83,5.2,24.84,7369,lan,master
29,Volibear,891,1.72,50.84,9.8,6.68,188.68,11484,lan,master
30,Draven,881,2.26,52.55,9.69,34.01,199.09,13150,lan,master
31,Pyke,875,2.57,53.94,9.63,56.82,35.51,9423,lan,master
32,Swain,853,2.45,51.7,9.39,3.11,148.11,10395,lan,master
33,Seraphine,832,3.1,50.84,9.15,2.76,74.91,8671,lan,master
34,Galio,793,2.91,54.35,8.73,7.99,168.48,10278,lan,master
35,Ahri,784,2.91,52.04,8.63,4.8,189.05,11098,lan,master
36,Diana,769,2.36,51.37,8.46,2.14,198.79,12206,lan,master
37,Irelia,756,1.73,53.57,8.32,13.2,225.59,12663,lan,master
38,Gwen,728,1.87,50.82,8.01,9.96,198.15,12079,lan,master
39,Darius,711,1.88,53.45,7.82,19.14,188.78,11646,lan,master
40,K'Sante,710,2.01,48.17,7.81,7.46,181.55,10530,lan,master
41,Maokai,701,2.59,53.64,7.71,1.77,93.65,8687,lan,master
42,Janna,686,3.61,54.37,7.55,1.52,25.84,7668,lan,master
43,Soraka,676,3.24,53.25,7.44,1.93,26.59,7219,lan,master
44,Nautilus,667,2.42,51.42,7.34,8.2,29.85,7823,lan,master
45,Zed,657,2.57,50.68,7.23,29.03,187.08,11814,lan,master
46,Akali,649,2.45,50.39,7.14,14.4,175.5,11321,lan,master
47,Aurora,632,2.59,52.22,6.95,10.04,180.77,11162,lan,master
48,Renekton,613,1.8,48.45,6.74,5.21,194.06,11205,lan,master
49,Aphelios,609,2.22,52.22,6.7,0.99,201.28,12030,lan,master
50,Warwick,598,2.34,50.17,6.58,11.1,167.04,11627,lan,master
51,Braum,597,2.91,50.92,6.57,2.03,27.47,7659,lan,master
52,Tahm Kench,590,2.48,52.37,6.49,5.03,94.61,9357,lan,master
53,Shen,586,2.95,52.9,6.45,0.49,144.32,9816,lan,master
54,Mordekaiser,582,1.85,50,6.4,7.34,181.73,10999,lan,master
55,Talon,582,2.78,53.78,6.4,2.3,190.86,12128,lan,master
56,Sivir,568,2.52,51.76,6.25,0.75,227.46,12274,lan,master
57,Master Yi,564,2.44,56.21,6.21,21.86,185.38,12378,lan,master
58,Jayce,563,1.95,50.27,6.21,1.07,204.04,11863,lan,master
59,Lucian,563,2.43,50.44,6.21,0.97,204.92,12177,lan,master
60,Vi,557,2.55,49.19,6.13,2.13,168.14,11037,lan,master
61,Jax,552,1.97,54.35,6.07,13.95,180.12,11340,lan,master
62,Varus,532,2.32,51.13,5.85,0.33,192.68,11548,lan,master
63,Senna,531,3,52.17,5.84,0.59,36.96,9139,lan,master
64,LeBlanc,519,3.1,51.64,5.71,13.24,172.94,11502,lan,master
65,Riven,506,1.99,50,5.57,4.28,193.48,11591,lan,master
66,Vladimir,499,2.52,48.9,5.49,4.47,200.6,11220,lan,master
67,Sett,495,1.75,51.72,5.46,1.4,178.22,11289,lan,master
68,Vayne,495,2.37,56.77,5.45,7.59,191.82,11986,lan,master
69,Rakan,485,3.33,52.16,5.34,0.25,29.62,7703,lan,master
70,Ornn,483,2.74,50.93,5.31,0.54,182.05,10680,lan,master
71,Neeko,480,2.38,51.25,5.28,1.19,76.63,9413,lan,master
72,Jarvan IV,464,3.27,49.57,5.11,1.87,155.78,10941,lan,master
73,Camille,463,2.14,51.4,5.09,2.06,175.33,11166,lan,master
74,Ziggs,462,2.62,51.73,5.08,0.77,204.94,11811,lan,master
75,Kha'Zix,453,2.9,51.88,4.98,7.66,179.34,11990,lan,master
76,Hecarim,446,2.82,49.55,4.91,4.26,201.28,11971,lan,master
77,Leona,442,2.61,50.9,4.87,1.89,29.14,7853,lan,master
78,Gnar,440,2.25,53.86,4.85,1.13,187.79,11343,lan,master
79,Malphite,435,2.62,50.8,4.79,9.75,172.12,10340,lan,master
80,Cho'Gath,430,2.2,55.12,4.73,0.45,183.36,11025,lan,master
81,Briar,419,2.38,53.7,4.61,2.98,173.23,12095,lan,master
82,Blitzcrank,416,2.57,49.28,4.58,13.77,26.79,7687,lan,master
83,Rell,414,3.07,52.66,4.56,0.98,27.43,7817,lan,master
84,Taliyah,414,2.93,52.66,4.56,0.73,196.5,11967,lan,master
85,Xayah,412,2.49,52.43,4.53,1.22,213.22,12042,lan,master
86,Zac,405,2.97,51.36,4.46,3.83,159.47,10672,lan,master
87,Udyr,404,2.71,48.51,4.45,4.03,189.42,11185,lan,master
88,Xerath,402,2.94,48.76,4.42,1.07,120.65,10370,lan,master
89,Poppy,400,2.49,54.25,4.4,7.71,89.58,9442,lan,master
90,Pantheon,392,2.31,55.1,4.32,1.05,138.36,10762,lan,master
91,Sona,390,3.27,54.87,4.29,0.04,28.99,7954,lan,master
92,Skarner,388,3.36,53.09,4.27,10.45,153.14,10553,lan,master
93,Syndra,381,2.57,50.13,4.19,2.6,198.31,11659,lan,master
94,Elise,380,2.87,50.26,4.18,1.37,152.99,11209,lan,master
95,Ryze,368,2.17,48.64,4.05,0.85,210.33,11578,lan,master
96,Gangplank,363,2.56,55.37,4,0.92,211.74,13359,lan,master
97,Xin Zhao,362,2.47,53.87,3.98,0.5,169.08,11425,lan,master
98,Qiyana,356,2.33,53.93,3.92,0.74,185.24,12500,lan,master
99,Anivia,351,2.88,54.42,3.87,1.05,197.38,11345,lan,master
100,Veigar,348,2.31,47.7,3.83,0.98,188.39,11238,lan,master
101,Zyra,342,2.43,49.71,3.76,2.74,67.24,9070,lan,master
102,Shaco,340,2.68,54.41,3.74,4.31,156.87,11707,lan,master
103,Vel'Koz,339,2.28,53.98,3.74,0.35,101.57,10121,lan,master
104,Nocturne,330,2.79,51.21,3.63,3.89,188.34,11845,lan,master
105,Rengar,327,2.38,55.96,3.6,5.42,199.14,12540,lan,master
106,Sion,322,1.95,51.86,3.54,0.15,200.68,11448,lan,master
107,Malzahar,317,2.31,51.42,3.49,5.21,203.67,11123,lan,master
108,Kindred,316,2.5,50.32,3.48,4.13,181.24,11935,lan,master
109,Miss Fortune,316,2.53,55.7,3.48,0.33,196.41,11938,lan,master
110,Brand,315,2.02,50.79,3.47,0.77,134.82,10471,lan,master
111,Lissandra,314,2.56,52.87,3.45,1.86,188.36,11024,lan,master
112,Garen,304,1.92,45.39,3.34,2.03,214.41,12246,lan,master
113,Fiddlesticks,303,2.65,55.12,3.33,5.13,154.57,10633,lan,master
114,Tristana,298,2.38,53.02,3.28,0.26,191.73,12267,lan,master
115,Bel'Veth,295,2.92,49.83,3.25,7.39,178.32,11562,lan,master
116,Bard,292,3.08,54.45,3.21,0.63,29.29,8189,lan,master
117,Morgana,291,2.74,55.33,3.2,13.8,49.75,9021,lan,master
118,Urgot,290,2.41,54.14,3.2,0.36,195.02,11737,lan,master
119,Alistar,289,2.61,48.44,3.19,0.64,25.59,7428,lan,master
120,Renata Glasc,289,2.77,50.17,3.18,1.02,30.54,7797,lan,master
121,Zilean,286,3.1,52.8,3.15,0.66,56.03,8376,lan,master
122,Yuumi,282,4.57,45.04,3.1,2.42,14.28,7353,lan,master
123,Vex,281,2.51,49.82,3.09,5.56,185.93,11359,lan,master
124,Fiora,279,1.72,55.2,3.07,8.43,197.61,11750,lan,master
125,Zoe,277,2.6,48.38,3.05,0.4,132.54,10294,lan,master
126,Teemo,276,1.9,53.99,3.04,2.51,181.93,11347,lan,master
127,Nasus,274,1.89,47.08,3.01,3.79,177.47,10859,lan,master
128,Katarina,269,2.54,54.28,2.97,2.08,171.27,11970,lan,master
129,Lillia,264,3.06,54.92,2.9,4.46,197.44,12036,lan,master
