Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,42401,2.86,51.57,29.3,15.43,196.58,13073,lan,platinum
2,Caitlyn,39196,2.23,50.94,27.09,43.67,203.4,12958,lan,platinum
3,Jinx,31571,2.4,51.21,21.82,6.97,204.25,12585,lan,platinum
4,Lux,28126,2.66,51.93,19.44,16.53,104.73,10616,lan,platinum
5,Viktor,26103,2.27,50.66,18.04,17.22,195.31,12108,lan,platinum
6,Viego,23571,2.54,51.02,16.29,13.73,188.75,12728,lan,platinum
7,Ashe,22869,2.41,50.42,15.8,8.56,184.73,11862,lan,platinum
8,Warwick,21286,2.35,53.66,14.71,18.79,172.77,12444,lan,platinum
9,Ekko,20751,2.47,50.19,14.34,2.94,183.8,12674,lan,platinum
10,Kayn,19854,2.37,51.46,13.72,12.27,189.85,12608,lan,platinum
11,Sylas,17556,2.09,48.8,12.13,11.93,149.46,11235,lan,platinum
12,Kai'Sa,17322,2.47,48.64,11.97,3.6,207.31,13031,lan,platinum
13,Tahm Kench,16433,2.56,52.48,11.36,10.31,90.17,10096,lan,platinum
14,Volibear,16407,2.01,50.7,11.34,9.01,181.02,11792,lan,platinum
15,Ezreal,16339,2.51,47.64,11.29,2.53,192.38,12261,lan,platinum
16,Swain,16092,2.35,49.66,11.12,7.76,115.59,10547,lan,platinum
17,Miss Fortune,16036,2.53,51.33,11.08,2.77,197.92,13164,lan,platinum
18,Thresh,15920,2.73,49.59,11,2.79,36.2,8546,lan,platinum
19,Yasuo,15565,1.7,48.83,10.76,13.92,209.35,12315,lan,platinum
20,Graves,15362,2.4,49.32,10.62,8.92,212.28,13662,lan,platinum
21,Mordekaiser,15201,2,53.07,10.51,26.84,183.86,12053,lan,platinum
22,Sett,15183,1.75,51.4,10.49,4.96,179.05,12122,lan,platinum
23,Darius,14908,1.85,50.08,10.3,19.97,194.17,12394,lan,platinum
24,Yone,14873,1.72,47.78,10.28,7.91,206.27,12142,lan,platinum
25,Lulu,14438,3.43,51.56,9.98,10.62,29.98,8291,lan,platinum
26,Ahri,14274,2.73,51.11,9.86,7.11,189.54,11807,lan,platinum
27,Pyke,14251,2.2,50.33,9.85,24.69,39.24,10116,lan,platinum
28,Veigar,14196,2.38,51.72,9.81,6.09,193.04,12543,lan,platinum
29,Nami,13840,3.53,53.32,9.56,1.93,26.93,8342,lan,platinum
30,Maokai,13708,2.56,52.03,9.47,2.59,114.76,9917,lan,platinum
31,Diana,13687,2.15,51.02,9.46,4.79,200.98,12980,lan,platinum
32,Vayne,13656,2.18,51.85,9.44,7.24,186.6,12497,lan,platinum
33,Smolder,13617,2.25,48.19,9.41,4.91,212.41,12536,lan,platinum
34,Ambessa,13547,2.01,48.4,9.36,44.21,179.96,11858,lan,platinum
35,Akali,13100,2.48,51.05,9.05,24.34,172.82,12039,lan,platinum
36,Malzahar,12761,2.36,52.72,8.82,21.71,224.21,12738,lan,platinum
37,Morgana,12383,2.7,52.49,8.56,40.34,61.76,9635,lan,platinum
38,Lee Sin,12353,2.65,48.34,8.54,3.91,169.67,12210,lan,platinum
39,Galio,12314,2.8,51.47,8.51,6.33,157.91,10792,lan,platinum
40,Zed,12255,2.33,47.87,8.47,24.65,186.27,12630,lan,platinum
41,Nocturne,12065,2.72,52.6,8.34,15.98,195.1,12665,lan,platinum
42,Pantheon,11475,2.1,49.86,7.93,2.71,113.91,11339,lan,platinum
43,Teemo,11294,1.95,51.94,7.81,9.9,182.74,12123,lan,platinum
44,Karma,10895,2.62,50.55,7.53,2.65,53.14,9040,lan,platinum
45,Malphite,10669,2.63,50.94,7.37,8.06,162.38,11174,lan,platinum
46,Wukong,10667,2.76,53.42,7.37,2.65,182.59,12498,lan,platinum
47,Shaco,10438,2.63,49.58,7.21,14.51,156.31,12217,lan,platinum
48,Nautilus,10433,2.38,47.74,7.21,9.4,39.54,8590,lan,platinum
49,Vi,10233,2.42,49.99,7.07,1.93,178.87,12092,lan,platinum
50,Gragas,9810,2.41,49.46,6.78,2.54,170.44,11478,lan,platinum
51,Irelia,9769,1.73,51.06,6.75,7.78,228.31,13484,lan,platinum
52,Cho'Gath,9623,2.2,52.35,6.65,2.26,181.18,11877,lan,platinum
53,Seraphine,9470,2.84,49.56,6.54,2.18,59.62,9290,lan,platinum
54,Milio,9470,3.89,52.43,6.54,3.87,29.31,8039,lan,platinum
55,Aatrox,9045,1.91,48.82,6.25,6.19,179.39,11644,lan,platinum
56,Master Yi,9027,2.1,49.43,6.24,14.08,189.93,12942,lan,platinum
57,Hwei,8845,2.53,50.76,6.11,5.27,171.42,11605,lan,platinum
58,Brand,8638,2.02,51.26,5.97,8.11,88.83,10424,lan,platinum
59,Yorick,8557,1.86,53.46,5.91,10.4,215.44,12833,lan,platinum
60,Nasus,8350,2.02,51.35,5.77,10.68,189.01,12065,lan,platinum
61,Jayce,8323,2.01,47.35,5.75,0.73,198.5,12499,lan,platinum
62,Jax,8266,1.79,48.35,5.71,4.07,185.36,12203,lan,platinum
63,Senna,8257,2.82,50.66,5.71,1.54,47.1,9847,lan,platinum
64,Garen,8229,2.06,50.6,5.69,3.39,211.45,12912,lan,platinum
65,Leona,8136,2.51,49.43,5.62,6.27,34.1,8516,lan,platinum
66,Kha'Zix,7879,2.44,49.33,5.45,4.05,184.04,12815,lan,platinum
67,Katarina,7812,2.34,49.24,5.4,3.84,171.47,12493,lan,platinum
68,Vel'Koz,7800,2.38,52.53,5.39,1.68,91.64,10598,lan,platinum
69,Sion,7690,1.84,50.52,5.31,0.67,195.72,12424,lan,platinum
70,Gnar,7612,2.01,49,5.26,1.69,181.02,11752,lan,platinum
