Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,62622,2.24,51.27,29.21,42.09,193.44,12953,lan,silver
2,Jhin,59227,2.82,51.65,27.63,19.13,186.6,13046,lan,silver
3,Lux,50261,2.67,52.34,23.45,27.14,99.04,10731,lan,silver
4,Jinx,47002,2.4,51.03,21.93,7.14,194.4,12601,lan,silver
5,Warwick,38887,2.33,54.02,18.14,22.75,171.05,12647,lan,silver
6,Miss Fortune,37132,2.56,52.18,17.32,6.43,188.24,13131,lan,silver
7,Ashe,34238,2.38,49.98,15.97,8.51,174.5,11906,lan,silver
8,Viktor,32011,2.27,50.78,14.93,12.97,184.23,12102,lan,silver
9,Kayn,31558,2.35,51.86,14.72,11.38,187.57,12713,lan,silver
10,Ekko,30890,2.43,49.79,14.41,2.92,176.64,12715,lan,silver
11,Viego,30280,2.42,50.87,14.13,10.47,186.17,12868,lan,silver
12,Volibear,29069,2.07,51.25,13.56,9.47,177.48,11990,lan,silver
13,Mordekaiser,28466,2.09,53.71,13.28,31.77,177.31,12227,lan,silver
14,Veigar,27332,2.4,52.78,12.75,10.87,183.34,12632,lan,silver
15,Swain,26664,2.38,51.15,12.44,8.92,103.55,10605,lan,silver
16,Sett,26522,1.8,51.98,12.37,6.52,173.24,12235,lan,silver
17,Sylas,26004,2.1,48.13,12.13,10.77,141.1,11311,lan,silver
18,Yasuo,25776,1.7,48.31,12.02,14.23,202.73,12445,lan,silver
19,Tahm Kench,25294,2.57,51.17,11.8,10.61,91.02,10346,lan,silver
20,Kai'Sa,24290,2.42,48.45,11.33,3.23,200.23,13126,lan,silver
21,Teemo,24254,2.03,52.67,11.31,17.15,177.67,12271,lan,silver
22,Darius,23916,1.85,49.14,11.16,20.02,184.76,12365,lan,silver
23,Yone,23746,1.78,46.9,11.08,7.62,198.27,12207,lan,silver
24,Morgana,23685,2.73,53.3,11.05,40.79,66.07,10010,lan,silver
25,Ezreal,22470,2.52,46.94,10.48,2.65,181.03,12192,lan,silver
26,Malzahar,22257,2.42,53.8,10.38,25.73,222.11,13126,lan,silver
27,Akali,22243,2.47,51.42,10.38,25.07,162.25,11986,lan,silver
28,Pantheon,21274,2.13,50.44,9.92,3.61,104.04,11374,lan,silver
29,Diana,20762,2.15,51.35,9.69,5.15,195.22,13122,lan,silver
30,Vayne,20675,2.17,51.6,9.65,6.89,177.26,12579,lan,silver
31,Galio,19881,2.81,52.07,9.27,5.73,145.58,10828,lan,silver
32,Ahri,19818,2.67,51.2,9.25,6.52,179.71,11724,lan,silver
33,Pyke,19443,2.16,49.12,9.07,20.92,40.53,10318,lan,silver
34,Malphite,19033,2.65,51.64,8.88,5.59,147.29,11243,lan,silver
35,Maokai,18923,2.58,52.44,8.83,2.05,106.31,10063,lan,silver
36,Yorick,18443,1.96,53.55,8.6,15.36,212.09,13040,lan,silver
37,Nocturne,18441,2.65,53.25,8.6,14.55,193.92,12952,lan,silver
38,Brand,17884,2.06,52.02,8.34,14.14,90.31,10713,lan,silver
39,Nautilus,17761,2.36,47.69,8.29,9.35,42.4,8884,lan,silver
40,Thresh,17744,2.62,48.93,8.28,1.67,38.99,8782,lan,silver
41,Graves,17379,2.35,48.85,8.11,3.96,208.97,13713,lan,silver
42,Shaco,16882,2.56,49.59,7.88,19.91,158.47,12329,lan,silver
43,Master Yi,16817,2.03,50.56,7.85,19.07,190.06,13150,lan,silver
44,Ambessa,16711,2.03,48.2,7.8,33.7,175.3,11955,lan,silver
45,Smolder,16241,2.23,47.09,7.58,4.26,204.37,12527,lan,silver
46,Vi,16117,2.33,49.63,7.52,1.86,177.3,12250,lan,silver
47,Garen,15804,2.16,51.04,7.37,3.72,202.2,12961,lan,silver
48,Zed,15732,2.3,47.61,7.34,20.83,178.98,12744,lan,silver
49,Seraphine,15729,2.84,50.8,7.34,3.55,58.61,9498,lan,silver
50,Cho'Gath,15536,2.27,52.39,7.25,2.75,171.84,11964,lan,silver
51,Nasus,15398,2.11,50.98,7.18,8.81,186.35,12286,lan,silver
52,Irelia,15080,1.8,49.66,7.04,6.74,221.89,13561,lan,silver
53,Lee Sin,15063,2.52,47.56,7.03,3.09,165.91,12285,lan,silver
54,Leona,14884,2.52,49.31,6.94,7.28,35.97,8787,lan,silver
55,Jax,14319,1.86,48.85,6.68,3.13,180.64,12394,lan,silver
56,Tristana,13297,2.29,47.76,6.2,3.25,179.85,13131,lan,silver
57,Amumu,12982,2.53,52.5,6.06,4.02,168.56,11682,lan,silver
58,Trundle,12835,1.77,51.8,5.99,2.97,194.25,12851,lan,silver
59,Senna,12531,2.73,48.85,5.85,1.5,54.18,10181,lan,silver
60,Lulu,12372,3.24,49.83,5.77,3.89,32.09,8427,lan,silver
61,Blitzcrank,12225,2.43,49.19,5.7,12.02,33.53,8602,lan,silver
62,Dr. Mundo,12143,2.21,52.7,5.66,4.25,184.47,11903,lan,silver
63,Vel'Koz,12092,2.36,52.27,5.64,1.81,87.36,10718,lan,silver
64,Illaoi,11896,1.62,51.64,5.55,21.43,187.5,12109,lan,silver
65,Nami,11892,3.45,52.83,5.55,0.99,27.36,8481,lan,silver
66,Wukong,11614,2.7,52.85,5.42,1.36,180.67,12560,lan,silver
67,Briar,11614,2.18,53.7,5.42,12.59,177.67,13096,lan,silver
68,Karma,11520,2.57,49.31,5.37,1.88,57.57,9321,lan,silver
69,Fizz,11493,2.45,50.93,5.36,9.46,164.61,12809,lan,silver
70,Sion,11146,1.96,50.78,5.2,0.69,185.9,12397,lan,silver
71,Zyra,10652,2.32,52.48,4.97,5.94,72.93,10079,lan,silver
72,Katarina,10550,2.26,47.85,4.92,3.63,164.98,12491,lan,silver
73,Samira,10514,2.1,48.08,4.9,11.33,183.31,13209,lan,silver
74,Gnar,10311,2.07,48.8,4.81,1.3,171.61,11807,lan,silver
75,Shen,10238,3,51.43,4.78,0.64,117.41,10266,lan,silver
76,Lucian,10188,2.32,46.82,4.75,0.92,191.02,12732,lan,silver
77,Varus,10022,2.27,47.83,4.68,0.67,184.16,12611,lan,silver
78,Hwei,9998,2.55,51.62,4.66,3.02,155.06,11442,lan,silver
79,Lillia,9848,2.79,51.86,4.59,5.61,191.48,12613,lan,silver
80,Vex,9809,2.5,51.01,4.58,5.4,172.45,11962,lan,silver
81,Draven,9744,2.09,48.87,4.55,11.32,184.06,13648,lan,silver
82,Aatrox,9734,1.91,48.92,4.54,3.63,171.91,11690,lan,silver
83,Jayce,9697,2.07,46.01,4.52,0.56,187.95,12487,lan,silver
84,Ornn,9488,2.5,52.06,4.43,0.91,169.49,11295,lan,silver
85,Xayah,9455,2.37,49.89,4.41,0.75,202.11,12814,lan,silver
86,Poppy,9403,2.4,49.99,4.39,1.32,95.4,10367,lan,silver
87,Twitch,9235,2.31,47.6,4.31,2.45,159.89,12886,lan,silver
88,Gwen,9076,1.93,49.38,4.23,2.39,200.37,12845,lan,silver
89,Gragas,9031,2.31,46.56,4.21,0.98,161.46,11337,lan,silver
90,Sivir,8853,2.52,51.58,4.13,0.82,229.89,13279,lan,silver
91,Kha'Zix,8837,2.32,47.88,4.12,3.05,180.81,12955,lan,silver
92,Xerath,8555,2.88,50.17,3.99,1.79,103.69,10987,lan,silver
93,Urgot,8516,2.08,52.34,3.97,1.37,194.5,12893,lan,silver
94,Aurelion Sol,8460,2.8,52.17,3.95,2.05,197.93,13009,lan,silver
95,Aphelios,8326,2.01,48.02,3.88,1.17,187.68,12663,lan,silver
96,Soraka,8174,3.03,52.39,3.81,1.65,30.18,8160,lan,silver
97,Tryndamere,8153,1.71,49.21,3.8,2.44,217.1,13248,lan,silver
98,Ryze,8001,2.35,51.73,3.73,0.48,208.84,12689,lan,silver
99,Neeko,7929,2.22,48.57,3.7,1.34,97.06,10520,lan,silver
100,Fiddlesticks,7774,2.52,51.38,3.63,1.39,163.58,12111,lan,silver
101,LeBlanc,7745,2.73,48.43,3.61,4.79,150.13,11742,lan,silver
102,Renekton,7671,2.03,49.5,3.58,1.42,192.61,12312,lan,silver
103,Milio,7617,3.77,52.84,3.55,1.38,32.8,8320,lan,silver
104,Ziggs,7558,2.54,51.76,3.53,0.89,180.83,12307,lan,silver
105,Riven,7499,2.03,48.83,3.5,0.72,182.56,12312,lan,silver
106,Braum,7414,2.92,51.19,3.46,0.8,31.14,8600,lan,silver
107,Kindred,7174,2.07,47.48,3.35,0.77,183.27,12885,lan,silver
108,Sejuani,7151,2.96,49.53,3.34,0.65,169.98,11596,lan,silver
