Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"280,730",2.22:1,50.41%,27.31%,42%,193.69,"12,631"
2,Jinx,"243,221",2.34:1,50.75%,23.66%,8.48%,194.65,"12,293"
3,Lux,"236,329",2.58:1,50.9%,22.99%,16.77%,98.67,"10,403"
4,Jhin,"231,154",2.81:1,50.74%,22.49%,13.03%,187.18,"12,764"
5,Warwick,"178,460",2.28:1,53.29%,17.36%,23.97%,166.75,"12,257"
6,Miss Fortune,"162,777",2.5:1,51.24%,15.84%,5.34%,182.33,"12,686"
7,Ashe,"157,563",2.36:1,49.51%,15.33%,8.18%,173.58,"11,604"
8,Viktor,"144,890",2.24:1,50.66%,14.09%,12.85%,189.67,"11,935"
9,Viego,"140,327",2.41:1,50.45%,13.65%,11.38%,182.73,"12,453"
10,Ezreal,"135,846",2.55:1,48.03%,13.22%,5%,185.74,"12,033"
11,Lee Sin,"131,733",2.58:1,47.87%,12.82%,11.29%,163.88,"11,942"
12,Yasuo,"127,272",1.68:1,48.65%,12.38%,17.11%,202.43,"12,220"
13,Mordekaiser,"124,352",2.01:1,52.46%,12.1%,21.42%,175.04,"11,910"
14,Tahm Kench,"122,203",2.53:1,51.66%,11.89%,12.99%,92.28,"10,076"
15,Kayn,"122,093",2.31:1,51.11%,11.88%,7.86%,184.23,"12,394"
16,Ekko,"121,807",2.4:1,49.74%,11.85%,2.2%,175.55,"12,414"
17,Yone,"121,553",1.76:1,48.24%,11.82%,10.24%,196.62,"11,951"
18,Veigar,"116,559",2.33:1,51.79%,11.34%,7.23%,184.65,"12,434"
19,Darius,"115,804",1.81:1,48.47%,11.27%,23.25%,184.71,"12,085"
20,Volibear,"115,742",1.99:1,50.63%,11.26%,7.55%,175.33,"11,675"
21,Sylas,"115,032",2.08:1,47.78%,11.19%,10.54%,142.5,"11,024"
22,Swain,"113,998",2.34:1,50.3%,11.09%,8.62%,107.1,"10,409"
23,Thresh,"113,445",2.66:1,49.33%,11.04%,3.78%,37.61,"8,486"
24,Ahri,"112,326",2.63:1,50.75%,10.93%,7.5%,181.6,"11,539"
