Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,53779,2.23,50.68,29.16,41.24,184.34,12572,las,bronze
2,Lux,52287,2.57,51.08,28.35,25.8,94.41,10444,las,bronze
3,Jinx,42997,2.33,50.18,23.31,9.49,183.59,12214,las,bronze
4,Miss Fortune,42081,2.52,51.75,22.82,8.85,178.22,12724,las,bronze
5,Jhin,39411,2.74,50.63,21.37,16.78,175.66,12653,las,bronze
6,Warwick,38201,2.28,53.47,20.71,28.93,165.12,12391,las,bronze
7,Ashe,28809,2.33,48.76,15.62,8.27,164.51,11595,las,bronze
8,Mordekaiser,28294,2.07,53.11,15.34,25.6,170.67,12031,las,bronze
9,Veigar,27002,2.34,52.32,14.64,10.86,178.08,12516,las,bronze
10,Yasuo,24803,1.68,48.81,13.45,17.18,194.75,12241,las,bronze
11,Teemo,24789,1.98,52.14,13.44,24.06,171.1,12034,las,bronze
12,Morgana,23967,2.66,51.9,12.99,37.04,66.53,9877,las,bronze
13,Viego,23807,2.31,50.64,12.91,8.68,180.45,12581,las,bronze
14,Volibear,23475,2.03,50.57,12.73,6.83,170.66,11713,las,bronze
15,Yone,23178,1.78,48.24,12.57,9.58,187.99,11956,las,bronze
16,Darius,23077,1.78,47.17,12.51,21.78,175.79,11965,las,bronze
17,Kayn,23010,2.25,50.82,12.48,8.09,180.16,12406,las,bronze
18,Sett,22651,1.75,50.98,12.28,6.18,166.4,11937,las,bronze
19,Tahm Kench,22245,2.52,51.12,12.06,12.25,91.54,10272,las,bronze
20,Swain,22186,2.35,51.09,12.03,9.79,98.45,10416,las,bronze
21,Ekko,22029,2.3,48.74,11.94,2.62,167.56,12339,las,bronze
22,Akali,21187,2.4,49.24,11.49,26.11,156.53,11793,las,bronze
23,Ezreal,20784,2.48,46.51,11.27,4.52,171.96,11882,las,bronze
24,Viktor,20497,2.2,50.05,11.11,8.81,175.01,11775,las,bronze
25,Sylas,20477,2.04,46.53,11.1,9.75,135.5,11054,las,bronze
26,Lee Sin,19256,2.41,46.31,10.44,9.7,160.4,11940,las,bronze
27,Ahri,19023,2.57,50.09,10.31,6.63,171.8,11457,las,bronze
28,Diana,18531,2.1,51.29,10.05,5.02,188.44,12873,las,bronze
29,Vayne,17645,2.08,49.82,9.57,8.83,168.47,12235,las,bronze
30,Malphite,17607,2.55,49.65,9.55,4.21,139.44,11069,las,bronze
31,Nautilus,17472,2.33,47.18,9.47,9.98,42.42,8790,las,bronze
32,Brand,17305,2.07,52.26,9.38,13.78,88.9,10614,las,bronze
33,Nocturne,17248,2.57,51.96,9.35,13.49,188.49,12681,las,bronze
34,Pantheon,17126,2.07,48.51,9.29,3.03,98.56,11079,las,bronze
35,Kai'Sa,17098,2.37,47.92,9.27,3.23,192.47,12764,las,bronze
36,Master Yi,16619,1.95,50.12,9.01,16.92,182.04,12850,las,bronze
37,Shaco,16617,2.43,47.13,9.01,26.8,151.38,11964,las,bronze
38,Galio,15939,2.71,50.94,8.64,5.08,141.82,10704,las,bronze
39,Seraphine,15903,2.75,50.25,8.62,3.98,60.45,9455,las,bronze
40,Fizz,15414,2.43,50.23,8.36,16.23,161.36,12667,las,bronze
41,Thresh,15138,2.52,47.64,8.21,2.25,42.24,8729,las,bronze
42,Pyke,15135,2.03,47.14,8.21,20.1,41.23,10043,las,bronze
43,Nasus,14927,2.06,49.8,8.09,6.32,180.56,12061,las,bronze
44,Malzahar,14815,2.37,52.66,8.03,17.72,216.45,12975,las,bronze
45,Yorick,14640,1.92,53.74,7.94,13.37,202.91,12753,las,bronze
46,Garen,14639,2.15,50.15,7.94,3.27,194.46,12661,las,bronze
47,Tristana,14508,2.2,46.25,7.87,4.82,171.11,12681,las,bronze
48,Amumu,14320,2.5,52.91,7.76,5.22,160.61,11446,las,bronze
49,Vi,14301,2.27,49.49,7.75,1.78,169.3,11925,las,bronze
50,Leona,13800,2.47,48.57,7.48,7.3,36.3,8636,las,bronze
51,Blitzcrank,13595,2.39,47.64,7.37,15.55,33.44,8500,las,bronze
52,Trundle,13492,1.77,52.3,7.32,4.1,186.17,12625,las,bronze
53,Jax,13287,1.81,47.5,7.2,3.09,171.07,12049,las,bronze
54,Cho'Gath,13133,2.25,51.84,7.12,2.65,162.82,11763,las,bronze
55,Zed,13019,2.18,45.94,7.06,19.11,170.44,12304,las,bronze
56,Maokai,12872,2.51,50.46,6.98,1.56,100.87,9865,las,bronze
57,Graves,12448,2.26,47.62,6.75,2.92,199.85,13334,las,bronze
58,Irelia,11951,1.71,47.39,6.48,6.01,211.7,13130,las,bronze
59,Dr. Mundo,11837,2.22,53.5,6.42,5.05,176.33,11665,las,bronze
60,Illaoi,11284,1.63,51.31,6.12,21.84,179.74,11861,las,bronze
61,Ambessa,10512,1.95,46.8,5.7,27.15,167.6,11570,las,bronze
62,Vel'Koz,10276,2.4,52.34,5.57,1.43,91.24,10615,las,bronze
63,Senna,10227,2.68,47.45,5.54,1.42,56.38,10025,las,bronze
64,Samira,10106,2.01,46.76,5.48,15.46,174.09,12784,las,bronze
65,Vex,10038,2.47,50.89,5.44,5.19,167.06,11719,las,bronze
66,Neeko,9939,2.21,49.32,5.39,2.29,95.35,10355,las,bronze
67,Briar,9611,2.14,53.38,5.21,8.72,169.32,12785,las,bronze
68,Smolder,9552,2.24,47.73,5.18,2.82,194.02,12112,las,bronze
69,Zyra,9507,2.38,53,5.15,5.59,79.18,10120,las,bronze
70,Heimerdinger,9391,1.85,51.58,5.09,6.31,171.82,11786,las,bronze
71,Xerath,9250,2.7,50.39,5.02,2.6,102.93,10809,las,bronze
