Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,392,2.72,49.74,32.01,28.27,177.92,11727,las,challenger
2,Jinx,318,2.32,47.48,25.97,11.2,204.27,11639,las,challenger
3,Ambessa,314,2.16,52.23,25.64,62.73,184.94,11659,las,challenger
4,Viktor,299,2.46,50.84,27.02,15.16,203.97,11352,las,challenger
5,Ezreal,292,2.51,44.52,23.84,18.86,203.4,11389,las,challenger
6,Corki,270,2.71,52.59,22.05,12.75,220.31,12598,las,challenger
7,Lee Sin,230,3.14,52.17,18.78,19.53,162.31,11134,las,challenger
8,Jayce,229,2.04,54.15,19.29,3.47,196.62,11568,las,challenger
9,Caitlyn,201,2.26,43.78,16.41,23.5,215.69,12147,las,challenger
10,Sylas,199,2.38,48.74,16.25,13.35,146.99,10484,las,challenger
11,K'Sante,187,2.17,50.27,15.27,11.48,183.79,10434,las,challenger
12,Jhin,187,3.54,53.48,15.27,2.32,201.86,11977,las,challenger
13,Nautilus,175,2.62,51.43,14.29,10.09,29.87,7753,las,challenger
14,Yone,172,1.74,44.19,14.04,6.95,210.95,11418,las,challenger
15,Yasuo,169,2.01,53.85,13.8,33.53,206.01,11621,las,challenger
16,Bel'Veth,168,3.17,52.38,13.72,4.83,195.62,11877,las,challenger
17,Kai'Sa,157,2.7,52.23,12.82,1.92,215.14,12105,las,challenger
18,Ashe,151,2.78,52.32,12.33,12.52,193.53,11164,las,challenger
19,Gragas,150,2.01,42,12.25,15.18,170.65,10272,las,challenger
20,Karma,148,2.66,44.59,12.08,4.03,37.61,7825,las,challenger
21,Smolder,148,2.51,49.32,12.08,6.21,223.79,12038,las,challenger
22,Hwei,143,2.69,53.15,11.68,6.93,186.93,11000,las,challenger
23,Varus,142,2.57,57.04,11.59,0.82,203.96,12059,las,challenger
24,Renekton,140,2.35,52.14,11.43,15.56,208.66,11695,las,challenger
25,Janna,138,3.55,47.1,11.27,1.15,26.78,7692,las,challenger
26,Wukong,136,2.53,47.79,11.1,3.96,174.32,11241,las,challenger
27,Ekko,132,2.25,41.67,11.1,1.26,177.17,11689,las,challenger
28,Taliyah,132,2.75,50,10.78,1.29,190.19,11525,las,challenger
29,Kayn,131,2.67,50.38,10.7,8.7,174.73,11767,las,challenger
30,Pyke,125,2.58,56,10.21,34.85,28.81,8888,las,challenger
31,Tahm Kench,122,2.32,48.36,9.96,3.39,58.02,8250,las,challenger
32,LeBlanc,121,2.98,46.28,9.88,17.56,182.89,11371,las,challenger
33,Graves,118,2.93,49.15,9.64,11.77,207.78,12930,las,challenger
34,Rengar,118,2.62,50.85,9.64,47.02,196.63,12283,las,challenger
35,Syndra,114,2.35,46.49,9.31,3.4,205.07,11123,las,challenger
36,Skarner,113,3.55,55.75,9.23,19.04,150.33,10426,las,challenger
37,Maokai,112,2.6,55.36,9.71,0.94,89.54,8639,las,challenger
38,Blitzcrank,111,2.32,45.95,9.06,9.4,28.91,7902,las,challenger
39,Lux,110,3.11,51.82,9.17,0.61,160.76,10927,las,challenger
40,Rakan,110,3.49,52.73,10.67,1.31,32.07,7638,las,challenger
41,Jax,106,2.05,54.72,8.66,6.52,189.76,11115,las,challenger
42,Aurora,105,2.65,49.52,8.57,13.75,188.31,11108,las,challenger
43,Sona,104,2.67,49.04,13.16,0.34,33.68,7869,las,challenger
44,Galio,101,2.88,53.47,8.25,3.94,97.58,9014,las,challenger
45,Ahri,100,2.87,51,8.17,4.69,192.18,10799,las,challenger
46,Aphelios,99,2.56,55.56,8.53,1.07,202.8,12033,las,challenger
47,Akali,96,2.58,48.96,7.84,9.19,189.18,11053,las,challenger
48,Lulu,94,3.91,51.06,7.68,19.25,27.14,7351,las,challenger
49,Alistar,93,2.82,45.16,7.64,3.31,28.81,7422,las,challenger
50,Veigar,92,2.56,51.09,8.14,0.43,195.13,11340,las,challenger
51,Swain,91,2.5,51.65,7.43,0.74,171.75,10963,las,challenger
52,Kennen,87,2.38,57.47,7.85,2.44,203.79,11907,las,challenger
53,Irelia,84,1.73,48.81,6.86,13.95,228.11,12874,las,challenger
54,Kha'Zix,81,2.79,44.44,6.61,9.99,178.67,11748,las,challenger
55,Karthus,80,2.42,55,6.53,8.04,209.15,13155,las,challenger
56,Braum,79,3.4,51.9,6.45,2.94,27.44,7495,las,challenger
57,Lucian,78,2.54,52.56,6.76,1.15,216.76,12182,las,challenger
58,Master Yi,75,2.54,46.67,6.12,12.38,172.99,11445,las,challenger
59,Akshan,75,2.89,53.33,6.12,3.04,169.08,11691,las,challenger
60,Jarvan IV,74,3.69,51.35,6.08,4.37,156.8,10812,las,challenger
61,Zed,73,2.31,49.32,5.96,37.66,196.7,12029,las,challenger
62,Milio,73,4.38,50.68,5.96,5.36,28.84,7575,las,challenger
63,Vi,71,2.63,46.48,6.09,1.7,171.44,10870,las,challenger
64,Rumble,71,3.21,49.3,6.9,1.31,169.15,11729,las,challenger
65,Teemo,68,1.83,54.41,5.75,1.9,198.21,11432,las,challenger
66,Thresh,66,2.9,53.03,5.39,3.32,30.98,7727,las,challenger
67,Rell,65,2.87,40,5.54,2.27,31.32,7871,las,challenger
68,Ornn,65,2.68,41.54,6.45,0.25,168.12,9353,las,challenger
69,Volibear,64,1.24,32.81,5.25,1.76,187.3,10958,las,challenger
70,Pantheon,64,1.95,45.31,5.45,0.94,90,9649,las,challenger
71,Orianna,64,2.58,50,5.4,0.87,206.25,11056,las,challenger
72,Senna,62,3.15,59.68,5.23,3.07,38.16,8563,las,challenger
73,Aatrox,61,1.9,45.9,4.98,6.75,182.26,10801,las,challenger
74,Lillia,60,2.88,48.33,5.2,1.56,196.25,11556,las,challenger
75,Vayne,60,2.2,58.33,5.04,2.12,197.08,11248,las,challenger
76,Twitch,59,2.09,33.9,5.16,1.09,175.29,11312,las,challenger
77,Kalista,58,2.39,44.83,4.96,0.85,212.43,12428,las,challenger
78,Poppy,58,2.57,50,4.74,5.65,77.53,9134,las,challenger
