Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jinx,9064,2.33,49.91,23.6,6.72,207.7,11989,las,diamond
2,Caitlyn,8678,2.22,49.71,22.59,38.06,206.52,12330,las,diamond
3,Jhin,7476,2.89,49.81,19.46,4.77,199.37,12365,las,diamond
4,Ezreal,7349,2.62,48.55,19.13,7.81,199.13,11798,las,diamond
5,Viego,7277,2.57,49.77,18.94,19.54,180.74,11953,las,diamond
6,Viktor,6657,2.2,50.31,17.33,17.86,199.61,11544,las,diamond
7,Lee Sin,6196,2.91,50.34,16.13,14.16,165.26,11575,las,diamond
8,Lulu,6121,3.51,51.35,15.93,25.02,29.06,7767,las,diamond
9,Ashe,6011,2.48,51.47,15.65,9.42,189.14,11353,las,diamond
10,Nami,5769,3.48,51.69,15.02,1.85,26.43,7781,las,diamond
11,Kai'Sa,5179,2.54,48.35,13.48,3.77,209.42,12438,las,diamond
12,Sylas,4981,2.18,49.73,12.97,12.56,153.91,10707,las,diamond
13,Graves,4900,2.54,48.49,12.76,14.28,206.74,12976,las,diamond
14,Ahri,4843,2.79,51.15,12.61,8.37,194.25,11295,las,diamond
15,Thresh,4807,2.76,51.18,12.51,6.13,31.85,7884,las,diamond
16,Gragas,4679,2.4,50.59,12.18,10.39,175.29,11112,las,diamond
17,Karma,4393,2.73,49.81,11.44,4.31,44.29,8308,las,diamond
18,Lux,4311,2.65,48.69,11.22,2.15,122.49,10191,las,diamond
19,Yone,4277,1.7,47.44,11.13,11.69,210.4,11659,las,diamond
20,Ambessa,4043,1.97,50.21,10.52,57.04,180.45,11352,las,diamond
21,Smolder,3933,2.25,47.55,10.24,4.72,213.99,11899,las,diamond
22,Ekko,3880,2.55,49.95,10.1,1.52,184.22,12043,las,diamond
23,Aatrox,3761,1.94,50.7,9.79,11.48,181.05,11185,las,diamond
24,Corki,3719,2.58,50.31,9.68,11.49,212.94,12432,las,diamond
25,Yasuo,3661,1.7,49.19,9.53,23.34,210.35,11773,las,diamond
26,Hwei,3615,2.51,50.62,9.41,7.34,187.31,11216,las,diamond
27,Kayn,3614,2.44,50.5,9.41,6.99,185.98,11958,las,diamond
28,Wukong,3612,2.78,52.38,9.4,5.95,174.61,11581,las,diamond
29,Darius,3437,1.87,49.9,8.95,22.21,193.64,11755,las,diamond
30,Warwick,3433,2.23,50.04,8.94,11.72,164.96,11385,las,diamond
31,Diana,3404,2.21,49.88,8.86,3.02,197.3,12237,las,diamond
32,Tahm Kench,3354,2.41,51.97,8.73,7.96,81.52,9145,las,diamond
33,Milio,3254,3.96,50.77,8.47,5.37,27.85,7572,las,diamond
34,Pyke,3252,2.28,49.63,8.47,35.12,36.78,9440,las,diamond
35,Volibear,3209,1.9,49.8,8.35,5.89,183.01,11216,las,diamond
36,Zed,3190,2.52,51.79,8.3,22.49,193.23,12267,las,diamond
37,Swain,2926,2.36,48.22,7.62,3.97,137.32,10331,las,diamond
38,Riven,2916,1.96,51.44,7.59,3.76,194.02,11727,las,diamond
39,Akali,2901,2.37,49.6,7.55,17.09,180.5,11463,las,diamond
40,Nautilus,2891,2.38,48.11,7.53,11.74,35.34,7961,las,diamond
41,Vayne,2791,2.11,49.3,7.27,5.39,189.41,11739,las,diamond
42,Galio,2783,2.66,48.72,7.24,5.63,158.22,10082,las,diamond
43,Kha'Zix,2775,2.64,50.27,7.22,7.37,182.91,12260,las,diamond
44,Syndra,2764,2.27,47.68,7.2,4.03,202.99,11886,las,diamond
45,Janna,2700,3.46,53,7.03,1.56,27.94,7774,las,diamond
46,Aurora,2689,2.58,50.99,7,15.17,190.44,11325,las,diamond
47,Irelia,2656,1.61,51.92,6.91,9.79,226.01,12766,las,diamond
48,Jarvan IV,2619,3.38,50.32,6.82,3.05,161.74,11166,las,diamond
49,Renekton,2613,1.89,49.64,6.8,6.13,201.02,11695,las,diamond
50,Maokai,2585,2.48,51.61,6.73,2.1,117.33,9278,las,diamond
51,Vladimir,2564,2.39,51.4,6.67,4.97,202.6,11579,las,diamond
52,Draven,2541,2.04,49.39,6.61,20.66,198.11,13341,las,diamond
53,Varus,2521,2.28,49.82,6.56,0.83,195.3,11859,las,diamond
54,Xerath,2513,3.16,52.81,6.54,1.94,113.95,10433,las,diamond
55,Mordekaiser,2465,1.79,52.7,6.42,7.49,184.26,11288,las,diamond
56,Sett,2439,1.64,50.1,6.35,1.41,178.47,11456,las,diamond
57,Camille,2380,2.01,50.8,6.2,3.06,166.67,11268,las,diamond
58,K'Sante,2353,2.09,48.87,6.13,9.22,181.86,10803,las,diamond
59,Vi,2348,2.41,46.89,6.11,1.92,169.03,11154,las,diamond
60,Braum,2320,3.08,53.19,6.04,2.68,27.52,7822,las,diamond
61,Senna,2300,2.99,51.35,5.99,1.33,38.56,9059,las,diamond
62,Vel'Koz,2299,2.41,51.24,5.98,1.27,92.39,9927,las,diamond
63,Sivir,2294,2.53,50.48,5.97,0.98,232.29,12489,las,diamond
64,LeBlanc,2291,2.7,46.79,5.96,17.15,167.18,11187,las,diamond
65,Katarina,2288,2.43,51.75,5.96,7.24,173.51,12021,las,diamond
66,Lucian,2287,2.35,49.45,5.95,0.98,206.95,12262,las,diamond
67,Jayce,2248,1.86,46.62,5.85,1.27,202.7,11940,las,diamond
68,Malphite,2208,2.59,50.14,5.75,7.93,176.25,10707,las,diamond
69,Gwen,2198,1.94,49.95,5.72,5.69,206.99,12367,las,diamond
70,Ryze,2166,2.18,50.09,5.64,1.01,219.57,12084,las,diamond
71,Orianna,2135,2.73,50.49,5.56,0.66,198.78,11378,las,diamond
72,Nocturne,2107,2.82,51.5,5.49,8.31,182.43,11667,las,diamond
73,Seraphine,2079,2.96,50.36,5.41,0.96,67.02,8701,las,diamond
74,Blitzcrank,2074,2.5,50.72,5.4,13.33,29.04,7915,las,diamond
75,Gnar,2024,1.99,50.89,5.27,2.13,188.2,11404,las,diamond
76,Pantheon,2023,2.16,49.78,5.27,1.26,127.31,10762,las,diamond
77,Elise,2021,2.59,49.58,5.26,2.87,153.33,11389,las,diamond
78,Soraka,2006,2.92,49.6,5.22,2.11,27.4,7348,las,diamond
79,Poppy,2006,2.32,50.75,5.22,7,91.37,9439,las,diamond
80,Miss Fortune,1988,2.52,51.56,5.18,0.49,199.18,12359,las,diamond
81,Zac,1961,3.1,49.77,5.1,2.98,148.81,10393,las,diamond
82,Talon,1916,2.49,51.51,4.99,3.08,198.52,12457,las,diamond
83,Skarner,1896,3.17,49.74,4.94,12.97,150.92,10365,las,diamond
84,Jax,1880,1.64,48.03,4.89,7.2,183.51,11374,las,diamond
85,Ornn,1871,2.62,49.28,4.87,0.77,177.07,10428,las,diamond
86,Shaco,1814,2.64,49.78,4.72,5.85,134.83,11211,las,diamond
87,Xayah,1809,2.57,52.74,4.71,0.74,217.24,12370,las,diamond
88,Bard,1793,3.16,49.47,4.67,0.56,32.29,8247,las,diamond
89,Leona,1754,2.54,51.37,4.57,3.82,31.75,7982,las,diamond
90,Rakan,1743,3.02,48.88,4.54,0.52,31.25,7735,las,diamond
91,Vex,1742,2.48,50,4.53,6.62,189.72,11510,las,diamond
92,Rengar,1734,2.27,48.85,4.51,14.25,186.22,11986,las,diamond
93,Shen,1646,2.84,49.39,4.28,0.86,143.2,9762,las,diamond
94,Malzahar,1639,2.3,49.97,4.27,5.44,218.13,11870,las,diamond
95,Garen,1620,1.88,49.14,4.22,1.45,212.45,12204,las,diamond
