Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,24524,2.22,50.6,24.5,43.26,207.43,12744,las,emerald
2,Jinx,23635,2.35,51.35,23.61,6.87,208.54,12396,las,emerald
3,Jhin,21467,2.88,51.18,21.45,7.71,199.44,12809,las,emerald
4,Viktor,18322,2.23,50.4,18.3,18.92,201.81,11998,las,emerald
5,Ezreal,16065,2.63,49.47,16.05,6,198.52,12130,las,emerald
6,Viego,15312,2.57,50.61,15.3,15.48,185.61,12365,las,emerald
7,Lee Sin,15005,2.77,49.07,14.99,12.72,166.68,11891,las,emerald
8,Lux,14953,2.68,51.19,14.94,5.32,110.12,10417,las,emerald
9,Ashe,14441,2.43,50.18,14.43,8.66,187.95,11636,las,emerald
10,Thresh,13255,2.8,50.94,13.24,6.12,34.07,8246,las,emerald
11,Lulu,13038,3.49,51.29,13.03,19.67,29.85,8060,las,emerald
12,Ahri,12427,2.75,51.85,12.42,8.64,193.65,11621,las,emerald
13,Kai'Sa,12234,2.52,49.14,12.22,3.52,211.18,12804,las,emerald
14,Graves,12174,2.45,49.19,12.16,11.18,209.46,13308,las,emerald
15,Nami,12044,3.49,52.86,12.03,1.77,27.34,8107,las,emerald
16,Warwick,11851,2.33,52.73,11.84,17.25,172.1,12101,las,emerald
17,Yasuo,11751,1.68,49.31,11.74,18.1,213.9,12224,las,emerald
18,Sylas,11727,2.12,48.96,11.72,11.88,152.02,10988,las,emerald
19,Tahm Kench,11197,2.53,52.7,11.19,13.11,88.53,9714,las,emerald
20,Ekko,11165,2.53,51.11,11.15,1.52,186.4,12504,las,emerald
21,Yone,11153,1.74,49.14,11.14,11.2,210.04,11993,las,emerald
22,Kayn,10421,2.39,51.31,10.41,7.56,187.91,12227,las,emerald
23,Darius,10190,1.84,50.05,10.18,23.11,197.8,12248,las,emerald
24,Gragas,10179,2.45,50.42,10.17,7.01,175.11,11318,las,emerald
25,Karma,10011,2.73,51.6,10,3.91,50.58,8723,las,emerald
26,Vayne,9920,2.18,51.85,9.91,7.54,191.88,12226,las,emerald
27,Smolder,9842,2.23,48.44,9.83,4.46,217,12323,las,emerald
28,Swain,9655,2.34,49.87,9.65,6.62,129.01,10447,las,emerald
29,Volibear,9494,1.97,51.4,9.49,8.01,184.95,11657,las,emerald
30,Ambessa,9426,1.99,49.79,9.42,55.72,183.5,11726,las,emerald
31,Zed,8846,2.39,49.86,8.84,24.73,192.18,12587,las,emerald
