Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,53505,2.23,50.78,27.51,43.27,200.25,12807,las,gold
2,Jhin,46985,2.84,51.26,24.16,12.27,193.39,12951,las,gold
3,Jinx,46698,2.39,51.63,24.01,7.88,201.89,12529,las,gold
4,Lux,41089,2.62,51.65,21.13,13.49,103.41,10508,las,gold
5,Warwick,32255,2.35,53.95,16.59,22.69,171.25,12346,las,gold
6,Viktor,31153,2.28,51.46,16.02,14.61,193.5,12127,las,gold
7,Ashe,28696,2.39,49.67,14.76,7.58,180.25,11756,las,gold
8,Lee Sin,26740,2.61,48.26,13.75,12.16,167.04,12085,las,gold
9,Ezreal,26542,2.58,48.44,13.65,4.78,190.52,12236,las,gold
10,Viego,26318,2.44,50.94,13.53,11.48,186.42,12588,las,gold
11,Miss Fortune,25354,2.54,51.47,13.04,3.3,194.25,12951,las,gold
12,Tahm Kench,25105,2.57,52.07,12.91,14.63,96.44,10160,las,gold
13,Kayn,23451,2.35,51.78,12.06,7.92,187.97,12486,las,gold
14,Thresh,23438,2.69,49.35,12.05,4.06,37.37,8523,las,gold
15,Yasuo,23069,1.67,48.77,11.86,15.53,209.97,12386,las,gold
16,Ekko,22831,2.45,50.52,11.74,1.95,180.93,12605,las,gold
17,Swain,22204,2.33,50.25,11.42,8.96,110,10488,las,gold
18,Darius,22179,1.81,49.27,11.41,25.19,192.24,12300,las,gold
19,Mordekaiser,22130,2.02,52.72,11.38,22.1,183.36,12102,las,gold
20,Volibear,21837,2.01,51.29,11.23,8.41,180.97,11847,las,gold
21,Vayne,21518,2.19,52.16,11.07,8.88,185.75,12475,las,gold
22,Yone,21385,1.77,48.91,11,9.99,203.2,12096,las,gold
23,Kai'Sa,21378,2.46,48.79,10.99,3.65,206.72,13014,las,gold
24,Sylas,20982,2.09,47.53,10.79,10.15,146.44,11132,las,gold
25,Veigar,20872,2.33,52.16,10.73,5.9,194.35,12624,las,gold
26,Ahri,20561,2.68,51.52,10.57,7.75,187.54,11758,las,gold
27,Akali,19573,2.41,50.8,10.07,24.33,171.65,11975,las,gold
28,Lulu,19235,3.37,50.76,9.89,10.23,31.4,8257,las,gold
29,Diana,19009,2.14,51.58,9.78,5.02,198.03,12947,las,gold
30,Graves,18573,2.37,49.26,9.55,5.66,209.51,13553,las,gold
31,Teemo,17634,1.96,52.02,9.07,13.29,183.31,12150,las,gold
32,Shaco,17456,2.6,49.53,8.98,19.89,155.61,12158,las,gold
33,Sett,17349,1.72,50.68,8.92,4.09,179.48,12129,las,gold
34,Maokai,16923,2.56,52.25,8.7,2.64,117.59,9974,las,gold
35,Nocturne,16670,2.7,53.35,8.57,16.31,193.58,12639,las,gold
36,Morgana,16537,2.68,52.24,8.5,38.28,61.51,9623,las,gold
37,Pyke,16532,2.13,49.51,8.5,17.93,40.12,10037,las,gold
38,Malphite,16246,2.63,51.6,8.35,6.15,159.05,11194,las,gold
39,Malzahar,16102,2.33,52.48,8.28,16.83,223.97,12790,las,gold
40,Zed,16082,2.31,48.46,8.27,23.17,184.37,12621,las,gold
41,Ambessa,15900,2.01,49.29,8.18,43.89,179.78,11898,las,gold
42,Nami,15586,3.44,52.96,8.01,1.52,28,8318,las,gold
43,Nautilus,15452,2.38,48.21,7.95,11.55,40.27,8576,las,gold
44,Smolder,15040,2.24,47.68,7.73,4.44,212,12510,las,gold
45,Galio,14984,2.76,51.86,7.71,5.32,154.51,10722,las,gold
46,Vi,14561,2.41,51.21,7.49,2,176.74,11988,las,gold
47,Karma,14065,2.68,50.81,7.23,3.01,57.15,9098,las,gold
48,Pantheon,13698,2.06,49,7.04,2.39,109.24,11188,las,gold
49,Gragas,13543,2.36,48.76,6.96,2.89,167.78,11379,las,gold
50,Garen,13338,2.11,51.18,6.86,3.26,209.73,12927,las,gold
51,Brand,13175,2.03,51.54,6.78,8.8,90.32,10416,las,gold
52,Irelia,13131,1.72,49.93,6.75,7.35,226.01,13373,las,gold
53,Leona,12934,2.51,49.5,6.65,7.94,34.91,8471,las,gold
54,Fizz,12334,2.37,49.47,6.34,12.96,172.9,12695,las,gold
55,Seraphine,12139,2.83,50.09,6.24,2.16,59.72,9256,las,gold
56,Nasus,12049,2.05,51.02,6.2,7.54,189.18,12069,las,gold
57,Yorick,12016,1.8,52.52,6.18,10.27,215.35,12896,las,gold
58,Blitzcrank,11820,2.47,50.03,6.08,12.56,33.08,8348,las,gold
59,Amumu,11518,2.54,52.53,5.92,4.54,167.51,11465,las,gold
60,Hwei,11495,2.49,50.34,5.91,4.45,164.87,11404,las,gold
61,Cho'Gath,11380,2.22,52.17,5.85,1.77,177.32,11859,las,gold
62,Master Yi,11293,2.03,49.26,5.81,9.66,189.07,12849,las,gold
63,Katarina,11281,2.32,48.45,5.8,5,170.59,12454,las,gold
64,Senna,11215,2.82,49.89,5.77,1.62,49.42,9872,las,gold
65,Xerath,11075,2.88,52.11,5.7,2.71,109.31,10859,las,gold
66,Vel'Koz,11007,2.36,52.51,5.66,1.36,92.98,10518,las,gold
67,Jax,10941,1.78,47.65,5.63,3.46,184.01,12120,las,gold
68,Lucian,10858,2.33,48.48,5.58,1.33,200.92,12760,las,gold
69,Dr. Mundo,10742,2.17,53.23,5.52,4.13,190.35,11825,las,gold
70,Wukong,10714,2.69,51.89,5.51,1.33,181.36,12385,las,gold
71,Draven,10696,2.07,48.1,5.5,15.68,193.24,13709,las,gold
72,Zyra,10618,2.36,52.65,5.46,6.51,70.92,9779,las,gold
73,Kha'Zix,10547,2.42,48.7,5.42,3.86,182.97,12778,las,gold
74,Trundle,10539,1.68,52.51,5.42,3.03,200.49,12833,las,gold
75,LeBlanc,10383,2.75,49.13,5.34,11.2,160.43,11717,las,gold
76,Aatrox,10038,1.91,48.9,5.16,6.14,177.21,11605,las,gold
77,Sion,9736,1.8,50.78,5.01,0.69,193.86,12398,las,gold
78,Samira,9700,2.12,48.71,4.99,13.1,190.93,13205,las,gold
79,Tristana,9657,2.27,47.54,4.97,1.82,188.62,13127,las,gold
80,Jayce,9546,2.03,47.1,4.91,0.54,196.07,12437,las,gold
81,Vex,9295,2.49,52.02,4.78,6.3,179.77,11910,las,gold
82,Shen,9148,2.93,50.22,4.7,0.73,128.4,10206,las,gold
83,Ryze,9140,2.31,52.46,4.7,0.63,215.71,12611,las,gold
84,Poppy,9083,2.37,51.08,4.67,2.18,95.32,10133,las,gold
85,Renekton,9029,1.95,48.6,4.64,2.23,200.12,12280,las,gold
86,Varus,8647,2.3,48.77,4.45,0.72,192.87,12557,las,gold
87,Lillia,8593,2.7,50.87,4.42,5.08,190.56,12280,las,gold
88,Syndra,8588,2.42,49.39,4.42,2.24,194.91,12527,las,gold
89,Riven,8581,2.03,49.02,4.41,1.54,192.49,12374,las,gold
90,Gwen,8545,1.97,49.4,4.39,2.92,207.83,12875,las,gold
