Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jinx,1120,2.5,52.59,30.83,11.05,214.14,11936,las,grandmaster
2,Viego,696,2.77,52.01,19.16,23.34,178.05,11646,las,grandmaster
3,Ezreal,684,2.79,53.95,18.83,15.21,204.18,11549,las,grandmaster
4,Caitlyn,681,2.3,50.37,18.74,28.29,207.2,11913,las,grandmaster
5,Lee Sin,666,2.93,50.15,18.33,16.09,165.01,11354,las,grandmaster
6,Sylas,661,2.43,53.1,18.19,14.28,155.73,10528,las,grandmaster
7,Lulu,603,3.68,49.09,16.6,21.38,26.83,7378,las,grandmaster
8,Jhin,591,3,48.22,16.27,3.52,202.23,12049,las,grandmaster
9,Nami,538,3.57,48.7,14.81,0.82,24.72,7529,las,grandmaster
10,Ashe,531,2.68,53.3,14.62,12.61,193.05,11264,las,grandmaster
11,Thresh,526,3,51.71,14.48,4.46,32.29,7728,las,grandmaster
12,Hwei,519,2.75,53.56,14.29,8.41,187.72,11006,las,grandmaster
13,Ahri,501,2.85,48.3,13.79,5.02,193.74,11190,las,grandmaster
14,Gragas,481,2.51,49.69,13.24,15.2,174.92,10663,las,grandmaster
15,Viktor,480,2.37,50.42,13.28,14.14,205.99,11500,las,grandmaster
16,Smolder,474,2.57,48.95,13.05,5.41,219.85,11847,las,grandmaster
17,Graves,471,2.73,50.53,12.96,14.29,199.01,12410,las,grandmaster
18,Kai'Sa,464,2.63,46.55,12.83,1.84,211.35,12009,las,grandmaster
19,Karma,461,2.83,50.76,12.69,4.68,47.05,8186,las,grandmaster
20,Corki,457,2.68,53.61,12.58,12.49,211.68,11999,las,grandmaster
21,Yone,443,1.77,49.89,12.19,8.29,211.05,11467,las,grandmaster
22,Lux,427,3.03,51.76,11.75,0.84,127.62,10337,las,grandmaster
23,Milio,400,4.48,50,11.01,5.65,27.35,7230,las,grandmaster
24,Janna,400,3.7,50.25,11.01,1.52,27.05,7602,las,grandmaster
25,Ekko,396,2.75,51.77,10.9,1.46,188.75,12041,las,grandmaster
26,Zed,396,2.57,52.02,10.9,29.71,190.73,11847,las,grandmaster
27,Diana,376,2.31,50,10.35,1.75,192.19,11502,las,grandmaster
28,Yasuo,369,2.06,52.57,10.16,32.98,213.95,11795,las,grandmaster
29,Aphelios,363,2.07,44.63,10.04,1.11,197.37,11377,las,grandmaster
30,Tahm Kench,360,2.41,49.72,9.91,4.46,58.11,8384,las,grandmaster
31,Talon,355,2.47,52.39,9.77,14.9,202.39,12269,las,grandmaster
32,Renekton,354,2.34,51.41,9.74,10.62,202.63,11515,las,grandmaster
33,Jayce,351,2.18,54.99,9.66,3.37,205.07,11903,las,grandmaster
34,Wukong,349,2.81,48.71,9.61,5.11,171.91,11298,las,grandmaster
35,Ambessa,347,2.17,47.84,9.55,58.93,185.39,11185,las,grandmaster
36,Ryze,340,2.19,50,9.36,1.42,221.25,11774,las,grandmaster
37,Kayn,335,2.64,52.84,9.22,8.27,184.27,11873,las,grandmaster
38,Galio,327,3.14,54.74,9,4.84,139,9420,las,grandmaster
39,Braum,319,3.28,49.22,8.78,3.59,26.6,7477,las,grandmaster
40,Akali,318,2.86,55.03,8.75,12.98,183.34,11459,las,grandmaster
41,Darius,316,2.01,54.11,8.7,21.8,195.09,11928,las,grandmaster
42,Katarina,302,2.56,51.66,8.31,9.45,175.44,12013,las,grandmaster
43,Syndra,300,2.59,51,8.26,4.12,206.22,11722,las,grandmaster
44,Pyke,296,2.27,50,8.15,42.32,33.58,9101,las,grandmaster
45,Seraphine,285,3.42,54.04,7.84,0.8,70.45,8527,las,grandmaster
46,Irelia,279,1.64,50.9,7.68,13.42,221.75,12521,las,grandmaster
47,Poppy,278,2.44,52.88,7.65,6.43,114.67,9660,las,grandmaster
48,Sona,277,3.2,51.26,7.66,0.11,32.5,8151,las,grandmaster
49,Nautilus,274,2.43,45.62,7.54,11.18,30.42,7446,las,grandmaster
50,Rakan,271,3.46,48.34,7.46,0.98,27.5,7398,las,grandmaster
51,Soraka,268,3.69,54.48,7.38,3.29,25.86,7299,las,grandmaster
52,Sivir,263,2.97,52.09,7.27,0.36,236.54,12715,las,grandmaster
53,Aurora,262,2.78,50.38,7.21,14.15,187.45,10948,las,grandmaster
54,Riven,251,2.07,49,6.91,3.74,195.09,11644,las,grandmaster
55,Maokai,245,2.65,55.92,6.78,1.04,105.3,8818,las,grandmaster
56,Jarvan IV,243,3.6,51.44,6.69,4.7,156.7,10806,las,grandmaster
57,Senna,242,3.17,49.59,6.66,1.54,38.33,8719,las,grandmaster
58,Ornn,239,3.2,53.56,6.61,0.47,179.61,10281,las,grandmaster
59,LeBlanc,238,3.08,48.74,6.55,17.88,154.94,10391,las,grandmaster
60,K'Sante,238,2.42,55.46,6.55,11.61,182.28,10517,las,grandmaster
61,Kha'Zix,230,2.78,47.83,6.33,8.37,176.67,11599,las,grandmaster
62,Singed,227,2.57,55.51,6.44,0.64,181.31,10713,las,grandmaster
63,Volibear,220,2.06,53.18,6.06,2.58,185.35,11172,las,grandmaster
64,Skarner,218,3.73,54.59,6,17.67,161.29,10868,las,grandmaster
65,Gwen,212,2.14,55.66,5.84,4.3,198.89,11854,las,grandmaster
66,Varus,211,2.32,46.92,5.81,0.76,202.22,11575,las,grandmaster
67,Karthus,209,2.45,53.59,5.75,4.81,208.62,12842,las,grandmaster
68,Lucian,208,2.22,43.75,5.73,0.98,207.91,11807,las,grandmaster
69,Lillia,203,3.17,48.28,5.59,2.11,196.8,11665,las,grandmaster
70,Warwick,201,2.71,50.25,5.72,5.59,163.61,11207,las,grandmaster
71,Zoe,200,2.87,48.5,5.51,3.09,174.18,11030,las,grandmaster
72,Taliyah,195,2.71,54.36,5.39,1.04,198.48,11698,las,grandmaster
73,Blitzcrank,189,2.64,50.79,5.2,12.35,28.5,7604,las,grandmaster
74,Aatrox,189,2.16,52.38,5.2,7.5,187.25,11032,las,grandmaster
75,Rek'Sai,188,3.7,56.91,5.2,1.53,181.47,12272,las,grandmaster
76,Jax,183,2,49.73,5.04,6.99,185.09,11214,las,grandmaster
77,Elise,180,2.74,52.78,4.95,4.17,151.36,11398,las,grandmaster
78,Xayah,174,2.32,50.57,4.81,0.29,217.57,11898,las,grandmaster
79,Bard,173,3.69,50.29,4.76,0.5,29.8,7842,las,grandmaster
80,Rengar,173,2.66,50.29,4.76,40.5,184.35,11951,las,grandmaster
81,Hecarim,172,3.02,52.91,4.73,3.01,211.17,12084,las,grandmaster
82,Draven,169,2.02,46.75,4.65,23.6,192.17,12668,las,grandmaster
83,Sion,158,1.55,48.1,4.65,0.15,208.97,11762,las,grandmaster
84,Nocturne,156,3.07,50.64,4.29,3.08,186.38,11500,las,grandmaster
85,Naafiri,151,2.35,47.68,4.18,0.7,193.07,11689,las,grandmaster
86,Gnar,151,1.9,50.99,4.18,1.91,198.79,11539,las,grandmaster
87,Rell,149,2.75,42.95,4.12,2.07,34.54,7475,las,grandmaster
88,Xerath,149,3.85,57.05,4.24,0.5,156,11030,las,grandmaster
89,Orianna,147,2.71,48.98,4.05,1.02,200.24,11077,las,grandmaster
90,Malphite,143,2.68,48.95,3.94,9.63,172.61,10172,las,grandmaster
91,Zac,141,3.15,46.81,3.88,1.42,157.48,10300,las,grandmaster
92,Fiddlesticks,140,2.6,45.71,3.85,2.8,99.42,9558,las,grandmaster
93,Vex,139,2.5,52.52,3.83,5.45,181.09,11151,las,grandmaster
94,Camille,137,2.01,52.55,3.77,1.79,168.82,11095,las,grandmaster
95,Vi,133,2.38,44.36,3.66,1.71,171.39,11082,las,grandmaster
96,Ivern,132,2.76,49.24,3.65,1.03,169.9,10297,las,grandmaster
97,Lissandra,132,2.58,49.24,3.65,1.32,185.64,10514,las,grandmaster
98,Vayne,132,2.12,53.03,3.63,2.35,188.73,11200,las,grandmaster
99,Pantheon,130,2.42,53.08,3.58,1.19,115.4,10435,las,grandmaster
100,Leona,129,2.42,46.51,3.55,1.79,28.32,7384,las,grandmaster
101,Kassadin,127,3.17,55.91,3.5,6.99,184.57,11703,las,grandmaster
102,Tryndamere,125,1.79,50.4,3.46,2.23,213.54,12045,las,grandmaster
103,Kennen,124,2.45,54.84,3.41,2.12,186.81,10861,las,grandmaster
104,Vladimir,122,2.23,45.9,3.36,3.04,192.79,10850,las,grandmaster
105,Veigar,122,2.62,55.74,3.61,0.53,202.1,11763,las,grandmaster
106,Miss Fortune,121,2.68,47.93,3.35,0.19,200.18,11965,las,grandmaster
107,Alistar,121,2.54,49.59,3.33,1.43,24.74,7138,las,grandmaster
108,Sett,120,1.58,47.5,3.41,0.39,178.86,10868,las,grandmaster
109,Udyr,120,2.21,50.83,3.3,1.57,182.76,10713,las,grandmaster
110,Swain,119,2.35,42.86,3.28,1.14,132.91,9486,las,grandmaster
111,Dr. Mundo,113,2.34,49.56,3.11,1.33,199.13,11060,las,grandmaster
112,Renata Glasc,109,3.28,52.29,3.01,0.41,31.52,7651,las,grandmaster
113,Teemo,106,1.97,52.83,2.92,1.79,183.37,11265,las,grandmaster
114,Neeko,106,2.28,55.66,2.93,0.72,43.9,8545,las,grandmaster
115,Azir,104,2.17,55.77,2.86,0.33,197.23,11286,las,grandmaster
