Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,34536,2.45,48.95,34.69,32.77,88.4,10122,las,iron
2,Miss Fortune,29771,2.37,49.64,29.9,13.5,158.48,12032,las,iron
3,Caitlyn,27659,2.09,48.21,27.78,39.49,165.21,11873,las,iron
4,Warwick,23742,2.1,51.88,23.85,34.23,153.89,11952,las,iron
5,Jinx,23524,2.15,47.9,23.63,10.86,161.88,11465,las,iron
6,Jhin,17772,2.6,48.62,17.85,17.38,157.06,11989,las,iron
7,Ashe,17609,2.15,46.96,17.69,9.79,146.14,11056,las,iron
8,Mordekaiser,16926,1.95,49.99,17,24.98,153.4,11448,las,iron
9,Teemo,16232,1.93,49.7,16.3,30.71,160.6,11622,las,iron
10,Morgana,15750,2.49,49.75,15.82,32.44,65.39,9705,las,iron
11,Veigar,15397,2.23,50.22,15.46,13.76,158.79,11787,las,iron
12,Yone,14633,1.74,46.35,14.7,11.16,169.81,11337,las,iron
13,Seraphine,14211,2.6,48.63,14.27,6.8,58.57,9247,las,iron
14,Sett,14072,1.66,49.02,14.13,7.34,150.93,11287,las,iron
15,Volibear,13840,1.9,47.09,13.9,6.51,154.59,11116,las,iron
16,Yasuo,13388,1.63,47.38,13.45,18.03,175.78,11660,las,iron
17,Akali,12604,2.27,47.89,12.66,25.17,139.89,11239,las,iron
18,Ekko,11765,2.19,47.89,11.82,3.06,153.74,11814,las,iron
19,Sylas,11723,1.93,45.57,11.77,10.49,122.27,10630,las,iron
20,Kayn,11637,2.08,49,11.69,7.75,169.93,12052,las,iron
21,Darius,11533,1.72,45.23,11.58,17.84,158.72,11360,las,iron
22,Viego,11409,2.11,48.39,11.46,7.63,166.88,12042,las,iron
23,Ahri,11384,2.36,48.2,11.43,7.25,154.37,10786,las,iron
24,Master Yi,10904,1.8,47.73,10.95,18.95,168.7,12270,las,iron
25,Diana,10642,1.98,48.17,10.69,5.15,174.14,12385,las,iron
26,Malphite,10241,2.36,48.04,10.29,3.37,125.73,10601,las,iron
27,Tristana,10213,2.03,45.53,10.26,6.73,149.85,11845,las,iron
28,Pantheon,10190,1.98,47.55,10.23,3.15,88.29,10654,las,iron
29,Swain,10148,2.29,49.04,10.19,9.12,90.41,10122,las,iron
30,Tahm Kench,10076,2.41,48.49,10.12,10.31,85.07,9981,las,iron
31,Brand,9914,2.02,50.3,9.96,13.04,89.64,10501,las,iron
32,Nautilus,9301,2.22,45.93,9.34,8.32,40.74,8623,las,iron
33,Blitzcrank,9096,2.22,45.98,9.14,19.26,31.8,8376,las,iron
34,Garen,9088,1.99,47.68,9.13,3.22,174.32,11897,las,iron
35,Kai'Sa,9086,2.26,46.94,9.13,3.12,172.6,12023,las,iron
36,Nocturne,8999,2.29,47.96,9.04,12.42,177.89,12296,las,iron
37,Shaco,8944,2.3,45.91,8.98,29.56,144.39,11477,las,iron
38,Pyke,8876,1.94,46.1,8.91,25.08,39.88,9797,las,iron
39,Lee Sin,8628,2.17,43.87,8.67,7.53,149.33,11473,las,iron
