Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jinx,2445,2.45,51.41,27.28,9.78,206.22,11686,las,master
2,Caitlyn,1776,2.33,51.3,19.81,33.27,205.97,12082,las,master
3,Ezreal,1730,2.7,51.33,19.3,11.72,200.71,11573,las,master
4,Jhin,1686,3.1,51.3,18.81,3.98,201.5,12323,las,master
5,Viego,1616,2.64,50.5,18.03,21.27,178.56,11628,las,master
6,Viktor,1593,2.29,50.47,17.77,16.37,199.09,11274,las,master
7,Lee Sin,1579,2.95,51.68,17.62,14.28,162.43,11239,las,master
8,Lulu,1555,3.63,52.22,17.35,22.86,28.45,7568,las,master
9,Ashe,1510,2.61,54.24,16.85,11.42,189.24,11097,las,master
10,Sylas,1367,2.2,50.04,15.25,14.65,152.57,10511,las,master
11,Nami,1367,3.74,53.26,15.25,1.14,25.51,7584,las,master
12,Gragas,1282,2.47,53.59,14.3,14.4,180.66,11114,las,master
13,Smolder,1214,2.35,47.61,13.54,4.66,216.57,11824,las,master
14,Karma,1186,2.8,52.53,13.23,4.07,42.53,8108,las,master
15,Thresh,1119,2.84,54.96,12.48,5.88,30.84,7648,las,master
16,Yasuo,1117,1.85,52.01,12.46,29.34,211.09,11745,las,master
17,Ahri,1095,2.89,53.79,12.22,6.26,190.96,11054,las,master
18,Yone,1076,1.71,49.81,12,9.7,211.54,11627,las,master
19,Kai'Sa,1068,2.57,48.31,11.91,2.16,208.15,12056,las,master
20,Wukong,982,2.79,51.83,10.96,6.49,172.05,11222,las,master
21,Corki,968,2.63,48.35,10.8,13.37,210.59,11991,las,master
22,Milio,948,4.11,52,10.58,5.47,26.72,7147,las,master
23,Hwei,941,2.71,53.03,10.5,7.38,192.76,11266,las,master
24,Lux,925,2.89,51.68,10.32,0.94,120.15,9965,las,master
25,Graves,911,2.6,48.41,10.16,15.46,207.14,12869,las,master
26,Zed,904,2.58,52.88,10.09,24.31,197.6,12440,las,master
27,Kayn,901,2.65,53.39,10.05,7.59,185.17,11772,las,master
28,Galio,872,2.98,53.9,9.73,5.17,154.01,9939,las,master
29,Janna,844,3.54,52.84,9.42,1.92,26.61,7544,las,master
30,Irelia,837,1.65,54,9.34,10.6,222.52,12542,las,master
31,Nautilus,781,2.38,49.68,8.71,11.21,30.29,7598,las,master
32,Ambessa,778,1.93,48.33,8.68,56.89,183.62,11117,las,master
33,Diana,758,2.26,53.17,8.46,2.37,194.16,12003,las,master
