Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,38831,2.23,50.75,26.37,44.04,205.17,12824,las,platinum
2,Jhin,35544,2.83,51.07,24.14,10.59,196.82,12910,las,platinum
3,Jinx,35240,2.37,51.64,23.93,7.62,206.59,12490,las,platinum
4,Lux,26184,2.64,51.12,17.78,8.68,106.4,10476,las,platinum
5,Viktor,25951,2.27,51.54,17.62,17.24,198.17,12062,las,platinum
6,Ashe,22213,2.41,50.29,15.09,7.8,184.42,11768,las,platinum
7,Warwick,21402,2.33,53.68,14.53,19.91,171.52,12233,las,platinum
8,Ezreal,20955,2.59,48.64,14.23,5.09,195.85,12233,las,platinum
9,Viego,20910,2.5,50.57,14.2,13.36,186.85,12479,las,platinum
10,Lee Sin,20508,2.68,49.19,13.93,12.42,167.4,11984,las,platinum
11,Thresh,19713,2.77,50.54,13.39,5.45,36.02,8433,las,platinum
12,Tahm Kench,18088,2.52,52.36,12.28,14.77,92.5,9975,las,platinum
13,Lulu,18042,3.48,51.79,12.25,15.67,31.17,8176,las,platinum
14,Ekko,18018,2.5,50.47,12.24,1.9,184.18,12561,las,platinum
15,Kayn,17875,2.39,51.57,12.14,7.77,189.54,12477,las,platinum
16,Kai'Sa,16794,2.48,48.45,11.41,3.99,209.16,12902,las,platinum
17,Sylas,16642,2.12,48.38,11.3,11.13,150.82,11181,las,platinum
18,Ahri,16400,2.72,51.59,11.14,8,192.25,11776,las,platinum
19,Vayne,16273,2.19,52.09,11.05,8.52,189.8,12410,las,platinum
20,Swain,16159,2.33,49.98,10.97,7.85,115.66,10416,las,platinum
21,Yasuo,16034,1.68,48.88,10.89,16.45,213.38,12337,las,platinum
22,Graves,15760,2.42,48.98,10.7,7.61,208.35,13414,las,platinum
23,Nami,15165,3.45,52.8,10.3,1.74,27.85,8213,las,platinum
24,Yone,15103,1.74,48.65,10.26,10.48,208.33,12094,las,platinum
25,Volibear,15023,1.98,51.09,10.2,8.75,183.89,11802,las,platinum
26,Diana,14553,2.14,50.96,9.88,4.95,201.67,12918,las,platinum
