Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,64558,2.25,50.85,28.94,42.25,195.15,12826,las,silver
2,Lux,54970,2.62,51.79,24.64,18.9,98.52,10524,las,silver
3,Jhin,54557,2.83,51.02,24.46,14.59,187.39,12947,las,silver
4,Jinx,52190,2.38,51.03,23.4,8.54,195.86,12483,las,silver
5,Warwick,41762,2.33,53.97,18.72,25.49,169.65,12448,las,silver
6,Miss Fortune,38119,2.55,52.02,17.09,5.78,188.81,12981,las,silver
7,Ashe,33695,2.38,49.87,15.1,7.54,173.42,11741,las,silver
8,Viktor,30342,2.24,50.51,13.6,11.56,186.83,12040,las,silver
9,Viego,29279,2.42,50.66,13.12,10.13,185.13,12659,las,silver
10,Mordekaiser,28857,2.08,53.46,12.94,24.53,178.76,12136,las,silver
11,Tahm Kench,28834,2.57,52.29,12.93,13.71,95.57,10285,las,silver
12,Veigar,28807,2.36,52.62,12.91,8.24,188.11,12654,las,silver
13,Yasuo,28670,1.68,48.64,12.85,16.08,204.47,12395,las,silver
14,Ezreal,28361,2.55,47.94,12.71,4.49,183.84,12155,las,silver
15,Lee Sin,27915,2.54,47.39,12.51,11.38,164.84,12119,las,silver
16,Kayn,27572,2.33,51.64,12.36,8.02,186.79,12593,las,silver
17,Swain,27324,2.36,51.04,12.25,9.7,102.89,10494,las,silver
18,Ekko,27317,2.41,49.98,12.25,2.31,176.47,12569,las,silver
19,Yone,26830,1.79,48.35,12.03,9.79,199.46,12179,las,silver
20,Darius,26439,1.82,48.76,11.85,24.61,186.56,12283,las,silver
21,Volibear,25468,2.03,51.66,11.42,7.5,177.79,11869,las,silver
22,Vayne,24899,2.16,51.86,11.16,8.99,180.19,12497,las,silver
23,Teemo,24242,1.98,52.3,10.87,17.99,179.89,12191,las,silver
24,Akali,23608,2.44,50.76,10.58,25.98,166.16,12006,las,silver
25,Sylas,23463,2.09,48.3,10.52,9.94,142.26,11167,las,silver
26,Thresh,23385,2.66,49.08,10.48,2.97,38.92,8637,las,silver
27,Ahri,23273,2.63,50.69,10.43,7.15,181.94,11712,las,silver
28,Morgana,23032,2.71,52.92,10.32,39.7,64.01,9811,las,silver
29,Sett,22631,1.76,51.31,10.14,5.05,175.11,12182,las,silver
30,Diana,22591,2.15,51.58,10.13,5.04,196.27,13028,las,silver
31,Kai'Sa,22453,2.41,47.82,10.07,3.32,200.71,12936,las,silver
32,Nocturne,21328,2.7,53.35,9.56,15.47,193.28,12758,las,silver
33,Shaco,20396,2.56,49.7,9.14,24.08,155.22,12163,las,silver
34,Malzahar,19899,2.37,53.35,8.92,18.34,221.74,12968,las,silver
35,Malphite,19626,2.62,50.55,8.8,5.18,151.27,11182,las,silver
36,Nautilus,19406,2.36,47.29,8.7,11.03,41.36,8704,las,silver
37,Galio,18372,2.8,52.24,8.24,5.04,146.53,10719,las,silver
38,Graves,18222,2.33,48.41,8.17,3.99,204.77,13445,las,silver
39,Pantheon,18025,2.11,49.47,8.08,2.87,104.85,11178,las,silver
40,Brand,18005,2.03,51.66,8.07,11.65,90.08,10560,las,silver
41,Pyke,17899,2.1,48.54,8.02,17.71,41.15,10175,las,silver
42,Maokai,17643,2.59,51.39,7.91,1.9,110.59,9962,las,silver
43,Zed,17272,2.29,46.95,7.74,21.96,179.64,12608,las,silver
44,Fizz,16842,2.42,49.91,7.55,14.72,169.36,12790,las,silver
45,Yorick,16809,1.88,54.14,7.54,12.36,210.9,12920,las,silver
46,Vi,16666,2.36,49.97,7.47,1.96,174.6,11999,las,silver
47,Leona,16231,2.51,49.75,7.28,8.24,36.07,8634,las,silver
