Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Viego,"58,150",2.77:1,50.18%,22.38%,15.76%,170.67,"11,308"
2,Ashe,"51,612",2.52:1,51.72%,19.87%,22.8%,186.15,"10,816"
3,Jinx,"47,704",2.42:1,50.87%,18.36%,2.41%,202.72,"11,550"
4,Jhin,"46,506",2.97:1,49.6%,17.9%,1.97%,192.39,"11,704"
5,Caitlyn,"46,068",2.2:1,48.74%,17.73%,22.67%,201.51,"11,786"
6,Corki,"45,686",2.6:1,52.31%,17.59%,22.22%,204.42,"11,738"
7,Ezreal,"45,549",2.55:1,49.58%,17.53%,5.41%,194.77,"11,262"
8,Graves,"43,265",2.7:1,50.66%,16.65%,27.99%,192.99,"12,346"
9,Lee Sin,"43,136",2.97:1,50.14%,16.6%,9.96%,155.87,"10,868"
10,Sylas,"41,642",2.2:1,50.21%,16.03%,15.06%,151.58,"10,240"
11,Viktor,"40,784",2.23:1,50.94%,15.7%,24.49%,197.92,"11,098"
12,Lulu,"40,315",3.43:1,51.08%,15.52%,11.53%,26.82,"7,443"
13,Yone,"35,243",1.74:1,48.04%,13.57%,8.86%,202.81,"11,071"
14,Karma,"32,027",2.83:1,50.82%,12.33%,3.76%,41.02,"7,876"
15,Nautilus,"30,450",2.38:1,49.8%,11.72%,9.91%,28.1,"7,381"
16,Ambessa,"29,803",1.97:1,50.73%,11.47%,51.2%,178.18,"10,750"
17,Thresh,"29,385",2.83:1,51.13%,11.31%,4.12%,27.67,"7,397"
18,Kai'Sa,"28,480",2.51:1,49.53%,10.96%,1.23%,201.94,"11,914"
19,K'Sante,"28,321",2.21:1,49.85%,10.9%,11.83%,177.12,"10,149"
20,Nami,"27,901",3.46:1,50.67%,10.74%,0.54%,23.49,"7,609"
21,Aurora,"27,481",2.62:1,50.57%,10.58%,23.76%,184.11,"10,826"
22,Ahri,"27,468",2.85:1,50.8%,10.57%,3.1%,189.39,"10,857"
23,Gragas,"27,289",2.39:1,51.57%,10.5%,4.16%,166.87,"10,382"
24,Smolder,"26,611",2.15:1,46.92%,10.24%,3.08%,210.11,"11,493"
25,Varus,"26,080",2.34:1,50.39%,10.04%,1.4%,190.72,"11,241"
26,Hwei,"25,070",2.58:1,50.81%,9.65%,7.65%,187.62,"10,868"
27,Yasuo,"24,904",1.78:1,50.23%,9.59%,17.71%,203.02,"11,319"
28,Maokai,"24,831",2.38:1,50.74%,9.56%,2.82%,106.62,"8,450"
29,Akali,"24,592",2.44:1,49.72%,9.47%,10.02%,176.7,"11,001"
30,Pyke,"23,334",2.33:1,51.47%,8.98%,49.59%,32.34,"8,873"
31,Irelia,"22,792",1.6:1,52.37%,8.77%,10.43%,215.91,"12,124"
32,Galio,"22,177",2.85:1,51.51%,8.54%,5.61%,156.03,"9,698"
33,Braum,"21,874",3:1,51.18%,8.42%,8.15%,24.12,"7,170"
34,Aatrox,"21,330",1.92:1,50.63%,8.21%,6.7%,176.15,"10,556"
35,Jayce,"21,189",1.87:1,49.59%,8.16%,3.19%,197.8,"11,406"
36,Janna,"21,009",3.55:1,52.45%,8.09%,3.57%,24.65,"7,617"
37,Renekton,"20,617",1.92:1,50.53%,7.94%,9.86%,193.64,"11,020"
38,Rakan,"20,468",3.19:1,50.36%,7.88%,1.24%,27.26,"7,272"
39,Lux,"19,946",2.71:1,49.95%,7.68%,1.6%,118.09,"9,832"
40,Wukong,"19,896",2.74:1,50.11%,7.66%,3.28%,165.64,"11,042"
41,Rell,"19,649",3.04:1,51.26%,7.56%,4.47%,25.08,"7,516"
42,Syndra,"19,374",2.34:1,50.73%,7.46%,5.69%,199.67,"11,573"
43,Ekko,"19,224",2.73:1,51.23%,7.4%,1.09%,181.2,"11,691"
44,Poppy,"19,168",2.33:1,52.84%,7.38%,14.12%,76.3,"8,653"
45,Elise,"18,834",2.7:1,51.53%,7.25%,11.71%,137.02,"10,822"
