Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"24,211",2.08:1,50.58%,28.33%,35.57%,183.45,"12,941"
2,Jhin,"23,139",2.57:1,50.34%,27.08%,10.01%,175.61,"13,023"
3,Yasuo,"20,372",1.62:1,49.29%,23.84%,26.37%,193.88,"12,352"
4,Lux,"20,013",2.56:1,51.13%,23.42%,25.18%,96.42,"10,747"
5,Jinx,"16,390",2.15:1,50.26%,19.18%,4.4%,184.53,"12,479"
6,Warwick,"15,752",2.24:1,52.91%,18.43%,27.16%,160.22,"12,576"
7,Miss Fortune,"14,416",2.29:1,50.26%,16.87%,4.7%,169.35,"12,801"
8,Volibear,"13,334",1.86:1,51.1%,15.6%,13.09%,171.8,"11,898"
9,Yone,"13,202",1.7:1,48.45%,15.45%,8.2%,188.8,"12,108"
10,Zed,"12,704",2.21:1,48.63%,14.87%,28.1%,174.1,"12,757"
11,Kayn,"12,078",2.23:1,50.46%,14.13%,9.83%,179.7,"12,665"
12,Viego,"11,559",2.35:1,50.49%,13.53%,8.68%,173,"12,769"
13,Teemo,"11,225",1.95:1,52.41%,13.14%,24.62%,160.13,"12,028"
14,Tahm Kench,"11,206",2.47:1,52.13%,13.11%,18.02%,83.71,"10,370"
15,Ashe,"10,661",2.18:1,48.83%,12.48%,4.02%,162.12,"11,745"
16,Darius,"10,446",1.79:1,48.45%,12.22%,19.13%,177.68,"12,200"
17,Swain,"10,071",2.33:1,49.97%,11.79%,8.07%,100.19,"10,653"
18,Shaco,"9,992",2.45:1,48.91%,11.69%,22.93%,137.65,"11,890"
19,Pantheon,"9,955",2.08:1,50.5%,11.65%,5.18%,98.53,"11,392"
20,Viktor,"9,739",2.19:1,51.84%,11.4%,10.03%,182.82,"12,165"
21,Master Yi,"9,538",1.96:1,49.62%,11.16%,20.07%,173.98,"12,961"
22,Sylas,"9,406",1.99:1,48.93%,11.01%,8.67%,132.03,"11,181"
23,Mordekaiser,"9,194",1.88:1,51.9%,10.76%,16%,166.76,"12,009"
24,Kai'Sa,"9,020",2.22:1,49.02%,10.56%,2.41%,189.09,"12,904"
25,Ekko,"8,993",2.37:1,49.22%,10.52%,1.88%,171.74,"12,678"
26,Sett,"8,787",1.67:1,51.51%,10.28%,4.02%,164.59,"12,107"
27,Akali,"8,653",2.19:1,49.09%,10.13%,11.53%,154.17,"11,815"
28,Thresh,"8,537",2.66:1,48.96%,9.99%,4.26%,33.83,"8,714"
