Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,5358,2.1,50.39,29.36,33.55,177.3,12971,me,bronze
2,Lux,5049,2.62,52.31,27.67,35.93,96.48,11007,me,bronze
3,Jhin,4990,2.58,51,27.34,12.79,168.36,13143,me,bronze
4,Yasuo,4813,1.65,49.26,26.37,26.31,189.36,12452,me,bronze
5,Miss Fortune,4033,2.4,51.28,22.1,7.18,167.51,12933,me,bronze
6,Warwick,3882,2.31,53.61,21.27,32.47,158.65,12814,me,bronze
7,Jinx,3479,2.14,49.93,19.06,4.58,177.25,12586,me,bronze
8,Yone,3295,1.76,48.53,18.05,7.83,185.39,12243,me,bronze
9,Teemo,3019,1.99,53.53,16.54,32.7,159.55,12217,me,bronze
10,Volibear,2973,1.94,51.46,16.29,9.49,169.3,12103,me,bronze
11,Viego,2854,2.29,49.96,15.64,8.93,169.83,12924,me,bronze
12,Tahm Kench,2756,2.5,53.12,15.1,19,81.45,10578,me,bronze
13,Kayn,2633,2.18,50.55,14.43,8.98,174.68,12551,me,bronze
14,Master Yi,2535,1.97,51.08,13.89,26.13,174.56,13295,me,bronze
15,Zed,2529,2.17,47.09,13.86,27.64,165.67,12765,me,bronze
16,Ashe,2503,2.24,49.22,13.71,4.99,156.75,11861,me,bronze
17,Swain,2381,2.38,50.19,13.05,9.77,89.12,10588,me,bronze
18,Pantheon,2328,2.13,49.87,12.76,5.23,97.48,11519,me,bronze
19,Mordekaiser,2301,1.93,51.85,12.61,19.11,163.45,12138,me,bronze
20,Sett,2299,1.75,53.15,12.6,4.68,162.25,12181,me,bronze
21,Darius,2236,1.84,48.66,12.25,19.03,171.04,12097,me,bronze
22,Morgana,2199,2.68,52.3,12.05,36.6,63.43,10248,me,bronze
23,Brand,2168,2.12,53.41,11.88,17.06,89.31,10972,me,bronze
24,Shaco,2055,2.39,46.37,11.26,26.01,134.82,11777,me,bronze
25,Kai'Sa,1940,2.24,47.99,10.63,2.71,183.19,12884,me,bronze
26,Veigar,1916,2.29,51.41,10.5,6.86,167.05,12663,me,bronze
27,Akali,1896,2.17,48.68,10.39,12.78,144.54,11756,me,bronze
28,Samira,1894,2.05,49.16,10.38,21.78,171.08,13576,me,bronze
29,Sylas,1872,1.99,47.76,10.26,8.08,124.36,11280,me,bronze
30,Viktor,1857,2.21,51.27,10.19,7.61,169.67,11945,me,bronze
31,Garen,1818,2.13,49.89,9.96,5.09,192.78,13045,me,bronze
32,Malphite,1765,2.48,52.69,9.67,5.26,135.18,11176,me,bronze
33,Malzahar,1729,2.25,54.08,9.47,20.11,207.66,13032,me,bronze
34,Ekko,1692,2.35,48.23,9.28,1.43,166.91,12819,me,bronze
35,Irelia,1632,1.73,49.94,8.94,6.43,211.98,13528,me,bronze
36,Diana,1622,2.07,50.06,8.89,3.82,181.51,13056,me,bronze
37,Tristana,1576,2.09,47.78,8.64,3.38,165.04,13136,me,bronze
38,Tryndamere,1566,1.76,48.98,8.58,5.41,197.76,12972,me,bronze
39,Ezreal,1557,2.33,45.86,8.53,2.8,161.77,11966,me,bronze
40,Nasus,1535,2.05,49.71,8.41,6.54,172.39,12133,me,bronze
41,Pyke,1511,2.04,46.92,8.28,16.59,38.44,10386,me,bronze
42,Briar,1476,2.13,53.32,8.09,10.47,163.57,13137,me,bronze
43,Thresh,1411,2.58,46.42,7.73,3.11,38.4,9117,me,bronze
44,Vayne,1375,1.98,50.84,7.53,5.63,159.77,12468,me,bronze
45,Ambessa,1356,1.83,46.24,7.43,20.45,165.85,11927,me,bronze
46,Nocturne,1337,2.49,52.06,7.33,9.56,181.89,13007,me,bronze
47,Dr. Mundo,1315,2.09,53.76,7.21,6.22,172.31,11760,me,bronze
48,Katarina,1308,2.09,47.09,7.17,6.22,150.41,12362,me,bronze
49,Jax,1307,1.8,50.34,7.16,3.18,167.79,12337,me,bronze
50,Nautilus,1295,2.32,44.56,7.1,7.36,38.41,8908,me,bronze
51,Ahri,1276,2.37,50.78,6.99,4.17,165.51,11662,me,bronze
52,Leona,1266,2.56,50.16,6.94,11.42,32.72,8907,me,bronze
53,Yorick,1170,1.82,49.49,6.41,8.2,200.08,12923,me,bronze
54,Aatrox,1161,1.97,49.78,6.36,6.07,164.3,11856,me,bronze
55,Galio,1156,2.62,51.56,6.33,2.82,130.99,11091,me,bronze
56,Draven,1152,1.93,45.49,6.31,24.35,171.9,13865,me,bronze
57,Senna,1085,2.57,45.44,5.95,1.54,55.76,10403,me,bronze
58,Xerath,1081,2.73,47.09,5.92,4.78,105.95,11233,me,bronze
59,Trundle,1076,1.72,53.9,5.9,2.52,178.62,12734,me,bronze
60,Fizz,1045,2.27,51.58,5.73,12.95,147.96,12772,me,bronze
61,Vi,1040,2.19,47.79,5.7,0.73,163.99,12151,me,bronze
62,Yuumi,1039,5.02,49.09,5.69,2.56,13.95,8461,me,bronze
63,Zyra,1032,2.4,48.84,5.65,7.75,83.93,10682,me,bronze
64,Lee Sin,1014,2.29,45.96,5.56,2.12,151.36,12008,me,bronze
65,Illaoi,1012,1.67,53.66,5.55,22.56,179.48,12191,me,bronze
66,Nunu & Willump,973,2.41,51.59,5.33,0.97,150.01,11599,me,bronze
67,Amumu,973,2.42,52.83,5.34,4.62,157.23,11677,me,bronze
68,Smolder,967,1.99,47.26,5.3,1.4,184.66,12160,me,bronze
69,Twitch,966,2.27,48.24,5.29,3.36,145.2,12939,me,bronze
70,Seraphine,942,2.65,49.79,5.16,1.91,59.78,9577,me,bronze
71,Cho'Gath,932,2.07,47.21,5.11,1.82,153.46,11966,me,bronze
72,Blitzcrank,932,2.43,47.96,5.11,11.77,31.57,8660,me,bronze
73,Hwei,925,2.37,48.65,5.07,3.13,146.43,11587,me,bronze
74,Heimerdinger,916,1.89,55.02,5.02,6.88,160.35,11963,me,bronze
75,Wukong,879,2.41,51.42,4.82,0.83,165.57,12364,me,bronze
76,Varus,872,2.04,46.9,4.78,0.56,167.15,12650,me,bronze
77,Lulu,848,3.02,49.29,4.65,2.13,31.26,8794,me,bronze
78,Graves,840,2.23,49.05,4.61,1.99,195.86,13452,me,bronze
79,Vel'Koz,839,2.4,50.66,4.6,2.09,85.35,11060,me,bronze
80,Kayle,807,1.84,50.31,4.42,1.6,198.3,12371,me,bronze
81,Urgot,803,2.09,50.31,4.4,2.2,179.99,12783,me,bronze
82,Neeko,797,2.26,49.31,4.37,2.1,81.64,10520,me,bronze
83,Lillia,772,2.59,50.78,4.23,5.86,179.71,12634,me,bronze
84,Vladimir,769,2.02,47.59,4.22,4.92,170.56,11598,me,bronze
85,Kha'Zix,762,2.17,48.29,4.18,3.59,168.48,12902,me,bronze
86,Rammus,741,2.84,53.98,4.06,11.75,148.13,11354,me,bronze
87,Lucian,710,2.18,48.73,3.89,0.66,173.34,12600,me,bronze
88,Vex,696,2.28,51.01,3.81,6.71,169.41,12205,me,bronze
89,Sion,662,1.65,50.91,3.63,0.72,179.1,12930,me,bronze
90,Riven,651,1.9,46.24,3.57,0.71,168.69,11868,me,bronze
91,Aphelios,648,1.7,46.76,3.55,1.08,167.01,12595,me,bronze
92,Gragas,630,2.15,48.41,3.46,0.92,155.58,11385,me,bronze
93,Maokai,625,2.43,46.4,3.43,0.49,76.83,9597,me,bronze
94,Poppy,618,2.47,50.32,3.39,0.61,74.44,10534,me,bronze
95,Shen,616,2.82,50.65,3.38,0.59,107.16,10211,me,bronze
96,Aurelion Sol,596,2.44,50.17,3.27,1.27,180.51,12909,me,bronze
97,Talon,595,2.16,44.37,3.26,0.78,169.74,12455,me,bronze
98,Udyr,585,2.02,49.91,3.21,2.03,174.36,12019,me,bronze
99,Xin Zhao,579,2.17,50.26,3.18,0.46,166.7,12544,me,bronze
100,LeBlanc,567,2.44,44.62,3.11,6.34,137.5,11569,me,bronze
101,Renekton,559,1.89,48.66,3.06,1.92,184.41,12369,me,bronze
