Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,29,3.07,62.07,95.71,8.26,189.07,12462,me,challenger
2,Yone,19,2.34,47.37,96.94,5,220.11,12890,me,challenger
3,Yasuo,19,1.94,57.89,80.17,23.94,240.63,13659,me,challenger
4,Ambessa,12,3.06,66.67,55.05,63.29,208.5,12425,me,challenger
5,Cassiopeia,8,2.47,50,78.43,13.73,209.25,13051,me,challenger
6,Graves,7,3.2,42.86,40.46,22.39,209.14,13610,me,challenger
7,Jax,7,1.9,57.14,52.63,12.38,157.57,11429,me,challenger
8,Kassadin,6,2.76,33.33,51.72,13.59,239.17,15251,me,challenger
9,K'Sante,6,2.17,83.33,34.48,35.17,177.33,10941,me,challenger
10,Gnar,5,2.16,40,89.29,2.7,239.6,14517,me,challenger
11,Ekko,5,1.71,40,49.5,17.44,158,8917,me,challenger
12,Vayne,3,0.95,33.33,42.86,14.55,163.33,9767,me,challenger
13,Kai'Sa,3,2.56,66.67,43.48,9.62,197.67,11638,me,challenger
14,Warwick,3,3.06,66.67,28.3,21.43,164.67,10551,me,challenger
15,Jayce,3,2.5,66.67,100,0,205.33,11908,me,challenger
16,Camille,3,2.2,66.67,68.18,8.57,148.67,11542,me,challenger
17,Vladimir,3,4.08,66.67,18.99,41.5,239.33,14501,me,challenger
18,Tahm Kench,3,4.43,100,60,7.89,205.33,14990,me,challenger
19,Jinx,2,1.82,0,33.9,11.76,163,9332,me,challenger
20,Ezreal,2,6,50,35.09,19.51,211.5,12597,me,challenger
21,Malphite,2,3.64,50,24.69,17.5,162,11544,me,challenger
22,Sylas,2,2,50,24.69,21.43,191.5,13254,me,challenger
23,Nidalee,1,2.25,0,100,0,105,7445,me,challenger
24,Kayn,1,1.57,0,21.74,14.63,255,14422,me,challenger
25,Nautilus,1,4.43,0,20.83,19.15,26,10628,me,challenger
26,Gwen,1,2.5,100,100,0,236,15276,me,challenger
27,Samira,1,2.43,100,12.66,18.67,211,12754,me,challenger
28,Urgot,1,Infinity,100,62.5,6.25,85,4073,me,challenger
29,Volibear,1,2.67,100,9.71,22.11,114,6417,me,challenger
30,Rakan,0,0,0,0,40,NaN,NaN,me,challenger
31,Seraphine,0,0,0,0,20,NaN,NaN,me,challenger
32,Galio,0,0,0,0,20,NaN,NaN,me,challenger
33,Neeko,0,0,0,0,25,NaN,NaN,me,challenger
34,Lucian,0,0,0,0,25,NaN,NaN,me,challenger
35,Vex,0,0,0,0,23.08,NaN,NaN,me,challenger
36,Briar,0,0,0,0,33.33,NaN,NaN,me,challenger
37,Talon,0,0,0,0,21.43,NaN,NaN,me,challenger
38,Aphelios,0,0,0,0,9.52,NaN,NaN,me,challenger
39,Yuumi,0,0,0,0,8.33,NaN,NaN,me,challenger
40,Senna,0,0,0,0,12.5,NaN,NaN,me,challenger
41,Rammus,0,0,0,0,8.33,NaN,NaN,me,challenger
42,Zoe,0,0,0,0,12.5,NaN,NaN,me,challenger
43,Twitch,0,0,0,0,10,NaN,NaN,me,challenger
44,Brand,0,0,0,0,11.11,NaN,NaN,me,challenger
45,Jhin,0,0,0,0,12.5,NaN,NaN,me,challenger
46,Viktor,0,0,0,0,26.79,NaN,NaN,me,challenger
47,Taric,0,0,0,0,14.29,NaN,NaN,me,challenger
48,Dr. Mundo,0,0,0,0,16.67,NaN,NaN,me,challenger
49,Aatrox,0,0,0,0,27.59,NaN,NaN,me,challenger
50,Lissandra,0,0,0,0,40,NaN,NaN,me,challenger
51,Hecarim,0,0,0,0,25,NaN,NaN,me,challenger
52,Xerath,0,0,0,0,25,NaN,NaN,me,challenger
53,Nunu & Willump,0,0,0,0,14.29,NaN,NaN,me,challenger
54,Karma,0,0,0,0,50,NaN,NaN,me,challenger
55,Ornn,0,0,0,0,21.43,NaN,NaN,me,challenger
56,Zilean,0,0,0,0,23.73,NaN,NaN,me,challenger
57,Evelynn,0,0,0,0,26.87,NaN,NaN,me,challenger
58,Smolder,0,0,0,0,21.43,NaN,NaN,me,challenger
59,Renata Glasc,0,0,0,0,12.5,NaN,NaN,me,challenger
60,Sett,0,0,0,0,12.5,NaN,NaN,me,challenger
61,Garen,0,0,0,0,12.5,NaN,NaN,me,challenger
62,Anivia,0,0,0,0,20.69,NaN,NaN,me,challenger
63,Fiddlesticks,0,0,0,0,12.5,NaN,NaN,me,challenger
64,Xin Zhao,0,0,0,0,12.5,NaN,NaN,me,challenger
65,Nilah,0,0,0,0,27.27,NaN,NaN,me,challenger
66,Zac,0,0,0,0,18.18,NaN,NaN,me,challenger
67,Aurelion Sol,0,0,0,0,11.11,NaN,NaN,me,challenger
68,Gragas,0,0,0,0,26.67,NaN,NaN,me,challenger
69,Rumble,0,0,0,0,22.22,NaN,NaN,me,challenger
70,Wukong,0,0,0,0,23.08,NaN,NaN,me,challenger
71,Nocturne,0,0,0,0,12,NaN,NaN,me,challenger
72,Tryndamere,0,0,0,0,21.57,NaN,NaN,me,challenger
73,Sivir,0,0,0,0,11.11,NaN,NaN,me,challenger
74,Nami,0,0,0,0,25,NaN,NaN,me,challenger
75,Lee Sin,0,0,0,0,25,NaN,NaN,me,challenger
76,Kindred,0,0,0,0,20.34,NaN,NaN,me,challenger
77,Lulu,0,0,0,0,32.58,NaN,NaN,me,challenger
78,Malzahar,0,0,0,0,24,NaN,NaN,me,challenger
79,Elise,0,0,0,0,14.29,NaN,NaN,me,challenger
80,Maokai,0,0,0,0,25,NaN,NaN,me,challenger
81,Shaco,0,0,0,0,21.82,NaN,NaN,me,challenger
