Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jinx,226,2.22,55.31,23.33,6.38,201.09,12492,me,diamond
2,Taliyah,188,3.25,55.32,19.32,11.15,189.95,11989,me,diamond
3,Caitlyn,178,2.03,44.38,18.29,49.97,190.9,12360,me,diamond
4,Pantheon,171,2.33,52.05,17.71,5.98,81.92,10594,me,diamond
5,Sylas,170,2.2,52.35,17.47,13.99,128.64,10807,me,diamond
6,Ezreal,159,2.43,52.83,16.34,5.33,187.69,12008,me,diamond
7,Yasuo,157,1.45,49.04,16.13,19.51,203.2,11948,me,diamond
8,Thresh,154,3.56,55.19,15.9,8.85,30.4,8151,me,diamond
9,Jhin,153,2.57,42.48,16.26,2.15,187.04,12539,me,diamond
10,Nami,148,3.06,50.68,15.79,0.55,23.07,8227,me,diamond
11,Shaco,147,2.4,46.26,15.17,13.87,151.95,11686,me,diamond
12,Zed,132,2.14,43.94,13.63,24.88,178.46,11944,me,diamond
13,Ekko,132,2.16,49.24,13.63,6.67,192.61,12434,me,diamond
14,Lulu,132,3.73,51.52,13.56,25.26,28.2,8218,me,diamond
15,Ahri,131,2.69,41.98,13.5,3.32,183.72,11270,me,diamond
16,Viego,126,2.42,49.21,12.99,7.06,178.68,12127,me,diamond
17,Evelynn,122,2.38,54.92,12.59,12.19,120.7,11531,me,diamond
18,Gragas,120,2.23,50.83,12.7,1.5,169.72,11191,me,diamond
19,Kai'Sa,119,2.51,49.58,12.23,3.29,207.54,13037,me,diamond
20,Lux,112,2.57,46.43,12.27,1.06,89.45,9832,me,diamond
21,Hwei,111,2.43,53.15,11.5,8.95,173.01,11441,me,diamond
22,Wukong,111,2.54,53.15,11.4,9.64,181.96,12160,me,diamond
23,Graves,109,2.53,55.96,11.24,17.92,200.18,13733,me,diamond
24,Lucian,106,2.46,48.11,10.93,1.33,197.19,12541,me,diamond
25,Tryndamere,103,2.2,57.28,10.62,6.96,217.7,12613,me,diamond
