Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,1214,2.08,49.75,26.97,41.38,202.12,13082,me,emerald
2,Jhin,1085,2.65,50.88,24.1,3.1,190.84,12932,me,emerald
3,Jinx,998,2.13,48.7,22.17,5.51,201.42,12463,me,emerald
4,Yasuo,812,1.65,49.38,18.04,29.73,206.55,12177,me,emerald
5,Zed,735,2.31,52.65,16.33,27.55,186.7,12715,me,emerald
6,Thresh,691,2.88,51.37,15.35,5.99,29.83,8389,me,emerald
7,Lux,683,2.63,52.71,15.21,3.15,105.5,10456,me,emerald
8,Volibear,651,1.78,54.53,14.46,18.33,183.94,12093,me,emerald
9,Ekko,581,2.53,54.73,12.91,3.68,190.75,12909,me,emerald
10,Wukong,573,2.31,54.97,12.73,8.37,176.03,12323,me,emerald
11,Kai'Sa,569,2.36,50.44,12.64,2.17,200.9,12945,me,emerald
12,Sylas,564,2.03,50,12.53,10.64,145.1,10930,me,emerald
13,Viktor,563,2.29,54.88,12.53,15.19,202.79,12294,me,emerald
14,Hwei,507,2.4,50.89,11.26,9.97,153.42,11072,me,emerald
15,Shaco,503,2.77,55.07,11.17,20.58,154.26,12167,me,emerald
16,Viego,494,2.4,49.19,11,8.72,173.57,12311,me,emerald
17,Milio,493,3.73,53.14,10.95,8.59,24.4,8042,me,emerald
18,Yone,482,1.77,51.24,10.71,7.62,203.18,12051,me,emerald
19,Aatrox,475,1.93,49.26,10.55,12.86,180.38,11769,me,emerald
20,Ashe,470,2.26,48.3,10.46,2.48,175.18,11714,me,emerald
21,Lulu,468,2.99,49.15,10.4,23.26,27.35,8207,me,emerald
22,Graves,464,2.39,53.66,10.31,12.27,204.62,13682,me,emerald
23,Warwick,459,2.15,50.54,10.2,16.7,161.62,12034,me,emerald
24,Ambessa,448,1.96,52.46,9.95,51.09,181.05,12020,me,emerald
25,Ezreal,446,2.33,50.9,9.93,3.79,190.31,12418,me,emerald
26,Tahm Kench,446,2.47,51.12,9.91,16.47,107.19,10411,me,emerald
27,Kayn,442,2.39,51.36,9.84,6.63,188.11,12598,me,emerald
28,Vayne,441,2.03,52.83,9.82,7.3,181.9,12403,me,emerald
29,Gragas,428,2.25,50.47,9.53,3.5,168.17,11351,me,emerald
