Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,5300,2.64,50.92,30.85,8.27,183.43,13173,me,gold
2,Caitlyn,5129,2.1,52,29.85,36.09,192.48,13138,me,gold
3,Yasuo,3839,1.63,50.35,22.34,25.19,206.14,12667,me,gold
4,Lux,3546,2.57,50.85,20.64,17.1,99.1,10687,me,gold
5,Jinx,3326,2.18,52.25,19.36,3.5,195.26,12718,me,gold
6,Volibear,2808,1.87,52.74,16.34,16.88,180.39,12111,me,gold
7,Warwick,2788,2.33,54.41,16.23,22.51,169.68,12824,me,gold
8,Zed,2719,2.25,48.84,15.82,29.13,181.19,12897,me,gold
9,Kayn,2583,2.34,51.1,15.03,11.95,186.64,12891,me,gold
10,Yone,2404,1.7,48.88,13.99,8.17,200.3,12307,me,gold
11,Viktor,2258,2.21,50.75,13.14,12.31,189.91,12298,me,gold
12,Viego,2211,2.51,52.01,12.87,8.97,178.6,12878,me,gold
13,Tahm Kench,2158,2.42,50.46,12.56,18.15,81.72,10247,me,gold
14,Swain,2080,2.37,49.76,12.11,7.45,106.15,10730,me,gold
15,Miss Fortune,2021,2.3,49.83,11.76,1.83,185.46,13102,me,gold
16,Darius,1998,1.8,50.75,11.63,20.22,189.36,12574,me,gold
17,Teemo,1969,1.97,52.67,11.46,18.81,161.74,12047,me,gold
18,Shaco,1965,2.51,50.69,11.44,19.56,142.87,12178,me,gold
19,Pantheon,1945,2.1,52.54,11.32,5.22,104.28,11549,me,gold
20,Thresh,1927,2.73,50.13,11.21,4.8,33.26,8762,me,gold
21,Ashe,1911,2.2,48.77,11.12,3.05,174.8,11979,me,gold
22,Ekko,1906,2.44,50.05,11.09,1.69,176.04,12777,me,gold
23,Kai'Sa,1815,2.29,48.87,10.56,2.27,198.83,13187,me,gold
24,Ezreal,1789,2.36,49.02,10.41,3.29,180.94,12416,me,gold
25,Sylas,1722,2.05,51.8,10.02,8.32,139.39,11422,me,gold
26,Malzahar,1716,2.08,52.27,9.99,21,214.97,12798,me,gold
27,Draven,1656,1.9,48.85,9.64,31.34,190.48,14058,me,gold
28,Katarina,1639,2.3,49.97,9.54,6.52,168.16,12950,me,gold
29,Diana,1622,2.08,50.8,9.44,4.93,194.39,13133,me,gold
30,Mordekaiser,1587,1.9,53.06,9.24,14.45,176.59,12060,me,gold
31,Graves,1576,2.39,53.62,9.17,5.75,207.63,14043,me,gold
32,Master Yi,1566,2.04,50.32,9.11,16.78,180.98,13062,me,gold
33,Akali,1559,2.24,50.48,9.07,11.6,166.48,12218,me,gold
34,Ambessa,1490,1.94,49.4,8.67,36.18,175.42,12019,me,gold
35,Malphite,1489,2.39,51.98,8.67,8.39,153.84,11276,me,gold
36,Lulu,1479,3.47,53.08,8.61,11.33,29.35,8562,me,gold
37,Brand,1476,1.96,52.71,8.59,11.36,89.93,10795,me,gold
38,Sett,1415,1.63,51.24,8.24,3.37,172.38,12222,me,gold
39,Samira,1362,2.1,51.4,7.93,18.4,187.31,13918,me,gold
40,Veigar,1341,2.23,52.35,7.8,2.22,177.8,12502,me,gold
41,Pyke,1332,2.18,49.17,7.75,12.21,38.52,10372,me,gold
42,Hwei,1318,2.38,51.75,7.67,5.3,152.12,11458,me,gold
43,Nocturne,1318,2.65,54.63,7.67,12.77,185.07,12723,me,gold
44,Garen,1301,1.92,51.04,7.57,5.79,204.63,13057,me,gold
45,Vayne,1300,2.06,50.77,7.57,4.42,180.5,12850,me,gold
46,Aatrox,1282,2,52.81,7.46,11.21,174.82,11979,me,gold
47,Lee Sin,1273,2.39,46.19,7.41,2.74,158.51,12169,me,gold
48,Morgana,1258,2.71,54.61,7.32,41.14,61.7,10090,me,gold
49,Ahri,1255,2.45,52.27,7.3,4.5,180.99,11811,me,gold
50,Irelia,1253,1.65,50.68,7.29,6.17,222.4,13690,me,gold
51,Gragas,1215,2.19,49.63,7.07,2.14,169,11825,me,gold
52,Nasus,1188,1.95,52.86,6.91,7.41,184.57,12259,me,gold
53,Smolder,1175,2.13,49.02,6.84,1.76,207.77,12683,me,gold
54,Vladimir,1147,2.35,53.18,6.68,7.38,192.41,12240,me,gold
55,Nautilus,1139,2.34,46.8,6.63,10.04,39.43,8875,me,gold
56,Fizz,1134,2.21,50.79,6.6,13.22,167.28,12961,me,gold
57,Leona,1117,2.43,46.64,6.5,12.17,32.69,8620,me,gold
58,Vel'Koz,1089,2.4,54.55,6.34,2.25,94.43,10825,me,gold
59,Lucian,1087,2.28,48.57,6.33,0.87,196.21,13114,me,gold
60,Wukong,1079,2.59,54.31,6.28,1.98,178.25,12543,me,gold
61,Tryndamere,1072,1.64,49.91,6.24,2.76,216.85,13323,me,gold
62,Briar,1056,2.27,56.53,6.15,9.67,181.81,13439,me,gold
63,Tristana,1050,2.24,48.57,6.11,1.02,177.64,13229,me,gold
64,Kha'Zix,1026,2.37,47.76,5.97,4.52,178.14,12949,me,gold
65,Amumu,1016,2.43,52.07,5.91,5.14,163.38,11640,me,gold
66,Galio,989,2.64,50.46,5.76,2.83,140.57,10723,me,gold
67,Yorick,958,1.75,52.51,5.58,8.79,210.46,12924,me,gold
68,Karma,948,2.67,52.32,5.52,1.61,54.35,9386,me,gold
69,Senna,917,2.72,49.29,5.35,0.94,48.13,10164,me,gold
70,Xerath,914,2.82,51.75,5.32,3.54,102.1,11129,me,gold
71,Nami,908,3.39,51.65,5.28,0.87,25.63,8583,me,gold
72,Milio,907,3.72,52.37,5.28,3.37,29.03,8292,me,gold
73,Dr. Mundo,903,2.01,52.27,5.26,3.55,186.02,11848,me,gold
74,Vi,861,2.28,49.59,5.01,0.8,168.76,12175,me,gold
75,Trundle,831,1.7,51.26,4.84,1.75,194.03,13064,me,gold
76,Gangplank,830,1.99,48.8,4.83,1.49,201.23,14170,me,gold
77,Soraka,829,2.93,48.25,4.82,2.64,27.97,8124,me,gold
78,Yuumi,821,4.48,46.65,4.78,2.92,15.33,8080,me,gold
79,Fiddlesticks,813,2.59,52.28,4.73,1.18,149.64,12030,me,gold
80,Jarvan IV,809,3.3,50.8,4.71,1.33,161.8,12467,me,gold
81,Zyra,797,2.29,51.44,4.64,6.63,66.38,9984,me,gold
82,Jax,794,1.73,47.36,4.62,3.44,180.62,12448,me,gold
83,Braum,792,2.68,48.11,4.61,2.71,28.08,8612,me,gold
84,Nunu & Willump,789,2.64,50.06,4.59,0.65,152.09,11713,me,gold
85,Sion,776,1.48,49.74,4.52,0.6,193.74,12938,me,gold
86,Illaoi,772,1.44,52.2,4.49,17.24,196.57,12471,me,gold
87,LeBlanc,765,2.48,47.58,4.45,8.64,150.85,11862,me,gold
88,Maokai,756,2.44,53.17,4.41,0.95,99.14,9836,me,gold
89,Twitch,753,2.24,48.87,4.38,2.25,149.35,13134,me,gold
90,Poppy,752,2.41,50.53,4.38,2.31,75.48,10315,me,gold
91,Syndra,728,2.34,49.04,4.24,2.7,186.7,12598,me,gold
92,Corki,704,2.33,49.01,4.11,2.74,199.76,13393,me,gold
93,Talon,696,2.35,51.01,4.05,1.05,189.4,13136,me,gold
94,Seraphine,693,2.82,54.26,4.03,1.35,74.46,10022,me,gold
95,Riven,685,1.93,50.07,3.99,1.25,182.37,12372,me,gold
96,Cho'Gath,681,2.22,54.04,3.96,0.98,174.24,11969,me,gold
97,Varus,672,2,44.94,3.91,0.44,179.5,12431,me,gold
98,Alistar,672,2.53,51.93,3.91,1.61,34.89,8593,me,gold
99,Vex,667,2.3,48.13,3.88,5.77,175.89,12218,me,gold
100,Udyr,660,2.33,48.64,3.84,5.49,179.53,11988,me,gold
101,Renekton,659,1.87,50.83,3.84,2.82,199.28,12714,me,gold
102,Sivir,656,2.17,50.91,3.82,0.96,225.12,13144,me,gold
103,Kayle,654,1.83,51.38,3.81,0.69,219.57,13034,me,gold
104,Evelynn,652,2.8,51.07,3.79,2.55,163.14,12618,me,gold
105,Blitzcrank,647,2.36,49,3.77,10.73,30.14,8547,me,gold
106,Aurora,623,2.3,48.64,3.63,4.28,179.26,11948,me,gold
107,Hecarim,621,2.53,48.79,3.61,2.59,201.32,12944,me,gold
108,Aurelion Sol,606,2.35,48.84,3.53,1.37,195.91,13273,me,gold
109,Zilean,604,3,52.65,3.52,1.3,58.73,9316,me,gold
110,Lillia,599,2.55,51.25,3.49,5.17,188.7,12538,me,gold
111,Rengar,597,2.21,48.58,3.48,2.05,188.17,13008,me,gold
112,Aphelios,579,1.98,50.78,3.37,0.84,185.69,12587,me,gold
113,Shen,569,2.61,48.51,3.32,0.51,111.41,9983,me,gold
114,Zac,559,3.15,51.52,3.25,1.86,149.59,11182,me,gold
115,Rammus,538,2.77,49.63,3.13,11.82,150.88,11163,me,gold
116,Xayah,537,2.35,50.09,3.13,0.47,203.23,12814,me,gold
117,Rakan,522,2.94,45.21,3.04,0.27,31.83,8367,me,gold
118,Janna,519,3.44,54.34,3.02,0.57,28.57,8399,me,gold
119,Urgot,512,1.93,47.85,2.99,1.11,192.34,13035,me,gold
120,K'Sante,510,2.04,46.08,2.97,2.26,177.37,11501,me,gold
121,Taric,508,2.8,51.77,2.96,0.76,37.22,8464,me,gold
122,Lissandra,504,2.27,50.4,2.93,2.64,185.95,12118,me,gold
123,Ziggs,497,2.34,50.1,2.89,1.23,185.87,12660,me,gold
124,Xin Zhao,494,2.26,51.42,2.88,0.34,170.52,12270,me,gold
125,Fiora,478,1.58,51.88,2.79,2.93,175.94,12320,me,gold
126,Jayce,461,1.77,45.55,2.69,0.24,190.6,12221,me,gold
127,Ornn,438,2.34,54.57,2.55,0.68,166.67,11245,me,gold
128,Heimerdinger,433,1.7,54.5,2.52,2.6,176.52,12101,me,gold
129,Singed,431,1.91,51.97,2.51,0.51,195.19,12238,me,gold
130,Rell,419,3.02,51.55,2.44,1.04,30,8813,me,gold
131,Ryze,419,1.99,51.79,2.44,0.39,208.1,12648,me,gold
132,Kindred,417,2.22,47.72,2.43,0.66,175.64,12716,me,gold
133,Camille,416,1.84,49.04,2.42,0.97,159.74,11952,me,gold
134,Gwen,414,1.82,49.52,2.41,1.41,191.29,12296,me,gold
135,Kog'Maw,396,2.13,52.02,2.3,1.01,189.18,13397,me,gold
136,Bard,388,3.07,52.06,2.26,0.46,32.54,9027,me,gold
137,Nilah,372,2.08,56.45,2.16,4.54,191.54,13541,me,gold
138,Skarner,370,2.9,50,2.16,3.21,147.56,11299,me,gold
139,Gnar,364,1.78,51.37,2.12,0.79,172.64,11930,me,gold
140,Sejuani,358,2.95,48.32,2.08,0.27,158.81,11188,me,gold
141,Zoe,354,2.39,49.15,2.07,0.57,118.44,11295,me,gold
142,Bel'Veth,333,2.18,45.35,1.94,3.76,182.14,12364,me,gold
143,Naafiri,325,2.26,54.77,1.89,1.68,176.19,12791,me,gold
