Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ivern,51,5.4,52.94,72.86,30.31,128.61,10201,me,grandmaster
2,Tristana,40,2.51,52.5,69.32,10.74,171.47,13070,me,grandmaster
3,Jinx,36,2.46,61.11,57.42,6.12,204.78,12854,me,grandmaster
4,Karma,31,2.57,51.61,56.57,1.97,38.29,8450,me,grandmaster
5,Caitlyn,31,2.47,64.52,42.76,50.49,204.39,12827,me,grandmaster
6,Nautilus,30,2.27,40,48.15,10.66,23.2,7869,me,grandmaster
7,Ezreal,28,2.79,53.57,45.68,7.18,181.25,11622,me,grandmaster
8,Vladimir,24,3.9,62.5,31.54,34.43,222.08,13406,me,grandmaster
9,Jhin,22,2.23,50,47.21,3.1,200.77,12447,me,grandmaster
10,K'Sante,22,2.29,59.09,30.94,27.83,182.82,10810,me,grandmaster
11,Lux,22,3.87,68.18,48.46,1.65,49.91,9470,me,grandmaster
12,Aurora,20,3.57,60,30.49,11.06,170.65,11017,me,grandmaster
13,Kai'Sa,18,3.33,44.44,34.95,7.45,225.11,14211,me,grandmaster
14,Wukong,16,2.04,31.25,32.45,17.33,157.5,10076,me,grandmaster
15,Leona,16,2.51,68.75,33.68,6.33,32.75,8548,me,grandmaster
16,Ambessa,14,1.72,28.57,19.69,54.85,180.5,11686,me,grandmaster
17,Varus,12,2.23,58.33,45.63,1.9,177.75,11504,me,grandmaster
18,Viego,12,3.19,75,25.16,11.11,172.25,11435,me,grandmaster
19,Jarvan IV,11,2.76,27.27,17.57,13.66,125,8924,me,grandmaster
20,Jax,11,1.22,36.36,20,12.01,187,11265,me,grandmaster
21,Fiddlesticks,10,3.41,40,31.75,2.22,160.1,11592,me,grandmaster
22,Samira,10,1.74,50,15.58,10.75,208.7,13624,me,grandmaster
23,Camille,8,2.86,50,31.87,2.39,165.75,11796,me,grandmaster
24,Pyke,8,2.29,50,17.06,12.75,36.63,10791,me,grandmaster
25,Aatrox,8,2.27,62.5,16.33,11.48,155.5,10679,me,grandmaster
26,Shaco,8,4.32,62.5,12.94,12.27,101.63,11172,me,grandmaster
27,Volibear,7,1.11,28.57,10.9,17.13,164.86,9945,me,grandmaster
28,Corki,7,2.04,42.86,15.49,7.54,158.71,10579,me,grandmaster
29,Renata Glasc,7,3.62,57.14,25.55,1.49,29.29,8118,me,grandmaster
30,Vex,7,3.2,71.43,20.71,4.73,218,14971,me,grandmaster
31,Kalista,7,4.55,71.43,18.67,4.88,185.86,11922,me,grandmaster
32,Graves,6,2.16,16.67,9.35,20.87,183,12442,me,grandmaster
33,Malphite,6,2.04,33.33,11.83,9.47,165.5,9683,me,grandmaster
34,Ekko,6,2.3,33.33,13.04,14.81,125.17,10106,me,grandmaster
35,Gnar,6,1.16,50,35.71,1.84,158.83,8524,me,grandmaster
36,Kayn,6,2.43,50,14.39,4.08,153.33,10939,me,grandmaster
37,Amumu,6,4.12,66.67,24,1.6,125.33,8429,me,grandmaster
38,Renekton,6,1.4,66.67,12.9,9.25,184.5,10784,me,grandmaster
39,Rammus,5,2.15,40,18.25,2.55,88.4,7205,me,grandmaster
40,Soraka,5,2.9,40,17.48,4.55,21.8,7707,me,grandmaster
41,Udyr,5,2.81,80,11.44,14.42,174.8,10577,me,grandmaster
42,Smolder,4,1.43,25,25.64,4.49,186.5,10837,me,grandmaster
43,Yone,4,1.5,25,9.37,7.03,283.25,16464,me,grandmaster
44,Xayah,4,2.41,50,44.44,0,185.75,11543,me,grandmaster
45,Tahm Kench,4,2.79,50,8.3,8.52,104.75,10158,me,grandmaster
46,Hecarim,4,3.52,50,9.5,4.51,209,12827,me,grandmaster
47,Vayne,4,1.53,50,15.56,8.2,189.75,12324,me,grandmaster
48,Xin Zhao,4,3.6,50,25.97,1.96,176,12764,me,grandmaster
49,Malzahar,4,5.38,75,8.06,12.9,210.25,11259,me,grandmaster
50,Draven,4,3.32,75,6,23.39,217.25,16572,me,grandmaster
51,Cho'Gath,3,1.47,33.33,15.31,3.06,180.33,10369,me,grandmaster
52,Sylas,3,2,33.33,4.46,14.58,95.67,10106,me,grandmaster
53,Ahri,3,1.14,33.33,15.08,8.54,193.67,9584,me,grandmaster
54,Lee Sin,3,3.78,66.67,45.45,5.26,118.67,12424,me,grandmaster
55,Nami,3,5.75,66.67,20.41,2.72,25,8910,me,grandmaster
56,Senna,3,3.13,66.67,20.13,2.68,24.67,7207,me,grandmaster
57,Xerath,3,2.55,66.67,24.59,4.92,97,8378,me,grandmaster
58,Gwen,3,2.15,100,24.19,0.81,230.33,12847,me,grandmaster
59,Cassiopeia,3,2.9,100,13.22,5.5,164,13295,me,grandmaster
60,Bard,2,0.67,0,48.78,0,24.5,4206,me,grandmaster
61,Ziggs,2,2.53,0,33.33,0,230,15304,me,grandmaster
62,Zed,2,3.17,0,3.03,22.09,216.5,11876,me,grandmaster
