Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,3467,2.45,48.92,31.58,42.74,88.13,10629,me,iron
2,Miss Fortune,3298,2.15,47.85,30.04,12.55,144.32,12172,me,iron
3,Caitlyn,2946,1.96,48,26.83,33.91,153.57,12035,me,iron
4,Yasuo,2877,1.55,46.09,26.2,28.04,166.59,11666,me,iron
5,Warwick,2847,2.01,49.88,25.93,40.57,144.65,12093,me,iron
6,Jhin,2505,2.36,46.71,22.82,16.56,147.29,12221,me,iron
7,Yone,2256,1.63,45.83,20.55,9.71,165.88,11577,me,iron
8,Jinx,2074,2.07,46.72,18.89,6.32,151.31,11602,me,iron
9,Teemo,2060,1.93,50.97,18.76,34.77,148.36,11722,me,iron
10,Master Yi,1812,1.85,49.45,16.5,23.84,160.82,12519,me,iron
11,Morgana,1795,2.53,51.03,16.35,29.98,64.75,10096,me,iron
12,Sett,1675,1.64,49.55,15.26,6.2,147.19,11605,me,iron
13,Kayn,1638,1.98,45.24,14.92,7.9,166.17,12314,me,iron
14,Viego,1621,2.08,48.06,14.76,9.04,159.15,12288,me,iron
15,Mordekaiser,1621,1.79,49.54,14.76,20.3,147.86,11646,me,iron
16,Pantheon,1613,1.97,47.61,14.69,5.19,81.44,10961,me,iron
17,Volibear,1558,1.72,46.34,14.19,7.73,147.24,11019,me,iron
18,Ashe,1549,2.03,47.45,14.11,7.36,134.21,11124,me,iron
19,Akali,1528,2.05,47.25,13.92,13.58,130.13,11122,me,iron
20,Sylas,1406,1.76,45.66,12.81,9.18,111.46,10502,me,iron
21,Zed,1401,2.01,44.25,12.76,25.25,146.98,11994,me,iron
22,Brand,1400,1.97,50.79,12.75,15.06,86.11,10894,me,iron
23,Darius,1333,1.7,46.59,12.14,16.7,152.09,11410,me,iron
24,Samira,1329,1.82,45.75,12.1,23.52,144.31,12363,me,iron
25,Veigar,1304,2.08,49.08,11.88,9.62,147,11827,me,iron
26,Pyke,1271,1.96,47.05,11.58,22.37,38.85,10104,me,iron
27,Garen,1235,1.93,48.66,11.25,3.99,171.35,12189,me,iron
28,Shaco,1220,2.22,46.64,11.11,28.66,128.83,11400,me,iron
29,Swain,1166,2.26,49.66,10.62,10.34,89.24,10503,me,iron
30,Tahm Kench,1162,2.31,51.29,10.58,14.96,76.08,10198,me,iron
31,Tristana,1082,1.82,44.45,9.85,4.13,139.81,12117,me,iron
32,Diana,1042,1.82,47.12,9.49,4.34,159.8,12084,me,iron
33,Ekko,1035,2.06,46.18,9.43,1.95,145.91,11916,me,iron
34,Seraphine,1010,2.55,48.61,9.2,3.01,61.35,9602,me,iron
35,Kai'Sa,1001,1.93,46.55,9.12,2.9,158.4,12075,me,iron
36,Tryndamere,984,1.76,48.37,8.96,6.13,174.27,12217,me,iron
37,Malphite,979,2.24,42.49,8.92,4.46,116.23,10636,me,iron
38,Ahri,978,2.17,48.26,8.91,6,145.46,10939,me,iron
39,Nasus,933,1.91,47.05,8.51,4.84,154.35,11462,me,iron
