Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jarvan IV,89,3.51,56.18,42.85,9.26,149.18,11002,me,master
2,Wukong,77,2.64,51.95,39.55,12.21,158.19,10984,me,master
3,Ezreal,74,2.82,48.65,37.49,5.54,206.08,13097,me,master
4,Thresh,68,3.2,48.53,33.37,14.24,31.85,7664,me,master
5,Caitlyn,65,2.6,60,31.71,48.71,198.69,12551,me,master
6,Ekko,64,2.51,53.13,31.13,9.04,182.44,12668,me,master
7,Taliyah,49,3.15,57.14,23.94,21.54,179.71,11759,me,master
8,Rell,48,2.71,43.75,25.59,6.41,21.65,7874,me,master
9,Rengar,45,3.08,51.11,22.59,18.47,196.11,11921,me,master
10,Jhin,44,2.99,52.27,26.28,2.27,187.64,13088,me,master
11,Kalista,40,2.6,42.5,37.81,5.69,179.88,11991,me,master
12,Kai'Sa,37,3.05,67.57,21.73,3.99,184.7,12258,me,master
13,Jinx,35,2.59,65.71,18.73,5.14,203,12907,me,master
14,Shaco,34,3.61,67.65,19.48,10.1,122.26,10938,me,master
15,Zed,32,2.18,56.25,16.1,23.64,179.34,11952,me,master
16,Diana,31,1.91,54.84,18.73,5.99,188.19,12867,me,master
17,Vel'Koz,30,2.31,43.33,20.04,4.94,69.87,9500,me,master
18,Lulu,29,3.05,51.72,14.49,17.72,23.59,7585,me,master
19,Lissandra,28,3.95,60.71,22.82,6.93,225.96,12513,me,master
20,Kayn,27,2.76,48.15,17.6,5.57,186.59,12322,me,master
21,Sylas,27,2.12,55.56,13.19,15.05,152.56,10973,me,master
22,Syndra,26,2.17,50,17.34,6.28,184.88,11077,me,master
23,Kha'Zix,26,3.11,50,13.9,11.28,177.58,11993,me,master
24,Nautilus,25,2.73,48,15.72,9.12,30.08,8253,me,master
25,Viego,25,2.8,56,13.08,10.15,182.6,12936,me,master
26,K'Sante,24,2.96,54.17,11.72,23.5,174.54,11239,me,master
27,Master Yi,23,2.55,47.83,11.55,7.08,184.57,12458,me,master
28,Vladimir,23,2.8,56.52,11.24,25.7,212.43,12572,me,master
29,Kassadin,22,2.34,50,17.32,17.24,181.64,10983,me,master
30,Volibear,22,1.88,54.55,12.21,17.92,166.86,11150,me,master
31,Yone,20,1.73,45,11.64,6.11,202.6,12203,me,master
32,Smolder,19,1.63,21.05,16.64,2.36,184.74,10864,me,master
33,Lux,19,2.55,63.16,16.8,1.95,73.53,10032,me,master
34,Varus,18,1.68,22.22,19.05,2.22,181.06,11023,me,master
35,Aurora,18,3.24,55.56,9.53,9.58,206.44,13064,me,master
36,Aphelios,18,2.58,55.56,17.24,2.49,193,12798,me,master
37,Ahri,17,2.57,47.06,13.3,4.23,189.53,10808,me,master
38,Renata Glasc,17,2.97,52.94,15.08,1.77,29.18,7877,me,master
39,Pantheon,16,2.26,25,10.28,6.11,50.25,8250,me,master
40,Hwei,16,1.76,37.5,8.06,8.26,159.75,10394,me,master
41,Nunu & Willump,16,2.23,43.75,15.28,1.91,164.38,10924,me,master
42,Bel'Veth,16,2.64,43.75,8.38,13.84,162.25,10802,me,master
43,Graves,15,2.59,40,7.56,23.84,210.87,13876,me,master
44,Karthus,15,2.47,40,14.53,0.58,179.07,11018,me,master
45,Ashe,15,2.56,40,12.94,4.14,192.07,11523,me,master
46,Tahm Kench,15,2.88,46.67,9.76,6.7,56.07,7271,me,master
47,Irelia,15,1.64,60,9.11,7.35,240.27,13754,me,master
48,Jax,15,2.05,66.67,8.65,9.16,166,10622,me,master
49,Tryndamere,15,2.54,66.67,9.75,7.99,234.87,13619,me,master
50,Ambessa,14,2.17,50,6.86,57.7,170.71,11001,me,master
51,Samira,14,2.74,50,6.86,10.34,188.29,14209,me,master
52,Orianna,13,2.13,7.69,19.49,0.15,195.38,10842,me,master
53,Vex,13,1.88,38.46,9.84,4.54,183,10933,me,master
54,Twisted Fate,12,2.44,33.33,26.09,2.17,195.83,12518,me,master
55,Viktor,12,2.24,41.67,8.03,11.78,212.75,12964,me,master
56,Veigar,12,2.21,41.67,17.09,1.85,186.42,11161,me,master
57,Gnar,12,1.99,41.67,17.07,1.14,189.5,11329,me,master
58,Draven,11,2.3,54.55,5.4,23.77,205.45,16139,me,master
59,Miss Fortune,10,1.63,20,21.46,1.29,208.5,13619,me,master
60,Yasuo,10,1.86,40,5.16,23.26,185.2,10386,me,master
61,Galio,10,2.83,50,7.56,3.03,139.1,8463,me,master
62,Aatrox,10,2.1,60,5.73,11.12,183.7,12285,me,master
63,Lee Sin,9,1.88,22.22,12.41,2.21,158.22,12254,me,master
64,Hecarim,9,2.67,33.33,6.19,4.81,203.11,12676,me,master
65,Nami,9,3.3,44.44,11.38,1.39,22.78,7982,me,master
66,Fizz,9,2.51,44.44,6.93,2.69,144.22,10496,me,master
67,Zac,9,2.44,44.44,8.96,6.87,155.22,10017,me,master
68,Pyke,9,1.92,44.44,4.8,9.61,35.56,8980,me,master
69,Malzahar,9,2.09,55.56,5.22,13.4,221.89,12277,me,master
70,Tristana,9,2.02,55.56,8.16,7.52,177,12098,me,master
71,Gangplank,8,1.5,37.5,11.4,2.71,174.88,10645,me,master
72,Corki,8,2.07,37.5,4.82,8.8,198.5,12258,me,master
73,Ivern,8,4.95,50,4.26,19.35,111.38,7743,me,master
74,Blitzcrank,8,2.94,50,4.15,17.63,29.38,6774,me,master
75,Jayce,8,1.31,62.5,13.25,0.66,219.88,11456,me,master
76,Soraka,8,3.22,62.5,6.25,3.28,28.25,8128,me,master
77,Milio,8,4.08,62.5,4.56,9.87,21.5,8347,me,master
78,Lillia,7,2.24,28.57,7.13,2.75,149.43,9142,me,master
79,Ornn,7,1.96,28.57,11.95,1.71,164.14,11211,me,master
80,Darius,7,1.23,28.57,3.45,10.2,177.14,10503,me,master
81,Leona,7,2.53,28.57,6.16,5.99,28.14,7305,me,master
82,Vayne,7,2.44,42.86,4.98,5.54,173.43,10687,me,master
83,Braum,7,2.65,57.14,3.75,15.36,22,7485,me,master
84,Warwick,7,2.07,57.14,3.88,12.53,177.71,12992,me,master
85,Nidalee,7,4.04,71.43,14.26,7.13,177.71,11692,me,master
86,Alistar,7,3.76,71.43,4.89,10.34,19.14,7194,me,master
87,Sett,6,1.85,33.33,6.26,2.82,165,10648,me,master
88,Fiddlesticks,6,4.1,33.33,9.08,2.72,209.67,12875,me,master
89,Katarina,6,1.46,33.33,3.86,6.05,136.83,9701,me,master
90,Maokai,6,2.64,50,11.05,3.68,59.33,8485,me,master
91,Skarner,6,3.34,50,3.68,6.94,172.67,12082,me,master
92,Karma,6,3.15,66.67,6.36,2.23,38.33,7189,me,master
93,Vi,5,0.87,0,11.47,1.15,139.8,8748,me,master
94,Rakan,5,2.35,20,9.88,3.36,22.2,5933,me,master
95,Cho'Gath,5,2.08,40,9.56,3.25,57.2,8860,me,master
96,Gragas,5,1.68,40,8.9,4.45,143.6,9533,me,master
97,Lucian,5,2.31,40,7.6,2.43,194.8,12153,me,master
98,Rumble,5,2.04,40,8.45,1.35,159.8,10774,me,master
99,Swain,5,2,40,6.29,3.52,193.2,11155,me,master
100,Malphite,5,2.18,60,2.89,10.11,161,10091,me,master
101,Sivir,5,2.83,60,12.69,3.3,182,10251,me,master
102,Rammus,5,5.07,80,8.88,2.49,147.4,9664,me,master
103,Urgot,4,1.52,25,7.21,1.08,149.75,9376,me,master
104,Elise,4,2.95,25,3.94,4.83,136.75,10734,me,master
105,Seraphine,4,1.88,25,9.59,0.48,39.25,8574,me,master
106,Xerath,4,2.48,25,6.48,2.43,108,8746,me,master
107,Riven,4,3.47,50,4.71,6.71,242.5,14695,me,master
108,LeBlanc,4,3.29,50,2.55,9.07,159.25,10066,me,master
109,Twitch,4,2.74,75,7.16,2.15,212.25,14723,me,master
110,Xayah,4,3.27,75,13.79,0,171,11449,me,master
111,Qiyana,4,2.14,75,7.97,1.2,217,14649,me,master
112,Akali,4,2.59,75,2.31,8.33,201,15637,me,master
113,Morgana,4,4.5,100,1.96,22.6,77.25,9401,me,master
114,Taric,3,1.63,0,8.45,0.85,37,8086,me,master
115,Xin Zhao,3,1.33,0,11.11,2.22,159.33,12138,me,master
116,Neeko,3,2.67,33.33,7.43,2.23,85.67,9832,me,master
117,Poppy,3,3.16,33.33,1.57,16.32,125,10997,me,master
118,Zilean,3,1.8,33.33,2.03,11.31,43,8206,me,master
119,Ziggs,3,4.67,66.67,12.55,2.09,240.33,14546,me,master
120,Azir,3,3.31,66.67,11.03,0,191,12675,me,master
121,Zeri,3,2.76,66.67,8.57,1.43,232.67,13886,me,master
122,Renekton,3,2.31,66.67,1.89,7.18,198.67,11482,me,master
123,Evelynn,3,9.17,66.67,1.6,14.64,139,10650,me,master
124,Trundle,3,2.4,100,12.93,0,165.33,12828,me,master
125,Gwen,2,0.79,0,6.64,1,116,7535,me,master
126,Janna,2,1.4,0,2.16,3.45,33,7133,me,master
127,Talon,2,2.7,50,2.07,2.89,196,11264,me,master
128,Brand,2,2.22,50,2.4,3.49,122,11255,me,master
129,Sion,2,0.78,50,6.92,1.73,238,12247,me,master
130,Zyra,2,2.56,100,10.26,3.59,41,10586,me,master
