Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,2652,2.63,51.55,25.15,6.02,187.76,13050,me,platinum
2,Caitlyn,2597,2.06,50.02,24.62,38.41,195.78,13048,me,platinum
3,Yasuo,2209,1.64,50.52,20.94,29.61,207.81,12498,me,platinum
4,Jinx,2005,2.08,50.82,19.01,3.62,196.94,12599,me,platinum
5,Lux,1835,2.59,51.93,17.4,9.25,107.39,10747,me,platinum
6,Zed,1675,2.28,49.43,15.88,29.54,186.48,12932,me,platinum
7,Volibear,1558,1.86,51.99,14.77,17.44,178.46,11852,me,platinum
8,Warwick,1469,2.36,54.12,13.93,19.36,168.87,12522,me,platinum
9,Kayn,1465,2.25,50.51,13.89,11.53,184.7,12657,me,platinum
10,Sylas,1432,2.14,49.65,13.58,9.56,145.25,11520,me,platinum
11,Ashe,1392,2.23,50.43,13.2,3.06,176.73,11821,me,platinum
12,Thresh,1378,2.72,53.05,13.07,6.34,31.05,8513,me,platinum
13,Viktor,1372,2.22,53.72,13.01,14.36,196.42,12200,me,platinum
14,Tahm Kench,1330,2.42,52.33,12.61,18.27,78.07,9941,me,platinum
15,Yone,1268,1.65,48.74,12.02,7.68,203.88,12198,me,platinum
16,Viego,1229,2.53,51.91,11.65,7.67,178.94,12764,me,platinum
17,Ezreal,1191,2.3,49.12,11.29,2.51,186.86,12331,me,platinum
18,Shaco,1154,2.54,50,10.94,19.74,139.38,11926,me,platinum
19,Pantheon,1138,2.12,50.7,10.79,4.98,112.34,11380,me,platinum
20,Diana,1120,2.12,51.43,10.62,4.3,192.63,12844,me,platinum
21,Darius,1106,1.76,48.55,10.49,19.41,189.13,12379,me,platinum
22,Ambessa,1099,2.03,51.14,10.42,45.85,180.51,12111,me,platinum
23,Lulu,1093,3.28,53.98,10.36,16.24,28.03,8394,me,platinum
24,Teemo,1072,1.98,52.61,10.16,14.36,170.49,12117,me,platinum
25,Aatrox,1063,1.98,48.45,10.08,12.57,179.12,11827,me,platinum
26,Swain,1063,2.23,48.64,10.11,5.15,109.47,10637,me,platinum
27,Kai'Sa,1034,2.2,48.84,9.8,1.89,197.59,12860,me,platinum
28,Miss Fortune,1033,2.33,52.27,9.79,0.88,192.87,13175,me,platinum
29,Ekko,1005,2.49,51.44,9.53,2.16,182.5,12801,me,platinum
30,Graves,978,2.53,52.15,9.27,7.21,211.83,14044,me,platinum
31,Lee Sin,976,2.57,52.66,9.25,2.92,159.83,12048,me,platinum
32,Katarina,960,2.26,49.79,9.1,7.12,171.4,12696,me,platinum
33,Hwei,958,2.38,51.04,9.08,8.44,160.47,11575,me,platinum
34,Malzahar,951,2.09,50.79,9.02,16.06,216.59,12631,me,platinum
35,Vayne,932,2.04,51.07,8.84,4.85,176.98,12349,me,platinum
36,Akali,887,2.25,47.91,8.41,7.32,174.1,11846,me,platinum
37,Mordekaiser,887,1.88,52.87,8.41,10.31,177.94,11921,me,platinum
38,Gragas,885,2.28,50.51,8.39,2.92,170.13,11650,me,platinum
39,Vladimir,881,2.29,53.01,8.35,7.98,197.83,12190,me,platinum
40,Draven,875,1.91,51.2,8.3,34.89,193.44,14034,me,platinum
41,Garen,862,1.75,45.48,8.17,7.26,207.66,12792,me,platinum
42,Smolder,835,2.03,47.43,7.92,2.25,203.6,12302,me,platinum
43,Lucian,832,2.26,48.56,7.9,1.28,195.74,12890,me,platinum
44,Brand,822,2.02,52.07,7.79,7.11,104.51,10782,me,platinum
45,Pyke,785,2.07,45.61,7.44,13.72,36.28,10113,me,platinum
46,Sett,782,1.58,51.15,7.41,2.77,179.37,12355,me,platinum
47,Samira,781,2.17,51.47,7.41,15.45,182.6,13549,me,platinum
48,Leona,779,2.5,50.58,7.39,8.83,30.41,8578,me,platinum
49,Master Yi,775,2.03,49.42,7.35,11.28,179.56,12764,me,platinum
50,Wukong,762,2.56,54.46,7.23,4.25,179.42,12508,me,platinum
51,Nocturne,755,2.57,47.42,7.16,11.21,184,12485,me,platinum
52,Irelia,728,1.61,52.06,6.9,7.3,227.34,13675,me,platinum
53,Malphite,724,2.43,48.2,6.86,7.51,156.94,10895,me,platinum
54,Milio,717,3.86,51.74,6.8,6.27,26.96,8013,me,platinum
55,Karma,715,2.64,50.49,6.78,2.5,58.05,9167,me,platinum
56,Dr. Mundo,694,1.98,53.6,6.58,3.29,190.53,11847,me,platinum
57,Udyr,668,2.39,53.59,6.33,8.38,188.84,12341,me,platinum
58,Ahri,667,2.49,53.52,6.32,4.96,180.04,11549,me,platinum
59,Yuumi,652,4.66,50.46,6.18,4.08,15.02,8158,me,platinum
60,Veigar,641,2.11,53.04,6.08,1.52,186.78,12390,me,platinum
61,Morgana,638,2.64,52.04,6.05,34.86,61.38,9658,me,platinum
62,Galio,634,2.56,51.26,6.01,2.58,160.74,11159,me,platinum
63,Jax,621,1.8,49.6,5.89,4.44,181.05,12414,me,platinum
64,Nautilus,613,2.37,48.61,5.81,10.16,33.27,8506,me,platinum
65,Talon,610,2.54,53.77,5.8,2.44,202.1,13530,me,platinum
66,Twitch,597,2.26,52.6,5.66,1.8,153.11,13256,me,platinum
67,Xerath,588,2.85,55.1,5.58,2.87,105.82,11115,me,platinum
68,Renekton,586,1.94,48.81,5.56,4.13,199.91,12666,me,platinum
69,Nasus,583,1.78,52.49,5.53,7.27,180.32,11837,me,platinum
70,Kha'Zix,582,2.61,51.89,5.52,4.12,180.45,13129,me,platinum
71,Janna,582,3.21,52.06,5.52,1.54,27.71,8399,me,platinum
72,Vel'Koz,571,2.28,53.24,5.41,2.53,89.34,10762,me,platinum
73,Fizz,568,2.2,47.89,5.39,10.96,174.56,12825,me,platinum
74,Corki,568,2.33,49.47,5.39,3.54,203.1,13159,me,platinum
75,Seraphine,552,2.71,48.37,5.23,1.34,73.91,9679,me,platinum
76,Riven,549,1.98,51.91,5.21,1.69,188.36,12358,me,platinum
77,Jarvan IV,548,3,53.28,5.2,2.48,146.64,11772,me,platinum
78,Vi,526,2.42,53.42,4.99,1.02,168.35,11907,me,platinum
79,Gangplank,513,1.92,50.1,4.87,1.38,198.48,13689,me,platinum
80,Aphelios,513,1.92,53.02,4.87,1.02,194.77,12764,me,platinum
81,Sion,508,1.51,50.98,4.83,0.48,204.11,12749,me,platinum
82,Poppy,504,2.44,53.17,4.78,3.56,77.58,10206,me,platinum
83,Senna,500,2.68,49,4.74,1.24,44.02,9882,me,platinum
84,Alistar,498,2.41,48.39,4.73,1.8,27.83,8383,me,platinum
