Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,6157,2.11,51.55,30.01,34.3,187.73,13213,me,silver
2,Jhin,5910,2.58,50.66,28.81,9.58,179.28,13229,me,silver
3,Yasuo,4990,1.65,50.52,24.32,24.62,198.09,12506,me,silver
4,Lux,4779,2.57,51.79,23.29,27.4,96.69,10782,me,silver
5,Warwick,3838,2.29,53.39,18.71,26.82,164.32,12711,me,silver
6,Jinx,3812,2.22,51.15,18.58,4.04,189.9,12693,me,silver
7,Volibear,3412,1.87,50.21,16.63,12.39,173.92,12011,me,silver
8,Miss Fortune,3188,2.37,51.91,15.54,3.7,177.7,13060,me,silver
9,Tahm Kench,3137,2.57,53.2,15.29,19.57,88.36,10557,me,silver
10,Zed,3105,2.25,50.5,15.13,28.75,177.99,12992,me,silver
11,Yone,2957,1.73,50.36,14.41,8.37,193.56,12298,me,silver
12,Kayn,2923,2.32,52.21,14.25,10.17,183.13,12884,me,silver
13,Darius,2898,1.82,47.24,14.12,20.98,181.8,12427,me,silver
14,Viego,2725,2.39,50.68,13.28,8.62,177.85,13024,me,silver
15,Shaco,2652,2.46,49.13,12.93,22.73,135.98,11948,me,silver
16,Swain,2652,2.36,50.53,12.93,8.62,101.94,10797,me,silver
17,Viktor,2563,2.18,53.06,12.49,9.25,184.44,12426,me,silver
18,Teemo,2556,1.94,52.9,12.46,26.6,166.74,12165,me,silver
19,Ashe,2441,2.17,49.08,11.9,3.09,166.17,11935,me,silver
20,Ekko,2341,2.42,48.53,11.41,1.56,173.86,12805,me,silver
21,Malzahar,2293,2.25,52.68,11.18,21.17,212.74,12893,me,silver
22,Mordekaiser,2212,1.89,52.35,10.78,18.14,172.93,12328,me,silver
23,Kai'Sa,2211,2.26,50.93,10.78,2.23,192.68,13111,me,silver
24,Master Yi,2179,1.97,48.6,10.62,22.76,179.19,13145,me,silver
25,Pantheon,2139,2.04,50.49,10.43,5.1,101.46,11642,me,silver
26,Akali,2100,2.24,49.76,10.24,12.39,159.4,12086,me,silver
27,Brand,2047,2.03,50.81,9.98,16.59,84.61,10758,me,silver
28,Morgana,1996,2.72,54.01,9.73,39.94,64.24,10172,me,silver
29,Sylas,1975,1.99,49.42,9.63,7.95,134.85,11305,me,silver
30,Sett,1970,1.68,51.07,9.6,3.77,169.07,12322,me,silver
31,Veigar,1957,2.22,53.86,9.54,4.38,172.49,12564,me,silver
32,Thresh,1944,2.62,47.94,9.48,4.08,34.52,8734,me,silver
33,Ezreal,1929,2.32,46.66,9.4,2.75,174.51,12213,me,silver
34,Garen,1921,2,51.95,9.36,5.84,200.79,13067,me,silver
35,Diana,1904,2.06,51.94,9.28,4.26,190.54,13145,me,silver
36,Draven,1880,2,50.32,9.16,27.36,184.83,14105,me,silver
37,Samira,1871,2.07,49.44,9.12,19.81,179.04,13701,me,silver
38,Malphite,1816,2.46,50.61,8.85,6.75,142.82,11243,me,silver
39,Katarina,1797,2.26,49.81,8.76,6.89,164.61,12868,me,silver
40,Pyke,1703,2.04,47.92,8.3,13.98,37.81,10406,me,silver
41,Nautilus,1663,2.38,47.68,8.11,8.59,37.77,8893,me,silver
42,Irelia,1640,1.7,49.7,7.99,6.83,221.42,13849,me,silver
43,Dr. Mundo,1604,2.07,52.12,7.82,5.49,182.65,11961,me,silver
44,Vayne,1580,2,49.81,7.7,4.73,175.03,12743,me,silver
45,Leona,1549,2.46,50.1,7.55,12.62,32.62,8811,me,silver
46,Ambessa,1543,1.89,47.96,7.52,28.56,171.03,11998,me,silver
47,Nocturne,1532,2.56,51.31,7.47,11.08,183.12,12914,me,silver
48,Ahri,1498,2.41,48.73,7.3,4.25,177.37,11886,me,silver
49,Tryndamere,1469,1.75,49.97,7.16,4.25,212.61,13338,me,silver
50,Zyra,1437,2.34,51.91,7,8.2,72.25,10264,me,silver
51,Nasus,1413,1.97,49.75,6.89,8.13,180.19,12108,me,silver
52,Tristana,1349,2.09,48.7,6.59,1.82,175.1,13327,me,silver
53,Yorick,1321,1.83,54.73,6.44,8.77,208.47,13074,me,silver
54,Xerath,1311,2.85,51.79,6.4,4.5,103.54,11160,me,silver
55,Fizz,1306,2.34,50.08,6.37,13.33,163.24,13198,me,silver
56,Senna,1300,2.72,50.08,6.34,1.22,49.44,10346,me,silver
57,Vel'Koz,1271,2.48,53.89,6.19,2.08,89.24,11025,me,silver
58,Lee Sin,1270,2.28,43.07,6.19,2.44,150.95,11971,me,silver
59,Lucian,1225,2.23,48.49,5.97,0.67,189.87,12972,me,silver
60,Briar,1221,2.18,50.94,5.95,10.91,173.62,13439,me,silver
61,Vi,1220,2.17,48.36,5.95,0.99,166.97,12087,me,silver
62,Galio,1210,2.7,53.72,5.9,2.68,135.25,10938,me,silver
63,Lulu,1200,3.21,48.08,5.85,5.74,29.68,8529,me,silver
64,Kha'Zix,1178,2.41,50.25,5.74,4.35,178.38,13232,me,silver
65,Graves,1177,2.25,48.51,5.74,3.19,201.96,13861,me,silver
66,Hwei,1158,2.31,50.86,5.64,3.91,142.1,11399,me,silver
67,Aatrox,1155,1.87,48.14,5.63,7.79,177.5,12214,me,silver
68,Amumu,1137,2.52,51.54,5.54,5.6,161.72,11875,me,silver
69,Jax,1122,1.74,50.45,5.47,3.88,178.69,12534,me,silver
70,Smolder,1088,2.01,46.6,5.3,1.66,196.06,12310,me,silver
71,Illaoi,1083,1.55,49.49,5.28,17.65,186.52,12193,me,silver
72,Wukong,1048,2.61,51.72,5.11,1.2,176.92,12551,me,silver
73,Vladimir,1048,2.16,51.91,5.12,6.8,189.13,12210,me,silver
74,Udyr,1041,2.31,49.18,5.07,3.72,180,12288,me,silver
75,Nami,1040,3.35,52.69,5.07,0.54,25.85,8664,me,silver
76,Trundle,1039,1.73,53.8,5.06,2.14,190.63,12963,me,silver
77,Yuumi,1029,4.83,48.3,5.02,2.96,15.22,8357,me,silver
78,Sion,1020,1.62,51.27,4.97,0.92,195.07,13160,me,silver
79,Gragas,1014,2.18,48.32,4.94,1.53,162.43,11655,me,silver
80,Varus,981,2.11,47.3,4.78,0.46,180.95,12677,me,silver
81,Cho'Gath,973,2.21,51.08,4.74,1.33,164.7,11955,me,silver
82,Nunu & Willump,935,2.44,49.52,4.56,0.87,154.37,11737,me,silver
83,Blitzcrank,933,2.44,47.48,4.55,10.77,31.64,8643,me,silver
84,Shen,926,2.96,52.81,4.52,0.5,112.68,10485,me,silver
85,Kayle,925,1.86,54.27,4.51,1,219.15,13241,me,silver
86,Karma,899,2.52,48.28,4.38,0.8,56.56,9528,me,silver
87,Twitch,870,2.18,44.94,4.24,2.48,151.86,13091,me,silver
88,Fiddlesticks,855,2.41,53.57,4.17,0.77,147.17,12110,me,silver
89,Urgot,849,2.05,54.53,4.14,1.69,186.75,12992,me,silver
