Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"617,853",2.19:1,50.05%,26.15%,36.68%,193.57,"12,555"
2,Jinx,"531,230",2.29:1,49.91%,22.49%,7.16%,192.11,"12,078"
3,Lux,"512,585",2.66:1,50.68%,21.7%,21.82%,103.88,"10,347"
4,Jhin,"462,747",2.76:1,50.22%,19.59%,9.75%,184.5,"12,606"
5,Ashe,"392,259",2.33:1,49.36%,16.6%,12.56%,170.37,"11,410"
6,Miss Fortune,"375,611",2.47:1,51.51%,15.9%,5.41%,180.5,"12,480"
7,Warwick,"373,617",2.21:1,52.68%,15.81%,31.48%,166.9,"12,150"
8,Viktor,"317,138",2.22:1,50.58%,13.42%,16.24%,192.86,"11,862"
9,Teemo,"303,838",1.97:1,51.46%,12.86%,23.15%,169.18,"11,786"
10,Tahm Kench,"301,662",2.44:1,51.5%,12.77%,20.51%,86.85,"9,922"
11,Yasuo,"272,288",1.7:1,49.97%,11.53%,18.6%,202.24,"12,164"
12,Kayn,"267,836",2.29:1,50.78%,11.34%,9.82%,183.97,"12,289"
13,Viego,"263,244",2.43:1,50.07%,11.14%,8.63%,180.99,"12,302"
14,Ahri,"262,123",2.58:1,49.97%,11.1%,7.77%,181.31,"11,393"
15,Swain,"252,848",2.42:1,50.79%,10.7%,10.65%,120.95,"10,489"
16,Yone,"252,173",1.75:1,48.62%,10.67%,11.48%,199.68,"11,950"
17,Ezreal,"244,329",2.48:1,47.68%,10.34%,3.42%,184.04,"11,847"
18,Mordekaiser,"240,418",1.97:1,51.9%,10.18%,16.23%,174.55,"11,806"
19,Volibear,"238,907",1.96:1,50.6%,10.11%,6.27%,176.09,"11,634"
20,Ekko,"238,512",2.42:1,49.85%,10.1%,2.65%,177.61,"12,254"
21,Morgana,"229,864",2.67:1,51%,9.73%,21.32%,68.93,"9,647"
22,Garen,"223,292",2.02:1,50.28%,9.45%,6.46%,206.48,"12,662"
23,Thresh,"220,525",2.67:1,49.23%,9.33%,3.53%,35.39,"8,355"
24,Graves,"218,873",2.42:1,49.77%,9.26%,14.12%,205.65,"13,303"
25,Smolder,"216,290",2.21:1,47.65%,9.16%,3.82%,206.72,"12,199"
26,Veigar,"211,728",2.39:1,51.49%,8.96%,5.27%,179.3,"12,133"
27,Nocturne,"209,845",2.59:1,51.87%,8.88%,16.23%,185.96,"12,340"
28,Dr. Mundo,"206,377",2.16:1,52.59%,8.74%,8.74%,185.86,"11,608"
29,Darius,"203,693",1.82:1,48.83%,8.62%,13.39%,185.04,"12,025"
30,Diana,"202,321",2.12:1,50.63%,8.56%,3.31%,192.37,"12,568"
31,Nami,"200,209",3.39:1,51.55%,8.47%,1.17%,25.44,"8,106"
32,Kai'Sa,"197,592",2.37:1,48.09%,8.36%,1.92%,197.38,"12,612"
33,Malzahar,"195,468",2.25:1,51.82%,8.27%,13.79%,219.12,"12,599"
34,Amumu,"193,868",2.45:1,51.9%,8.21%,7.88%,161.87,"11,282"
35,Sylas,"192,878",2.08:1,48.34%,8.16%,10.08%,145.6,"10,951"
36,Brand,"192,568",2.08:1,51.28%,8.15%,9.52%,106.09,"10,496"
37,Senna,"190,718",2.9:1,50.02%,8.07%,3.31%,46.89,"9,611"
38,Ambessa,"189,488",1.91:1,48.47%,8.02%,36.35%,177.33,"11,643"
39,Akali,"188,811",2.34:1,49.27%,7.99%,10.19%,165.39,"11,660"
40,Seraphine,"186,262",2.82:1,49.67%,7.88%,5.4%,72.26,"9,277"
41,Nautilus,"179,998",2.37:1,48.4%,7.62%,8.75%,41.61,"8,476"
42,Vayne,"178,335",2.07:1,50.1%,7.55%,3.74%,174.91,"12,035"
43,Master Yi,"175,962",1.98:1,49.41%,7.45%,12.4%,179.53,"12,506"
44,Galio,"174,534",2.75:1,51.53%,7.39%,5.93%,149.89,"10,471"
45,Malphite,"173,895",2.51:1,49.98%,7.36%,7.56%,154.14,"10,920"
46,Pantheon,"173,416",2.12:1,49.42%,7.34%,2.16%,116.35,"11,155"
47,Shaco,"172,600",2.62:1,50.19%,7.31%,20.53%,142.17,"11,622"
48,Hwei,"169,605",2.44:1,50.19%,7.18%,6.84%,174.29,"11,406"
49,Xerath,"167,886",2.88:1,50.53%,7.11%,5.92%,115.48,"10,801"
50,Yorick,"166,824",1.8:1,52.72%,7.06%,13.42%,209.5,"12,712"
51,Zyra,"165,344",2.36:1,51.54%,7%,8.37%,77.13,"9,783"
52,Pyke,"162,716",2.14:1,48.72%,6.89%,20.69%,38.66,"9,849"
53,Cho'Gath,"161,917",2.14:1,51.03%,6.85%,2.06%,170.27,"11,572"
54,Lulu,"161,465",3.3:1,49.88%,6.83%,5.79%,30.14,"8,049"
55,Vel'Koz,"159,961",2.39:1,52.13%,6.77%,2.88%,94.04,"10,390"
56,Vi,"157,428",2.33:1,49.47%,6.66%,1.44%,168.56,"11,655"
57,Leona,"156,415",2.5:1,49.86%,6.62%,7.18%,33.41,"8,386"
58,Nasus,"156,130",1.98:1,50.25%,6.61%,6.8%,181.97,"11,813"
59,Irelia,"155,038",1.68:1,50.16%,6.56%,6.97%,219.64,"13,107"
60,Briar,"150,648",2.11:1,52.02%,6.38%,8.58%,171.73,"12,518"
61,Sett,"150,640",1.69:1,51.12%,6.38%,2.16%,172.32,"11,917"
62,Maokai,"148,082",2.52:1,50.86%,6.27%,1.4%,102.76,"9,541"
63,Sion,"146,373",1.59:1,50.64%,6.2%,1.63%,193.23,"12,419"
64,Wukong,"141,646",2.54:1,50.99%,6%,1.54%,173.39,"11,941"
65,Jax,"139,546",1.76:1,48.3%,5.91%,5.01%,176.85,"11,865"
66,Lee Sin,"139,119",2.53:1,47.15%,5.89%,1.83%,161.71,"11,779"
67,Sivir,"135,964",2.45:1,50.78%,5.76%,1.38%,221.66,"12,559"
68,Draven,"134,669",2.01:1,49.18%,5.7%,16.31%,187.14,"13,407"
69,Aatrox,"132,570",1.9:1,49.25%,5.61%,8.06%,177.02,"11,411"
70,Nunu & Willump,"132,029",2.53:1,49.55%,5.59%,1.77%,155.55,"11,058"
71,Tristana,"131,204",2.22:1,48.31%,5.55%,1.85%,176.31,"12,634"
72,Zed,"130,461",2.3:1,48.92%,5.52%,12.36%,184.32,"12,503"
73,Karma,"125,077",2.68:1,49.91%,5.29%,1.4%,53.47,"8,810"
74,Corki,"125,008",2.41:1,48.55%,5.29%,5.15%,201.29,"12,440"
75,Blitzcrank,"123,098",2.45:1,48.99%,5.21%,19.34%,30.84,"8,232"
76,Katarina,"123,083",2.26:1,48.13%,5.21%,4.44%,166.89,"12,158"
77,Trundle,"122,474",1.72:1,51.81%,5.18%,1.95%,190.48,"12,496"
78,Gragas,"120,672",2.22:1,47.36%,5.11%,1.52%,167.33,"11,080"
79,Lucian,"120,032",2.32:1,48.59%,5.08%,0.96%,194.09,"12,405"
80,Fizz,"119,389",2.42:1,51.1%,5.05%,10.85%,168.18,"12,480"
81,Riven,"119,279",1.94:1,49.24%,5.05%,1.89%,186.94,"11,981"
82,Aurora,"118,063",2.46:1,48.63%,5%,7.91%,179.36,"11,438"
83,Soraka,"116,779",2.97:1,50.71%,4.94%,1.94%,27.67,"7,750"
84,Kha'Zix,"116,361",2.42:1,49.08%,4.93%,3.54%,179.4,"12,478"
85,Poppy,"115,358",2.29:1,49.92%,4.88%,4.46%,89.18,"9,911"
86,Illaoi,"115,238",1.56:1,51.32%,4.88%,18.24%,190.67,"11,995"
87,Shen,"115,200",2.9:1,50.57%,4.88%,0.82%,123.19,"10,078"
88,Lillia,"114,451",2.67:1,50.31%,4.84%,6.39%,185.41,"12,064"
89,Vex,"113,850",2.37:1,49.93%,4.82%,7.62%,174.9,"11,534"
90,Syndra,"113,512",2.4:1,49.83%,4.8%,3.78%,195.29,"12,339"
91,Renekton,"112,787",1.94:1,50.27%,4.77%,3.38%,197.95,"12,171"
92,Tryndamere,"111,209",1.68:1,50.11%,4.71%,3.91%,215.66,"12,894"
93,Varus,"109,994",2.22:1,48.25%,4.66%,0.53%,182.58,"12,133"
94,Yuumi,"109,550",4.8:1,46.18%,4.64%,3.58%,14.57,"7,710"
95,Gwen,"108,827",1.77:1,49.05%,4.61%,3.35%,192.66,"12,271"
96,Samira,"106,939",2.05:1,48.29%,4.53%,6.46%,179.17,"12,863"
97,Udyr,"104,733",2.35:1,50.1%,4.43%,4.8%,185.61,"11,790"
98,Jayce,"104,441",1.9:1,46.25%,4.42%,0.58%,195.21,"12,153"
99,Heimerdinger,"101,106",1.84:1,51.41%,4.28%,3.78%,170.85,"11,597"
100,Sona,"100,120",3.05:1,51.27%,4.24%,0.3%,29.08,"8,251"
101,Milio,"99,219",3.83:1,51.43%,4.2%,1.27%,29.08,"7,865"
102,Vladimir,"95,305",2.21:1,49.47%,4.03%,2.57%,194.96,"11,778"
103,Kayle,"95,180",1.92:1,50.83%,4.03%,1.36%,211.31,"12,447"
104,Jarvan IV,"94,603",3.11:1,49.94%,4%,0.82%,161.19,"11,613"
105,Kindred,"94,107",2.2:1,48.59%,3.98%,2.55%,176.94,"12,284"
106,Twitch,"93,909",2.25:1,47.82%,3.98%,3.43%,160.16,"12,416"
107,LeBlanc,"92,569",2.73:1,48.7%,3.92%,8.61%,148.94,"11,333"
108,Fiddlesticks,"91,962",2.41:1,50.17%,3.89%,1.73%,156.07,"11,522"
109,Ziggs,"91,467",2.42:1,50.06%,3.87%,1.49%,182.91,"11,829"
110,Neeko,"91,237",2.29:1,49.46%,3.86%,1.49%,96.56,"10,056"
111,Urgot,"90,528",2:1,51.39%,3.83%,1.53%,192.44,"12,570"
112,Hecarim,"89,238",2.62:1,49.19%,3.78%,2.58%,194.66,"12,179"
113,Aurelion Sol,"88,782",2.64:1,51.01%,3.76%,2.62%,196.09,"12,462"
114,Braum,"88,285",2.88:1,50.18%,3.74%,1.64%,28.34,"8,130"
115,Janna,"87,962",3.27:1,50.6%,3.72%,0.82%,28.43,"8,053"
116,Talon,"87,272",2.3:1,49.11%,3.69%,1.1%,189.63,"12,589"
117,Ornn,"87,231",2.43:1,50.73%,3.69%,0.78%,172.37,"10,908"
118,Zac,"86,597",2.98:1,49.48%,3.67%,2.39%,150.09,"10,858"
119,Aphelios,"86,432",1.99:1,49.13%,3.66%,0.85%,187.38,"12,270"
120,Xin Zhao,"83,764",2.24:1,50.24%,3.55%,0.61%,168.75,"11,730"
121,Xayah,"83,167",2.31:1,49.04%,3.52%,0.54%,199.25,"12,245"
122,Orianna,"79,235",2.65:1,48.62%,3.35%,0.68%,185.39,"11,434"
123,Singed,"78,961",1.88:1,51.48%,3.34%,0.81%,198.05,"11,798"
124,K'Sante,"76,023",2.02:1,47.19%,3.22%,3.35%,178.62,"11,023"
125,Akshan,"75,708",2.2:1,48.54%,3.2%,2.91%,178.53,"12,727"
126,Kog'Maw,"75,679",2.16:1,51.23%,3.2%,2.26%,180.54,"12,277"
127,Bard,"73,781",3.05:1,49.5%,3.12%,0.53%,34.13,"8,618"
128,Ryze,"73,295",2.23:1,50.79%,3.1%,0.39%,208.95,"12,197"
129,Zoe,"70,483",2.45:1,48.46%,2.98%,1.48%,128.07,"10,731"
130,Zilean,"70,311",3.17:1,50.37%,2.98%,0.9%,65.34,"8,859"
131,Gnar,"69,997",1.96:1,49.05%,2.96%,0.66%,180.11,"11,648"
132,Camille,"69,658",1.9:1,48.81%,2.95%,2%,165.75,"11,546"
133,Rengar,"69,644",2.09:1,46.67%,2.95%,2.03%,184.88,"12,346"
134,Anivia,"68,570",2.68:1,50.88%,2.9%,2.66%,169.57,"11,267"
135,Shyvana,"68,251",2.35:1,51.2%,2.89%,1.05%,207.24,"12,496"
136,Gangplank,"67,359",2.11:1,47.95%,2.85%,0.74%,207.19,"13,717"
137,Elise,"67,039",2.42:1,48.69%,2.84%,1.23%,150.61,"11,702"
138,Fiora,"66,426",1.54:1,48.77%,2.81%,3.68%,192.55,"12,142"
139,Naafiri,"65,241",2.26:1,50.94%,2.76%,2.3%,177.07,"12,295"
140,Karthus,"63,369",2.26:1,48.95%,2.68%,1.77%,206.37,"13,170"
141,Rakan,"62,772",2.83:1,48.32%,2.66%,0.28%,32.97,"8,033"
142,Evelynn,"62,543",2.68:1,48.38%,2.65%,2.55%,159.05,"11,833"
143,Alistar,"62,114",2.51:1,48.77%,2.63%,0.84%,33.28,"8,132"
144,Sejuani,"61,761",2.83:1,48.82%,2.61%,0.28%,161.93,"11,036"
145,Rammus,"59,512",2.74:1,49.65%,2.52%,4.99%,150.83,"10,777"
146,Skarner,"59,460",2.79:1,47.27%,2.52%,3.78%,149.65,"10,579"
147,Twisted Fate,"56,850",2.23:1,48.2%,2.41%,0.18%,176.06,"12,351"
148,Bel'Veth,"56,611",2.26:1,48.78%,2.4%,3.01%,183.28,"12,039"
149,Nilah,"55,675",2.15:1,51.92%,2.36%,3.42%,185.23,"12,662"
150,Zeri,"55,229",2.31:1,48.83%,2.34%,0.38%,213.23,"12,890"
151,Rell,"54,261",2.8:1,49.54%,2.3%,0.83%,32.13,"8,418"
152,Taric,"53,881",2.74:1,52.33%,2.28%,0.8%,43.5,"8,332"
153,Lissandra,"52,527",2.37:1,50.08%,2.22%,0.79%,178.66,"11,316"
154,Taliyah,"50,686",2.36:1,49.72%,2.15%,0.48%,187.9,"12,110"
155,Annie,"47,807",2.31:1,49.51%,2.02%,0.67%,142.75,"10,923"
156,Cassiopeia,"46,689",2.08:1,50.31%,1.98%,1.3%,185.19,"11,705"
157,Azir,"45,882",1.97:1,48.05%,1.94%,0.46%,203.57,"12,071"
158,Qiyana,"45,071",2.16:1,47.1%,1.91%,0.33%,173.78,"12,077"
159,Kennen,"41,935",2.09:1,49.44%,1.78%,0.64%,166.05,"11,352"
160,Kassadin,"41,844",2.44:1,49.25%,1.77%,1.32%,180.7,"11,844"
161,Kled,"41,798",2.05:1,50.57%,1.77%,0.74%,170.49,"12,242"
162,Nidalee,"40,737",2.45:1,45.56%,1.72%,0.25%,151.56,"11,318"
163,Renata Glasc,"39,771",2.69:1,48.82%,1.68%,0.29%,33.4,"8,231"
164,Olaf,"39,089",1.72:1,47.8%,1.65%,0.8%,184.91,"12,141"
165,Quinn,"38,614",1.97:1,48.68%,1.63%,0.65%,171.14,"12,310"
166,Rumble,"33,891",2.11:1,48.12%,1.43%,0.25%,175.5,"11,626"
167,Ivern,"31,986",3.29:1,49.48%,1.35%,0.52%,134.43,"10,092"
168,Kalista,"30,508",2.07:1,47.04%,1.29%,0.29%,179.01,"12,450"
169,Rek'Sai,"26,162",2.68:1,48.91%,1.11%,0.49%,157.69,"11,573"
