Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,133141,2.22,50.63,27.41,37.18,187.38,12571,na,bronze
2,Lux,124590,2.72,51.57,25.65,31.27,102.24,10453,na,bronze
3,Jinx,115137,2.29,50.34,23.7,8.31,186.31,12136,na,bronze
4,Miss Fortune,103844,2.52,52.15,21.38,8.41,179.44,12607,na,bronze
5,Jhin,95700,2.72,50.59,19.7,12.89,176.54,12581,na,bronze
6,Warwick,89684,2.23,53.51,18.46,35.49,167.34,12332,na,bronze
7,Ashe,81972,2.31,49.3,16.87,12.49,164.01,11441,na,bronze
8,Teemo,81672,1.99,52.16,16.81,30.17,168.51,11930,na,bronze
9,Tahm Kench,69195,2.44,51.55,14.24,22.07,89.37,10157,na,bronze
10,Morgana,60016,2.71,51.86,12.35,25.79,71.04,9817,na,bronze
11,Yasuo,58520,1.73,50.6,12.05,19.05,197.22,12266,na,bronze
12,Mordekaiser,57388,2.04,52.83,11.81,20.58,172.75,11999,na,bronze
13,Kayn,57192,2.25,50.92,11.77,9.38,183.2,12386,na,bronze
14,Swain,56552,2.42,51.26,11.64,12.22,110.42,10464,na,bronze
15,Viktor,56443,2.2,50.35,11.62,11,181.84,11769,na,bronze
16,Veigar,55630,2.42,52.6,11.45,7.71,177.55,12322,na,bronze
17,Volibear,54236,2.04,51.01,11.16,6.52,173.27,11733,na,bronze
18,Ahri,53969,2.55,49.95,11.11,7.92,175.76,11414,na,bronze
19,Garen,53175,2.09,51.09,10.95,7.14,202.98,12760,na,bronze
20,Yone,52033,1.8,49.32,10.71,11.17,195.15,12080,na,bronze
21,Amumu,51538,2.5,52.91,10.61,10.83,165.86,11512,na,bronze
22,Dr. Mundo,49389,2.21,53.48,10.17,11.15,182.21,11665,na,bronze
23,Viego,49061,2.36,50.76,10.1,7.06,180.39,12418,na,bronze
24,Ekko,48310,2.38,50.01,9.94,2.77,172.47,12277,na,bronze
25,Brand,48307,2.12,52.42,9.94,13.16,103.07,10651,na,bronze
26,Nocturne,48045,2.56,52.36,9.89,17.71,185.7,12513,na,bronze
27,Malzahar,47954,2.28,52.67,9.87,19.06,217.92,12781,na,bronze
28,Darius,45494,1.83,48.52,9.36,13.85,180.47,12070,na,bronze
29,Yorick,44229,1.83,53.9,9.1,18.49,207.53,12830,na,bronze
30,Ezreal,43341,2.44,47.32,8.92,3.13,173.53,11736,na,bronze
31,Diana,42644,2.11,50.77,8.78,3.91,190.16,12707,na,bronze
32,Seraphine,41279,2.83,50.09,8.5,6.18,67.71,9398,na,bronze
33,Master Yi,41271,1.95,50.02,8.5,14.34,180.69,12658,na,bronze
34,Akali,40256,2.35,49.05,8.29,10.7,158.96,11715,na,bronze
35,Nasus,40183,2.02,50.64,8.27,7.63,181.79,12019,na,bronze
36,Malphite,39324,2.51,49.78,8.09,6.13,146.48,11017,na,bronze
37,Cho'Gath,38931,2.18,51.3,8.01,2.69,164.99,11664,na,bronze
38,Senna,38567,2.86,49.63,7.94,2.9,52.49,9843,na,bronze
39,Pantheon,38486,2.14,49.44,7.92,2.51,111.93,11247,na,bronze
40,Smolder,38071,2.24,48.35,7.84,2.85,199.02,12193,na,bronze
41,Shaco,37856,2.55,50.21,7.79,22.67,141.75,11706,na,bronze
42,Zyra,37795,2.41,52.48,7.78,9.81,76.62,9939,na,bronze
43,Kai'Sa,37727,2.32,47.7,7.77,1.9,191.72,12615,na,bronze
44,Vayne,37702,2.05,49.72,7.76,3.98,167.18,12001,na,bronze
45,Thresh,36966,2.57,48.6,7.61,2.65,39.66,8607,na,bronze
46,Nautilus,36919,2.34,47.57,7.6,7.96,44.78,8684,na,bronze
47,Sett,36142,1.73,52.27,7.44,3.09,171.75,12115,na,bronze
48,Galio,35224,2.76,52.24,7.25,5.43,145.9,10580,na,bronze
49,Leona,35005,2.51,50.22,7.21,8,35.17,8556,na,bronze
50,Xerath,34916,2.87,50.7,7.19,7.11,115.37,10919,na,bronze
51,Briar,34698,2.12,53.1,7.14,10.62,172.55,12688,na,bronze
52,Ambessa,34657,1.9,47.85,7.13,26.79,172.71,11694,na,bronze
53,Vel'Koz,33907,2.4,52.65,6.98,3.28,94.51,10564,na,bronze
54,Trundle,32554,1.77,52.23,6.7,2.8,188.07,12590,na,bronze
55,Vi,32327,2.3,49.66,6.65,1.32,167.08,11726,na,bronze
56,Pyke,32214,2.11,48.34,6.63,18.37,40.39,10060,na,bronze
57,Nami,31836,3.39,51.91,6.55,0.98,26.2,8260,na,bronze
58,Sylas,31628,2.04,47.65,6.51,8.21,138.21,10950,na,bronze
59,Tristana,31396,2.21,47.53,6.46,2.75,172.61,12647,na,bronze
60,Graves,30993,2.29,48.63,6.38,5.11,201.54,13254,na,bronze
61,Irelia,30384,1.7,49.61,6.25,6.01,215.9,13222,na,bronze
62,Sion,29933,1.65,51.79,6.16,1.58,186.88,12444,na,bronze
63,Jax,29597,1.78,48.45,6.09,3.28,173.4,12023,na,bronze
64,Hwei,28613,2.43,49.88,5.89,4.39,164.5,11365,na,bronze
65,Nunu & Willump,28381,2.49,50.25,5.84,1.96,156.36,11286,na,bronze
66,Maokai,27955,2.53,50.4,5.75,1.17,96.21,9644,na,bronze
67,Illaoi,27602,1.62,52.57,5.68,22.84,186.97,12063,na,bronze
68,Fizz,27502,2.47,51.56,5.66,13.56,163.9,12577,na,bronze
69,Heimerdinger,27271,1.87,52.14,5.61,5.36,173.28,11794,na,bronze
70,Lillia,26221,2.62,50.8,5.4,6.81,183.44,12179,na,bronze
71,Vex,25955,2.38,49.54,5.34,8.12,171.57,11591,na,bronze
72,Wukong,25719,2.53,51.09,5.29,1.22,171.37,12050,na,bronze
73,Samira,25513,2.03,48.14,5.25,8.61,175.57,12891,na,bronze
74,Tryndamere,25151,1.71,50.48,5.18,4.38,211.65,12942,na,bronze
75,Blitzcrank,24911,2.43,48.49,5.13,18.8,32.86,8399,na,bronze
76,Sivir,24501,2.4,50.97,5.04,1.29,216.02,12581,na,bronze
77,Shen,24376,2.92,50.84,5.02,0.83,115.99,10138,na,bronze
78,Katarina,24298,2.22,47.67,5,4.47,161.49,12221,na,bronze
79,Zed,23302,2.26,47.57,4.8,11.36,176.62,12452,na,bronze
80,Draven,22528,1.98,48.3,4.64,12.97,177.33,13268,na,bronze
81,Gwen,21951,1.77,49.09,4.52,2.7,189.8,12388,na,bronze
82,Kayle,21919,1.95,50.95,4.51,1.51,208.4,12557,na,bronze
83,Neeko,21839,2.27,49.78,4.5,1.85,100.29,10275,na,bronze
