Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jayce,636,2.17,52.2,24.68,2.6,205.58,11865,na,challenger
2,Viego,511,3.12,52.45,19.83,10.01,178.47,11618,na,challenger
3,Corki,492,2.55,52.44,19.09,26.25,215.82,12109,na,challenger
4,Graves,488,2.87,50.61,18.94,31.02,208.12,12984,na,challenger
5,Yasuo,450,2.03,51.11,17.46,43.6,205.08,11192,na,challenger
6,Yone,439,1.89,45.1,17.05,5.85,210.89,11287,na,challenger
7,Ambessa,438,2.19,50.68,17,57.01,184.48,10831,na,challenger
8,Ashe,406,2.64,49.01,15.77,13.06,189.62,10731,na,challenger
9,Riven,391,2.34,51.92,15.17,8.93,198.47,11350,na,challenger
10,Sylas,383,2.5,50.39,14.86,12.77,158.48,10394,na,challenger
11,Nautilus,380,2.5,47.63,14.75,4.46,25.91,7377,na,challenger
12,Jax,351,2.1,53.85,13.62,10.11,180.6,10776,na,challenger
13,Azir,350,1.86,51.43,13.58,6.03,207.86,11774,na,challenger
14,Karma,346,2.94,50.29,13.43,1.27,41.95,7723,na,challenger
15,Swain,339,3.58,52.21,13.16,8.97,183.69,11007,na,challenger
16,Viktor,329,2.48,57.45,14.3,29.35,205.52,11497,na,challenger
17,Jarvan IV,328,3.95,50.61,12.74,1.48,162.36,10925,na,challenger
18,Brand,323,2.45,48.3,12.78,2.88,156.73,9510,na,challenger
19,Ahri,321,2.41,46.42,12.46,5.55,184.37,10352,na,challenger
20,Jinx,319,2.79,51.72,12.39,0.68,220.88,11875,na,challenger
21,Nidalee,318,4.08,56.92,12.35,1.46,175.62,11707,na,challenger
22,Aurora,310,3.02,53.23,12.03,23.77,190.67,11314,na,challenger
23,Jhin,309,3.02,49.51,12,0.56,200.2,11860,na,challenger
24,Caitlyn,308,2.43,50.32,11.95,16.1,212.33,11814,na,challenger
25,Gwen,308,1.66,53.25,11.95,8.34,199.06,12115,na,challenger
26,Poppy,304,2.58,51.97,11.8,14.74,102.55,9260,na,challenger
27,Garen,298,2.45,54.03,11.58,8.92,205.1,11166,na,challenger
28,Lee Sin,292,3.19,50.34,11.33,3.25,163.98,11063,na,challenger
29,Ezreal,290,2.68,50,11.25,3.31,197.76,11157,na,challenger
30,K'Sante,276,2.3,47.46,10.72,7.12,183.63,10504,na,challenger
31,Hwei,274,2.81,52.92,10.63,5.14,197.83,11063,na,challenger
32,Smolder,267,2.29,41.57,10.64,5.2,225.59,12068,na,challenger
33,Draven,261,2.19,46.74,10.13,49.62,195.62,12352,na,challenger
34,Renekton,257,2.02,53.7,9.97,9.47,200.8,11586,na,challenger
