Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,14329,2.18,48.82,20.15,27.34,204.36,12198,na,diamond
2,Jinx,13719,2.36,49.06,19.29,3.07,205.77,11854,na,diamond
3,Jhin,12409,2.89,48.76,17.45,2.31,197.47,12265,na,diamond
4,Viego,11813,2.61,49.03,16.61,13.98,180.28,11948,na,diamond
5,Viktor,11479,2.21,50.73,16.14,26.95,202.55,11528,na,diamond
6,Graves,11073,2.62,50.29,15.57,43.17,204.5,12971,na,diamond
7,Ashe,10752,2.44,50.55,15.12,13.36,187.26,11178,na,diamond
8,Nami,9985,3.52,51.69,14.04,1.15,23.15,7710,na,diamond
9,Sylas,9429,2.16,49.85,13.26,14.76,155.87,10721,na,diamond
10,Lulu,9342,3.52,50.76,13.14,10.7,25.94,7625,na,diamond
11,Ezreal,9317,2.56,48.42,13.1,3.41,197.43,11652,na,diamond
12,Yone,8834,1.7,48.46,12.42,10.43,207.68,11566,na,diamond
13,Smolder,8662,2.13,46.86,12.18,4.7,213.96,11895,na,diamond
14,Corki,8485,2.51,49.58,11.93,17.92,207.6,12201,na,diamond
15,Lux,8046,2.7,49.74,11.31,2.49,124,10221,na,diamond
16,Yasuo,7723,1.79,50.74,10.86,22.28,207.93,11655,na,diamond
17,Ekko,7588,2.69,50.67,10.67,2.29,186.84,12088,na,diamond
18,Hwei,7372,2.51,50.07,10.37,12.04,187.94,11215,na,diamond
19,Ahri,7224,2.71,50.15,10.16,4.42,191.31,11145,na,diamond
20,Thresh,7188,2.81,50.13,10.11,3.93,28.67,7735,na,diamond
21,Ambessa,7062,1.9,48.54,9.93,53.27,184.98,11359,na,diamond
22,Kayn,6778,2.49,51.3,9.53,9.34,184.69,12065,na,diamond
23,Karma,6724,2.87,51.13,9.46,2.47,41.08,8178,na,diamond
24,Lee Sin,6515,2.8,48.83,9.16,2.96,164.11,11503,na,diamond
25,Galio,6423,2.78,51.04,9.03,8.66,158.23,10064,na,diamond
26,Tahm Kench,6113,2.29,50.6,8.6,8.33,75.81,8941,na,diamond
27,Nautilus,6026,2.38,48.57,8.47,9,31.38,7732,na,diamond
28,Maokai,6005,2.43,50.34,8.44,1.68,104.81,8952,na,diamond
29,Gragas,5948,2.36,51.31,8.36,3.58,176.33,10922,na,diamond
30,Swain,5897,2.45,49.43,8.29,5,150.47,10464,na,diamond
31,Kai'Sa,5891,2.5,49.01,8.28,1.07,206.01,12340,na,diamond
