Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,42107,2.2,48.96,22.89,33.8,207.77,12637,na,emerald
2,Jinx,37116,2.36,49.4,20.17,4.57,206.43,12126,na,emerald
3,Jhin,35080,2.85,49.87,19.07,4.41,197.87,12631,na,emerald
4,Viktor,29868,2.2,50.06,16.23,25.43,204.92,11852,na,emerald
5,Ashe,28895,2.42,50.12,15.71,12.96,186.5,11523,na,emerald
6,Lux,25504,2.67,49.32,13.86,5.24,116.56,10372,na,emerald
7,Graves,25365,2.53,49.92,13.79,34.64,208.35,13256,na,emerald
8,Viego,24840,2.6,49.62,13.5,12.8,182.65,12218,na,emerald
9,Ezreal,23393,2.51,48.39,12.72,3.37,198.01,11939,na,emerald
10,Smolder,22263,2.17,47.03,12.1,5.07,216.69,12232,na,emerald
11,Nami,21796,3.44,51.24,11.85,1.4,24.35,7923,na,emerald
12,Sylas,21063,2.14,49.65,11.45,14.49,155.99,11012,na,emerald
13,Lulu,20987,3.46,51.33,11.41,12.94,27.38,7870,na,emerald
14,Thresh,20935,2.79,50.72,11.38,4.71,30.25,8050,na,emerald
15,Tahm Kench,20740,2.38,51.11,11.27,16.68,76.21,9343,na,emerald
16,Ekko,19890,2.61,51.1,10.81,2.83,189.34,12399,na,emerald
17,Yasuo,19628,1.69,49.24,10.67,17.72,211.14,12038,na,emerald
18,Ahri,19550,2.71,50.63,10.63,6.35,194.59,11507,na,emerald
19,Yone,18900,1.68,47.88,10.27,11.26,211.06,11891,na,emerald
20,Warwick,18176,2.2,51.33,9.88,22.55,169.61,11897,na,emerald
21,Swain,17579,2.48,50.65,9.56,7.32,146.05,10634,na,emerald
22,Hwei,17535,2.48,50.01,9.53,10.76,185.84,11406,na,emerald
23,Kayn,17259,2.39,50.49,9.38,9.97,188.85,12254,na,emerald
24,Ambessa,17212,1.89,49.16,9.36,51.14,183.99,11550,na,emerald
25,Corki,17133,2.49,49.49,9.31,13.51,209.97,12555,na,emerald
26,Kai'Sa,16177,2.47,48.66,8.79,1.57,206.9,12608,na,emerald
27,Senna,15969,2.97,51.27,8.68,3.93,39.01,9302,na,emerald
28,Lee Sin,15727,2.71,47.8,8.55,2.38,164.53,11707,na,emerald
29,Volibear,15458,1.88,50.13,8.4,5.44,184.43,11554,na,emerald
30,Galio,14817,2.76,51.62,8.05,7.62,158.27,10392,na,emerald
31,Aatrox,14394,1.88,49.97,7.82,12.34,183.91,11329,na,emerald
32,Karma,14360,2.73,49.55,7.81,2.2,47.49,8524,na,emerald
33,Akali,14093,2.39,50.11,7.66,8.68,180.2,11699,na,emerald
34,Diana,13865,2.2,51.52,7.54,2.37,198.79,12433,na,emerald
35,Maokai,13523,2.49,52,7.35,1.71,115.16,9439,na,emerald
36,Nautilus,13204,2.37,48.5,7.18,9.76,35.04,8108,na,emerald
37,Gragas,13158,2.31,48.91,7.15,3.64,177.75,11158,na,emerald
38,Riven,13155,1.93,51.56,7.15,3.9,197.1,12039,na,emerald
39,Irelia,13128,1.6,50.95,7.14,8.39,228.77,13020,na,emerald
40,Wukong,13051,2.62,50.59,7.09,2.09,177.23,11811,na,emerald
41,Syndra,13025,2.38,50.93,7.08,5.87,205.82,12316,na,emerald
42,Miss Fortune,12846,2.5,51.33,6.98,0.62,201.43,12730,na,emerald
43,Kha'Zix,12777,2.62,50.59,6.94,6.63,184.62,12465,na,emerald
44,Draven,12735,2.04,49.9,6.92,24.76,199.14,13609,na,emerald
45,Pyke,12705,2.19,49.64,6.91,27.82,36.01,9649,na,emerald
46,Garen,12660,1.93,49.12,6.88,4.28,219.82,12627,na,emerald
47,Vayne,12582,2.1,50.88,6.84,3.4,187.92,12024,na,emerald
48,Sivir,12406,2.52,50.98,6.74,1.46,229.99,12585,na,emerald
49,Dr. Mundo,12226,2.09,51.1,6.65,4.73,198.68,11597,na,emerald
50,Mordekaiser,12195,1.82,50.38,6.63,6.94,184.54,11549,na,emerald
51,Nocturne,12178,2.76,50.67,6.62,9.25,189.19,12043,na,emerald
52,Darius,12167,1.81,49.31,6.61,11.63,196.32,12020,na,emerald
53,Xerath,12075,2.91,49.67,6.56,3,119.12,10619,na,emerald
54,Shaco,12017,2.74,50.65,6.53,14.76,141.25,11428,na,emerald
55,Pantheon,11900,2.16,49.85,6.47,1.48,127.54,11059,na,emerald
56,Jayce,11860,1.87,47.35,6.45,1.01,204.14,12210,na,emerald
57,Aurora,11825,2.51,49.8,6.43,13.62,191.21,11555,na,emerald
58,Lucian,11823,2.35,49.6,6.43,0.97,204.14,12417,na,emerald
59,Janna,11811,3.4,50.86,6.42,2,26.15,7906,na,emerald
60,Zed,11641,2.34,50.17,6.33,13.44,193.14,12487,na,emerald
61,Vladimir,11615,2.28,50.03,6.31,4.61,206.46,11852,na,emerald
62,Teemo,11379,1.93,50.22,6.19,9.18,178.4,11583,na,emerald
63,Vi,11331,2.49,48.77,6.16,1.37,174.53,11616,na,emerald
64,Renekton,11318,1.94,50.46,6.15,5.94,203.19,12024,na,emerald
65,Master Yi,10966,2.19,50.19,5.96,10.5,184.23,12526,na,emerald
66,Seraphine,10875,2.96,49.54,5.91,3.64,93.78,9323,na,emerald
67,Malzahar,10867,2.21,50.64,5.91,4.43,220.23,12099,na,emerald
68,Jarvan IV,10846,3.23,49.03,5.9,1.22,161.11,11382,na,emerald
69,Milio,10824,3.89,50.02,5.88,2.37,26.21,7610,na,emerald
70,Malphite,10757,2.51,50.03,5.85,9.42,170.86,10767,na,emerald
71,Katarina,10740,2.37,49.21,5.84,5.01,176.66,12211,na,emerald
72,Vel'Koz,10692,2.35,50.37,5.81,1.88,91.08,10053,na,emerald
73,Leona,10611,2.52,49.81,5.77,5.42,29.96,8082,na,emerald
74,Sion,10431,1.56,49.57,5.67,0.85,202.39,12256,na,emerald
75,Hecarim,10427,2.8,49.86,5.67,5.34,202.73,12315,na,emerald
76,Poppy,10370,2.27,51.19,5.64,9.24,94.73,9744,na,emerald
77,Soraka,10301,3.03,50.67,5.6,2.03,25.93,7543,na,emerald
78,K'Sante,10238,2.12,48.28,5.56,6.61,184.19,10920,na,emerald
79,Jax,10111,1.72,48.09,5.5,9.33,186.43,11683,na,emerald
80,Camille,9793,1.97,50.37,5.32,4.4,174.69,11636,na,emerald
81,Zyra,9774,2.28,49.88,5.31,4.51,80.32,9539,na,emerald
82,Varus,9773,2.24,48.55,5.31,0.46,195.65,12179,na,emerald
83,Gwen,9405,1.84,51.32,5.11,4.76,204.66,12488,na,emerald
84,Kindred,9313,2.5,51.69,5.06,5.98,181.41,12325,na,emerald
85,Talon,9294,2.47,50.91,5.05,1.8,200.94,12794,na,emerald
86,Cho'Gath,9293,2.08,51.02,5.05,0.86,185.04,11441,na,emerald
87,Bard,9168,3.2,50.17,4.98,0.66,29.89,8357,na,emerald
88,Braum,9149,3.02,52.19,4.97,3.21,26.19,7876,na,emerald
89,Yuumi,9147,4.71,48.32,4.97,4.97,15.01,7591,na,emerald
90,Brand,9126,2.09,50.04,4.96,3.01,123.28,10329,na,emerald
91,Rengar,9117,2.26,48.09,4.96,4.67,192.04,12504,na,emerald
92,Elise,9064,2.6,50.28,4.93,3.35,152.49,11704,na,emerald
93,Blitzcrank,9061,2.56,49.43,4.93,20.5,27.1,7965,na,emerald
94,Shen,8988,2.85,50.59,4.89,0.82,131.92,9921,na,emerald
95,Fiddlesticks,8972,2.58,52.1,4.88,3.29,158.75,11283,na,emerald
96,Sona,8918,3.16,52.07,4.85,0.27,26.31,8045,na,emerald
97,Aphelios,8885,2,47.87,4.83,0.63,199.53,12310,na,emerald
98,Veigar,8857,2.33,48.58,4.81,1.16,194.45,11997,na,emerald
99,LeBlanc,8732,2.76,50.07,4.75,13.29,158.73,11395,na,emerald
100,Zac,8692,2.97,48.67,4.72,4.93,154.09,10748,na,emerald
101,Nunu & Willump,8676,2.78,50.22,4.72,1.2,159.23,10891,na,emerald
102,Morgana,8526,2.72,50.6,4.63,10.51,66.21,9275,na,emerald
103,Amumu,8253,2.4,49.33,4.49,2.67,153.49,10746,na,emerald
104,Udyr,8220,2.6,49.56,4.47,7.33,190.3,11641,na,emerald
105,Ornn,8129,2.54,50.92,4.42,0.7,179.33,10745,na,emerald
106,Briar,8121,2.13,50.56,4.41,3.63,174.94,12300,na,emerald
107,Nasus,7901,1.86,48.96,4.29,5.23,187.02,11383,na,emerald
108,Sett,7867,1.66,49.56,4.28,0.74,180.73,11763,na,emerald
109,Orianna,7833,2.63,48.49,4.26,0.68,200.25,11584,na,emerald
110,Fizz,7556,2.38,50.46,4.11,6.07,181.43,12445,na,emerald
111,Fiora,7505,1.5,49.46,4.08,6.57,200.81,12190,na,emerald
112,Yorick,7451,1.76,49.31,4.05,5.15,217.3,12445,na,emerald
