Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,106609,2.2,50.41,27.09,39,203.22,12834,na,gold
2,Jinx,88059,2.34,50.32,22.38,6.32,203.11,12374,na,gold
3,Jhin,82613,2.79,50.22,21,8.18,193.14,12870,na,gold
4,Lux,76832,2.66,50.4,19.53,15.55,106.83,10428,na,gold
5,Ashe,62546,2.37,49.73,15.9,11.82,180.18,11659,na,gold
6,Viktor,60879,2.23,50.69,15.47,19.64,200.49,12075,na,gold
7,Warwick,58536,2.27,52.98,14.88,29.67,172.98,12317,na,gold
8,Tahm Kench,51165,2.47,52.03,13,22.53,89.42,9971,na,gold
9,Miss Fortune,47367,2.51,51.47,12.04,2.43,194.8,12852,na,gold
10,Kayn,46608,2.35,51.27,11.84,10.87,189.15,12446,na,gold
11,Yasuo,45058,1.67,49.74,11.45,17.46,211.84,12356,na,gold
12,Teemo,44338,1.96,51.38,11.27,19.3,177.49,11964,na,gold
13,Viego,43847,2.5,50.09,11.14,9.01,185.65,12495,na,gold
14,Graves,43560,2.43,50.06,11.07,16.18,209.52,13483,na,gold
15,Ezreal,43244,2.5,47.77,10.99,3.75,192.52,12132,na,gold
16,Swain,42791,2.42,50.9,10.87,10.25,127.35,10646,na,gold
17,Ahri,42171,2.67,50.55,10.72,7.71,191.86,11730,na,gold
18,Thresh,40824,2.75,50.19,10.37,4.14,34.28,8375,na,gold
19,Yone,40216,1.73,48.36,10.22,11.7,210.15,12213,na,gold
20,Smolder,39490,2.22,47.84,10.04,4.57,213.62,12431,na,gold
21,Ekko,39239,2.48,50.57,9.97,2.5,185.14,12479,na,gold
22,Volibear,38837,1.94,51.05,9.87,6.83,184.42,11878,na,gold
23,Nami,36994,3.42,51.97,9.4,1.44,26,8183,na,gold
24,Mordekaiser,36620,1.97,52.11,9.31,15.39,185.75,12040,na,gold
25,Nocturne,35731,2.71,52.37,9.08,18.83,190.6,12436,na,gold
26,Kai'Sa,35546,2.42,48.12,9.03,1.96,205.01,12853,na,gold
27,Ambessa,34442,1.93,48.65,8.75,42.86,183.31,11872,na,gold
28,Diana,34136,2.16,51.3,8.68,3.08,200.46,12824,na,gold
29,Garen,33755,1.99,50.76,8.58,6.7,218.01,12989,na,gold
30,Malzahar,33405,2.22,50.99,8.49,12.58,225.01,12639,na,gold
31,Darius,33167,1.83,49.49,8.43,14.22,194.55,12296,na,gold
32,Sylas,32770,2.1,48.84,8.33,11.07,149.98,11143,na,gold
33,Dr. Mundo,32666,2.16,52.2,8.3,7.99,195.6,11820,na,gold
34,Vayne,32058,2.11,50.62,8.15,3.71,184.43,12270,na,gold
35,Lulu,31850,3.37,50.28,8.09,7.78,29.71,8116,na,gold
36,Senna,31269,2.93,50.74,7.95,3.56,44.82,9631,na,gold
37,Hwei,31035,2.48,50.8,7.89,8.23,180.71,11665,na,gold
38,Morgana,30847,2.68,51.24,7.84,21.13,68.99,9660,na,gold
39,Amumu,29995,2.46,51.21,7.62,7.16,164.41,11327,na,gold
40,Xerath,29726,2.91,50.86,7.55,5.59,117.7,10918,na,gold
41,Veigar,29485,2.4,51.57,7.49,3.16,191.35,12382,na,gold
42,Vel'Koz,29263,2.41,52.71,7.44,2.92,95.7,10467,na,gold
43,Akali,29228,2.36,50.18,7.43,10,174.28,11893,na,gold
44,Brand,29175,2.06,51.12,7.41,8.38,110.62,10545,na,gold
45,Shaco,29163,2.7,50.44,7.41,21.25,144.69,11746,na,gold
46,Malphite,29000,2.55,50.53,7.37,8.97,163.68,11098,na,gold
47,Galio,28919,2.75,51,7.35,5.77,155.76,10606,na,gold
48,Nautilus,28729,2.41,48.83,7.3,9.94,42.62,8516,na,gold
49,Sion,28684,1.53,49.65,7.29,2.16,200.65,12607,na,gold
50,Pantheon,27434,2.11,49.44,6.97,2.07,121.02,11287,na,gold
51,Irelia,27117,1.69,51.49,6.89,7.96,230.05,13436,na,gold
52,Maokai,26861,2.54,50.8,6.83,1.63,107.14,9658,na,gold
53,Zyra,26805,2.35,51.42,6.81,8.97,71.6,9671,na,gold
54,Vi,26570,2.41,50.2,6.75,1.61,174.93,11864,na,gold
55,Pyke,26244,2.16,49.2,6.67,18.75,38.81,9963,na,gold
56,Lee Sin,25942,2.57,47.54,6.59,2.01,164.92,11927,na,gold
57,Cho'Gath,25891,2.15,51.18,6.58,1.55,180.55,11799,na,gold
