Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Corki,1251,2.67,50.76,19.69,24.68,209.81,11909,na,grandmaster
2,Viktor,1146,2.31,52.36,18.04,25.3,203.71,11208,na,grandmaster
3,Ezreal,1031,2.52,48.79,16.23,3.76,196.78,11157,na,grandmaster
4,Ambessa,1025,2.15,52,16.13,54.81,183.24,10739,na,grandmaster
5,Graves,1019,2.68,49.66,16.04,36.08,203.91,12719,na,grandmaster
6,Caitlyn,1012,2.31,47.73,15.93,16.53,205.92,11750,na,grandmaster
7,Viego,1001,2.94,52.55,15.75,12.4,181.76,11792,na,grandmaster
8,Yone,998,1.86,47.29,15.71,8.42,209.05,11270,na,grandmaster
9,Ashe,990,2.6,51.41,15.58,14.32,189.67,10959,na,grandmaster
10,Ahri,967,2.84,51.6,15.22,4.38,195.68,11038,na,grandmaster
11,Nautilus,917,2.47,48.96,14.43,6.53,27.44,7453,na,grandmaster
12,Sylas,894,2.25,48.43,14.07,14.88,159.28,10282,na,grandmaster
13,Jhin,872,2.82,45.3,13.72,0.89,196.8,11677,na,grandmaster
14,Akali,842,2.39,46.56,13.25,9.8,180.62,10973,na,grandmaster
15,Jinx,801,2.47,47.07,12.61,0.93,205.42,11428,na,grandmaster
16,Syndra,761,2.44,48.49,11.98,10.41,207.25,11699,na,grandmaster
17,Lux,736,3.4,48.37,11.58,2.24,160.53,10711,na,grandmaster
18,Hwei,728,2.64,49.59,11.46,7.88,196.8,11065,na,grandmaster
19,Hecarim,722,2.79,50,11.36,7.42,194.34,11479,na,grandmaster
20,Smolder,712,2.08,41.71,11.21,5,211.42,11375,na,grandmaster
21,Nami,705,3.68,52.91,11.1,0.42,22.33,7649,na,grandmaster
22,Bard,693,3.46,51.8,10.92,1.41,24.37,7814,na,grandmaster
23,K'Sante,687,2.35,48.91,10.81,7.55,186,10407,na,grandmaster
24,Janna,685,3.85,48.18,10.78,1.93,23.75,7374,na,grandmaster
25,Karma,669,2.9,46.94,10.53,1.58,41.71,7768,na,grandmaster
26,Senna,661,3.3,52.8,10.4,3.99,34.47,8663,na,grandmaster
27,Gragas,652,2.59,52.45,10.27,2.59,176.78,10717,na,grandmaster
28,Lee Sin,649,3.13,51.46,10.21,3.14,163.04,11176,na,grandmaster
29,Zyra,646,2.45,48.3,10.18,5.07,157.5,9999,na,grandmaster
30,Maokai,642,2.47,48.6,10.12,0.68,92.05,8260,na,grandmaster
31,Kha'Zix,642,3,51.4,10.1,9.68,190.34,11731,na,grandmaster
32,Riven,591,2.09,52.28,9.3,8.65,192.79,11364,na,grandmaster
33,Pyke,587,2.23,51.28,9.24,48.37,40.16,9055,na,grandmaster
34,Swain,586,2.69,51.37,9.22,4.27,171.46,10408,na,grandmaster
35,Lulu,583,3.54,49.91,9.18,5.22,26.43,7452,na,grandmaster
36,Rakan,582,3.09,48.63,9.16,0.77,25.82,7442,na,grandmaster
37,Galio,580,2.76,48.62,9.13,6.91,148.27,9439,na,grandmaster
38,Aurora,573,2.52,47.82,9.02,23.46,188.28,10943,na,grandmaster
39,Tristana,565,2.45,51.33,8.9,0.97,193.37,12268,na,grandmaster
40,Kindred,564,2.49,52.3,8.88,20.64,175.71,11740,na,grandmaster
41,Zac,552,3.31,49.82,8.69,9.21,172.91,10673,na,grandmaster
42,Tahm Kench,538,2.51,54.28,8.47,2.29,55.63,8512,na,grandmaster
43,Jayce,531,2.02,49.53,8.37,1.7,208.07,11973,na,grandmaster
44,Zed,530,2.28,49.62,8.34,13.54,194.91,12120,na,grandmaster
45,Renekton,526,1.97,52.09,8.28,8.15,194.72,10926,na,grandmaster
46,Talon,525,2.61,49.52,8.26,2.53,194.86,11987,na,grandmaster
47,Sona,524,3.33,52.86,8.26,0.78,27.31,7809,na,grandmaster
48,Seraphine,502,3.01,49.8,7.9,5.44,124.39,9077,na,grandmaster
49,Aatrox,481,2,48.65,7.57,5.36,182.6,10844,na,grandmaster
50,Draven,472,2.17,49.58,7.43,53.46,196.25,13015,na,grandmaster
51,Thresh,470,2.99,47.87,7.4,3.1,25.32,7318,na,grandmaster
52,Yasuo,464,2.05,50.22,7.3,38.43,210.24,11484,na,grandmaster
53,Poppy,462,2.34,52.16,7.27,14.57,82.46,8892,na,grandmaster
54,Karthus,448,2.63,53.57,7.05,10.46,203.27,12479,na,grandmaster
55,Jarvan IV,440,3.15,42.73,6.93,1.12,155.78,10484,na,grandmaster
56,Udyr,440,2.96,50.45,6.93,14.41,180.83,11015,na,grandmaster
57,Wukong,437,2.63,50.8,6.88,0.76,175.14,11139,na,grandmaster
58,Miss Fortune,436,2.75,52.06,6.86,0.25,205.29,12354,na,grandmaster
59,Shen,428,2.99,50.7,6.74,0.45,152.15,9547,na,grandmaster
60,Jax,413,2.02,52.78,6.5,12.33,184.29,11106,na,grandmaster
61,Rengar,403,2.44,49.38,6.34,18.34,185.63,11854,na,grandmaster
62,Kayn,390,2.75,48.46,6.14,5.4,193.67,11996,na,grandmaster
63,Leona,385,2.6,48.31,6.06,2.05,24.95,7369,na,grandmaster
64,Shaco,385,3.03,52.47,6.06,13.56,133.12,10785,na,grandmaster
65,Lucian,381,2.6,51.44,6,0.3,200.88,11811,na,grandmaster
66,Gnar,375,2.07,54.67,5.9,1.79,189.75,11009,na,grandmaster
67,Braum,374,2.9,47.33,5.89,5,23.17,7113,na,grandmaster
68,Gwen,362,1.75,52.49,5.7,7.28,201.21,11887,na,grandmaster
69,Blitzcrank,362,2.71,53.87,5.7,14.39,23.56,7398,na,grandmaster
70,Kai'Sa,360,2.66,46.94,5.67,0.62,203.56,12121,na,grandmaster
71,Rell,358,3.17,47.21,5.64,2.39,23.64,7461,na,grandmaster
72,Orianna,356,2.99,51.4,5.61,0.89,199.63,11001,na,grandmaster
73,Taliyah,346,2.46,47.11,5.45,1.56,196.23,11516,na,grandmaster
74,Zoe,341,2.8,55.13,5.37,2.49,114.48,9788,na,grandmaster
75,Rek'Sai,339,2.93,58.11,5.34,1.34,172.1,11906,na,grandmaster
76,Diana,337,2.27,51.93,5.3,0.69,198.74,11858,na,grandmaster
77,Alistar,334,2.66,50.9,5.26,1.37,22.21,7308,na,grandmaster
78,Sivir,333,2.45,46.85,5.25,0.38,218.96,11559,na,grandmaster
79,Qiyana,324,2.9,55.86,5.1,1.64,192.25,11947,na,grandmaster
80,Varus,321,2.23,45.17,5.05,0.33,195.06,11270,na,grandmaster
81,Akshan,321,3,52.02,5.05,5.6,198.78,12777,na,grandmaster
82,Irelia,316,1.65,51.27,4.97,6.49,213.48,12031,na,grandmaster
83,Darius,315,1.96,49.21,4.96,7.15,192.65,11189,na,grandmaster
84,Nunu & Willump,314,2.64,55.41,4.95,5.22,139.03,9768,na,grandmaster
85,Lissandra,313,2.77,54.95,4.93,0.38,196.7,10876,na,grandmaster
86,Camille,310,2.06,50.65,4.88,2.65,167.29,10974,na,grandmaster
87,Ekko,302,2.9,51.66,4.76,1.35,193.21,12230,na,grandmaster
88,Ryze,294,2.08,50.68,4.63,0.6,209.19,11190,na,grandmaster
89,Milio,286,3.92,48.25,4.5,0.64,23.53,7100,na,grandmaster
90,Malphite,285,2.4,45.26,4.49,6.15,167.93,9600,na,grandmaster
91,Ornn,278,2.44,49.64,4.38,0.17,178.47,9990,na,grandmaster
92,Garen,268,2.16,45.15,4.22,7.25,212.09,11800,na,grandmaster
93,Volibear,267,2.1,49.81,4.21,1.18,178.63,10824,na,grandmaster
94,Tryndamere,262,1.7,47.33,4.12,2.05,214.88,11765,na,grandmaster
95,LeBlanc,258,2.95,54.26,4.06,20.32,149.07,10735,na,grandmaster
96,Soraka,257,3.42,54.09,4.05,2.55,24.16,7138,na,grandmaster
97,Skarner,256,3.12,50.78,4.03,13.09,149.75,10093,na,grandmaster
98,Zilean,256,3.76,50.78,4.03,2.64,87.91,8152,na,grandmaster
99,Kassadin,256,2.56,52.73,4.03,1.34,184.39,11093,na,grandmaster
100,Dr. Mundo,254,2.23,48.03,4,0.78,198.15,10923,na,grandmaster
101,Fiora,253,1.5,48.62,3.98,9.46,201.91,11287,na,grandmaster
102,Warwick,246,1.96,54.47,3.87,9.58,169.5,11612,na,grandmaster
103,Urgot,241,1.71,43.57,3.8,1.14,191.95,11300,na,grandmaster
104,Neeko,237,2.97,55.27,3.73,1.86,61.15,8365,na,grandmaster
105,Taric,236,2.62,54.24,3.72,0.45,36.23,7420,na,grandmaster
106,Gangplank,236,2.48,54.66,3.72,0.45,214.47,12992,na,grandmaster
107,Kennen,231,2.2,53.25,3.64,4.39,184.73,10638,na,grandmaster
108,Aphelios,230,2.04,51.3,3.62,0.21,201.4,11642,na,grandmaster
109,Azir,229,2.19,54.15,3.6,3.15,218.42,12113,na,grandmaster
110,Bel'Veth,228,3.1,53.51,3.59,25.24,171.49,11481,na,grandmaster
111,Kog'Maw,224,2.1,49.11,3.53,2.06,191.65,11588,na,grandmaster
112,Xerath,217,3.08,46.54,3.42,0.28,145.03,10325,na,grandmaster
113,Anivia,212,3.09,50.47,3.34,1.02,188.66,10482,na,grandmaster
114,Vladimir,209,2.32,48.8,3.29,2.24,203.37,11129,na,grandmaster
115,Naafiri,206,2.65,51.46,3.25,0.49,190.21,11303,na,grandmaster
116,Cho'Gath,200,2.07,49,3.38,0.12,187.32,10662,na,grandmaster
117,Pantheon,198,2.46,55.56,3.12,0.28,120.83,10310,na,grandmaster
118,Ziggs,194,2.91,54.64,3.06,0.61,203.86,11712,na,grandmaster
119,Xin Zhao,189,2.68,52.91,2.98,0.35,162.48,11113,na,grandmaster
120,Xayah,187,2.43,45.45,2.94,0.25,207.52,11379,na,grandmaster
121,Kalista,187,2.33,54.55,2.95,0.42,189.59,11717,na,grandmaster
122,Elise,185,2.67,44.32,2.91,2.47,146.71,10776,na,grandmaster
123,Vi,181,2.72,51.38,2.85,0.31,168.45,10648,na,grandmaster
124,Kled,179,1.78,50.28,2.82,0.38,186.6,11102,na,grandmaster
125,Nidalee,178,3.48,50,2.8,1.18,172.44,11301,na,grandmaster
126,Heimerdinger,178,2.03,56.74,2.9,0.34,181.01,10604,na,grandmaster
127,Veigar,177,2.4,42.37,2.79,0.32,194.71,11209,na,grandmaster
128,Sett,177,1.96,53.11,2.88,0.15,178.55,11103,na,grandmaster
