Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,3922,2.22,47.58,17.48,19.35,205.58,11986,na,master
2,Jinx,3858,2.39,50.36,17.2,1.78,204,11644,na,master
3,Ashe,3848,2.49,51.12,17.15,14,186.93,10995,na,master
4,Viego,3843,2.73,48.22,17.13,12.77,177.48,11689,na,master
5,Graves,3784,2.7,51.03,16.87,42.73,200.64,12634,na,master
6,Viktor,3744,2.26,50.67,16.69,27.26,201.29,11242,na,master
7,Jhin,3719,2.93,48.67,16.58,1.08,193.97,11935,na,master
8,Ezreal,3339,2.57,50.22,14.88,3.98,196.31,11411,na,master
9,Corki,3270,2.57,50.86,14.58,23.34,206.91,11893,na,master
10,Sylas,3121,2.24,50.27,13.91,14.31,154.49,10450,na,master
11,Nami,2944,3.45,48.47,13.12,0.63,22.75,7477,na,master
12,Nautilus,2941,2.41,51.31,13.11,8.57,32.72,7581,na,master
13,Yone,2897,1.77,46.88,12.91,10.07,206.78,11363,na,master
14,Karma,2809,2.89,51.58,12.52,2.37,42.57,7944,na,master
15,Hwei,2687,2.67,51.58,11.98,10.87,192.26,11009,na,master
16,Lulu,2621,3.46,49.87,11.68,7.07,25.93,7426,na,master
17,Smolder,2534,2.11,44.91,11.3,4.61,208.28,11402,na,master
18,Ambessa,2510,2.06,50.56,11.19,53.71,183.4,11037,na,master
19,Galio,2421,2.89,51.59,10.79,7.51,161.12,10012,na,master
20,Thresh,2379,2.79,49.52,10.6,3.16,26.8,7417,na,master
21,Yasuo,2206,1.88,50.23,9.83,32.21,206.18,11403,na,master
22,Ahri,2179,2.9,50.76,9.71,3.84,193.24,10997,na,master
23,Senna,2163,3.13,49.7,9.64,3.62,32.57,8663,na,master
24,Lux,2143,2.89,49.46,9.55,1.87,145.47,10409,na,master
25,Seraphine,2110,3.19,51.9,9.41,4.37,111.77,9075,na,master
26,Aurora,2099,2.6,49.55,9.36,19.42,187.68,11078,na,master
27,Lee Sin,2085,2.82,46.91,9.29,2.55,160.92,11110,na,master
28,Draven,2040,2.19,50.29,9.09,49.1,197.05,13047,na,master
29,Janna,2036,3.54,51.13,9.08,2.62,24.02,7481,na,master
30,Syndra,2015,2.38,52.26,8.98,8.36,199.36,11529,na,master
31,Pyke,2006,2.28,51.4,8.94,49.36,33.85,9005,na,master
32,Aatrox,1968,1.87,48.73,8.77,8.2,180.71,10736,na,master
33,Ekko,1920,2.68,49.27,8.56,1.47,183.47,11661,na,master
34,Akali,1848,2.44,49.95,8.24,10.51,180.43,11192,na,master
35,Wukong,1821,2.69,48.54,8.12,1.43,163.94,11117,na,master
36,Kha'Zix,1805,2.82,50.64,8.05,9.62,183.48,11936,na,master
37,Maokai,1803,2.37,48.7,8.04,1.07,93.28,8535,na,master
38,Jayce,1799,2.01,50.31,8.02,1.62,202.26,11719,na,master
39,K'Sante,1796,2.23,48,8.01,7.94,182.48,10356,na,master
40,Kai'Sa,1794,2.49,48.55,8,0.84,201.25,11864,na,master
41,Gragas,1745,2.45,52.44,7.78,3.1,173.43,10601,na,master
42,Tahm Kench,1744,2.34,51.2,7.77,3.81,76.78,8525,na,master
43,Kindred,1743,2.48,51.29,7.77,16.71,170.39,11497,na,master
44,Taliyah,1736,2.77,53.17,7.74,1.75,195.75,11718,na,master
45,Swain,1711,2.5,48.92,7.63,3.39,153.2,10196,na,master
46,Braum,1690,2.99,50.65,7.53,6.76,23.41,7397,na,master
47,Varus,1654,2.3,49.46,7.37,0.34,194.28,11597,na,master
48,Kayn,1637,2.51,51.37,7.3,6.23,183.48,11855,na,master
49,Renekton,1606,1.87,49.19,7.16,8.64,198.47,11307,na,master
50,Poppy,1564,2.27,51.34,6.97,14.62,85.7,8989,na,master
51,Diana,1544,2.38,51.36,6.88,1.25,191.74,11808,na,master
52,Talon,1531,2.64,51.53,6.82,2.86,193.84,12068,na,master
53,Hecarim,1526,2.72,49.34,6.8,6.18,193.73,11461,na,master
54,Garen,1510,1.94,47.62,6.73,5.1,209.51,11552,na,master
55,Zyra,1500,2.48,50,6.69,3.33,135.72,10080,na,master
56,Jarvan IV,1479,3.36,49.43,6.59,1.51,155.66,10830,na,master
57,Rakan,1479,3.16,49.9,6.59,0.63,26.34,7373,na,master
58,Blitzcrank,1478,2.65,53.25,6.59,17.93,23.61,7481,na,master
59,Nunu & Willump,1435,2.78,49.41,6.4,1.88,148.53,10144,na,master
60,Zed,1412,2.48,50.92,6.29,14.29,189.39,11853,na,master
61,Tristana,1411,2.28,51.67,6.29,0.66,193.13,12474,na,master
62,Volibear,1378,1.97,49.71,6.14,1.93,176.84,10688,na,master
63,Orianna,1372,2.63,49.34,6.12,0.83,195.1,10904,na,master
64,Leona,1366,2.47,50,6.09,3.03,26.48,7469,na,master
65,Bel'Veth,1349,2.98,52.78,6.01,22.66,177.79,11814,na,master
66,Skarner,1345,3.34,50.71,6,14.08,153.13,10298,na,master
67,Sona,1344,3.24,51.12,5.99,0.7,26.23,7671,na,master
68,Vladimir,1335,2.24,47.87,5.95,3.19,196.62,11004,na,master
69,Rell,1334,3.02,49.78,5.95,2.45,25.66,7673,na,master
70,Bard,1334,3.45,50.67,5.95,1.29,26.27,7889,na,master
71,Riven,1320,1.98,52.73,5.88,6.7,192.45,11509,na,master
72,Elise,1315,2.72,51.25,5.86,3.52,139.45,10865,na,master
73,Jax,1304,1.81,48.31,5.81,13.83,176.18,10868,na,master
74,Camille,1301,1.99,49.27,5.8,3.48,167.61,10965,na,master
75,Irelia,1283,1.6,51.29,5.72,6.52,218.13,12199,na,master
76,Lucian,1276,2.35,47.96,5.69,0.37,200.62,11676,na,master
77,Warwick,1265,2.04,48.38,5.64,11.25,171.86,11168,na,master
78,Shaco,1227,2.91,51.18,5.47,10.36,148.74,11188,na,master
79,Singed,1227,2.48,51.51,5.48,0.57,187.76,10371,na,master
80,Alistar,1210,2.66,51.16,5.39,1.4,24.21,7414,na,master
81,Rengar,1150,2.51,55.3,5.13,13.26,183.72,11950,na,master
82,Karthus,1149,2.46,50.04,5.12,11.7,209.85,12618,na,master
83,Ornn,1117,2.64,51.03,4.98,0.3,173.13,9922,na,master
84,Gnar,1097,1.95,47.4,4.89,1.86,187.91,11055,na,master
85,Zac,1092,2.99,54.21,4.87,7.25,150.74,10178,na,master
86,Akshan,1075,2.59,49.49,4.79,6,188.29,12346,na,master
87,Pantheon,1068,2.1,45.79,4.76,0.45,115.64,10249,na,master
88,Urgot,1067,1.94,50.89,4.76,0.93,193.02,11612,na,master
89,Gwen,1066,1.81,45.22,4.75,6.74,196.36,11567,na,master
90,Xerath,1059,3.03,49.58,4.72,0.61,136.9,10424,na,master
91,Udyr,1054,2.61,47.34,4.7,9.42,185.43,11003,na,master
92,Soraka,1022,2.95,47.85,4.56,2.17,23.7,7180,na,master
93,Tryndamere,1015,1.84,53,4.52,2.81,220.52,12342,na,master
94,Ryze,1004,2.27,51.49,4.48,0.48,213.84,11493,na,master
95,Katarina,997,2.45,48.04,4.44,3.15,171.07,11492,na,master
96,Dr. Mundo,994,2.14,50.6,4.43,1.58,189.79,10773,na,master
97,Sivir,987,2.42,47.62,4.41,0.69,214.89,11443,na,master
98,Miss Fortune,986,2.52,52.94,4.4,0.22,196.59,11980,na,master
99,Qiyana,981,2.34,51.07,4.37,1.07,179.47,11739,na,master
100,Milio,974,3.7,48.05,4.34,0.64,24.91,7212,na,master
101,Rek'Sai,969,3.34,52.12,4.32,1.36,164.98,11651,na,master
102,Aphelios,962,2.15,50.52,4.29,0.37,195.72,11770,na,master
103,Sion,954,1.66,49.16,4.25,0.23,200.8,11432,na,master
104,Xin Zhao,953,2.48,49.63,4.25,0.41,162.44,10822,na,master
105,Malphite,909,2.43,51.38,4.05,6.8,168.06,9917,na,master
106,Zoe,906,2.82,53.42,4.04,2.14,122.21,10003,na,master
107,Fiora,882,1.63,52.49,3.93,10.41,204.06,11851,na,master
108,Teemo,866,1.98,48.38,3.86,2.67,191.59,11151,na,master
109,Xayah,859,2.36,49.01,3.83,0.5,210.08,11752,na,master
