Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,74756,2.21,49.96,25.89,37.24,206.98,12811,na,platinum
2,Jinx,63764,2.35,50.19,22.08,5.83,206.85,12342,na,platinum
3,Jhin,58152,2.83,50.23,20.14,6.06,197.11,12813,na,platinum
4,Lux,48697,2.66,50.28,16.87,9.78,109.9,10406,na,platinum
5,Viktor,47982,2.23,50.9,16.62,23.34,204.61,12071,na,platinum
6,Ashe,45499,2.4,50.23,15.76,12.25,184.65,11646,na,platinum
7,Graves,36593,2.47,49.85,12.67,24.95,210.12,13423,na,platinum
8,Warwick,35671,2.26,52.31,12.35,26.86,172.77,12163,na,platinum
9,Viego,34034,2.57,50.31,11.79,10.21,185.9,12448,na,platinum
10,Tahm Kench,33855,2.42,51.52,11.72,20.44,85,9721,na,platinum
11,Ezreal,33404,2.55,48.29,11.57,3.83,196.63,12121,na,platinum
12,Smolder,33348,2.21,47.58,11.55,5.34,216.49,12371,na,platinum
13,Kayn,31969,2.36,50.73,11.07,10.64,189.47,12351,na,platinum
14,Thresh,31776,2.75,49.47,11,4.75,32.25,8216,na,platinum
15,Ahri,31419,2.66,50.26,10.88,7.54,194.26,11644,na,platinum
16,Yasuo,30600,1.66,49.67,10.6,17.28,213.31,12261,na,platinum
17,Nami,29974,3.42,51.52,10.38,1.32,25.44,8087,na,platinum
18,Ekko,29630,2.49,49.64,10.26,2.56,188.73,12475,na,platinum
19,Swain,29503,2.42,49.92,10.22,9.18,136.77,10631,na,platinum
20,Sylas,28723,2.1,48.78,9.95,12.33,155.46,11141,na,platinum
21,Yone,28663,1.69,47.79,9.93,12.04,212.29,12126,na,platinum
22,Lulu,28011,3.41,50.71,9.7,10.76,29.07,8013,na,platinum
23,Miss Fortune,27543,2.51,51.63,9.54,1.22,199.52,12876,na,platinum
24,Volibear,27277,1.9,50.66,9.45,6.3,185.25,11747,na,platinum
25,Hwei,26500,2.47,50.75,9.18,9.91,185.46,11608,na,platinum
26,Ambessa,26349,1.94,49.36,9.13,48.15,185.49,11808,na,platinum
27,Kai'Sa,25660,2.46,48.93,8.89,1.99,207.19,12793,na,platinum
28,Teemo,24451,1.95,51.1,8.47,14.8,176.28,11804,na,platinum
29,Senna,23655,2.97,51.09,8.19,3.87,41.06,9496,na,platinum
30,Diana,23068,2.16,51.1,7.99,2.68,200.56,12673,na,platinum
31,Nocturne,23059,2.72,52.13,7.99,15.12,190.64,12309,na,platinum
32,Darius,22863,1.83,49.67,7.92,12.97,197.16,12224,na,platinum
33,Garen,22595,1.98,50.09,7.83,5.58,221.1,12944,na,platinum
34,Galio,22405,2.8,51.91,7.76,6.45,157.76,10559,na,platinum
35,Mordekaiser,22340,1.92,51.73,7.74,11.19,187.07,11898,na,platinum
36,Vayne,22065,2.14,51.09,7.64,3.72,187.8,12213,na,platinum
37,Lee Sin,21902,2.64,47.9,7.59,2.24,165.85,11845,na,platinum
38,Dr. Mundo,21835,2.12,51.73,7.56,6.58,198.61,11805,na,platinum
39,Xerath,21631,2.95,50.39,7.49,4.68,117.95,10827,na,platinum
40,Aatrox,21048,1.93,50.11,7.29,11.6,184.64,11558,na,platinum
41,Akali,21027,2.39,49.86,7.28,9.36,178.83,11853,na,platinum
42,Corki,21011,2.47,48.44,7.28,8.36,209.25,12668,na,platinum
43,Vel'Koz,20864,2.39,52.29,7.23,2.66,94.5,10293,na,platinum
44,Malzahar,20855,2.2,50.76,7.22,8.27,224.67,12457,na,platinum
45,Maokai,20837,2.52,51.8,7.22,1.81,113.54,9614,na,platinum
46,Shaco,20766,2.7,50.42,7.19,18.67,146.38,11709,na,platinum
47,Nautilus,20677,2.39,48.76,7.16,9.69,40.21,8354,na,platinum
48,Pyke,20165,2.21,49.93,6.98,21.74,37.09,9791,na,platinum
49,Pantheon,20013,2.14,49.96,6.93,2.09,125.44,11246,na,platinum
50,Wukong,19969,2.59,50.98,6.92,2.06,179.64,12016,na,platinum
51,Karma,19879,2.69,49.75,6.88,2,49.63,8719,na,platinum
52,Sivir,19694,2.56,52.04,6.82,1.49,233.51,12852,na,platinum
53,Vi,19505,2.42,49.27,6.76,1.74,174.78,11783,na,platinum
54,Gragas,19480,2.31,48.71,6.75,2.64,174.55,11245,na,platinum
55,Irelia,19162,1.62,50.82,6.64,8.17,230.73,13278,na,platinum
56,Sion,19051,1.55,50.14,6.6,1.73,201.84,12494,na,platinum
57,Malphite,19043,2.53,50.23,6.6,9.56,169.11,11001,na,platinum
58,Draven,18931,2.01,49.28,6.56,18.6,197.78,13680,na,platinum
59,Brand,18690,2.07,50.4,6.47,5.51,117.2,10490,na,platinum
60,Zed,18269,2.34,49.73,6.33,14.34,192.6,12651,na,platinum
61,Riven,17914,1.96,50.61,6.2,2.67,197.1,12221,na,platinum
62,Morgana,17873,2.71,51.05,6.19,16.25,65.07,9460,na,platinum
63,Syndra,17776,2.39,49.9,6.16,5.13,205,12527,na,platinum
64,Veigar,17742,2.36,50.26,6.14,1.98,194.91,12254,na,platinum
65,Cho'Gath,17649,2.13,51.39,6.11,1.17,185.22,11764,na,platinum
66,Zyra,17342,2.35,50.93,6.01,7.19,75.3,9640,na,platinum
