Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,136533,2.23,50.61,27.74,38.29,198.05,12830,na,silver
2,Jinx,113676,2.35,50.53,23.1,7.06,197.49,12360,na,silver
3,Lux,110036,2.7,51.06,22.36,22.74,106.13,10546,na,silver
4,Jhin,102899,2.79,50.73,20.91,10.34,187.47,12862,na,silver
5,Warwick,80565,2.28,53.56,16.37,31.92,171.74,12423,na,silver
6,Ashe,80007,2.37,49.45,16.26,11.73,174.85,11683,na,silver
7,Miss Fortune,79529,2.53,51.76,16.16,4.64,190,12843,na,silver
8,Viktor,69284,2.25,51.03,14.08,15.24,194.27,12080,na,silver
9,Tahm Kench,68447,2.5,51.96,13.91,23.64,91.39,10147,na,silver
10,Teemo,66243,1.99,51.77,13.46,24.27,173.96,12000,na,silver
11,Yasuo,61059,1.72,50.35,12.41,18.35,207.97,12471,na,silver
12,Kayn,58682,2.34,51.41,11.92,10.45,187.5,12528,na,silver
13,Swain,55220,2.42,51.14,11.22,11.7,119.54,10617,na,silver
14,Ahri,52881,2.64,50.52,10.75,7.83,186.23,11680,na,silver
15,Mordekaiser,52808,2.04,53,10.73,18.28,180.87,12106,na,silver
16,Volibear,51941,2.01,51.13,10.55,6.88,180.59,11900,na,silver
17,Viego,51899,2.44,50.68,10.55,8.01,185,12551,na,silver
18,Ezreal,51808,2.51,47.62,10.53,3.48,185.68,12059,na,silver
19,Yone,51142,1.78,49.37,10.39,11.59,206.24,12300,na,silver
20,Ekko,50700,2.45,50.16,10.3,2.56,180.1,12484,na,silver
21,Morgana,49439,2.7,51.31,10.05,24.37,70.11,9783,na,silver
22,Garen,49030,2.05,50.8,9.96,7.46,214.29,13064,na,silver
23,Malzahar,48693,2.27,52.41,9.89,16.86,223.91,12834,na,silver
24,Veigar,47181,2.43,51.95,9.59,5.19,186.73,12493,na,silver
25,Nocturne,47048,2.66,52.66,9.56,20.04,190.4,12585,na,silver
26,Dr. Mundo,45521,2.2,53.38,9.25,9.8,191.55,11902,na,silver
27,Thresh,44885,2.68,49.29,9.12,3.39,36.06,8495,na,silver
28,Darius,44487,1.85,49.72,9.04,14.76,190.54,12339,na,silver
29,Smolder,44133,2.26,48.23,8.97,3.76,210.21,12473,na,silver
30,Amumu,44048,2.5,52.18,8.95,9.34,166.4,11475,na,silver
31,Brand,43122,2.08,51.56,8.76,11.2,105.27,10637,na,silver
32,Diana,42545,2.14,50.71,8.65,3.46,197.99,12867,na,silver
33,Graves,42051,2.39,50.17,8.55,9.31,208.08,13521,na,silver
34,Kai'Sa,41554,2.4,48.26,8.44,2.07,201.07,12856,na,silver
35,Vayne,40819,2.12,50.44,8.29,3.85,178.82,12289,na,silver
36,Akali,39894,2.37,49.61,8.11,10.07,169.74,11941,na,silver
37,Ambessa,39420,1.96,48.71,8.01,35.79,179.76,11891,na,silver
