Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"80,053",2.16:1,49.94%,26.7%,34.29%,198.72,"12,681"
2,Jinx,"63,687",2.3:1,49.92%,21.24%,5.48%,198.03,"12,228"
3,Lux,"62,661",2.57:1,50.3%,20.9%,18.09%,100.68,"10,324"
4,Jhin,"54,824",2.8:1,50.57%,18.29%,6.9%,189.45,"12,743"
5,Ashe,"52,256",2.34:1,49.19%,17.43%,12%,175.41,"11,537"
6,Warwick,"45,971",2.24:1,52.86%,15.33%,27.49%,170.04,"12,284"
7,Miss Fortune,"41,429",2.47:1,51.44%,13.82%,3.43%,185.98,"12,624"
8,Viktor,"39,472",2.21:1,50.63%,13.17%,15.6%,198.96,"12,037"
9,Tahm Kench,"38,907",2.43:1,52%,12.98%,19.08%,91.79,"10,052"
10,Yasuo,"38,286",1.67:1,49.5%,12.77%,18.77%,206.38,"12,243"
11,Yone,"37,886",1.73:1,48.5%,12.64%,12.84%,205.22,"12,065"
12,Ezreal,"36,928",2.51:1,48.48%,12.32%,4.86%,189.95,"12,037"
13,Ahri,"36,805",2.6:1,50.27%,12.28%,8.19%,187.4,"11,563"
14,Viego,"35,071",2.45:1,50.01%,11.7%,7.49%,181.21,"12,363"
15,Teemo,"33,765",1.96:1,51.36%,11.26%,19.59%,170.12,"11,852"
16,Graves,"33,274",2.45:1,50%,11.1%,18.18%,207.82,"13,431"
17,Kayn,"33,137",2.27:1,50.9%,11.05%,8.64%,185.09,"12,323"
18,Thresh,"32,649",2.66:1,49.54%,10.89%,4.95%,34.78,"8,370"
19,Kai'Sa,"32,514",2.43:1,47.97%,10.85%,3.11%,204.64,"12,821"
20,Swain,"31,251",2.41:1,50.64%,10.42%,9.85%,121.44,"10,520"
21,Sylas,"30,559",2.09:1,48.45%,10.19%,14.62%,149.54,"11,070"
22,Mordekaiser,"29,067",1.95:1,51.86%,9.7%,14.48%,179.17,"11,932"
23,Ekko,"28,992",2.46:1,49.93%,9.67%,2.92%,182.19,"12,456"
24,Garen,"28,284",1.95:1,49.48%,9.43%,5.72%,211.78,"12,840"
25,Nocturne,"28,113",2.66:1,51.79%,9.38%,16.74%,188.07,"12,427"
26,Volibear,"27,616",1.92:1,50.67%,9.21%,5.29%,181.37,"11,781"
27,Diana,"27,261",2.15:1,50.48%,9.09%,4.16%,195.86,"12,716"
28,Smolder,"27,153",2.15:1,46.58%,9.06%,4.27%,211.62,"12,324"
29,Vayne,"26,676",2.11:1,50.83%,8.9%,4.77%,181.26,"12,251"
30,Darius,"26,485",1.8:1,48.79%,8.83%,15.41%,188.8,"12,139"
31,Dr. Mundo,"25,578",2.11:1,53.24%,8.53%,8.38%,190.06,"11,708"
32,Morgana,"25,447",2.62:1,51.02%,8.49%,22.38%,64.58,"9,583"
33,Lee Sin,"24,533",2.57:1,47.37%,8.18%,3.59%,162.67,"11,860"
34,Veigar,"24,439",2.33:1,51.46%,8.15%,3.96%,184.41,"12,285"
35,Nautilus,"24,429",2.35:1,48.14%,8.15%,11.02%,39.52,"8,461"
36,Galio,"24,182",2.72:1,51.16%,8.07%,6.75%,154.69,"10,562"
