Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,18711,2.18,50.98,28.51,36.38,195.89,12783,oce,bronze
2,Lux,15857,2.61,51.32,24.16,25.09,100.61,10472,oce,bronze
3,Jinx,14856,2.32,50.36,22.64,6.11,195.02,12369,oce,bronze
4,Jhin,12661,2.78,51.16,19.29,8.93,185.82,12877,oce,bronze
5,Warwick,11658,2.28,54.25,17.76,30.58,171.94,12568,oce,bronze
6,Miss Fortune,11588,2.52,52.38,17.66,4.94,186.59,12807,oce,bronze
7,Ashe,11544,2.34,49.44,17.59,11.27,173.04,11686,oce,bronze
8,Tahm Kench,9434,2.46,52.53,14.37,21.79,93.51,10279,oce,bronze
9,Teemo,9393,2,52.34,14.31,25.82,172.11,12061,oce,bronze
10,Yasuo,9019,1.66,49.53,13.74,21.24,205.47,12456,oce,bronze
11,Yone,8289,1.76,49.17,12.63,13.31,204.01,12280,oce,bronze
12,Ahri,8184,2.59,50.66,12.47,7.75,184.68,11648,oce,bronze
13,Kayn,8158,2.27,51.2,12.43,9.69,186.2,12495,oce,bronze
14,Viktor,7791,2.19,51.41,11.87,11.52,191.46,12117,oce,bronze
15,Swain,7603,2.41,51.23,11.58,10.67,109.94,10471,oce,bronze
16,Garen,7504,2.04,50.08,11.43,7,209.76,12974,oce,bronze
17,Ezreal,7178,2.45,47.83,10.94,4.46,182.56,12039,oce,bronze
18,Viego,7093,2.41,51.12,10.81,7.42,183.54,12649,oce,bronze
19,Dr. Mundo,7051,2.19,54.05,10.74,10.43,190.09,11939,oce,bronze
20,Veigar,7046,2.4,52.28,10.74,5.9,183.51,12474,oce,bronze
21,Mordekaiser,7018,2.01,52.44,10.69,17.8,180.78,12246,oce,bronze
22,Volibear,6910,2,51.09,10.53,5.46,179.79,11877,oce,bronze
23,Nocturne,6904,2.66,53.13,10.52,19.13,188.35,12608,oce,bronze
24,Amumu,6793,2.5,53.35,10.35,9.12,165.89,11479,oce,bronze
25,Morgana,6641,2.65,51.83,10.12,26.85,67.09,9792,oce,bronze
26,Kai'Sa,6571,2.42,46.92,10.01,3.17,203.06,13023,oce,bronze
