Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Kindred,88,3.24,65.91,59.74,37.41,201.28,13118,oce,challenger
2,Graves,64,3.13,53.13,43.75,28.11,202.31,12765,oce,challenger
3,Viego,58,3.06,50,42.27,11.43,180.81,11699,oce,challenger
4,Viktor,42,2.53,61.9,44.4,39.03,228.24,13065,oce,challenger
5,Taliyah,34,2.89,47.06,25.99,6.83,227.88,13994,oce,challenger
6,Ahri,34,3.68,50,27.16,4.03,211.59,11721,oce,challenger
7,Corki,32,3.24,62.5,24.3,15.49,217.16,12407,oce,challenger
8,Zed,32,2.8,65.63,24.79,8.22,174.5,11171,oce,challenger
9,Hwei,31,2.69,45.16,26.14,5.53,162.9,11158,oce,challenger
10,Skarner,31,3.43,51.61,21.68,43.43,162.1,10834,oce,challenger
11,Volibear,29,1.8,55.17,24.19,6.79,151.66,9731,oce,challenger
12,Tryndamere,27,1.71,48.15,31.4,5.25,230.59,12841,oce,challenger
13,Ezreal,27,3.84,51.85,19.15,9.84,222.04,13060,oce,challenger
14,Varus,25,2.32,28,27.81,1,212.84,12482,oce,challenger
15,Lee Sin,23,3.25,52.17,20.65,5.39,169.96,11419,oce,challenger
16,Jinx,22,2.48,45.45,30.26,2.35,228.91,12096,oce,challenger
17,Naafiri,22,2.59,50,30.01,0.82,201.5,12220,oce,challenger
18,Gwen,20,2.03,45,17.36,5.73,184.9,11261,oce,challenger
19,Bard,20,3.65,45,19.59,4.31,23.85,7844,oce,challenger
20,Xin Zhao,20,2.38,50,27.59,1.52,167.8,11546,oce,challenger
21,Syndra,19,2.41,57.89,15.66,7.42,206.16,11644,oce,challenger
22,Akshan,19,3.59,63.16,14.17,10.16,183.89,12077,oce,challenger
23,Jayce,18,1.68,33.33,24.29,2.29,224.61,12483,oce,challenger
24,Pantheon,18,2.04,38.89,17.18,2.1,77.56,8689,oce,challenger
25,Ekko,18,2.83,44.44,29.61,1.54,180.28,11428,oce,challenger
26,Ashe,18,2.35,44.44,12.67,22.66,176.17,10361,oce,challenger
27,Garen,17,1.96,35.29,29.16,3.01,229.29,12728,oce,challenger
28,Irelia,17,1.75,58.82,14.57,6.51,228.35,13226,oce,challenger
29,Jhin,16,3.07,43.75,22.63,2.16,183.56,10901,oce,challenger
30,Zyra,16,2.23,50,13.46,5.06,216.38,12351,oce,challenger
31,Lissandra,16,2.91,56.25,17.8,1.33,172.38,10254,oce,challenger
32,Shaco,16,4.27,56.25,13.78,8.44,105.44,11114,oce,challenger
33,Ambessa,16,3.33,75,11.19,44.34,205.31,11388,oce,challenger
34,Renekton,15,1.4,40,10.56,20.27,188,10099,oce,challenger
35,Kai'Sa,14,2.1,28.57,12,7.97,194.71,11789,oce,challenger
36,Nidalee,14,3.63,42.86,10.22,10.15,175.86,11731,oce,challenger
37,Galio,14,2.4,42.86,9.92,17.21,163.71,9867,oce,challenger
38,Thresh,13,3.68,46.15,20.47,2.52,24.38,6762,oce,challenger
39,Yone,13,2.12,53.85,9.14,13.99,220.92,12358,oce,challenger
40,Caitlyn,12,2.42,25,8.39,18.46,241,13488,oce,challenger
41,Smolder,12,1.78,33.33,16.85,1.26,247.58,11625,oce,challenger
42,Lillia,12,3.69,58.33,21.94,0.91,206.42,13076,oce,challenger
43,Wukong,12,2.92,58.33,19.83,1.16,166.83,11091,oce,challenger
44,Nautilus,11,2.67,36.36,8.03,11.97,28.73,7434,oce,challenger
