Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,1701,2.16,47.91,19.4,23.01,207.4,12299,oce,diamond
2,Graves,1667,2.63,50.09,19.01,38.88,203.15,12919,oce,diamond
3,Viego,1594,2.77,50.69,18.18,12.62,176.28,11796,oce,diamond
4,Jinx,1522,2.2,44.68,17.36,2.37,201.27,11543,oce,diamond
5,Lulu,1458,3.72,50,16.63,17.06,26.6,7623,oce,diamond
6,Ashe,1418,2.43,49.51,16.17,20.01,191.33,11317,oce,diamond
7,Ezreal,1387,2.44,49.89,15.82,5.85,198.16,11683,oce,diamond
8,Sylas,1304,2.04,48.01,14.87,15.65,152.12,10434,oce,diamond
9,Viktor,1289,2.16,47.71,14.7,23.76,201.33,11445,oce,diamond
10,Nami,1266,3.49,51.58,14.44,2.32,23.44,7830,oce,diamond
11,Jhin,1254,2.8,49.76,14.36,1.51,195.15,12065,oce,diamond
12,Yone,1197,1.75,49.46,13.65,8.14,211.26,11687,oce,diamond
13,Corki,1066,2.61,52.81,12.16,19.06,207.89,12310,oce,diamond
14,Kai'Sa,1064,2.46,48.12,12.13,2.31,212.72,12530,oce,diamond
15,Aatrox,996,1.95,50.8,11.36,8.87,185.85,11123,oce,diamond
16,Thresh,971,2.81,52.11,11.07,3.36,26.93,7747,oce,diamond
17,Ahri,961,2.87,50.78,10.96,4.36,197.15,11220,oce,diamond
18,Lux,918,2.68,48.58,10.47,4.86,125.81,10146,oce,diamond
19,Yasuo,910,1.79,51.32,10.38,18.86,207.02,11654,oce,diamond
20,Nautilus,893,2.5,51.18,10.18,10.39,28.91,7678,oce,diamond
21,Lee Sin,872,2.62,45.64,9.94,2.72,161.58,11285,oce,diamond
22,Ambessa,864,1.77,45.37,9.85,49.85,181.63,11084,oce,diamond
23,Jax,834,1.81,51.92,9.51,18.38,181.22,11509,oce,diamond
24,Gragas,831,2.42,54.63,9.48,3.83,177.77,10918,oce,diamond
25,Karma,829,2.76,50.3,9.45,2.92,44.72,8236,oce,diamond
26,Galio,815,2.64,48.59,9.29,14.73,166.77,10136,oce,diamond
27,Draven,810,2.15,53.95,9.24,29.93,198.61,13282,oce,diamond
28,Camille,758,2.1,54.09,8.64,4.34,171.29,11091,oce,diamond
29,Syndra,738,2.28,47.56,8.42,5.61,207.27,11966,oce,diamond
30,Smolder,737,2.17,46.68,8.41,2.56,214.39,11729,oce,diamond
31,Maokai,735,2.62,51.16,8.38,1.64,113.36,9043,oce,diamond
32,Katarina,733,2.67,48.7,8.36,12.71,179.19,12158,oce,diamond
33,Shaco,710,3.02,51.55,8.1,9.78,122.65,10774,oce,diamond
34,Senna,700,3.03,46,7.98,2.32,35.29,8935,oce,diamond
35,Hwei,675,2.4,48.74,7.7,7.05,196.46,11358,oce,diamond
36,Janna,673,3.46,52.6,7.68,5.92,24.39,7622,oce,diamond
37,Bard,657,3.41,51.14,7.49,1.41,27.33,8068,oce,diamond
38,Miss Fortune,656,2.48,48.32,7.48,0.28,195.15,11877,oce,diamond
39,Swain,652,2.41,48.93,7.44,6.05,150.26,10444,oce,diamond
40,Elise,651,2.69,50.84,7.42,12.33,144.45,11325,oce,diamond
41,Sivir,648,2.42,50,7.39,1.05,227.61,12255,oce,diamond
42,Varus,644,2.31,49.38,7.38,1.73,196.25,11802,oce,diamond
43,Tahm Kench,623,2.26,48.8,7.11,6.04,79.2,9061,oce,diamond
44,Riven,623,2.02,51.04,7.11,4.76,201.39,11937,oce,diamond
45,Akali,615,2.32,49.92,7.01,10.13,178.74,11270,oce,diamond
46,Jayce,610,1.85,49.18,6.96,0.86,203.11,11878,oce,diamond
47,Diana,607,2.32,51.4,6.92,3.2,194.52,12234,oce,diamond
48,Pantheon,605,1.98,48.6,6.9,2.11,128.82,10807,oce,diamond
49,Braum,602,3.16,49.67,6.87,11.12,25.65,7696,oce,diamond
50,Kha'Zix,598,2.78,49.83,6.82,6.17,179.4,12213,oce,diamond
51,Aurora,597,2.7,53.77,6.81,13.92,189.82,11213,oce,diamond
52,Kindred,593,2.6,52.78,6.76,17.71,176.94,12153,oce,diamond
53,Renekton,585,1.87,48.38,6.67,10.54,198.17,11526,oce,diamond
54,Warwick,584,2.29,51.2,6.66,14.07,165.39,11369,oce,diamond
55,Leona,579,2.4,49.05,6.6,6.06,28.15,7666,oce,diamond
56,Lucian,578,2.39,51.56,6.59,0.74,203.99,12089,oce,diamond
57,Pyke,572,2.1,49.13,6.52,23.08,34.99,9170,oce,diamond
58,K'Sante,562,2.06,48.4,6.41,12,179.53,10470,oce,diamond
59,Darius,556,1.74,47.84,6.34,7.08,198.7,11659,oce,diamond
60,Taliyah,554,2.52,49.28,6.32,3.58,193.43,11894,oce,diamond
61,Ekko,550,2.37,47.45,6.27,3.08,184.4,11718,oce,diamond
62,Seraphine,547,2.94,53.02,6.24,3.37,100,9097,oce,diamond
63,Xerath,546,3.08,50.92,6.23,1.85,122.63,10423,oce,diamond
64,Wukong,539,2.57,50.09,6.15,1.27,174.35,11460,oce,diamond
65,Poppy,538,2.33,51.49,6.14,8.74,74.98,9085,oce,diamond
66,Twitch,534,2.39,50.94,6.09,4.91,171.25,11897,oce,diamond
67,Aphelios,533,2,50.47,6.08,0.37,196.35,11753,oce,diamond
68,Hecarim,520,2.99,50.96,5.93,7.91,202.8,12211,oce,diamond
69,Irelia,517,1.64,51.64,5.9,6.74,225.23,12673,oce,diamond
70,Soraka,512,2.99,49.61,5.84,2.05,25.06,7374,oce,diamond
71,Talon,504,2.46,49.01,5.75,1.46,198.65,12460,oce,diamond
72,Jarvan IV,497,3.12,47.08,5.71,0.63,158.98,11136,oce,diamond
73,Mordekaiser,493,1.84,50.1,5.62,3.29,180.64,11131,oce,diamond
74,Volibear,484,1.59,47.73,5.52,3.96,179.83,10779,oce,diamond
75,Urgot,478,2.58,52.09,5.45,1.07,196.54,12000,oce,diamond
76,Malphite,477,2.14,45.07,5.44,6.33,168.82,10029,oce,diamond
77,Vel'Koz,474,2.36,47.89,5.41,1,67.24,9357,oce,diamond
78,Milio,469,3.69,47.12,5.35,1.36,24.99,7242,oce,diamond
79,Fiora,468,1.61,52.35,5.34,14.19,201.08,11855,oce,diamond
80,Singed,459,2.16,50.76,5.26,0.9,205.28,11443,oce,diamond
81,Master Yi,457,2.07,46.61,5.21,4.68,180.77,12244,oce,diamond
82,Ornn,454,2.63,52.64,5.18,0.71,185.53,10673,oce,diamond
83,Vayne,450,2.08,51.11,5.13,2.91,188.57,11670,oce,diamond
84,Zed,449,2.3,48.11,5.12,7.67,194.77,12129,oce,diamond
85,Nidalee,449,3.36,53.23,5.12,6,167.68,11620,oce,diamond
86,Dr. Mundo,446,1.89,48.65,5.09,1.97,196.52,11068,oce,diamond
87,Ryze,442,2.34,50.45,5.04,1.2,212.47,11747,oce,diamond
88,Karthus,433,2.23,48.73,4.94,5.98,207.47,12791,oce,diamond
89,Blitzcrank,433,2.36,48.96,4.94,20.78,23.84,7493,oce,diamond
90,Rengar,422,2.36,45.97,4.81,4.39,194.76,12499,oce,diamond
91,Kayn,421,2.4,52.97,4.8,5.22,182.49,11910,oce,diamond
92,Zoe,416,2.69,47.6,4.74,3.04,134.36,10470,oce,diamond
93,Xayah,416,2.53,53.61,4.74,0.52,214.55,12143,oce,diamond
94,Zac,412,2.7,47.33,4.72,5.87,150.19,10078,oce,diamond
95,Vladimir,411,2.5,48.66,4.69,2.72,207.48,11772,oce,diamond
96,Fizz,411,2.37,50.12,4.71,5.98,184.03,12280,oce,diamond
97,Vi,410,2.54,49.27,4.68,0.82,170.72,11296,oce,diamond
98,Akshan,410,2.61,51.71,4.68,8.87,189.1,12456,oce,diamond
99,Nunu & Willump,408,3.04,52.21,4.65,1.23,158.81,10616,oce,diamond
