Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,5669,2.12,47.61,25.44,28.36,208.08,12608,oce,emerald
2,Jinx,4489,2.35,49.72,20.14,3.47,210.9,12343,oce,emerald
3,Jhin,3985,2.88,50.39,17.88,3.33,195.78,12600,oce,emerald
4,Viktor,3715,2.21,50.23,16.67,23.58,205.94,11875,oce,emerald
5,Ashe,3651,2.38,48.64,16.38,13.71,188.27,11565,oce,emerald
6,Graves,3478,2.54,48.59,15.61,35.78,208.35,13324,oce,emerald
7,Ezreal,3048,2.5,47.9,13.68,4.81,202.42,12152,oce,emerald
8,Viego,3024,2.58,50.3,13.57,8.77,178.55,12111,oce,emerald
9,Lux,2938,2.59,49.25,13.18,5.39,103.7,10169,oce,emerald
10,Lulu,2891,3.4,51.12,12.97,16.68,28.46,7950,oce,emerald
11,Nami,2822,3.4,52.52,12.66,1.8,24.65,7946,oce,emerald
12,Kai'Sa,2791,2.44,47.08,12.52,2.24,209.45,12708,oce,emerald
13,Thresh,2788,2.75,50.36,12.51,7.43,30.1,8077,oce,emerald
14,Yone,2722,1.73,48.05,12.21,10.48,213.8,11965,oce,emerald
15,Ahri,2706,2.68,50.48,12.14,8.01,197.4,11602,oce,emerald
16,Sylas,2689,2.1,47.9,12.07,18.97,157.77,11143,oce,emerald
17,Tahm Kench,2387,2.35,52.37,10.71,13.96,94.64,9719,oce,emerald
18,Warwick,2383,2.22,51.41,10.69,20.54,170.79,11910,oce,emerald
19,Lee Sin,2288,2.84,49.39,10.27,3.37,162.47,11704,oce,emerald
20,Smolder,2223,2.16,45.03,9.98,4.76,216.59,12115,oce,emerald
21,Karma,2150,2.73,50.47,9.65,3.6,51.2,8763,oce,emerald
22,Yasuo,2127,1.69,49.51,9.54,14.08,213.4,12167,oce,emerald
23,Corki,2117,2.58,51.35,9.5,12.09,209.04,12606,oce,emerald
24,Ekko,2103,2.65,51.21,9.44,3.57,187.65,12414,oce,emerald
25,Kayn,2098,2.25,49.48,9.41,8.29,181.94,12124,oce,emerald
26,Diana,2075,2.24,50.94,9.31,4.5,196.13,12394,oce,emerald
27,Ambessa,2017,1.85,46.5,9.05,51.7,186.89,11614,oce,emerald
28,Senna,1968,2.94,49.19,8.83,3.16,38.19,9232,oce,emerald
29,Galio,1897,2.76,52.4,8.51,11.1,166.51,10507,oce,emerald
30,Swain,1892,2.42,49.52,8.49,7.39,144.91,10732,oce,emerald
31,Pyke,1889,2.16,49.97,8.48,22.61,34.69,9596,oce,emerald
32,Aatrox,1884,1.91,51.75,8.45,15,187.18,11477,oce,emerald
33,Gragas,1846,2.36,48.32,8.28,3.21,179.8,11212,oce,emerald
34,Hwei,1811,2.47,51.57,8.13,7.84,190.13,11586,oce,emerald
35,Maokai,1781,2.42,49.07,7.99,1.51,119.59,9373,oce,emerald
36,Syndra,1760,2.35,49.66,7.9,5.88,207.51,12389,oce,emerald
37,Xerath,1664,3.1,52.76,7.47,4.1,123.9,10738,oce,emerald
38,Nautilus,1662,2.35,48.38,7.46,11.02,36.84,8102,oce,emerald
39,Volibear,1640,1.79,49.02,7.36,4.72,186.11,11524,oce,emerald
40,Wukong,1633,2.71,51.19,7.33,1.61,175.82,11730,oce,emerald
41,Sivir,1632,2.55,51.16,7.32,1.95,234.82,12662,oce,emerald
42,Lucian,1621,2.36,49.78,7.27,1.22,204.13,12434,oce,emerald
43,Janna,1609,3.41,52.14,7.22,2.75,26.48,7949,oce,emerald
44,Nocturne,1590,2.67,48.43,7.13,10.63,187.07,12096,oce,emerald
45,Renekton,1551,1.88,50.16,6.96,6.83,203.46,11987,oce,emerald
46,Zed,1539,2.46,49.25,6.91,10.21,198.61,12727,oce,emerald
47,Pantheon,1538,2.09,51.37,6.9,2.89,117.22,10910,oce,emerald
48,Elise,1531,2.73,50.03,6.87,9.71,150.59,11831,oce,emerald
49,Shaco,1499,2.83,49.23,6.73,13.6,143.51,11466,oce,emerald
