Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,12712,2.18,49.86,26.94,35.44,206.29,12853,oce,gold
2,Jinx,10088,2.36,50.48,21.38,4.99,208.38,12455,oce,gold
3,Jhin,9028,2.85,50.32,19.13,4.75,197.49,12991,oce,gold
4,Lux,8430,2.57,49.53,17.87,10.92,102.98,10317,oce,gold
5,Ashe,7856,2.38,49.1,16.65,11.42,184.36,11705,oce,gold
6,Viktor,7039,2.25,50.63,14.92,18.78,206.6,12189,oce,gold
7,Warwick,6735,2.29,53.07,14.27,24.55,175.99,12416,oce,gold
8,Graves,6685,2.45,50.77,14.17,24.36,209.85,13541,oce,gold
9,Ezreal,6173,2.57,49.23,13.08,4.81,197.69,12203,oce,gold
10,Yasuo,6107,1.68,49.45,12.94,16.89,213.09,12341,oce,gold
11,Tahm Kench,6021,2.43,51.67,12.76,19.18,94.07,9983,oce,gold
12,Kai'Sa,5944,2.45,48.77,12.6,2.94,208.13,12836,oce,gold
13,Yone,5796,1.73,48.27,12.28,12.88,214.4,12300,oce,gold
14,Ahri,5690,2.62,50.28,12.06,8.58,194.19,11718,oce,gold
15,Thresh,5621,2.7,49.55,11.91,5.69,33.3,8277,oce,gold
16,Viego,5375,2.53,50.29,11.39,6.76,183.47,12385,oce,gold
17,Sylas,5329,2.14,48.36,11.29,16.81,155.64,11188,oce,gold
18,Swain,4801,2.38,49.84,10.18,9.95,131.01,10553,oce,gold
19,Kayn,4710,2.29,50.51,9.98,8.18,190.18,12386,oce,gold
20,Ekko,4687,2.56,51.18,9.93,2.94,189.03,12612,oce,gold
21,Mordekaiser,4551,1.98,52.69,9.65,13.52,186.56,11977,oce,gold
22,Smolder,4541,2.15,47.21,9.62,5.08,218.21,12508,oce,gold
23,Lulu,4491,3.26,51.12,9.52,10.43,29.23,8033,oce,gold
24,Miss Fortune,4452,2.51,51.86,9.44,1.21,197.78,12918,oce,gold
25,Vayne,4441,2.1,49.97,9.41,4.61,188.01,12274,oce,gold
26,Lee Sin,4437,2.59,46.79,9.4,4.43,165.21,11904,oce,gold
27,Nocturne,4373,2.76,53.08,9.27,17.37,192.69,12522,oce,gold
28,Garen,4246,1.92,49.03,9,5.16,225.06,13205,oce,gold
29,Ambessa,4215,1.92,49.06,8.93,48.02,184.6,11868,oce,gold
30,Volibear,4214,1.89,49.74,8.93,5.45,187.97,11912,oce,gold
31,Teemo,3960,1.97,51.49,8.39,14.5,177.34,11940,oce,gold
32,Pantheon,3901,2.15,49.94,8.27,2.74,123.36,11390,oce,gold
33,Darius,3862,1.78,47.7,8.19,16.02,196.27,12273,oce,gold
34,Diana,3846,2.14,52,8.15,4.39,199.16,12730,oce,gold
35,Nami,3823,3.31,52.63,8.1,1.13,26.27,8192,oce,gold
36,Dr. Mundo,3820,2.07,51.49,8.1,7.56,199.48,11793,oce,gold
37,Akali,3810,2.36,50.08,8.08,8.84,178.88,11979,oce,gold
38,Nautilus,3796,2.38,49.16,8.05,12.13,40.86,8449,oce,gold
39,Maokai,3720,2.56,51.61,7.88,1.45,110.7,9679,oce,gold
40,Galio,3605,2.7,50.65,7.64,6.36,160.69,10700,oce,gold
41,Malphite,3563,2.53,51.31,7.55,8.35,166.94,11125,oce,gold
42,Xerath,3552,2.89,50.56,7.53,6.59,114.44,10910,oce,gold
43,Brand,3538,2.08,51.1,7.5,7.01,107.54,10499,oce,gold
44,Vi,3534,2.47,50.03,7.49,1.7,173.74,11743,oce,gold
45,Zed,3530,2.3,49.15,7.48,14.09,192.57,12720,oce,gold
46,Gragas,3523,2.31,49.08,7.47,2.21,176.16,11324,oce,gold
47,Aatrox,3504,1.93,50.54,7.43,14.16,183.03,11596,oce,gold
48,Vel'Koz,3440,2.37,52.91,7.29,2.68,98.02,10454,oce,gold
49,Senna,3377,2.83,49.51,7.16,3.32,41.12,9615,oce,gold
50,Sivir,3269,2.55,52.16,6.93,1.48,236.49,13055,oce,gold
51,Sion,3263,1.47,49.16,6.92,3.08,202.48,12584,oce,gold
52,Morgana,3206,2.6,50.22,6.8,22.42,65.04,9470,oce,gold
53,Irelia,3199,1.68,52.3,6.78,8.18,232.25,13528,oce,gold
54,Draven,3189,1.99,49.39,6.76,18.35,200.71,13886,oce,gold
55,Pyke,3180,2.17,49.37,6.74,18.05,36.97,9872,oce,gold
56,Kha'Zix,3109,2.54,49.18,6.59,5.28,184.34,12719,oce,gold
57,Malzahar,3090,2.25,50.74,6.55,8.92,225.81,12615,oce,gold
58,Shaco,3030,2.63,49.17,6.42,19.12,132.55,11411,oce,gold
59,Lucian,3013,2.33,47.63,6.39,1.1,207.66,12790,oce,gold
60,Leona,3007,2.49,47.79,6.37,7.26,32.47,8320,oce,gold
61,Wukong,2940,2.61,49.32,6.23,1.48,179.25,12090,oce,gold
62,Syndra,2896,2.37,49.72,6.14,4.5,201.14,12464,oce,gold
63,Hwei,2887,2.42,49.91,6.12,5.41,180.34,11703,oce,gold
