Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ezreal,206,3.25,53.4,25.27,10.94,210.81,12259,oce,grandmaster
2,Nami,199,3.59,58.29,24.52,3.57,23.28,7586,oce,grandmaster
3,Viego,196,2.92,43.88,24.04,10.37,178.18,11449,oce,grandmaster
4,Yone,192,2.29,46.35,23.66,12.75,229.1,11923,oce,grandmaster
5,Taliyah,156,2.75,55.77,19.9,5.51,199.86,12385,oce,grandmaster
6,Nautilus,145,2.55,47.59,17.79,10.11,29.05,7553,oce,grandmaster
7,Kindred,143,3.04,59.44,17.54,38.85,193.34,12324,oce,grandmaster
8,Jhin,141,3.14,47.52,17.37,0.85,195.77,11503,oce,grandmaster
9,Corki,135,2.45,49.63,16.56,17.22,207.73,11608,oce,grandmaster
10,Kai'Sa,134,2.46,52.99,16.49,5.25,206.26,12382,oce,grandmaster
11,Jinx,132,2.83,52.27,16.35,1.3,224.98,12320,oce,grandmaster
12,Renekton,127,2.23,48.82,15.58,16.78,214.2,11798,oce,grandmaster
13,Zyra,122,3.03,49.18,16,3.57,192.34,11189,oce,grandmaster
14,Ashe,122,2.84,52.46,14.97,23,184.92,10963,oce,grandmaster
15,Fiora,120,1.62,53.33,14.72,22.55,199.88,11915,oce,grandmaster
16,Ryze,116,2.31,50,16.38,1.37,129,10086,oce,grandmaster
17,Graves,113,2.7,46.9,13.86,33.89,204.85,12692,oce,grandmaster
18,Talon,111,2.45,45.95,16.82,2.35,204.53,12113,oce,grandmaster
19,Viktor,108,2.45,49.07,17.26,31.3,205.03,11402,oce,grandmaster
20,Skarner,105,3.69,51.43,12.88,35.29,163.07,10798,oce,grandmaster
21,Rek'Sai,103,2.87,54.37,12.69,11.35,147.88,10567,oce,grandmaster
22,Ahri,97,3.22,50.52,11.95,3.23,197.33,11068,oce,grandmaster
23,Varus,95,2.46,43.16,13.62,0.82,206.45,11859,oce,grandmaster
24,Syndra,95,2.46,49.47,11.71,4.88,210.88,11777,oce,grandmaster
25,Hwei,89,2.82,57.3,11.33,4.16,125.94,10177,oce,grandmaster
26,Sylas,85,2.36,44.71,10.43,12.46,157.71,10248,oce,grandmaster
27,Tristana,84,2.79,60.71,11.75,1.01,203.31,13057,oce,grandmaster
28,Zed,83,3.22,49.4,10.18,6.78,198.81,12606,oce,grandmaster
29,Yasuo,83,2.02,50.6,10.18,30.54,215.58,11562,oce,grandmaster
30,Maokai,82,2.25,40.24,10.38,0.95,109.21,8686,oce,grandmaster
