Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,12757,2.51,50.17,28.88,33.65,94.35,10133,oce,iron
2,Caitlyn,11915,2.08,49.01,26.97,33.64,178.03,12116,oce,iron
3,Miss Fortune,10719,2.4,51.58,24.26,8.94,170.36,12195,oce,iron
4,Jinx,9666,2.13,49.19,21.88,8.54,172.51,11605,oce,iron
5,Warwick,8638,2.15,52.98,19.55,37.26,162.15,12060,oce,iron
6,Ashe,8406,2.2,48.01,19.03,12.58,151.24,10968,oce,iron
7,Teemo,8058,1.94,50.93,18.24,33.03,158.02,11603,oce,iron
8,Jhin,7428,2.65,51.35,16.81,11.86,168.38,12127,oce,iron
9,Tahm Kench,6490,2.39,51.96,14.69,19.69,87.85,10064,oce,iron
10,Yone,6336,1.73,48.41,14.34,13.25,183.97,11576,oce,iron
11,Yasuo,6180,1.62,49.5,13.99,21.44,187.58,11794,oce,iron
12,Morgana,5983,2.54,51.25,13.54,25.67,64.58,9565,oce,iron
13,Kayn,5818,2.1,50.19,13.17,8.37,176.73,12024,oce,iron
14,Ahri,5810,2.36,48.04,13.15,10.25,168.4,11035,oce,iron
15,Mordekaiser,5620,1.91,50.27,12.72,19.39,162.78,11594,oce,iron
16,Veigar,5414,2.24,51.5,12.26,8.48,167.51,11926,oce,iron
17,Viego,4945,2.17,48.92,11.19,6.99,173.78,12034,oce,iron
18,Garen,4922,1.97,50.37,11.14,7.07,189.15,12214,oce,iron
19,Darius,4777,1.79,48.71,10.81,15.8,171.64,11708,oce,iron
20,Seraphine,4746,2.64,49.2,10.74,4.86,58.72,9050,oce,iron
21,Dr. Mundo,4667,2.12,54.04,10.56,11.84,172.29,11287,oce,iron
22,Nocturne,4535,2.42,50.69,10.27,17.65,180.19,12271,oce,iron
23,Master Yi,4512,1.88,48.69,10.21,13.41,174.93,12356,oce,iron
24,Diana,4509,2.04,50.1,10.21,4.75,185.35,12396,oce,iron
25,Swain,4417,2.37,51.57,10,10.57,104.96,10261,oce,iron
26,Brand,4386,2.03,50.55,9.93,12.92,96.89,10348,oce,iron
27,Amumu,4358,2.37,53.01,9.87,10.18,157.36,11137,oce,iron
28,Volibear,4354,1.97,51.4,9.86,4.64,167.26,11419,oce,iron
29,Nasus,4252,1.96,50.61,9.63,6.68,173.46,11643,oce,iron
30,Akali,4201,2.18,48.06,9.51,11.34,152.24,11305,oce,iron
31,Pantheon,4183,2.01,49.39,9.47,2.87,103.94,10879,oce,iron
32,Malphite,3995,2.37,48.96,9.04,5.26,134.19,10719,oce,iron
33,Ezreal,3938,2.32,47.13,8.91,4.61,163.33,11374,oce,iron
34,Viktor,3925,2.18,50.7,8.88,8.13,176.52,11635,oce,iron
35,Ekko,3823,2.19,47.63,8.65,2.69,163.44,11878,oce,iron
36,Pyke,3792,2.1,49.13,8.58,21.13,39.01,9868,oce,iron
37,Vayne,3775,2.06,50.01,8.55,5.46,160.35,11791,oce,iron
38,Kai'Sa,3741,2.29,46.75,8.47,3.84,185.83,12343,oce,iron
39,Sylas,3630,1.91,46.09,8.22,10.91,130.97,10604,oce,iron
40,Thresh,3558,2.44,49.63,8.05,3.71,38.83,8472,oce,iron
41,Galio,3538,2.64,51.44,8.01,5.39,138.58,10347,oce,iron
42,Yorick,3517,1.8,54.11,7.96,14.46,198.27,12530,oce,iron
43,Leona,3504,2.38,50.09,7.93,7.65,34.09,8532,oce,iron
44,Xerath,3377,2.65,50.52,7.64,7.8,104.65,10487,oce,iron
45,Nautilus,3369,2.31,48.59,7.63,8.89,40.39,8660,oce,iron
46,Malzahar,3349,2.27,53.24,7.58,13.51,208.95,12550,oce,iron
47,Sett,3340,1.66,51.32,7.56,3.24,162.92,11676,oce,iron
48,Senna,3327,2.73,48.75,7.53,2.11,51.84,9632,oce,iron
49,Vi,3317,2.12,50.32,7.51,1.64,163.11,11603,oce,iron
50,Cho'Gath,3223,2.1,50.11,7.3,2.48,161.51,11509,oce,iron
51,Nunu & Willump,3203,2.25,47.49,7.25,2.57,149.19,10974,oce,iron
52,Smolder,3201,2.08,47.64,7.25,2.66,188.07,11671,oce,iron
53,Heimerdinger,3199,1.68,51.58,7.24,7.19,169.82,11480,oce,iron
54,Blitzcrank,3189,2.31,48.51,7.22,22.15,31.11,8280,oce,iron
55,Shaco,3186,2.4,48.02,7.21,22.87,136.37,11340,oce,iron
56,Briar,3132,2.09,51.72,7.09,8.59,169.32,12506,oce,iron
57,Tristana,3077,2.06,46.9,6.97,2.68,163.3,12185,oce,iron
58,Trundle,2993,1.64,51.89,6.78,3.29,180.14,12261,oce,iron
59,Jax,2938,1.67,45.37,6.65,3.98,164.39,11687,oce,iron
60,Irelia,2774,1.67,48.31,6.28,6.03,203.04,12592,oce,iron
61,Neeko,2665,2.06,48.67,6.03,2.73,86.58,9753,oce,iron
62,Illaoi,2664,1.59,51.28,6.03,22.05,172.66,11357,oce,iron
63,Vel'Koz,2653,2.26,50.74,6.01,3.29,88.92,10312,oce,iron
64,Yuumi,2590,4.79,43.67,5.86,2.52,13.2,7762,oce,iron
65,Fizz,2559,2.41,51.82,5.79,10.99,158,12278,oce,iron
66,Zed,2554,2.27,47.49,5.78,13.62,169.73,12217,oce,iron
67,Ambessa,2548,1.81,47.88,5.77,21.02,165.57,11320,oce,iron
68,Nami,2424,3.07,49.13,5.49,0.7,25.89,8093,oce,iron
69,Zyra,2375,2.29,52.21,5.38,5.27,85.11,10045,oce,iron
70,Tryndamere,2303,1.7,49.33,5.21,3.81,197.17,12466,oce,iron
71,Katarina,2278,2.15,47.94,5.16,4.62,154.58,11771,oce,iron
72,Wukong,2249,2.4,51.22,5.09,1.35,167.69,11812,oce,iron
73,Vex,2210,2.26,48.24,5,7.35,165.5,11330,oce,iron
74,Maokai,2205,2.57,51.66,4.99,1.22,90.61,9580,oce,iron
75,Ziggs,2175,2.4,50.85,4.92,2.68,171.03,11579,oce,iron
76,Graves,2172,2.27,48.34,4.92,4.49,193.59,12873,oce,iron
77,Xin Zhao,2146,2.2,49.86,4.86,0.75,162.14,11613,oce,iron
78,Lillia,2134,2.47,48.55,4.83,5.83,172.56,11805,oce,iron
79,Lee Sin,2122,2.26,44.2,4.8,2.43,154.8,11679,oce,iron
80,Varus,2106,2.22,48.34,4.77,0.77,166.44,11781,oce,iron
81,Samira,2093,1.94,47.73,4.74,6.99,167.99,12423,oce,iron
82,Draven,2063,1.98,48.04,4.67,14.74,169.37,12968,oce,iron
83,Kayle,2060,1.81,51.21,4.66,1.65,193.11,12070,oce,iron
84,Sion,2038,1.56,50.88,4.61,1.73,181.21,12061,oce,iron
85,Aatrox,2028,1.75,48.42,4.59,8.39,162.54,11089,oce,iron
86,Twitch,1932,2.07,46.27,4.37,6.21,141.93,11944,oce,iron
87,Gwen,1921,1.7,47.42,4.35,2.47,174.36,11537,oce,iron
88,Hwei,1874,2.25,48.88,4.24,2.48,150.54,10806,oce,iron
89,Kindred,1862,1.82,44.52,4.21,1.72,164.5,11720,oce,iron
90,Aurelion Sol,1845,2.43,50.68,4.18,2.58,186.32,12244,oce,iron
91,Sona,1801,2.89,51.25,4.08,0.29,31.37,8420,oce,iron
92,Poppy,1755,2.2,48.95,3.97,1.91,70.76,9598,oce,iron
93,Lucian,1729,2.2,46.39,3.91,1.01,176.44,11893,oce,iron
94,Sivir,1718,2.37,53.55,3.89,1.02,206.57,12176,oce,iron
95,Aurora,1703,2.23,47.56,3.86,4.03,161.87,10945,oce,iron
96,Xayah,1663,2.18,46.42,3.76,0.85,179.42,11626,oce,iron
97,Kha'Zix,1658,2.09,45.3,3.75,3.21,169.63,12206,oce,iron
98,Soraka,1657,2.78,50.03,3.75,0.8,30.8,7985,oce,iron
99,Renekton,1643,1.86,48.69,3.72,2.35,181.49,11735,oce,iron
100,Urgot,1599,1.92,50.47,3.62,1.86,182.84,12292,oce,iron
101,Shen,1588,2.67,49.81,3.59,0.59,99.72,9646,oce,iron
102,Hecarim,1548,2.31,48.39,3.5,1.98,182.28,11807,oce,iron
103,LeBlanc,1516,2.71,49.08,3.43,8.37,145.13,11147,oce,iron
104,Evelynn,1463,2.28,45.18,3.31,1.8,146.62,11337,oce,iron
105,Lulu,1459,2.95,46.88,3.3,1.47,32.11,8193,oce,iron
106,Ornn,1370,2.21,49.85,3.1,0.8,152.85,10524,oce,iron
107,Jarvan IV,1367,2.9,49.67,3.09,0.84,157.36,11678,oce,iron
108,Singed,1367,1.84,50.4,3.09,1.09,192.8,11854,oce,iron
109,Braum,1355,2.7,50.11,3.07,0.75,29.53,8303,oce,iron
110,Fiddlesticks,1344,2.17,48.44,3.04,1.18,149.77,11338,oce,iron
111,Riven,1322,1.76,45.54,2.99,0.78,167.77,11409,oce,iron
112,Udyr,1320,2.02,49.39,2.99,1.56,174.79,11575,oce,iron
113,Gragas,1313,1.87,41.51,2.97,0.69,149.25,10566,oce,iron
114,Syndra,1292,2.34,51.08,2.92,1.75,182.3,12116,oce,iron
115,Akshan,1259,2.03,46.78,2.85,2.39,164.64,12200,oce,iron
116,Talon,1255,1.97,43.67,2.84,1,170.65,12005,oce,iron
117,Sejuani,1242,2.66,49.6,2.81,0.32,154.05,10753,oce,iron
118,Karma,1210,2.48,48.02,2.74,0.69,59.09,9048,oce,iron
119,Rammus,1162,2.67,50.43,2.63,4.79,150.71,10999,oce,iron
120,Milio,1156,3.15,49.57,2.62,0.5,39.62,8187,oce,iron
121,Jayce,1151,1.81,43.87,2.61,0.54,178.88,11804,oce,iron
122,Shyvana,1125,2.22,51.47,2.55,0.79,191.73,12031,oce,iron
123,Quinn,1118,1.92,46.33,2.53,0.99,164.48,12192,oce,iron
124,Naafiri,1116,2.18,49.82,2.53,2.61,167.11,12035,oce,iron
125,Kog'Maw,1076,2.06,50.09,2.44,1.32,165.85,11986,oce,iron
126,Gangplank,1074,2.19,49.26,2.43,0.72,198.92,13482,oce,iron
127,Corki,1054,2.04,45.35,2.39,1.01,178.35,11818,oce,iron
128,Rakan,1026,2.67,49.71,2.32,0.3,32.95,8156,oce,iron
129,Aphelios,1025,1.92,50.24,2.32,1.25,168.73,11881,oce,iron
130,Zoe,1024,2.1,46,2.32,1.48,116.6,10288,oce,iron
131,Gnar,996,2.01,48.29,2.25,0.43,170.08,11675,oce,iron
132,Vladimir,991,1.93,45.91,2.24,2.15,173.52,11343,oce,iron
133,Zac,989,2.77,49.44,2.24,0.77,142.84,10571,oce,iron
134,Orianna,988,2.52,46.86,2.24,0.92,170.59,11293,oce,iron
135,Nilah,967,1.99,50.57,2.19,2.87,171.4,12487,oce,iron
136,Zeri,934,2.05,45.4,2.11,0.41,209.06,12631,oce,iron
137,Zilean,898,2.63,49.11,2.03,0.39,76.69,9147,oce,iron
138,Fiora,880,1.6,47.84,1.99,2.3,177.74,11962,oce,iron
139,Anivia,875,2.34,45.94,1.98,1.64,138.29,10658,oce,iron
140,Karthus,871,2.24,47.76,1.97,0.58,195.04,13094,oce,iron
141,Ryze,863,2.04,47.51,1.95,0.31,188.56,11604,oce,iron
142,Twisted Fate,844,1.8,43.72,1.91,0.28,156.86,11807,oce,iron
143,Alistar,826,2.25,48.67,1.87,0.65,41.72,8401,oce,iron
144,K'Sante,802,1.6,38.53,1.82,1.43,156.92,10415,oce,iron
145,Taric,802,2.58,54.74,1.82,0.6,45.56,8463,oce,iron
146,Annie,800,2.15,50.5,1.81,0.89,135.58,10542,oce,iron
147,Bard,791,2.68,50.44,1.79,0.54,37.42,8781,oce,iron
148,Azir,776,1.62,45.1,1.76,0.91,183.61,11390,oce,iron
149,Rell,776,2.58,48.84,1.76,0.56,33.23,8620,oce,iron
150,Cassiopeia,742,1.95,47.17,1.68,1.05,160.03,11257,oce,iron
151,Kennen,737,1.85,45.18,1.67,0.61,151.43,10958,oce,iron
152,Skarner,709,2.32,45.7,1.6,1.22,135.82,9928,oce,iron
153,Bel'Veth,708,1.93,48.59,1.6,1.34,175.52,11570,oce,iron
154,Rengar,703,1.59,38.69,1.59,0.72,158.75,11019,oce,iron
155,Olaf,692,1.6,41.76,1.57,0.6,168.06,11585,oce,iron
156,Camille,664,1.89,49.7,1.5,1.09,148.4,11311,oce,iron
157,Renata Glasc,662,2.61,53.02,1.5,0.28,35.13,8428,oce,iron
158,Janna,613,2.62,45.84,1.39,0.34,29.33,8019,oce,iron
159,Kassadin,607,2.24,50.58,1.37,0.79,155.6,11121,oce,iron
160,Lissandra,594,2.17,47.64,1.34,0.73,168.7,11187,oce,iron
161,Qiyana,578,1.74,42.56,1.31,0.36,157.43,11354,oce,iron
162,Kalista,573,2.14,47.29,1.3,0.64,169.69,12431,oce,iron
