Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ezreal,431,2.8,48.26,20.25,10.1,205.09,11672,oce,master
2,Nami,414,3.82,52.42,19.45,3.02,23.16,7802,oce,master
3,Jinx,410,2.45,50.73,19.27,1.72,204.35,11455,oce,master
4,Jhin,395,2.96,48.61,18.56,0.89,197.8,12108,oce,master
5,Viego,390,2.88,44.36,18.33,12.18,175.23,11614,oce,master
6,Kai'Sa,386,2.46,50.52,18.14,4.07,210.85,12586,oce,master
7,Ashe,352,2.52,55.4,16.54,22.82,188.75,11168,oce,master
8,Akali,329,2.71,55.02,15.46,14.91,188.77,11866,oce,master
9,Maokai,321,2.66,52.96,15.08,1.31,122.8,8785,oce,master
10,Nautilus,318,2.42,49.06,14.94,10.73,26.75,7632,oce,master
11,Sylas,316,2.31,52.22,14.85,15.5,157.94,10486,oce,master
12,Corki,310,2.8,55.48,14.57,17.89,218.02,12585,oce,master
13,Lulu,308,3.55,50,14.47,13.28,26.28,7475,oce,master
14,Galio,308,3.09,51.3,14.47,17.27,174.15,10210,oce,master
15,Viktor,305,2.39,51.15,14.85,25.87,209.98,11735,oce,master
16,Caitlyn,284,2.06,46.48,13.35,19.53,208.56,11976,oce,master
17,Yone,282,1.87,48.58,13.25,9.8,208.96,11441,oce,master
18,Lee Sin,274,2.67,47.81,12.94,2.72,162.38,11259,oce,master
19,Graves,274,2.75,50,12.88,35.84,195.63,12335,oce,master
20,Yasuo,265,1.87,52.45,12.45,27.72,217.05,11576,oce,master
21,Lux,264,2.73,51.14,12.41,8.04,133.09,9832,oce,master
22,Karma,249,2.68,46.59,11.7,2.65,42.73,7887,oce,master
23,Aatrox,233,1.82,49.79,10.95,8.54,177.18,10500,oce,master
24,Janna,231,3.77,54.11,10.85,8.2,25.29,7857,oce,master
25,Hecarim,225,3.2,50.67,10.62,10.71,214.04,12052,oce,master
26,Ahri,221,2.79,47.96,10.38,2.61,192.41,10700,oce,master
27,Leona,210,2.46,49.05,9.87,8.02,25.84,7398,oce,master
28,Kindred,210,3.08,62.38,9.87,35.13,183.81,12258,oce,master
29,Draven,205,2.46,55.61,9.63,35.21,214.96,13803,oce,master
30,Irelia,203,1.68,52.22,9.54,7.41,226.08,12377,oce,master
31,Renekton,198,1.95,52.02,9.3,13.36,197.41,11139,oce,master
32,Gragas,192,2.26,52.6,9.02,2.91,178.99,10606,oce,master
33,Jax,191,1.71,46.6,8.98,17.04,185.21,11267,oce,master
34,Smolder,186,2.07,40.32,8.74,1.08,220.91,11807,oce,master
35,Seraphine,184,3.2,52.72,8.69,2.28,93.43,9006,oce,master
36,Diana,178,2.53,56.18,8.4,1.46,192.92,12084,oce,master
37,Miss Fortune,178,2.89,60.11,8.36,0.26,207.21,12525,oce,master
38,Aphelios,176,1.85,43.18,8.34,0.21,196.82,11615,oce,master
39,Hwei,176,2.66,51.14,8.27,4.3,190.64,10939,oce,master
40,Varus,174,2.27,44.83,8.18,0.7,204.35,11644,oce,master
41,Swain,174,2.82,50.57,8.18,5.23,176.74,10532,oce,master
42,Lissandra,171,2.87,52.05,8.04,1.22,207.2,11389,oce,master
43,Jayce,168,1.73,49.4,7.93,1.21,198.8,11473,oce,master
44,Aurora,167,3.09,50.3,7.85,11.43,187.65,11056,oce,master
45,Poppy,166,2.19,58.43,7.8,9.55,104.26,9560,oce,master
46,Talon,164,2.98,50.61,7.97,1.95,197.73,12313,oce,master
47,Vi,162,2.46,46.3,7.61,0.87,170.84,11062,oce,master
48,Rakan,157,3.57,52.23,7.48,0.27,26.41,7556,oce,master
49,Sion,147,1.63,52.38,6.91,0.7,207.31,11663,oce,master
50,Pantheon,146,2.14,42.47,7.12,1.47,160.53,10680,oce,master
51,Camille,146,1.99,47.26,6.86,4.38,168.95,10660,oce,master
52,Skarner,145,3.52,56.55,6.81,31.2,151.87,10319,oce,master
53,Xerath,143,3.24,39.16,6.95,0.5,179.2,10648,oce,master
54,Ornn,143,2.84,48.95,6.94,0.46,189.41,10523,oce,master
55,Pyke,141,2.05,46.81,6.63,25.65,28.23,8495,oce,master
56,K'Sante,139,1.96,43.88,6.53,9.31,184.09,10273,oce,master
57,Zed,139,2.7,54.68,6.53,5.83,193.73,12372,oce,master
58,Zyra,138,2.79,50.72,6.52,2.58,180.44,11230,oce,master
