Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,8289,2.21,50.71,24.21,33,208.12,12814,oce,platinum
2,Jinx,7100,2.36,49.52,20.74,3.88,208.71,12304,oce,platinum
3,Jhin,6093,2.84,49.81,17.8,4.07,200.6,12946,oce,platinum
4,Ashe,5552,2.36,49.08,16.22,11.45,186.91,11651,oce,platinum
5,Viktor,5523,2.2,50.59,16.13,21.87,207.28,12127,oce,platinum
6,Graves,5361,2.48,49.88,15.66,32.22,211.05,13467,oce,platinum
7,Lux,5218,2.64,50.33,15.24,7.66,109.49,10420,oce,platinum
8,Ezreal,4804,2.58,49.44,14.03,5.27,198.71,12142,oce,platinum
9,Yone,4316,1.67,48.33,12.61,12.39,213.69,12050,oce,platinum
10,Warwick,4278,2.22,51.61,12.5,24.17,169.19,12056,oce,platinum
11,Tahm Kench,4226,2.36,51.28,12.35,17.36,86.18,9695,oce,platinum
12,Thresh,4174,2.77,50.81,12.19,6.63,31.89,8194,oce,platinum
13,Kai'Sa,4072,2.48,49.9,11.9,3.22,210.93,12873,oce,platinum
14,Ahri,4020,2.74,50.65,11.74,7.97,197.74,11749,oce,platinum
15,Sylas,3940,2.12,48.65,11.51,18.29,155.28,11116,oce,platinum
16,Smolder,3896,2.13,46.43,11.38,5.62,219.27,12383,oce,platinum
17,Viego,3854,2.51,48.73,11.26,6.8,181.91,12334,oce,platinum
18,Kayn,3676,2.36,51.63,10.74,8.93,187.71,12336,oce,platinum
19,Lulu,3668,3.45,50.68,10.72,13.34,29.25,8016,oce,platinum
20,Yasuo,3581,1.64,48.59,10.46,14.01,214.63,12195,oce,platinum
21,Swain,3543,2.43,50.47,10.35,9.19,137.12,10724,oce,platinum
22,Lee Sin,3353,2.65,46.64,9.79,3.93,162.68,11757,oce,platinum
23,Ekko,3303,2.55,50.2,9.65,4.42,187.61,12583,oce,platinum
24,Ambessa,3295,1.91,49.68,9.63,50.07,187.15,11898,oce,platinum
25,Nocturne,3222,2.78,52.48,9.41,13.55,190.62,12283,oce,platinum
26,Nami,3061,3.29,51.58,8.94,1.39,26.13,8037,oce,platinum
27,Diana,2947,2.18,50.19,8.61,3.82,201.72,12766,oce,platinum
28,Corki,2925,2.45,49.06,8.54,8.42,209.84,12578,oce,platinum
29,Galio,2738,2.66,49.63,8,7.65,161.36,10529,oce,platinum
30,Vayne,2730,2.1,51.1,7.98,4.12,191.57,12255,oce,platinum
31,Senna,2704,2.91,51.11,7.9,3.3,40.6,9432,oce,platinum
32,Aatrox,2694,1.94,50.07,7.87,15.67,186.73,11604,oce,platinum
33,Akali,2669,2.33,47.85,7.8,8.87,182.52,12015,oce,platinum
34,Nautilus,2646,2.37,48,7.73,11.88,36.08,8224,oce,platinum
35,Gragas,2644,2.25,47.47,7.72,2.73,176.38,11192,oce,platinum
36,Vel'Koz,2637,2.31,52.71,7.7,2.24,95.64,10310,oce,platinum
37,Pantheon,2621,2.11,49.68,7.66,2.72,127.72,11176,oce,platinum
38,Xerath,2611,2.9,51.13,7.63,4.99,117.49,10843,oce,platinum
39,Darius,2595,1.84,48.29,7.58,13.11,197.02,12149,oce,platinum
