Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,17490,2.2,50.34,28.46,36.85,203.54,12937,oce,silver
2,Lux,13153,2.6,50.86,21.41,17.54,101.83,10479,oce,silver
3,Jinx,12911,2.35,50.48,21.01,5.21,203.52,12464,oce,silver
4,Jhin,11622,2.82,50.33,18.91,6.71,192.99,12907,oce,silver
5,Ashe,10980,2.38,49.95,17.87,10.9,179.12,11732,oce,silver
6,Warwick,9547,2.28,52.66,15.54,26.59,173.61,12433,oce,silver
7,Viktor,8540,2.2,50.32,13.9,15.34,200.85,12144,oce,silver
8,Tahm Kench,8330,2.48,52.48,13.56,21.35,94.29,10219,oce,silver
9,Yasuo,8170,1.67,49.52,13.3,19.39,212.32,12461,oce,silver
10,Miss Fortune,8087,2.5,51.17,13.16,2.71,193.77,12911,oce,silver
11,Ezreal,7925,2.55,48.58,12.9,4.89,192.28,12241,oce,silver
12,Ahri,7436,2.67,51.3,12.1,7.8,192.39,11847,oce,silver
13,Teemo,7360,1.97,51.64,11.98,19.51,174.04,12002,oce,silver
14,Viego,7190,2.48,50.25,11.7,7.56,185.52,12652,oce,silver
15,Yone,7085,1.73,48.4,11.53,13.78,210.71,12316,oce,silver
16,Thresh,7043,2.7,49.95,11.46,4.89,35.87,8518,oce,silver
17,Swain,6902,2.44,50.71,11.23,10.43,120.8,10628,oce,silver
18,Kayn,6840,2.37,51.92,11.13,8.86,189.17,12519,oce,silver
19,Graves,6813,2.41,50.27,11.09,15.74,210.69,13602,oce,silver
20,Kai'Sa,6435,2.46,48.34,10.47,2.89,207.27,13022,oce,silver
21,Ekko,6407,2.49,49.62,10.43,2.43,187.1,12635,oce,silver
22,Volibear,6360,1.95,50.83,10.35,5.73,185.79,12028,oce,silver
23,Sylas,6358,2.12,49.15,10.35,14.68,151.97,11289,oce,silver
24,Vayne,6243,2.18,51.85,10.16,5.09,185.31,12425,oce,silver
25,Garen,6102,1.94,49.62,9.93,6.54,219.72,13158,oce,silver
26,Mordekaiser,6055,1.98,53.1,9.85,15.42,185.8,12247,oce,silver
27,Nocturne,5919,2.73,51.02,9.63,19.33,192.07,12602,oce,silver
28,Diana,5612,2.18,49.54,9.13,3.91,202.05,13042,oce,silver
29,Smolder,5512,2.17,45.75,8.97,4.49,215.86,12611,oce,silver
30,Darius,5347,1.81,49.88,8.7,17.48,195.71,12465,oce,silver
31,Lee Sin,5297,2.58,48.08,8.62,4.08,165.86,12068,oce,silver
32,Brand,5283,2.03,51.58,8.6,9.76,101,10587,oce,silver
33,Galio,5133,2.76,51.67,8.35,5.69,157.28,10695,oce,silver
34,Dr. Mundo,5122,2.14,53.3,8.34,8.91,193.35,11835,oce,silver
35,Xerath,5119,2.93,51.75,8.33,7.53,116.29,11008,oce,silver
36,Malzahar,5118,2.22,50.64,8.33,11.9,226.22,12808,oce,silver
37,Amumu,5111,2.48,51.97,8.32,6.78,167.6,11541,oce,silver
38,Malphite,5070,2.51,49.82,8.25,7.86,159.3,11141,oce,silver
39,Morgana,4982,2.73,51.02,8.11,25.41,64.66,9688,oce,silver
40,Ambessa,4956,2,50.34,8.07,40.27,183.99,12001,oce,silver
41,Veigar,4925,2.3,50.09,8.02,3.36,190.27,12478,oce,silver
42,Sion,4913,1.51,50.84,8,3.86,203.81,12887,oce,silver
43,Nautilus,4858,2.33,47.1,7.91,11.88,41.81,8585,oce,silver
44,Lulu,4646,3.4,51.4,7.56,6.77,29.97,8172,oce,silver
45,Pantheon,4614,2.13,49.91,7.51,2.59,120.37,11387,oce,silver
46,Senna,4607,2.9,51.57,7.5,3.42,46.17,9751,oce,silver
47,Akali,4436,2.4,49.68,7.22,9.56,175.07,12055,oce,silver
48,Shaco,4368,2.62,49.63,7.11,22.44,142.62,11809,oce,silver
49,Vi,4361,2.35,49.78,7.1,1.52,175.16,11990,oce,silver
50,Leona,4305,2.53,50.64,7.01,8.8,33.76,8460,oce,silver
51,Nasus,4305,1.97,50.66,7.01,6.76,193.2,12150,oce,silver
52,Nami,4238,3.36,53.07,6.9,0.81,26.27,8329,oce,silver
53,Vel'Koz,4196,2.42,51.29,6.83,3.14,91.43,10475,oce,silver
54,Master Yi,4179,2.02,48.72,6.8,12.21,186.47,12874,oce,silver
55,Maokai,4167,2.56,52.12,6.78,1.34,105.55,9743,oce,silver
56,Zed,4074,2.29,48.43,6.63,14.45,191.88,12860,oce,silver
57,Irelia,4074,1.71,52.06,6.63,7.37,231.54,13590,oce,silver
58,Yorick,3981,1.78,52.62,6.48,11.97,220.35,13023,oce,silver
59,Pyke,3957,2.11,48.55,6.44,16.43,38.44,10017,oce,silver
60,Zyra,3901,2.31,51.96,6.35,6.99,75.95,9887,oce,silver
61,Jax,3825,1.74,48.65,6.22,5.3,184.13,12164,oce,silver
62,Aatrox,3814,1.97,50.68,6.21,11.76,182.26,11798,oce,silver
63,Katarina,3810,2.3,47.72,6.2,5.29,173.72,12571,oce,silver
64,Draven,3789,1.96,48.83,6.17,18.1,195.94,13753,oce,silver
65,Sivir,3779,2.51,51.42,6.15,1.51,231.86,12920,oce,silver
66,Wukong,3735,2.62,50.84,6.08,1.21,182.32,12320,oce,silver
67,Cho'Gath,3732,2.11,49.87,6.07,1.24,178.84,11898,oce,silver
68,Lucian,3678,2.36,49.02,5.99,1.22,203.42,12790,oce,silver
69,Gragas,3630,2.24,46.64,5.91,1.64,170.24,11242,oce,silver
