Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"91,862",2.34:1,51.35%,29.24%,28.09%,203.47,"13,295"
2,Jhin,"76,081",3:1,50.49%,24.21%,9.69%,195,"13,362"
3,Lux,"75,835",2.8:1,52.2%,24.14%,29.86%,111.53,"11,016"
4,Jinx,"61,340",2.43:1,50.08%,19.52%,3.27%,204.4,"12,845"
5,Ashe,"59,945",2.45:1,50.15%,19.08%,7.49%,183.99,"12,137"
6,Yasuo,"56,691",1.63:1,48.02%,18.04%,18.55%,206.7,"12,612"
7,Viktor,"47,598",2.27:1,50.83%,15.15%,17.25%,192.59,"12,366"
8,Yone,"44,433",1.78:1,48.37%,14.14%,11.48%,205.94,"12,525"
9,Ahri,"43,339",2.66:1,52.39%,13.79%,10.47%,185.34,"12,057"
10,Viego,"43,205",2.37:1,51.49%,13.75%,13.18%,185.11,"12,835"
11,Warwick,"40,902",2.27:1,53.59%,13.02%,13.01%,170.98,"12,749"
12,Kai'Sa,"40,827",2.46:1,48.71%,12.99%,3.01%,211.41,"13,382"
13,Thresh,"40,725",2.53:1,49.62%,12.96%,7.53%,34.38,"8,674"
14,Sylas,"40,296",2.1:1,48.83%,12.82%,16.27%,148.85,"11,524"
15,Ezreal,"39,427",2.57:1,47.75%,12.55%,2.56%,194.18,"12,576"
16,Lee Sin,"35,843",2.48:1,47.41%,11.41%,7.65%,168.01,"12,312"
17,Zed,"34,418",2.26:1,48.06%,10.95%,28.41%,179.83,"12,852"
18,Kayn,"33,970",2.21:1,50.34%,10.81%,4.97%,184.45,"12,668"
19,Vayne,"33,322",2.11:1,50.14%,10.61%,7.37%,184.26,"12,756"
20,Miss Fortune,"32,089",2.56:1,50.81%,10.21%,1.53%,186.75,"13,118"
21,Tahm Kench,"31,296",2.54:1,53.02%,9.96%,15.99%,97.2,"10,568"
22,Ambessa,"31,188",1.97:1,48.77%,9.93%,56.18%,181.25,"12,196"
23,Teemo,"30,953",2.03:1,52.06%,9.85%,16.63%,174.19,"12,234"
24,Smolder,"30,934",2.22:1,46.27%,9.85%,8.1%,216.6,"12,786"
25,Morgana,"30,088",2.71:1,52.25%,9.58%,29.48%,61.91,"9,875"
26,Swain,"30,049",2.48:1,51.22%,9.56%,9.41%,109.89,"10,791"
27,Master Yi,"30,047",1.98:1,49.4%,9.56%,11.96%,186.91,"12,984"
28,Mordekaiser,"29,935",2.04:1,53.4%,9.53%,17.13%,179.14,"12,506"
29,Volibear,"29,305",2.01:1,51.91%,9.33%,7.1%,182.46,"12,186"
30,Lulu,"26,928",3.22:1,50.25%,8.57%,7.56%,30.54,"8,393"
31,Senna,"26,513",2.84:1,49.05%,8.44%,2.19%,49.55,"10,036"
32,Darius,"26,353",1.86:1,48.67%,8.39%,14.43%,186.19,"12,528"
33,Akali,"26,342",2.28:1,49.04%,8.38%,9.44%,161.88,"12,080"
34,Aatrox,"26,197",1.93:1,49.8%,8.34%,14.69%,181.97,"12,040"
35,Ekko,"26,116",2.36:1,49.79%,8.31%,1%,176.85,"12,741"
36,Katarina,"26,096",2.22:1,47.46%,8.31%,6.9%,165.16,"12,599"
