Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,15173,2.38,50.57,29.74,27.07,188.83,13113,ph,bronze
2,Lux,13786,2.86,51.93,27.02,34.22,102.08,10995,ph,bronze
3,Jhin,12383,3.01,50.55,24.27,13.63,179.16,13189,ph,bronze
4,Yasuo,11631,1.66,47.45,22.8,21.99,197.19,12599,ph,bronze
5,Jinx,10165,2.42,48.95,19.93,4.02,188.05,12627,ph,bronze
6,Ashe,9441,2.49,50.24,18.51,5.96,167.84,12003,ph,bronze
7,Warwick,8067,2.3,54.27,15.81,14.7,165.67,12808,ph,bronze
8,Yone,7614,1.84,48.95,14.93,11.29,192.03,12445,ph,bronze
9,Teemo,7389,2.08,51.86,14.48,24.59,168.07,12284,ph,bronze
10,Miss Fortune,7034,2.62,51.09,13.79,2.71,178.62,13079,ph,bronze
11,Sylas,6806,2.1,48.05,13.34,17.11,136.94,11533,ph,bronze
12,Zed,6671,2.2,46.87,13.08,32.72,165.66,12708,ph,bronze
13,Viktor,6613,2.29,50.08,12.96,12.58,169.93,12041,ph,bronze
14,Vayne,6606,2.11,49.58,12.95,11.69,174.03,12774,ph,bronze
15,Master Yi,6598,2,50.39,12.93,18.14,184.77,13136,ph,bronze
16,Kayn,6389,2.14,50.32,12.52,6.6,178.46,12674,ph,bronze
17,Ahri,6215,2.65,53.11,12.18,9.52,169.74,11942,ph,bronze
18,Morgana,6110,2.77,52.16,11.98,28.61,64.08,10068,ph,bronze
19,Thresh,5966,2.44,47.67,11.69,6.91,36.44,8922,ph,bronze
20,Mordekaiser,5843,2.12,53.93,11.45,23.66,169.46,12548,ph,bronze
21,Viego,5772,2.25,51.46,11.31,9.85,177.14,12791,ph,bronze
22,Ezreal,5688,2.53,46.29,11.15,2.07,172.09,12210,ph,bronze
23,Tahm Kench,5568,2.55,52.46,10.91,18.23,93.58,10680,ph,bronze
24,Kai'Sa,5508,2.41,46.04,10.8,2.55,198.23,13219,ph,bronze
25,Swain,5271,2.48,51.34,10.33,11.33,92.82,10755,ph,bronze
26,Darius,5187,1.87,47.18,10.17,17.5,174.33,12361,ph,bronze
27,Ekko,5179,2.3,49.01,10.15,1.53,167.69,12716,ph,bronze
28,Lee Sin,5128,2.36,46.45,10.05,6.82,161.3,12318,ph,bronze
