Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,172,3.19,51.74,75.14,52.19,209.74,12723,ph,challenger
2,Xerath,89,3.37,43.82,44.32,5.98,208.88,11685,ph,challenger
3,Ezreal,73,2.8,56.16,35.98,9.07,214.34,12426,ph,challenger
4,Ashe,69,3.08,52.17,33.97,14.93,226.54,12790,ph,challenger
5,Ambessa,68,2.39,52.94,33.17,48.89,189.76,11940,ph,challenger
6,Kai'Sa,68,3.46,54.41,34.4,6.84,239.1,13431,ph,challenger
7,Viktor,63,2.84,52.38,37.79,29.7,218.94,12706,ph,challenger
8,Lee Sin,56,3.19,44.64,27.6,14.49,170.61,12031,ph,challenger
9,Caitlyn,48,2.28,47.92,23.66,25.73,233.38,13218,ph,challenger
10,Dr. Mundo,47,2.15,55.32,26.63,2.66,206.91,11970,ph,challenger
11,Sylas,40,2.5,52.5,19.71,12.07,167.82,11672,ph,challenger
12,Yone,36,1.81,52.78,18.15,7.06,226,12363,ph,challenger
13,Ahri,35,3.46,51.43,17.25,5.77,197.34,11443,ph,challenger
14,Corki,34,2.61,47.06,18,5.19,231.35,12899,ph,challenger
15,Volibear,31,2.48,45.16,15.76,6.2,175.71,11062,ph,challenger
16,Xayah,31,2.47,51.61,22.58,2.5,247.45,13362,ph,challenger
17,Jhin,28,3.55,53.57,16.51,1.59,207.32,11905,ph,challenger
18,Yasuo,28,2.19,53.57,14.15,7.48,264.5,14629,ph,challenger
19,Karthus,27,2.39,44.44,25.71,0.57,198.81,12178,ph,challenger
20,Graves,27,2.66,44.44,13.31,18.24,210.26,12792,ph,challenger
21,Aurora,26,3.14,61.54,12.81,20.55,205.65,12152,ph,challenger
22,Vex,26,3.4,65.38,14.18,6.8,196.77,13117,ph,challenger
23,Jinx,24,2.88,41.67,13.06,1.74,221.63,12270,ph,challenger
24,Kindred,23,2.8,39.13,14.82,1.42,217.7,13768,ph,challenger
25,Jarvan IV,23,6.07,78.26,13.86,6.93,195.3,12448,ph,challenger
26,Lux,21,2.21,23.81,10.35,31.69,129.86,10163,ph,challenger
27,Camille,21,2.66,61.9,13.08,3.42,149.24,11153,ph,challenger
28,Varus,21,2.54,66.67,16.79,1.84,202.71,11835,ph,challenger
29,Gragas,21,2.7,66.67,10.35,11.43,179.24,11572,ph,challenger
30,Vladimir,20,2.36,40,9.86,10.94,200.3,11081,ph,challenger
31,Hecarim,20,3.02,45,11.04,4.36,214.75,12857,ph,challenger
32,Nidalee,20,4.23,45,12.09,3.39,177.9,11915,ph,challenger
33,Sett,20,3.02,85,23.98,1.8,200.7,13136,ph,challenger
34,Syndra,19,2.44,52.63,11.73,2.96,194.68,11217,ph,challenger
35,Jax,19,2.01,52.63,9.36,12.47,180.95,11370,ph,challenger
