Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,3237,2.19,49.49,24.95,27.37,218.59,13105,ph,diamond
2,Viego,2721,2.57,53.14,20.97,25.93,193.24,12745,ph,diamond
3,Jhin,2706,2.93,50.67,20.86,2.88,211.17,13149,ph,diamond
4,Lux,2533,2.64,50.45,19.53,25.88,141.73,11129,ph,diamond
5,Kai'Sa,2381,2.44,48.55,18.35,4.48,223.54,13179,ph,diamond
6,Ashe,2351,2.37,49.04,18.12,12.05,205.09,12113,ph,diamond
7,Jinx,2292,2.34,51.05,17.67,1.48,221.14,12676,ph,diamond
8,Viktor,2125,2.09,50.02,16.38,21.72,212.01,12184,ph,diamond
9,Ezreal,2113,2.53,49.08,16.29,5.7,214.3,12740,ph,diamond
10,Lulu,1987,3.47,53.15,15.32,9.53,28.47,8143,ph,diamond
11,Sylas,1866,2.12,49.95,14.38,17.12,163.71,11336,ph,diamond
12,Ahri,1822,2.7,52.31,14.04,9.94,200.12,11931,ph,diamond
13,Lee Sin,1725,2.78,49.51,13.3,6.87,174.03,12235,ph,diamond
14,Yone,1668,1.73,48.56,12.86,9.74,223.37,12359,ph,diamond
15,Graves,1644,2.54,49.39,12.67,14.66,213.17,13541,ph,diamond
16,Karma,1616,2.68,50.87,12.46,3.87,46.88,8683,ph,diamond
17,Ambessa,1596,1.92,49.37,12.3,58.1,191.63,11999,ph,diamond
18,Wukong,1503,2.84,53.29,11.59,6.29,181.89,12171,ph,diamond
19,Aatrox,1496,1.89,49.8,11.53,13.27,193,11783,ph,diamond
20,Nami,1444,3.22,47.02,11.13,0.96,25.61,8102,ph,diamond
21,Smolder,1399,2.11,44.17,10.78,4.87,231.59,12622,ph,diamond
22,Gragas,1319,2.28,49.81,10.17,7.38,187.24,11626,ph,diamond
23,Thresh,1290,2.67,49.77,9.94,5.11,31,8210,ph,diamond
24,Kha'Zix,1279,2.51,48.63,9.86,11.95,192.84,12854,ph,diamond
25,Senna,1250,2.95,51.76,9.64,2.18,37.27,9390,ph,diamond
26,Hwei,1224,2.46,49.1,9.44,5.68,197.2,11853,ph,diamond
27,Yasuo,1215,1.61,48.07,9.37,11.93,222.62,12431,ph,diamond
28,Aurora,1156,2.49,48.53,8.91,23.98,201.19,12133,ph,diamond
29,Riven,1143,2,51.79,8.81,2.45,209.2,12646,ph,diamond
30,Volibear,1142,1.93,51.14,8.8,6.59,193.83,11937,ph,diamond
31,Galio,1141,2.66,51.71,8.8,9.52,174.21,10847,ph,diamond
32,Swain,1140,2.32,51.23,8.79,5.46,147.75,10846,ph,diamond
33,Jayce,1125,1.91,46.49,8.67,1.26,214.63,12570,ph,diamond
34,Seraphine,1117,2.98,51.57,8.61,4.88,85.94,9400,ph,diamond
35,Janna,1115,3.22,50.94,8.59,3.89,27.42,8125,ph,diamond
36,LeBlanc,1077,2.66,51.07,8.3,22.34,173.69,11759,ph,diamond
37,Pyke,1056,2.13,49.43,8.14,29.29,35.78,9628,ph,diamond
38,Corki,1045,2.49,50.53,8.06,6.66,221.83,13033,ph,diamond
39,Jax,1040,1.7,48.75,8.02,9.7,193.82,12067,ph,diamond
40,Lucian,1027,2.34,49.95,7.92,3,224.21,13310,ph,diamond
41,Kayn,997,2.36,46.44,7.69,3.31,192.69,12482,ph,diamond
42,Jarvan IV,973,3.15,50.67,7.5,4.32,163.25,11426,ph,diamond
43,Zed,965,2.15,49.43,7.44,17.74,197.71,12575,ph,diamond
44,Elise,960,2.49,49.58,7.4,6.36,156.33,11793,ph,diamond
45,Tahm Kench,955,2.26,47.33,7.36,5.01,100.47,9843,ph,diamond
46,Soraka,951,3.06,50.47,7.33,2.97,26.96,7858,ph,diamond
47,Katarina,949,2.36,48.79,7.32,7.97,183.05,12721,ph,diamond
48,Vi,931,2.41,47.58,7.18,3.48,174.99,11793,ph,diamond
49,Irelia,931,1.6,50.16,7.18,10.16,234.97,13390,ph,diamond
50,Syndra,901,2.32,48.95,6.95,3.46,210.33,12484,ph,diamond
51,Nocturne,899,2.78,49.94,6.93,18.65,190.66,12214,ph,diamond
52,Akali,893,2.34,50.73,6.88,4.29,181.69,11919,ph,diamond
53,Renekton,876,1.82,48.86,6.75,5.95,210.73,12260,ph,diamond
54,Sivir,869,2.54,51.21,6.7,1.04,244.92,13033,ph,diamond
55,Varus,856,2.38,50.47,6.6,0.83,214.35,12835,ph,diamond
56,Milio,851,3.6,49.82,6.56,2.85,27.53,7755,ph,diamond
57,K'Sante,842,2.03,48.81,6.49,8.34,192.73,11396,ph,diamond
58,Xerath,828,2.98,46.86,6.38,4.96,118.98,10753,ph,diamond
59,Maokai,824,2.44,52.91,6.35,1.39,126.21,9891,ph,diamond
60,Warwick,822,2.25,52.43,6.34,7.53,178.79,12288,ph,diamond
61,Ekko,812,2.61,52.34,6.26,0.97,197.64,12762,ph,diamond
62,Nautilus,781,2.33,49.17,6.02,16.73,35.6,8336,ph,diamond
63,Zoe,777,2.53,51.61,5.99,1.8,117.54,10911,ph,diamond
64,Draven,771,2.16,50.58,5.94,8.62,212.91,14191,ph,diamond
