Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,9773,2.24,50.83,28.38,29.02,219.06,13478,ph,emerald
2,Jhin,7650,2.96,49.86,22.21,4.72,211.51,13440,ph,emerald
3,Lux,6725,2.71,51.61,19.53,24.11,130.11,11132,ph,emerald
4,Jinx,6535,2.37,50.18,18.97,2.27,220.78,12958,ph,emerald
5,Ashe,6477,2.44,50.42,18.81,9.21,201.23,12282,ph,emerald
6,Viktor,6161,2.23,49.99,17.89,21.59,212.4,12594,ph,emerald
7,Viego,5651,2.48,51.23,16.41,16.96,190.03,12812,ph,emerald
8,Kai'Sa,5372,2.5,50.61,15.6,3.37,223.95,13521,ph,emerald
9,Ahri,5117,2.64,51.48,14.86,10.96,201.12,12161,ph,emerald
10,Ezreal,5009,2.58,49.09,14.54,2.99,211.98,12829,ph,emerald
11,Sylas,4721,2.14,50.26,13.71,16.87,163.93,11634,ph,emerald
12,Yone,4499,1.71,48.03,13.06,10.52,222.58,12611,ph,emerald
13,Yasuo,4270,1.58,47.63,12.4,14.28,220.95,12587,ph,emerald
14,Thresh,4242,2.62,50.8,12.32,7.37,32.31,8429,ph,emerald
15,Lee Sin,4214,2.7,48.72,12.24,7.12,173.19,12270,ph,emerald
16,Lulu,4161,3.37,50.68,12.08,11.61,29.95,8297,ph,emerald
17,Graves,3904,2.41,49.95,11.34,10.45,212,13635,ph,emerald
18,Smolder,3844,2.14,45.4,11.16,6.36,228.29,12782,ph,emerald
19,Aatrox,3812,1.95,50.1,11.07,15.73,193.79,12110,ph,emerald
20,Ambessa,3771,1.98,48.98,10.95,58.42,192.29,12305,ph,emerald
21,Kha'Zix,3645,2.56,51,10.58,11.66,189.91,13116,ph,emerald
22,Gragas,3464,2.32,48.87,10.06,7.07,185.84,11814,ph,emerald
23,Riven,3375,1.96,51.61,9.8,2.76,205.93,12814,ph,emerald
24,Volibear,3238,1.91,51.17,9.4,7.93,194.97,12284,ph,emerald
25,Karma,3210,2.73,52.83,9.32,3.32,52.94,9075,ph,emerald
26,Swain,3161,2.47,50.71,9.18,7.03,135.36,10946,ph,emerald
27,Nami,3140,3.3,52.96,9.12,0.94,26.82,8310,ph,emerald
28,Pyke,3098,2.11,47.97,9,26.18,38.8,10103,ph,emerald
29,Warwick,3015,2.26,51.14,8.75,11.11,179.96,12699,ph,emerald
30,Kayn,3002,2.4,52.07,8.72,3.53,191.49,12730,ph,emerald
31,Tahm Kench,2994,2.5,53.17,8.69,10.22,104.68,10428,ph,emerald
32,Lucian,2939,2.37,50.77,8.53,2.23,221.39,13454,ph,emerald
33,Zed,2859,2.37,50.68,8.3,20.66,198.84,13024,ph,emerald
34,Jayce,2856,1.87,47.55,8.29,1.06,214.3,12976,ph,emerald
35,Wukong,2833,2.7,52.95,8.23,3.38,188.55,12607,ph,emerald
36,Senna,2809,2.83,50.98,8.16,2.53,41.5,9722,ph,emerald
37,Vi,2704,2.43,50.59,7.85,2.88,180.76,12226,ph,emerald
38,LeBlanc,2668,2.65,50.34,7.75,20.15,171.1,12116,ph,emerald
39,Vayne,2643,2.03,51.38,7.67,2.99,200.97,12772,ph,emerald
40,Katarina,2589,2.27,49.94,7.52,7.87,176.79,12704,ph,emerald
41,Galio,2587,2.7,51.87,7.51,6.7,176.51,11041,ph,emerald
42,Ekko,2562,2.48,50.9,7.44,0.66,192.55,12965,ph,emerald
43,Nocturne,2534,2.76,52.13,7.36,19.9,195.45,12639,ph,emerald
44,Jax,2529,1.67,49.82,7.34,7.49,195.77,12456,ph,emerald
45,Hwei,2461,2.52,50.18,7.15,6.93,179.51,11853,ph,emerald
46,Mordekaiser,2454,1.93,53.42,7.13,9.34,195.83,12507,ph,emerald
47,Aurora,2439,2.54,51.66,7.08,22.87,195.16,12140,ph,emerald
48,Pantheon,2422,2.04,48.72,7.03,2.73,129,11482,ph,emerald
49,Corki,2414,2.56,49.67,7.01,4.6,228.21,13518,ph,emerald
50,Akali,2403,2.34,50.81,6.98,6.06,184.14,12248,ph,emerald
51,Xerath,2329,3.09,53.24,6.76,4.89,124.73,11309,ph,emerald
52,Master Yi,2302,2.11,49.13,6.68,5.78,189.89,12952,ph,emerald
53,Irelia,2301,1.65,51.5,6.68,8.63,243.44,13983,ph,emerald
54,Varus,2300,2.3,49.26,6.68,0.95,207.7,12904,ph,emerald
55,Seraphine,2233,2.91,51.55,6.48,3.29,77,9584,ph,emerald
56,Milio,2201,3.65,51.25,6.39,3.72,28.09,8036,ph,emerald
