Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,18810,2.37,52.44,30.5,28.85,208.05,13436,ph,gold
2,Jhin,16314,3.03,50.62,26.45,9.27,200.18,13520,ph,gold
3,Lux,14833,2.82,53.16,24.05,28.84,115.55,11151,ph,gold
4,Jinx,11954,2.47,50.54,19.38,3.13,211.03,13057,ph,gold
5,Ashe,11874,2.45,50.19,19.25,7.4,188.48,12261,ph,gold
6,Yasuo,10455,1.61,48.23,16.95,17.52,214.1,12739,ph,gold
7,Viktor,9978,2.31,51.69,16.18,18.88,196.04,12506,ph,gold
8,Ahri,8957,2.7,53.1,14.52,11.5,188.27,12144,ph,gold
9,Thresh,8691,2.6,50.56,14.09,8.47,34.06,8683,ph,gold
10,Yone,8511,1.76,48.63,13.8,12.02,210.96,12652,ph,gold
11,Viego,7911,2.36,51.41,12.83,12.38,186.26,12883,ph,gold
12,Kai'Sa,7881,2.48,48.78,12.78,3.05,215,13562,ph,gold
13,Sylas,7696,2.13,48.78,12.48,15.07,153.23,11672,ph,gold
14,Warwick,7648,2.27,54.04,12.4,13.3,173.85,12755,ph,gold
15,Ezreal,7583,2.64,48.44,12.29,2.36,200.48,12802,ph,gold
16,Lee Sin,7161,2.51,47.44,11.61,8.56,171.2,12432,ph,gold
17,Zed,6854,2.32,49.56,11.11,28.75,186.06,13029,ph,gold
18,Tahm Kench,6705,2.56,53.39,10.87,18.12,101.45,10669,ph,gold
19,Vayne,6692,2.12,50.88,10.85,6.31,190.47,12848,ph,gold
20,Ambessa,6647,2,49.01,10.78,58.78,184.1,12344,ph,gold
21,Kayn,6615,2.24,50.99,10.72,4.61,187.13,12715,ph,gold
22,Smolder,6560,2.26,48.14,10.64,8.37,222.18,13046,ph,gold
23,Volibear,6105,2.01,52.22,9.9,7.28,187.35,12377,ph,gold
24,Mordekaiser,5950,2.07,53.98,9.65,16.61,185,12658,ph,gold
25,Swain,5934,2.49,51.37,9.62,9.5,112.49,10833,ph,gold
26,Morgana,5696,2.72,53.35,9.23,33.34,62.67,9890,ph,gold
27,Graves,5486,2.37,51.48,8.89,5.22,208.43,13733,ph,gold
28,Nocturne,5447,2.71,53.7,8.83,17.69,192.89,12830,ph,gold
29,Aatrox,5435,2,50.84,8.81,14.76,183.8,12189,ph,gold
30,Miss Fortune,5386,2.57,51.1,8.73,0.83,195.72,13337,ph,gold
31,Lulu,5282,3.21,50.97,8.56,8.93,30.47,8502,ph,gold
32,Teemo,5179,2.02,53.47,8.4,14.3,180.8,12368,ph,gold
33,Master Yi,5178,2.01,50.17,8.4,10.07,190.62,13048,ph,gold
34,Senna,5069,2.86,49.67,8.22,2.09,48.37,10016,ph,gold
35,Lucian,5067,2.42,48.63,8.22,1.65,211.07,13302,ph,gold
36,Darius,5025,1.89,50.33,8.15,14.41,194.01,12783,ph,gold
37,Akali,5021,2.3,49.73,8.14,8.91,168.69,12291,ph,gold
38,Pyke,4963,2.01,47.65,8.05,17.81,38.99,10288,ph,gold
39,Gragas,4924,2.37,50.91,7.98,2.84,175.44,11724,ph,gold
40,Riven,4913,1.95,50.52,7.97,2.12,194.5,12640,ph,gold
41,Katarina,4882,2.19,47.28,7.92,6.19,167.52,12592,ph,gold
42,Shaco,4880,2.54,50.2,7.91,27.73,153.92,12206,ph,gold
43,LeBlanc,4812,2.71,48.11,7.8,20.2,161.13,12121,ph,gold
44,Ekko,4808,2.46,52.35,7.8,0.71,183.68,12968,ph,gold
45,Galio,4764,2.68,51.28,7.72,5.59,160.42,11091,ph,gold
46,Karma,4649,2.59,49.62,7.54,3.23,57.35,9296,ph,gold
47,Kha'Zix,4578,2.37,50.15,7.42,7.89,186.08,13176,ph,gold
48,Pantheon,4473,2.13,51.44,7.25,2.72,118.34,11644,ph,gold
49,Jax,4377,1.78,50.29,7.1,4.12,191,12780,ph,gold
50,Vi,4325,2.34,50.24,7.01,1.66,177.32,12224,ph,gold
51,Seraphine,4198,2.85,50.88,6.81,3.48,60.45,9414,ph,gold
52,Malphite,4141,2.56,51.8,6.71,3.8,167.09,11743,ph,gold
53,Nautilus,4030,2.4,49.83,6.53,11.48,43.4,8875,ph,gold
54,Varus,3994,2.36,48.82,6.48,1.38,198.5,12919,ph,gold
55,Veigar,3928,2.42,52.24,6.37,2.04,193.79,13035,ph,gold
56,Cho'Gath,3847,2.28,53,6.24,2.19,183.18,12483,ph,gold
57,Irelia,3810,1.75,51.78,6.18,7.12,234.93,14004,ph,gold
58,Xerath,3734,2.97,52.44,6.05,3.73,114.18,11313,ph,gold
59,Hwei,3711,2.53,50.44,6.02,4.49,162.44,11764,ph,gold
60,Nami,3656,3.24,51.37,5.93,0.83,26.85,8482,ph,gold
61,Garen,3625,2.04,50.62,5.88,3.06,215.63,13410,ph,gold
62,Blitzcrank,3557,2.4,49.17,5.77,15.63,31.5,8548,ph,gold
63,Dr. Mundo,3555,2.13,53.61,5.76,5.15,194.15,12242,ph,gold
64,Wukong,3521,2.66,55.1,5.71,1.33,181.16,12620,ph,gold
65,Diana,3516,2.13,52.76,5.7,1.37,199.84,13227,ph,gold
66,Sion,3480,1.51,49.63,5.64,2.2,207.84,13248,ph,gold
67,Trundle,3435,1.69,53.83,5.57,3.11,205.26,13330,ph,gold
68,Soraka,3388,2.89,52.63,5.49,3.93,28.57,8131,ph,gold
69,Jayce,3346,1.96,47.91,5.42,0.78,204.6,12961,ph,gold
70,Udyr,3325,2.19,50.02,5.39,3.87,191.67,12369,ph,gold
71,Leona,3322,2.41,50.33,5.39,6.34,32.88,8642,ph,gold
72,Sett,3249,1.73,50.35,5.27,1.39,184.01,12634,ph,gold
73,Yorick,3226,1.85,52.76,5.23,10.62,218.4,13369,ph,gold
74,Nasus,3212,2.06,53.46,5.21,5.45,195.31,12676,ph,gold
75,Brand,3022,2.1,52.65,4.9,3.78,99.05,10851,ph,gold
76,Vel'Koz,2979,2.44,52.3,4.83,1.6,82.97,10642,ph,gold
77,Samira,2976,2.29,50.74,4.83,13.3,196.8,13811,ph,gold
78,Xayah,2971,2.46,50.08,4.82,0.9,221.06,13282,ph,gold
79,Malzahar,2970,2.34,51.78,4.82,6.43,225.12,13193,ph,gold
80,Poppy,2926,2.33,50.65,4.74,3.29,92.96,10322,ph,gold
81,Aurora,2852,2.49,49.72,4.62,16.16,187.33,12176,ph,gold
82,Tristana,2830,2.41,47.77,4.59,1.02,195.89,13475,ph,gold
83,Sivir,2823,2.59,50.94,4.58,0.84,241.7,13456,ph,gold
84,Renekton,2772,2.06,50.65,4.49,2.73,207.72,13032,ph,gold
85,Nunu & Willump,2761,2.56,51.39,4.48,1.35,163.72,11752,ph,gold
86,Corki,2755,2.47,49.15,4.47,1.92,215.39,13320,ph,gold
87,Syndra,2731,2.47,49.25,4.43,2.19,197.37,12908,ph,gold
88,Lillia,2708,2.58,50.52,4.39,3.95,192.39,12630,ph,gold
89,Jarvan IV,2686,3.16,53.46,4.35,1.1,168.63,12268,ph,gold
90,Illaoi,2665,1.59,51.29,4.32,12.23,196.47,12477,ph,gold
91,Zyra,2662,2.4,54.32,4.32,3.31,80.44,10151,ph,gold
92,Maokai,2657,2.58,51.49,4.31,1.04,112.9,10217,ph,gold
93,Amumu,2625,2.54,52.38,4.26,1.84,169.11,11742,ph,gold
94,Kayle,2612,1.9,52.22,4.23,0.89,225.89,13243,ph,gold
95,K'Sante,2488,1.92,46.22,4.03,5.78,180.42,11528,ph,gold
96,Milio,2480,3.66,53.19,4.02,3.09,30.02,8259,ph,gold
97,Rakan,2471,2.63,47.79,4.01,0.74,34.62,8340,ph,gold
98,Briar,2465,2.1,52.66,4,6.9,179,13038,ph,gold
99,Sejuani,2400,3.01,51.71,3.89,1.37,167.55,11524,ph,gold
100,Xin Zhao,2331,2.34,52.98,3.78,0.57,175.86,12242,ph,gold
101,Braum,2308,2.86,51.21,3.74,2.3,29.09,8533,ph,gold
102,Fizz,2304,2.4,50.26,3.74,2.87,173.73,13207,ph,gold
103,Azir,2257,2.04,47.63,3.66,0.85,206.59,12491,ph,gold
104,Twitch,2250,2.32,46.18,3.65,1.32,166.89,12959,ph,gold
105,Rengar,2236,1.88,44.14,3.63,2.08,186.03,12654,ph,gold
106,Aphelios,2229,1.99,47.73,3.61,0.96,195.68,12889,ph,gold
107,Zoe,2216,2.5,49.23,3.59,1.7,129.04,11278,ph,gold
108,Orianna,2214,2.84,50.5,3.59,0.52,189.23,12156,ph,gold
109,Janna,2207,3.06,49.89,3.58,0.74,31.01,8481,ph,gold
110,Camille,2178,1.86,46.92,3.53,1.4,166.62,12029,ph,gold
111,Sona,2162,2.91,52.41,3.51,0.18,30.55,8580,ph,gold
112,Vladimir,2153,2.16,50.44,3.49,2.56,200.93,12586,ph,gold
113,Vex,2145,2.54,54.78,3.48,4.35,184.35,12530,ph,gold
114,Draven,2144,2.14,48.88,3.48,5.45,198.69,14092,ph,gold
115,Gwen,2133,1.83,49.18,3.46,2.47,205.08,13037,ph,gold
116,Talon,2131,2.23,50.63,3.46,0.59,195.11,13267,ph,gold
117,Tryndamere,2082,1.78,48.9,3.38,1.18,225.58,13613,ph,gold
118,Elise,2074,2.37,51.06,3.36,1.11,164.63,12483,ph,gold
119,Gnar,2066,1.88,48.11,3.35,0.99,186.41,12250,ph,gold
120,Shen,2057,3.01,51.87,3.34,0.68,131.55,10689,ph,gold
121,Lissandra,2030,2.42,50.25,3.29,1.76,182.37,12074,ph,gold
122,Skarner,2025,2.81,47.26,3.28,9.13,155.38,11061,ph,gold
123,Renata Glasc,2010,2.63,50.5,3.26,2.09,34.73,8602,ph,gold
124,Yuumi,1974,4.35,44.88,3.2,3.06,16.46,8169,ph,gold
125,Ornn,1970,2.43,51.73,3.19,1.05,173.55,11479,ph,gold
126,Gangplank,1940,2.18,47.53,3.15,2,213.95,14438,ph,gold
127,Zac,1932,2.98,49.33,3.13,1.44,154.49,11364,ph,gold
128,Neeko,1893,2.3,50.55,3.07,1.7,80.13,10176,ph,gold
129,Kindred,1874,2.13,47.01,3.04,1.38,186.91,12874,ph,gold
130,Ziggs,1769,2.66,52.69,2.87,1.97,196.08,12674,ph,gold
131,Alistar,1756,2.4,48.35,2.85,1.87,31.65,8452,ph,gold
132,Fiddlesticks,1755,2.42,50.09,2.85,1,152.65,11895,ph,gold
133,Ryze,1718,2.33,52.5,2.79,0.27,215.94,12831,ph,gold
134,Hecarim,1697,2.43,47.08,2.75,1,195.96,12496,ph,gold
135,Fiora,1650,1.56,45.45,2.68,2.33,194.98,12450,ph,gold
136,Kog'Maw,1592,2.29,52.51,2.58,0.82,198.84,13242,ph,gold
137,Aurelion Sol,1542,2.73,50.13,2.5,1.39,195.76,12940,ph,gold
138,Rell,1526,2.62,47.77,2.47,1.76,31.59,8703,ph,gold
139,Urgot,1492,2.04,50.34,2.42,0.86,200.45,13306,ph,gold
140,Singed,1490,1.87,50.47,2.42,0.49,197.56,12185,ph,gold
141,Twisted Fate,1445,2.21,48.1,2.34,0.19,185.19,13107,ph,gold
142,Heimerdinger,1413,1.87,48.48,2.29,1.05,183.73,12258,ph,gold
143,Bard,1410,2.95,49.15,2.29,0.53,35.48,8902,ph,gold
144,Evelynn,1367,2.6,49.09,2.22,1.35,163.26,12436,ph,gold
145,Rammus,1361,2.78,50.26,2.21,3.81,159.17,11204,ph,gold
146,Rumble,1290,2.01,47.91,2.09,0.43,190.06,12395,ph,gold
147,Kassadin,1236,2.41,47.09,2,1.11,182.38,12379,ph,gold
148,Zilean,1228,3,50.24,1.99,0.76,69.47,9175,ph,gold
149,Anivia,1199,2.75,53.21,1.94,0.86,168.9,11796,ph,gold
150,Akshan,1176,2.17,46.51,1.91,0.96,180.71,13080,ph,gold
151,Nidalee,1164,2.37,43.81,1.89,0.22,157.49,11706,ph,gold
152,Annie,1138,2.49,51.85,1.85,0.48,153.31,11605,ph,gold
