Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,316,3.09,56.96,36.91,48.58,196.36,12735,ph,grandmaster
2,Caitlyn,249,2.51,52.61,29.08,25.23,213.71,12489,ph,grandmaster
3,Ezreal,230,2.48,44.78,26.86,8.44,219.56,12473,ph,grandmaster
4,Ashe,218,2.68,51.38,25.46,13.77,210,11801,ph,grandmaster
5,Kai'Sa,187,2.58,49.73,21.91,6.48,225.91,12944,ph,grandmaster
6,Lux,176,2.77,51.7,20.56,32.78,158.85,11152,ph,grandmaster
7,Lee Sin,153,3.65,57.52,17.93,11.59,178.18,12514,ph,grandmaster
8,Aurora,150,2.78,56.67,17.52,20.4,213.75,12579,ph,grandmaster
9,Wukong,147,3.27,54.42,17.17,7.6,175.65,11819,ph,grandmaster
10,Ahri,144,2.9,46.53,16.87,5.33,200.87,11683,ph,grandmaster
11,Jhin,140,3.2,51.43,16.53,1.88,204.51,12297,ph,grandmaster
12,Jax,133,2.25,57.89,15.53,13.74,200.82,12162,ph,grandmaster
13,Viktor,131,2.59,64.12,17.23,31.81,216.94,12626,ph,grandmaster
14,Sylas,125,2.24,54.4,14.6,13.9,166.02,10901,ph,grandmaster
15,Karma,120,3.04,54.17,14.02,2.31,35.94,8209,ph,grandmaster
16,Graves,116,2.49,50,13.55,15.67,212.28,13225,ph,grandmaster
17,Renekton,113,2.22,46.02,13.2,8.53,215.3,12209,ph,grandmaster
18,Jinx,110,2.6,53.64,13.21,1.74,222.61,12824,ph,grandmaster
19,Kha'Zix,108,2.55,50.93,12.61,7.14,186.11,12145,ph,grandmaster
20,Corki,107,2.68,49.53,12.5,5.33,216.78,12430,ph,grandmaster
21,Yone,103,2.02,49.51,12.03,8.39,229.99,12482,ph,grandmaster
22,Zoe,103,2.79,54.37,12.3,2.29,81.62,9802,ph,grandmaster
23,Volibear,102,2.34,48.04,11.95,6.28,181.35,11031,ph,grandmaster
24,Jarvan IV,102,3.71,58.82,11.95,6.9,162.9,11085,ph,grandmaster
25,Gragas,96,2.93,60.42,11.21,10.22,197.33,12057,ph,grandmaster
26,Ambessa,95,2.23,56.84,11.1,49.61,193.88,11881,ph,grandmaster
27,Soraka,94,3.52,60.64,11.06,5.3,26.33,7437,ph,grandmaster
28,Nami,92,3.39,46.74,11.85,0.99,25.6,7553,ph,grandmaster
29,Lulu,88,3.55,44.32,10.28,7.35,26.41,7404,ph,grandmaster
30,Irelia,87,1.65,51.72,10.16,10.71,213.06,11929,ph,grandmaster
31,Kassadin,80,3.1,57.5,9.71,4.56,195.35,12462,ph,grandmaster
32,Akali,78,2.41,50,9.11,9.71,193.55,11958,ph,grandmaster
33,Poppy,77,3.01,66.23,9.02,8.96,84.94,9625,ph,grandmaster
34,Vi,76,2.69,51.32,8.88,4.92,164.46,10945,ph,grandmaster
35,Maokai,74,3.08,64.86,9.13,2.33,135.32,9585,ph,grandmaster
36,Talon,73,2.84,46.58,10.18,1.81,199.92,12533,ph,grandmaster
37,Elise,72,2.78,52.78,8.41,12.38,155.13,11309,ph,grandmaster
38,Riven,71,2.13,43.66,8.59,2.64,205.31,12062,ph,grandmaster
39,Janna,67,3.1,37.31,7.83,2.98,26.01,7518,ph,grandmaster
40,Vel'Koz,66,2.61,50,8.48,5.62,55.24,8748,ph,grandmaster
41,Pyke,65,1.94,43.08,7.62,31.03,32.6,9132,ph,grandmaster
42,Twitch,64,2.14,45.31,10.38,1.61,184.19,12555,ph,grandmaster
43,K'Sante,64,2.4,53.13,7.5,5.71,198.5,11247,ph,grandmaster
44,Lucian,63,2.27,50.79,7.68,1.23,224.24,12420,ph,grandmaster
45,Dr. Mundo,63,2.4,55.56,7.75,1.92,202.65,11909,ph,grandmaster
46,Seraphine,60,3.21,43.33,7.24,5.94,131.47,9886,ph,grandmaster
47,Varus,60,2.6,58.33,7.38,0.76,212.55,12208,ph,grandmaster
48,Rell,59,2.96,57.63,7.51,0.96,29.53,7985,ph,grandmaster
49,Katarina,59,2.83,57.63,6.91,8.71,178.25,11895,ph,grandmaster
50,Rakan,58,3.2,39.66,7.82,1.19,29.98,8209,ph,grandmaster
51,Nocturne,57,3.09,61.4,6.66,18.77,196.51,12441,ph,grandmaster
52,Aatrox,56,1.76,46.43,6.56,9.49,177.66,10618,ph,grandmaster
53,Jayce,55,1.69,45.45,6.65,1.46,220.91,12737,ph,grandmaster
54,Zed,55,2.95,52.73,6.42,12.15,191.47,12654,ph,grandmaster
55,Vladimir,55,2.74,52.73,6.42,9.43,203.56,11364,ph,grandmaster
56,Tryndamere,55,2.01,56.36,6.57,2.87,242.22,13435,ph,grandmaster
57,Nunu & Willump,55,3.03,56.36,6.47,1.11,149.53,9909,ph,grandmaster
58,LeBlanc,55,2.84,58.18,6.42,25.11,172.75,11153,ph,grandmaster
59,Smolder,54,2.17,42.59,6.31,3.13,213.89,11236,ph,grandmaster
60,Syndra,54,2.48,50,6.33,2.86,213.63,12136,ph,grandmaster
61,Zeri,52,2.43,48.08,7.82,0.35,236.94,12758,ph,grandmaster
62,Nidalee,52,2.66,48.08,6.33,3.2,163.58,11360,ph,grandmaster
63,Tahm Kench,52,2.7,51.92,6.26,2.42,62.83,8758,ph,grandmaster
64,Braum,50,3.08,48,5.84,4.47,25.04,7991,ph,grandmaster
65,Thresh,48,2.52,39.58,5.62,3.93,29.08,7099,ph,grandmaster
66,Xerath,48,3.17,47.92,5.61,4.17,145.46,10991,ph,grandmaster
67,Nautilus,47,2.14,27.66,5.49,16.82,28.79,7672,ph,grandmaster
68,Draven,47,2.3,44.68,5.79,4.29,206.11,13259,ph,grandmaster
69,Milio,47,4.16,51.06,5.66,1.19,26.85,7396,ph,grandmaster
70,Hecarim,46,3.28,56.52,5.41,3.75,212.67,12352,ph,grandmaster
71,Galio,46,3.12,65.22,5.39,6,178.15,10401,ph,grandmaster
72,Camille,45,2.14,53.33,5.44,2.42,183,11826,ph,grandmaster
73,Xayah,43,2.82,44.19,5.52,2.31,243.98,12989,ph,grandmaster
74,Swain,41,3,43.9,4.79,2.77,165.59,11890,ph,grandmaster
75,Bard,41,2.97,46.34,5.5,1.02,26.05,7687,ph,grandmaster
76,Shen,40,2.97,47.5,9.32,0.37,176.95,10462,ph,grandmaster
77,Vayne,40,2.45,62.5,5.46,1.35,200.5,11817,ph,grandmaster
78,Yasuo,40,2.34,70,4.69,7.92,243.75,13474,ph,grandmaster
79,Ornn,39,2.44,41.03,5.81,0.82,194.9,10848,ph,grandmaster
80,Fiora,39,1.62,51.28,4.57,8.68,227.46,13181,ph,grandmaster
81,Kalista,38,2.37,44.74,5.72,0.35,186,11862,ph,grandmaster
82,Leona,38,2.33,60.53,4.45,2.37,30.61,7928,ph,grandmaster
83,Aphelios,36,2.3,44.44,5.23,0.49,225.67,12616,ph,grandmaster
84,Skarner,35,3.1,51.43,4.09,10.46,154.46,10704,ph,grandmaster
85,Sion,35,1.74,57.14,5.89,1.26,222.77,12716,ph,grandmaster
86,Blitzcrank,35,3.06,65.71,4.09,22.23,26.23,7778,ph,grandmaster
87,Tristana,34,1.9,35.29,4.87,0.23,213.5,12425,ph,grandmaster
88,Rumble,34,2.2,38.24,5.92,0.1,168.79,11433,ph,grandmaster
89,Gnar,34,1.81,41.18,4.3,1.19,213.85,12119,ph,grandmaster
90,Diana,34,2.51,52.94,4.88,1.15,193.59,11957,ph,grandmaster
91,Zilean,34,3.6,52.94,4.18,5.05,103.79,9620,ph,grandmaster
92,Garen,33,2.1,51.52,3.97,1.9,245.36,13246,ph,grandmaster
93,Zyra,32,2.55,40.63,5.68,0.27,123.63,9735,ph,grandmaster
94,Gangplank,32,2.8,43.75,4.77,0.83,226.28,13580,ph,grandmaster
95,Orianna,32,2.99,46.88,5.25,0.69,225.13,12193,ph,grandmaster
96,Gwen,32,1.62,50,3.75,2.47,188.34,11064,ph,grandmaster
97,Kindred,32,2.88,50,4.11,1.09,184.84,12270,ph,grandmaster
98,Darius,31,1.39,41.94,3.63,4.9,203.23,11336,ph,grandmaster
99,Azir,31,2.49,51.61,6.62,0.38,234.32,12660,ph,grandmaster
100,Renata Glasc,30,2.7,46.67,3.65,1.9,30.63,7754,ph,grandmaster
101,Sejuani,29,3.5,51.72,4.32,0.52,167.48,10848,ph,grandmaster
