Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,5523,2.73,50.26,28.06,36.73,93.14,10625,ph,iron
2,Caitlyn,5415,2.24,48.99,27.51,26.58,171.8,12398,ph,iron
3,Yasuo,4977,1.6,47.08,25.29,24.21,183.02,12016,ph,iron
4,Miss Fortune,4827,2.47,49.62,24.53,5.25,163.59,12612,ph,iron
5,Warwick,4150,2.19,52.92,21.09,15.74,162.1,12576,ph,iron
6,Jinx,3953,2.29,47.99,20.09,5.09,170.93,12074,ph,iron
7,Jhin,3942,2.86,48.88,20.03,16.71,163.9,12553,ph,iron
8,Ashe,3863,2.33,48.59,19.63,5.97,152.15,11431,ph,iron
9,Teemo,3795,2.04,51.23,19.28,32.46,153.97,11743,ph,iron
10,Yone,3164,1.74,46.3,16.08,12.72,178.89,11972,ph,iron
11,Master Yi,2908,1.84,47.49,14.78,22.43,175.01,12616,ph,iron
12,Seraphine,2899,2.52,48.74,14.73,7.73,55.31,9486,ph,iron
13,Zed,2721,2.06,44.58,13.83,34.69,155.92,12313,ph,iron
14,Ahri,2659,2.39,50.28,13.51,10.14,154.81,11288,ph,iron
15,Vayne,2598,2.01,47.77,13.2,14.73,158.76,12253,ph,iron
16,Sylas,2593,1.96,45.55,13.18,17.53,126.89,11153,ph,iron
17,Morgana,2546,2.56,49.88,12.94,24.19,64.82,9961,ph,iron
18,Mordekaiser,2496,2.02,52.04,12.68,27.47,157.95,12118,ph,iron
19,Malphite,2257,2.22,46.39,11.48,2.85,106.83,10537,ph,iron
20,Akali,2126,2.1,46.38,10.8,14.69,133.18,11382,ph,iron
21,Viego,2038,2.09,49.02,10.36,8.49,172.5,12562,ph,iron
22,Veigar,2002,2.36,49.25,10.17,8.72,162.23,12372,ph,iron
23,Kai'Sa,1983,2.22,45.64,10.08,2.66,178.38,12510,ph,iron
24,Ekko,1981,2.14,46.64,10.07,1.89,156.08,12299,ph,iron
25,Kayn,1974,2.03,47.37,10.03,6.71,171.59,12380,ph,iron
26,Jax,1972,1.82,48.53,10.02,4.14,163.67,12277,ph,iron
27,Ezreal,1924,2.45,47.09,9.78,1.96,153.33,11723,ph,iron
28,Darius,1920,1.74,44.27,9.76,17.9,159.99,11709,ph,iron
29,Viktor,1875,2.13,46.99,9.53,10.4,155.98,11499,ph,iron
30,Tahm Kench,1777,2.36,50.48,9.03,16.18,83.08,10449,ph,iron
31,Volibear,1715,1.94,48.51,8.71,5.91,162.59,11582,ph,iron
32,Sett,1660,1.74,50.9,8.43,3.11,157.65,11911,ph,iron
33,Lee Sin,1658,2.1,44.87,8.42,5.71,152.5,11864,ph,iron
34,Thresh,1646,2.21,46.11,8.36,6.16,39.24,8959,ph,iron
35,Ambessa,1632,1.84,44.06,8.29,45.49,158.25,11600,ph,iron
36,Swain,1624,2.36,49.38,8.25,9.49,86.81,10473,ph,iron
37,Garen,1598,2.05,45.74,8.12,2.58,172.91,12250,ph,iron
38,Smolder,1594,2.26,43.98,8.1,6.07,187.24,12189,ph,iron
39,Nocturne,1592,2.22,48.18,8.09,9.61,176.13,12478,ph,iron
40,Senna,1559,2.66,43.62,7.92,2.02,58.01,10217,ph,iron
41,Nasus,1544,1.93,47.86,7.85,5.12,169.79,12131,ph,iron
42,Cho'Gath,1526,2.24,50.46,7.75,5.18,147.24,11802,ph,iron
43,Shaco,1520,2.23,46.51,7.72,31.67,138.19,11636,ph,iron
44,Tristana,1505,2.09,43.19,7.65,2.8,157.17,12219,ph,iron
45,Blitzcrank,1494,2.17,46.45,7.59,18.88,31.24,8710,ph,iron
46,Pyke,1491,1.82,44.53,7.58,21.17,38.31,10200,ph,iron
47,Leona,1438,2.21,49.1,7.31,3.33,34.7,8799,ph,iron
48,Galio,1414,2.54,51.77,7.18,3.16,129.02,10628,ph,iron
49,Dr. Mundo,1411,2.03,51.17,7.17,8.71,159.79,11417,ph,iron
50,Katarina,1395,1.98,44.44,7.09,6.75,141.62,11838,ph,iron
51,Pantheon,1372,1.97,46.57,6.97,1.72,102.02,11016,ph,iron
52,Neeko,1365,2.14,48.72,6.94,4.81,84.2,10240,ph,iron
53,Diana,1357,1.92,48.71,6.9,1.86,174.38,12519,ph,iron
54,Lucian,1337,2.19,43.98,6.79,1.47,173.17,12424,ph,iron
55,Nunu & Willump,1322,2.09,45.16,6.72,1.22,143.92,11266,ph,iron
56,Illaoi,1305,1.6,49.5,6.63,21.34,166.72,11816,ph,iron
57,Trundle,1211,1.85,52.44,6.15,4.64,170.93,12509,ph,iron
58,Tryndamere,1200,1.72,47.33,6.1,3.62,191.92,12756,ph,iron
59,Brand,1197,2.07,49.12,6.08,4.27,86.11,10601,ph,iron
60,Amumu,1189,2.14,48.28,6.04,2.41,142.93,11030,ph,iron
61,Soraka,1155,2.74,45.45,5.87,2.81,28.07,8235,ph,iron
62,Heimerdinger,1155,1.9,50.22,5.87,4.81,153,11546,ph,iron
63,Nautilus,1127,2.22,47.83,5.73,5.09,41.8,8960,ph,iron
64,Aatrox,1119,1.64,42.81,5.69,13.74,156.01,11197,ph,iron
65,Vi,1115,2.09,48.25,5.67,0.97,160.59,11986,ph,iron
66,LeBlanc,1093,2.38,43.82,5.55,13.2,128.64,11335,ph,iron
67,Sona,1063,2.68,48.45,5.4,0.7,32.07,8666,ph,iron
68,Briar,1063,1.87,49.29,5.4,10.24,163.07,12516,ph,iron
