Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,619,2.91,56.06,25.21,45.02,194.97,12474,ph,master
2,Ashe,546,2.56,54.03,22.24,13.39,203.52,11715,ph,master
3,Caitlyn,540,2.25,52.41,22,26.03,215.32,12639,ph,master
4,Kai'Sa,529,2.35,48.58,21.61,6.29,219.2,12958,ph,master
5,Lulu,489,3.39,50.51,19.92,8.55,27.13,7685,ph,master
6,Ezreal,461,2.79,53.58,18.78,8.97,215.28,12445,ph,master
7,Lux,460,2.8,52.17,18.74,31.3,144.74,10933,ph,master
8,Karma,452,2.79,53.54,18.41,2.85,40.51,8391,ph,master
9,Yone,437,1.74,50.11,17.8,9.01,221.22,11898,ph,master
10,Jinx,434,2.3,47,17.68,1.59,218.34,12286,ph,master
11,Graves,420,2.73,50.71,17.11,17.43,210.39,13311,ph,master
12,Ahri,373,2.76,51.74,15.19,6.17,201.62,11581,ph,master
13,Sylas,370,2.15,49.46,15.07,14.88,168.74,11078,ph,master
14,Jhin,365,3.07,52.33,14.87,1.99,209.96,12693,ph,master
15,Viktor,356,2.19,50.56,14.5,24.33,209.37,11688,ph,master
16,Ambessa,326,1.93,46.93,13.28,51.36,189.65,11408,ph,master
17,Lee Sin,321,2.9,51.4,13.08,9.33,174.27,11843,ph,master
18,Soraka,320,3.21,51.25,13.07,5.29,29.83,7474,ph,master
19,Wukong,302,2.93,52.65,12.3,8.66,173.21,11370,ph,master
20,Nami,299,3.56,50.84,12.18,0.85,24.16,7918,ph,master
21,Corki,265,2.57,49.43,10.79,5.94,221.47,12651,ph,master
22,Elise,256,2.73,47.66,10.43,11.34,160.9,11886,ph,master
23,Gragas,252,2.61,57.54,10.27,9.76,190.88,11521,ph,master
24,Thresh,250,2.96,56.8,10.18,4.17,28.01,7879,ph,master
25,Irelia,245,1.71,53.06,9.98,11.59,224.05,12718,ph,master
26,Aurora,237,2.59,49.79,9.65,21.32,193.41,11416,ph,master
27,Janna,236,3.24,45.76,9.61,2.82,25.1,7723,ph,master
28,Volibear,231,2.01,50.65,9.5,6.97,187.45,11375,ph,master
29,Seraphine,228,3.52,52.63,9.29,6,81.47,8981,ph,master
30,Xayah,226,2.38,52.21,9.21,1.59,240.1,13002,ph,master
31,Jarvan IV,222,3.29,54.05,9.04,6.02,171.54,11292,ph,master
32,Aatrox,220,1.91,47.73,8.96,9.67,188.3,11122,ph,master
33,Jayce,216,1.82,49.54,8.8,1.71,207.28,12039,ph,master
34,Kayn,215,2.44,46.98,8.78,2.67,188.82,12093,ph,master
35,Kha'Zix,208,2.67,52.88,8.47,8.5,186,11911,ph,master
36,Zoe,208,2.5,60.1,8.47,1.82,91.81,10192,ph,master
37,Renata Glasc,195,3.01,50.77,7.97,1.84,30.72,8118,ph,master
38,Galio,191,2.6,48.69,7.78,6.25,179.32,10691,ph,master
